YEAR,DEPT_ID,DEPT_RBD,DEPT_MP,DEPT_ENDMP,DEPT_MIOFF,DEPT_KMOFF,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,CORR_KMOFF,TYC_CNTY,MAPSHEET,STATION,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,TYC_BEG_TI,TYC_END_TI
2019,S-298,S,000+0.860,016+0.664,0.86,1.384,15.865,C000298,S,C000298S,000+0.860,016+0.664,0.86,16.725,1.384,49,3,2,49-3-002,,TYC,E,495,1,0,0,7,5,2,0,0,14,10,RURAL MAJOR COLLECTOR,5149,10,181,3,3,3,3,,2,7061794,7061772
2019,S-471,W,001+0.497,003+0.033,1.498,2.4108,1.536,C000471,W,C000471W,001+0.497,003+0.033,1.498,3.034,2.4108,45,4,26,45-4-026,,TYC,A,414,8,0,0,9,6,19,0,0,22,14,RURAL MAJOR COLLECTOR,5301,10,182,3,3,4,4,,2,7060053,7060047
2019,N-16,N,002+0.619,003+0.208,2.682,4.3163,0.571,C000016,N,C000016N,002+0.619,003+0.208,2.682,3.253,4.3163,56,4A,14,56-4A-014,A-050,TYC,A,30931,94,86,54,710,298,3,3,2,23,10,URBAN PRINCIPAL ARTERIAL,7030,10,96,315,315,453,453,,6,5620015,7020776
2019,U-5238,N,000+0.000,000+0.570,0.0,0.0,0.57,C005238,N,C005238N,000+0.000,000+0.570,0.0,0.57,0.0,7,2A,201,07-2A-201,,TYC,A,3123,0,0,0,140,35,0,0,0,45,11,URBAN COLLECTOR,9028,10,110,34,34,45,45,,2,740154,740155
2019,N-1,E,137+0.417,138+0.232,137.632,221.4972,0.845,C000001,E,C000001E,137+0.417,138+0.232,137.632,138.477,221.4972,15,4A,13,15-4A-013,,TYC,A,15789,42,197,40,941,424,3,12,3,60,27,URBAN PRINCIPAL ARTERIAL,7131,25,102,412,412,598,598,,4,7043413,1520020
2019,L-2-2340,N,000+0.000,000+0.694,0.0,0.0,0.694,C004051,N,C004051N,000+0.000,000+0.694,0.0,0.694,0.0,2,1,21,02-1-021,,TYC,E,2970,0,0,0,0,0,0,0,0,0,0,URBAN COLLECTOR,0,10,114,0,0,0,0,,2,7032388,7042831
2019,N-5,N,017+0.355,018+0.478,17.038,27.42,1.122,C000005,N,C000005N,017+0.355,018+0.478,17.038,18.16,27.42,24,3,28,24-3-028,,TYC,E,4602,26,346,6,600,446,6,75,1,130,97,RURAL PRINCIPAL ARTERIAL,3026,12,134,260,260,386,386,Y,2,1332,1333
2019,P-33,N,000+0.000,000+0.195,0.0,0.0,0.195,C000033,N,C000033N,000+0.000,000+0.195,0.0,0.195,0.0,27,3A,15,27-3A-015,,TYC,A,4977,7,35,20,214,52,1,7,4,43,10,RURAL MINOR ARTERIAL,4052,10,118,89,89,124,124,,2,2720006,3456
2019,N-115,E,001+0.736,002+0.005,1.736,2.7938,0.269,C001030,E,C001030E,001+0.736,002+0.005,1.736,2.005,2.7938,56,4A,240,56-4A-240,,TYC,E,10838,0,6,20,454,143,0,1,2,42,13,URBAN PRINCIPAL ARTERIAL,7064,10,104,159,159,229,229,Y,4,7145933,5640078
2019,U-6903,E,000+0.410,000+0.825,0.41,0.6598,0.415,C006903,E,C006903E,000+0.410,000+0.825,0.41,0.825,0.6598,56,4B,43,56-4B-043,,TYC,A,3145,5,2,5,65,42,2,1,2,21,13,URBAN COLLECTOR,9069,35,113,35,35,50,50,,2,7033551,1248
2019,U-5708,S,000+0.150,000+0.665,0.15,0.2414,0.515,C000234,S,C000234S,000+0.150,000+0.665,0.15,0.665,0.2414,21,4A,47,21-4A-047,,TYC,E,10861,33,6,9,143,52,3,1,1,13,5,URBAN MINOR ARTERIAL,8070,10,102,63,63,89,89,,2,2140013,2140028
2019,S-543,N,000+0.000,007+0.210,0.0,0.0,7.197,C000543,N,C000543N,000+0.000,007+0.210,0.0,7.197,0.0,17,4,9,17-4-009,,TYC,A,130,0,9,0,11,6,0,69,0,85,46,RURAL MAJOR COLLECTOR,5355,10,277,3,3,4,4,,2,1730001,7096510
2019,L-32-811,N,000+0.726,000+0.923,0.726,1.1684,0.197,C005965,N,C005965N,000+0.726,000+0.923,0.726,0.923,1.1684,32,3A,115,32-3A-115,,TYC,E,1010,0,0,0,0,0,0,0,0,0,0,URBAN COLLECTOR,0,10,114,0,0,0,0,,2,7041807,7034692
2019,P-96,E,000+0.948,001+0.010,0.948,1.5257,0.061,C000096,E,C000096E,000+0.948,001+0.010,0.948,1.009,1.5257,20,1,24,20-1-024,,TYC,A,825,10,102,8,115,59,12,124,10,139,72,RURAL MINOR ARTERIAL,4104,10,120,43,43,62,62,,2,2020009,2010005
2019,L-56-1114,N,000+0.000,001+0.310,0.0,0.0,1.31,C001373,N,C001373N,000+0.000,001+0.310,0.0,1.31,0.0,56,4A,347,56-4A-347,,TYC,E,2109,0,0,0,0,0,0,0,0,0,0,URBAN COLLECTOR,0,10,114,0,0,0,0,,2,5610011,7021382
2019,S-398,N,000+0.000,007+0.016,0.0,0.0,7.009,C000398,N,C000398N,000+0.000,007+0.016,0.0,7.009,0.0,38,2,18,38-2-018,,TYC,A,143,1,0,0,15,9,7,0,0,105,63,RURAL MAJOR COLLECTOR,5150,10,126,6,6,9,9,,2,7056129,7056179
2019,P-78,N,000+0.000,000+0.661,0.0,0.0,0.661,C000078,N,C000078N,000+0.000,000+0.661,0.0,0.661,0.0,5,3,15,05-3-015,,TYC,A,2619,21,16,9,27,7,8,6,3,10,3,RURAL MINOR ARTERIAL,4090,10,143,13,13,17,17,,2,520011,7035409
2019,P-13,N,077+0.081,084+0.000,77.042,123.9871,6.789,C000013,N,C000013N,077+0.081,084+0.000,77.042,83.831,123.9871,22,4,2,22-4-002,,TYC,E,1446,13,77,11,217,167,9,53,8,150,115,RURAL MINOR ARTERIAL,4014,24,108,112,112,165,165,,2,2920009,1534
2019,N-102,N,005+0.201,005+0.429,2.283,3.6741,0.228,C005205,N,C005205N,005+0.201,005+0.429,5.195,5.423,8.3605,7,2A,60,07-2A-060,,TYC,A,10820,8,23,125,760,377,1,2,12,70,35,URBAN PRINCIPAL ARTERIAL,7073,10,107,363,363,520,520,,2,740024,740025
2019,N-1,E,592+0.670,594+0.694,592.122,952.928,2.036,C000001,E,C000001E,592+0.670,594+0.694,592.122,594.158,952.928,43,3,4,43-3-004,A-010,TYC,A,2571,14,28,9,169,124,5,11,4,66,48,RURAL PRINCIPAL ARTERIAL,3019,10,124,79,79,120,120,,2,7058840,7058842
2019,L-5-536,N,001+0.223,001+0.819,1.223,1.9682,0.596,C003164,N,C003164N,001+0.223,001+0.819,1.223,1.819,1.9682,5,1,17,05-1-017,,TYC,E,499,0,0,0,0,0,0,0,0,0,0,URBAN COLLECTOR,0,10,114,0,0,0,0,,2,7145764,7023168
2019,N-34,N,000+0.140,007+0.220,0.14,0.2253,7.093,C000034,N,C000034N,000+0.140,007+0.220,0.14,7.233,0.2253,46,1,4,46-1-004,,TYC,A,617,2,17,1,108,97,3,28,2,175,157,RURAL PRINCIPAL ARTERIAL,3059,10,137,58,58,92,92,,2,7035195,7146029
2019,L-9-923,N,000+0.000,000+0.249,0.0,0.0,0.249,C008011,E,C008011E,000+0.000,000+0.249,0.0,0.249,0.0,9,2A,60,09-2A-060,,TYC,E,1037,0,0,0,0,0,0,0,0,0,0,URBAN COLLECTOR,0,10,114,0,0,0,0,,2,940028,4740054
2019,S-487,N,004+0.126,007+0.224,1.522,2.4494,3.101,C000487,N,C000487N,004+0.126,007+0.224,4.122,7.223,6.6337,15,4,11,15-4-011,,TYC,E,1558,25,14,12,91,23,16,9,8,58,15,RURAL MAJOR COLLECTOR,5316,35,114,31,31,43,43,,2,7105379,1530022
2019,I-90,E,113+0.887,120+0.926,113.519,182.6911,6.904,C000090,E,C000090E,113+0.887,120+0.926,113.519,120.423,182.6911,32,3B,1,32-3B-001,W-121,TYC,A,11810,114,668,94,2526,1858,10,57,8,214,157,RURAL INTERSTATE,1024,17,136,1368,1368,2045,2045,,4,3210017,3210018
2019,U-5004,S,000+0.313,000+0.452,0.313,0.5037,0.139,C000335,S,C000335S,000+0.313,000+0.452,0.313,0.452,0.5037,11,5A,42,11-5A-042,,TYC,E,539,52,0,77,56,18,96,0,143,104,33,URBAN COLLECTOR,5192,10,107,47,47,60,60,,2,1130007,7031672
2019,S-241,N,003+0.037,005+0.896,3.029,4.8747,2.852,C000241,N,C000241N,003+0.037,005+0.896,3.029,5.881,4.8747,3,4,3,03-4-003,A-023,TYC,A,338,0,9,0,59,37,0,27,0,175,109,RURAL MAJOR COLLECTOR,5074,10,142,8,8,9,9,,2,7088768,330008
2019,S-272,W,000+0.448,001+0.218,0.448,0.721,0.77,C000272,W,C000272W,000+0.448,001+0.218,0.448,1.218,0.721,39,3,30,39-3-030,,TYC,E,1844,7,3,12,131,42,4,2,7,71,23,RURAL MAJOR COLLECTOR,5118,10,121,55,55,79,79,,2,7145866,7056326
2019,N-22,E,042+0.021,042+0.414,0.832,1.339,0.393,C000022,E,C000022E,042+0.021,042+0.414,41.995,42.388,67.5844,46,1,14,46-1-014,,TYC,A,2818,20,6,21,268,210,7,2,7,95,75,RURAL PRINCIPAL ARTERIAL,3048,10,111,123,123,184,184,,2,7035246,4620005
2019,L-46-1136,N,000+0.000,000+0.431,0.0,0.0,0.431,C005738,N,C005738N,000+0.000,000+0.431,0.0,0.431,0.0,46,3,11,46-3-011,,TYC,E,76,0,0,0,0,0,0,0,0,0,0,URBAN COLLECTOR,0,10,114,0,0,0,0,,2,7034062,7025736
2019,P-13,N,055+0.680,065+0.456,55.571,89.4329,9.711,C000013,N,C000013N,055+0.680,065+0.456,55.571,65.282,89.4329,29,4,3,29-4-003,,TYC,E,3356,16,150,7,353,267,5,45,2,105,80,RURAL MINOR ARTERIAL,4124,31,120,180,180,278,278,,2,7052209,2920007
2019,N-50,N,068+0.644,075+0.767,68.909,110.8983,7.094,C000050,N,C000050N,068+0.644,075+0.767,68.909,76.003,110.8983,16,3,1,16-3-001,W-107,TYC,A,8607,25,52,89,983,386,3,6,10,114,45,RURAL PRINCIPAL ARTERIAL,3065,35,124,383,383,595,595,,2,7045652,7045800
2019,L-32-4589,N,000+0.000,000+0.664,0.0,0.0,0.664,C008853,E,C008853E,000+0.000,000+0.664,0.0,0.664,0.0,32,3A,328,32-3A-328,,TYC,E,2497,0,0,0,0,0,0,0,0,0,0,URBAN COLLECTOR,0,10,114,0,0,0,0,,2,7069494,7126613
2019,U-1209,N,003+0.614,003+0.786,3.614,5.8162,0.172,C001209,N,C001209N,003+0.614,003+0.786,3.614,3.786,5.8162,16,3B,73,16-3B-073,,TYC,E,1832,0,4,4,72,6,0,2,2,39,3,URBAN COLLECTOR,9009,10,113,15,15,19,19,,2,7145944,1640019
2019,U-7408,W,000+0.000,000+0.452,0.0,0.0,0.452,C007408,W,C007408W,000+0.000,000+0.452,0.0,0.452,0.0,34,2A,38,34-2A-038,,TYC,A,5732,18,4,28,222,170,3,1,5,39,30,URBAN MINOR ARTERIAL,8116,17,121,117,117,168,168,,2,7025545,7127063
2019,U-1004,E,003+0.949,004+0.331,3.949,6.3553,0.382,C001004,E,C001004E,003+0.949,004+0.331,3.949,4.331,6.3553,56,4A,93,56-4A-093,,TYC,E,16021,24,12,61,203,50,1,1,4,13,3,URBAN PRINCIPAL ARTERIAL,7054,10,100,93,93,126,126,,4,7145907,5640017
2019,L-32-2351,N,000+0.000,000+0.486,0.0,0.0,0.486,C006495,E,C006495E,000+0.000,000+0.486,0.0,0.486,0.0,32,3A,64,32-3A-064,,TYC,E,387,0,0,0,0,0,0,0,0,0,0,URBAN COLLECTOR,0,10,114,0,0,0,0,,2,7026622,7026492
2019,S-209,E,003+0.341,004+0.853,3.352,5.3945,1.509,C000209,E,C000209E,003+0.341,004+0.853,3.352,4.861,5.3945,15,7,13,15-7-013,,TYC,A,2082,21,0,5,95,19,10,0,2,46,9,RURAL MAJOR COLLECTOR,5013,21,108,37,37,51,51,,2,7044357,1520070
2019,U-603,N,000+0.586,000+1.031,0.586,0.9431,0.445,C000290,N,C000290N,000+0.586,000+1.031,0.586,1.031,0.9431,16,3,21,16-3-021,,TYC,E,1498,9,9,7,160,107,6,6,5,107,71,URBAN MINOR ARTERIAL,5139,10,114,77,77,118,118,,2,2540031,1440026
2019,S-451,S,034+0.238,038+0.036,34.251,55.1216,3.796,C000451,S,C000451S,034+0.238,038+0.036,34.251,38.047,55.1216,2,7,19,02-7-019,,TYC,A,234,2,18,2,23,9,9,77,9,98,38,RURAL MAJOR COLLECTOR,5287,10,162,7,7,10,10,,2,7037867,230016
2019,I-15,N,102+0.512,116+0.316,102.515,164.9819,13.846,C000015,N,C000015N,102+0.512,116+0.316,102.515,116.361,164.9819,47,2,4,47-2-004,,TYC,E,4210,31,259,27,952,761,7,62,6,226,181,RURAL INTERSTATE,1005,15,134,487,487,724,724,,4,4710002,4710004
2019,U-5215,S,001+0.515,002+0.010,1.515,2.4382,0.495,C005215,S,C005215S,001+0.515,002+0.010,1.515,2.01,2.4382,7,2A,217,07-2A-217,,TYC,A,3116,8,13,0,55,34,3,4,0,18,11,URBAN MINOR ARTERIAL,8055,10,103,25,25,28,28,,2,7145969,7023954
2019,N-1,E,015+0.112,016+0.468,15.127,24.3445,1.364,C000001,E,C000001E,015+0.112,016+0.468,15.127,16.491,24.3445,27,3,18,27-3-018,,TYC,E,3248,19,88,5,113,84,6,27,2,35,26,RURAL PRINCIPAL ARTERIAL,3100,10,123,51,51,76,76,,2,7036082,7051533
2019,L-7-2856,N,000+0.000,000+0.570,0.0,0.0,0.57,C003556,N,C003556N,000+0.000,000+0.570,0.0,0.57,0.0,7,2A,204,07-2A-204,,TYC,A,328,0,0,0,0,0,0,0,0,0,0,URBAN COLLECTOR,0,10,114,0,0,0,0,,2,7031895,7043307
2019,P-29,N,057+0.274,062+0.852,42.822,68.9153,5.545,C000029,N,C000029N,057+0.274,062+0.852,57.178,62.723,92.0191,29,1,15,29-1-015,,TYC,A,356,10,73,2,99,84,28,205,6,278,236,RURAL MINOR ARTERIAL,4045,10,132,53,53,81,81,,2,2920022,7145808
2019,U-1021,N,000+0.000,000+0.286,0.0,0.0,0.286,C001021,N,C001021N,000+0.000,000+0.286,0.0,0.286,0.0,56,4A,252,56-4A-252,,TYC,E,2621,0,4,26,124,12,0,2,10,47,5,URBAN MINOR ARTERIAL,8016,10,118,42,42,56,56,Y,2,5640096,5640083
2019,U-6723,N,001+0.015,001+0.255,1.015,1.6335,0.24,C006723,N,C006723N,001+0.015,001+0.255,1.015,1.255,1.6335,15,7C,54,15-7C-054,,TYC,A,3436,2,0,20,57,4,1,0,6,17,1,URBAN COLLECTOR,9061,10,113,27,27,35,35,,2,1540039,1520007
2019,S-227,S,015+0.047,016+0.789,14.92,24.0114,1.742,C000227,S,C000227S,015+0.047,016+0.789,14.92,16.662,24.0114,7,2,12,07-2-012,,TYC,A,54,1,5,1,2,1,19,93,19,37,19,RURAL MAJOR COLLECTOR,5043,10,212,0,0,0,0,,2,7039648,730002
2019,U-5302,N,006+0.020,006+0.309,0.965,1.553,0.289,C000531,N,C000531N,006+0.020,006+0.309,6.019,6.308,9.6866,41,2A,19,41-2A-019,,TYC,A,4937,14,0,18,52,13,3,0,4,11,3,URBAN COLLECTOR,5345,10,109,28,28,37,37,,2,7145895,4120008
2019,N-92,N,000+0.841,001+0.345,0.841,1.3535,0.503,C000092,N,C000092N,000+0.841,001+0.345,0.841,1.344,1.3535,32,3A,89,32-3A-089,,TYC,E,31834,84,28,69,1095,437,3,1,2,34,14,URBAN PRINCIPAL ARTERIAL,7049,10,86,472,472,683,683,,4,3220032,3220033
