YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU
2023.0,L-7-92,A,11.6,C007092,A,C007092A,000+0.000,011+0.600,0.0,11.6,091571T,,,A,134.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,RMA_RMC_345,0.0,11.0,155.0,0.0,0.0,0.0,0.0,,2.0,,CASCADE,JCT N-10,ENT L-7-92A/,0.0,0.0
2023.0,L-7-89,A,3.224,C007089,A,C007089A,004+0.318,007+0.542,4.318,7.542,091567D,,,A,26.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,RMA_RMC_345,0.0,11.0,155.0,0.0,0.0,0.0,0.0,,2.0,,CASCADE,,,0.0,0.0
2023.0,L-7-60,A,9.018,C007060,A,C007060A,000+0.000,009+0.018,0.0,9.018,07-1-036,,,E,37.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,RMA_RMC_345,0.0,11.0,155.0,0.0,0.0,0.0,0.0,,2.0,,CASCADE,JCT NEUMAN RD,ENT L-7-60A/,0.0,0.0
2023.0,L-5-3880,A,0.445,C007050,A,C007050A,000+0.000,000+0.445,0.0,0.445,05-3-022,,,E,361.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,UMA_UC,0.0,13.0,116.0,0.0,0.0,0.0,0.0,,2.0,,CARBON,JCT PARK,ENT L-5-3880A/,0.0,0.0
2023.0,L-43-176,A,0.495,C007015,A,C007015A,000+0.000,000+0.495,0.0,0.495,43-4-017,,,A,203.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,UMA_UC,0.0,13.0,116.0,0.0,0.0,0.0,0.0,,2.0,,ROOSEVELT,JCT 1STA VE,ENT L-43-176A/,0.0,0.0
2023.0,L-7-11,A,4.513,C007011,A,C007011A,017+0.247,021+0.759,17.247,21.759,088179B,,,A,19.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,RMA_RMC_345,0.0,11.0,155.0,0.0,0.0,0.0,0.0,,2.0,,CASCADE,,ENT L-7-11A,0.0,0.0
2023.0,L-50-3,A,17.247,C007011,A,C007011A,000+0.000,017+0.247,0.0,17.247,088179B,,,A,19.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,RMA_RMC_345,0.0,11.0,155.0,0.0,0.0,0.0,0.0,,2.0,,TETON,JCT S-221,ENT L-50-3A/,0.0,0.0
2023.0,L-24-1307,A,0.08,C006977,A,C006977A,000+0.000,000+0.080,0.0,0.08,24-2-026,,,A,436.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,UMA_UC,0.0,13.0,116.0,0.0,0.0,0.0,0.0,,2.0,,LAKE,JCT N-5 (US 93),ENT L-24-1307A/,0.0,0.0
2023.0,L-24-1815,A,0.046,C006955,A,C006955A,000+0.940,000+0.986,0.94,0.986,24-2-025,,,A,384.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,UMA_UC,0.0,13.0,116.0,0.0,0.0,0.0,0.0,,1.0,,LAKE,,BEGIN 1 LANE,0.0,0.0
2023.0,L-24-1815,A,0.94,C006955,A,C006955A,000+0.000,000+0.940,0.0,0.94,24-2-025,,,A,384.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,UMA_UC,0.0,13.0,116.0,0.0,0.0,0.0,0.0,,2.0,,LAKE,JCT 6TH ST W,ENT L-24-1815A/,0.0,0.0
