OBJECTID,YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,GlobalID,created_user,created_date,last_edited_user,last_edited_date
1,2024,P-3,A,0.547,C000003,A,C000003A,040+0.556,041+0.125,39.573,40.12,50-3-012, , ,E,2138,20, ,6,166,77,9, ,3,78,36,REC_MA,4003,10,119,45,45,64,64, ,2, ,TETON, , ,3.67,1.835,{33B76C1D-96A3-4A02-8D42-15FD36A185B9},,,,
2,2024,P-13,A,5.197,C000013,A,C000013A,083+0.871,088+0.725,83.817,89.014,22-4-010, , ,A,1684,11, ,0,244,206,7, ,0,145,122,RMA_RMC_12,4014,10,108,109,109,160,160, ,2, ,JEFFERSON, , ,2.685,15.436,{75F1BCB3-6FEB-49DE-9333-8792C5A1C16F},,,,
3,2024,L-28-980,A,0.204,C002392,A,C002392A,000+0.000,000+0.204,0,0.204,28-4-018, , ,E,534,2, ,0,16,4,4, ,0,30,7,UMA_UC,9117,24,158,6,6,8,8, ,2, ,MCCONE,JCT A AVE,ENT L-28-980A/,0,0,{48BD9B9A-4A81-44E3-B265-1F8AC4ABCEB1},,,,
4,2024,I-90,A,1.883,C000090,A,C000090A,432+0.252,434+0.157,430.131,432.013,56-4B-002, , ,A,15209,24, ,96,3164,2690,2, ,6,208,177,UI,1038,10,101,1692,1692,2535,2535, ,2, ,YELLOWSTONE, , ,3.781,12.5,{74D4241F-6C80-41D8-87B0-5A5FA992D1F2},,,,
5,2024,N-57,A,11.785,C000057,A,C000057A,123+0.969,135+0.783,123.349,135.133,35-2-001, , ,E,533,6, ,2,89,74,11, ,4,167,139,RPA_45,3071,11,162,40,40,60,60, ,2, ,PETROLEUM, , ,1.284,8.658,{DCD99FE7-68A1-4B56-B2CE-E8686DCF11D5},,,,
6,2024,S-295,A,2.272,C000295,A,C000295A,000+0.000,002+0.282,0,2.272,34-2A-016, , ,A,926,5, ,3,148,78,5, ,3,160,84,UMA_UC,5412,26,109,56,56,86,86, ,2, ,PARK,JCT N-11 NE OF LIVINGSTON,ENT S-295A/,6.316,9.474,{41AF3782-23D9-4374-A361-4D0A8D85575C},,,,
7,2024,U-6706,A,1.434,C000424,A,C000424A,000+0.674,002+0.141,0.674,2.108,15-7B-029, , ,E,6110,21, ,6,112,45,3, ,1,18,7,UMA_UC,5260,17,105,47,47,67,67, ,2, ,FLATHEAD,JCT ON RAMP TO N-109 (KALISPELL ALT RTE), ,0.718,0.539,{070A1871-C214-416C-AA43-D8994348ADDC},,,,
8,2024,N-1,A,0.157,C000001,A,C000001A,223+0.919,224+0.071,224.031,224.188,18-4-006, , ,A,1984,5, ,13,126,71,3, ,7,64,36,RPA_3,3005,10,132,46,46,66,66, ,2, ,GLACIER,JCT P-3,JCT P-3,1.923,3.365,{23DE382B-C1F8-432F-9CB2-09FDB4418E63},,,,
9,2024,S-203,A,4.756,C000203,A,C000203A,005+0.634,010+0.497,5.47,10.226,41-1-004, , ,A,4125,34, ,46,109,47,8, ,11,26,11,RMA_RMC_12,5396,15,106,47,47,62,62, ,2, ,RAVALLI, , ,0.64,0.64,{A037F8D5-B9F4-4583-9096-4DBFFC6FB37F},,,,
10,2024,U-5225,A,0.178,C005225,A,C005225A,000+0.731,000+0.909,0.731,0.909,07-2A-135, , ,E,10702,0, ,14,40,4,0, ,1,4,0,UMA_UC,9023,10,122,16,16,20,20, ,2, ,CASCADE, , ,61.842,1.316,{F58C17D1-74BA-47BE-A8F6-433AE8509FBA},,,,
11,2024,S-421,A,2.603,C000421,A,C000421A,000+0.000,002+0.612,0,2.603,48-2-024, , ,E,1110,8, ,4,78,48,7, ,4,70,43,RMA_RMC_345,5258,17,107,26,26,39,39, ,2, ,STILLWATER,JCT MONTANA 78,ENT S-421A/,3.604,3.604,{C2FEF308-26FC-46B0-A90A-A5700AC77365},,,,
12,2024,U-1201,A,0.321,C001201,A,C001201A,000+0.088,000+0.408,0.088,0.408,16-3A-045, , ,A,7812,55, ,62,698,277,7, ,8,89,35,UMA_UC,4114,21,99,266,266,379,379, ,2, ,GALLATIN, , ,1.831,0.654,{4B8082B5-8683-41DD-A97D-745C8B14CE36},,,,
13,2024,U-1015,A,0.208,C001015,A,C001015A,000+0.753,000+0.961,0.753,0.961,56-4A-182, , ,E,4916,15, ,31,243,25,3, ,6,49,5,UPA,7059,10,103,31,31,32,32, ,2, ,YELLOWSTONE, , ,16.055,2.064,{4D4125A7-4FA3-4FA7-8B2C-38BB4D38F5CE},,,,
14,2024,U-1209,A,1.245,C001209,A,C001209A,000+0.000,001+0.245,0,1.245,16-3B-112, , ,E,2750,19, ,19,18,6,7, ,7,7,2,UMA_UC,9008,10,151,12,12,15,15, ,2, ,GALLATIN, ,ENT U-1209A,3.742,0.416,{B0E224E6-F992-4FA1-93CA-84265A668079},,,,
15,2024,N-5,A,0.633,C000005,A,C000005A,015+0.068,015+0.701,14.769,15.402,32-1-001, , ,E,10053,27, ,77,471,377,3, ,8,47,38,RPA_1,3026,10,132,246,246,352,352, ,2, ,LAKE, , ,1.789,2.726,{611F0F88-6C6A-44B6-BBA1-9CC5F1DC6E90},,,,
16,2024,S-463,A,0.744,C000463,A,C000463A,000+0.056,000+0.800,0.056,0.8,02-7-002, , ,E,564,3, ,5,28,13,5, ,9,50,23,RMA_RMC_345,5292,10,102,8,8,11,11, ,2, ,BIG HORN,JCT I-90 ON RAMP LODGE GRASS INTERCHANGE,JCT I-90 ON RAMP LODGE GRASS INTERCHANGE,7.273,0,{7F6443A7-987D-4567-A80A-A9DF2AE2EA6F},,,,
17,2024,S-275,A,0.141,C000275,A,C000275A,002+0.904,003+0.045,2.904,3.045,39-3-028, , ,A,2333,8, ,8,118,64,3, ,3,51,27,RMA_RMC_12,5121,10,110,40,40,60,60, ,2, ,POWELL,JCT I-90 ON RAMP S DEER LODGE INTERCHANGE,JCT I-90 ON RAMP S DEER LODGE INTERCHANGE,2.846,3.252,{553B1C3C-0E5D-46F0-A660-BF8D4D6BF3C2},,,,
18,2024,L-7-2802,A,0.819,C003470,A,C003470A,000+0.000,000+0.819,0,0.819,088707A, , ,E,630,0, ,0,0,0,0, ,0,0,0,UMA_UC,0,13,116,0,0,0,0, ,2, ,CASCADE,JCT N-103 (CENTRAL AVE),ENT L-7-2802A/,0,0,{431DF0F7-BAF3-4D36-8A9E-3763034F0381},,,,
19,2024,P-3,A,5.98,C000003,A,C000003A,008+0.456,014+0.380,7.968,13.948,07-1-002, , ,A,1487,20, ,6,166,77,13, ,4,112,52,RMA_RMC_345,4003,10,119,44,44,63,63, ,2, ,CASCADE,JCT N-24,ENT P-3A/JCT N-24,3.67,1.835,{6DED6C87-36B6-4C59-A913-312382CC844E},,,,
20,2024,P-6,A,0.453,C000006,A,C000006A,075+0.703,076+0.348,75.7,76.153,45-4-018, , ,A,4166,49, ,16,321,122,12, ,4,77,29,RMA_RMC_12,4007,10,114,80,80,113,113, ,2, ,SANDERS, , ,6.768,2.876,{1C40D942-A43E-48F5-9907-6C70B5DB40A7},,,,
21,2024,S-206,A,5.336,C000206,A,C000206A,000+0.000,005+0.357,0,5.336,15-7A-002, , ,E,7113,49, ,34,270,151,7, ,5,38,21,RMA_RMC_12,4107,26,98,108,108,153,153, ,2, ,FLATHEAD,JCT P-52,ENT S-206A/,1.522,1.37,{2B9AF3FD-81C6-43DA-B546-43082EF385C7},,,,
22,2024,P-58,A,2.383,C000058,A,C000058A,000+0.000,002+0.547,0,2.383,18-4-008, , ,E,938,12, ,1,28,10,13, ,1,30,11,REC_MA,4128,10,159,6,6,9,9, ,2, ,GLACIER,JCT US 2,ENT P-58A/,1.818,0,{C03BC438-E1A2-4130-8004-B0D1C0125D12},,,,
23,2024,I-15,A,2.146,C000015,A,C000015A,122+0.110,124+0.260,122.259,124.405,47-1B-002, , ,A,21866,57, ,118,3379,2529,3, ,5,155,116,UI,1007,11,114,1677,1677,2514,2514, ,2,Dominant,SILVER BOW,"JCT OFF RAMP ROCKER INTERCHANGE, EXIT 122","JCT OFF RAMP ROCKER INTERCHANGE, EXIT 122",7.91,9.238,{EB76D682-C859-45DA-8196-F925BF7A35E6},,,,
24,2024,N-8,A,0.352,C000008,A,C000008A,077+0.565,077+0.917,77.408,77.76,04-1-010, , ,E,7439,45, ,15,568,386,6, ,2,76,52,RPA_2,3091,34,97,202,202,286,286, ,2, ,BROADWATER,JCT P-14,JCT P-14,4.24,6.184,{0D86D158-20B9-4DFA-AB9E-D6CFF1C3E68D},,,,
25,2024,L-32-810,A,0.495,C005963,A,C005963A,000+0.000,000+0.495,0,0.495,32-3A-309, , ,A,446,0, ,0,0,0,0, ,0,0,0,UMA_UC,0,13,116,0,0,0,0, ,2, ,MISSOULA,JCT HUMBLE RD,ENT L-32-810A/,0,0,{12390A0F-DCDD-4C6D-B393-7CD5D2F886B4},,,,
26,2024,P-19,A,0.341,C000019,A,C000019A,027+0.342,027+0.682,27.176,27.517,20-3-002, , ,A,1014,10, ,7,56,21,10, ,7,55,21,RMA_RMC_12,4028,10,99,18,18,27,27, ,2, ,DEER LODGE, , ,4.255,2.128,{F3881185-8D0A-415F-9A01-721BB85B570A},,,,
