CORRIDOR,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,CRASHES
C000001,4.47409876,2544,11382.107245440002,03-3-001,BLAINE,03-3-001,396+0.289,400+0.757,N-1,2
C000001,2.86441176,2601,7450.334987759999,03-3-002,BLAINE,03-3-002,400+0.757,403+0.633,N-1,6
C000001,1.39501934,2571,3586.59472314,03-3-003,BLAINE,03-3-003,404+0.405,405+0.835,N-1,3
C000001,7.1728208,2110,15134.651888,03-3-004,BLAINE,03-3-004,405+0.835,413+0.019,N-1,5
C000001,0.53064547,2706,1435.9266418199998,03-3-014,BLAINE,03-3-014,403+0.910,404+0.405,N-1,1
C000001,11.04124964,2052,22656.644261280002,03-4-004,BLAINE,03-4-004,413+0.019,423+1.003,N-1,5
C000001,1.60051272,3537,5661.01349064,03-4-008,BLAINE,03-4-008,423+1.003,425+0.605,N-1,2
C000001,9.7759222,998,9756.3703556,03-4-010,BLAINE,03-4-010,436+0.492,446+0.272,N-1,1
C000001,4.53774139,998,4528.66590722,03-4-010,PHILLIPS,03-4-010,446+0.272,450+0.804,N-1,3
C000001,0.80306032,4054,3255.6065372800003,15-4-001,FLATHEAD,15-4-001,150+0.456,151+0.277,N-1,1
C000001,0.4062855,4054,1647.081417,15-4-001,FLATHEAD,15-4-001,151+0.277,151+0.683,N-1,1
C000001,1.55367682,4054,6298.6058282799995,15-4-001,FLATHEAD,15-4-001,151+0.683,153+0.255,N-1,2
C000001,9.90995276,2015,19968.554811399998,15-4-002,FLATHEAD,15-4-002,153+0.255,163+0.186,N-1,8
C000001,1.89930489,7750,14719.612897500001,15-4A-002,FLATHEAD,15-4A-002,138+0.231,140+0.232,N-1,8
C000001,0.27523477,7750,2133.0694675,15-4A-002,FLATHEAD,15-4A-002,140+0.232,140+0.507,N-1,1
C000001,2.2036587,7746,17069.540290200002,15-4A-003,FLATHEAD,15-4A-003,140+0.507,142+0.482,N-1,11
C000001,0.89625289,7746,6942.374885939999,15-4A-003,FLATHEAD,15-4A-003,142+0.482,143+0.380,N-1,4
C000001,0.95107021,9381,8921.98964001,15-4A-004,FLATHEAD,15-4A-004,143+0.380,144+0.476,N-1,4
C000001,2.36388622,7343,17358.01651346,15-4A-005,FLATHEAD,15-4A-005,144+0.476,146+0.837,N-1,6
C000001,0.19655873,6391,1256.20684343,15-4A-006,FLATHEAD,15-4A-006,146+0.837,147+0.033,N-1,1
C000001,0.7380524,6391,4716.892888400001,15-4A-006,FLATHEAD,15-4A-006,147+0.033,147+0.771,N-1,3
C000001,1.36856978,6391,8746.529463980001,15-4A-006,FLATHEAD,15-4A-006,147+0.771,149+0.475,N-1,1
C000001,0.99983663,18712,18708.94302056,15-4A-012,FLATHEAD,15-4A-012,133+0.919,134+0.887,N-1,10
C000001,0.38841718,18712,7268.062272159999,15-4A-012,FLATHEAD,15-4A-012,134+0.887,135+0.285,N-1,1
C000001,0.84671172,14400,12192.648768,15-4A-013,FLATHEAD,15-4A-013,137+0.413,138+0.231,N-1,5
C000001,1.99469503,12331,24596.58441493,15-4A-014,FLATHEAD,15-4A-014,131+0.918,133+0.919,N-1,16
C000001,0.60609636,22306,13519.58540616,15-4A-028,FLATHEAD,15-4A-028,135+0.285,135+0.891,N-1,4
C000001,0.75524342,16892,12757.57185064,15-4A-031,FLATHEAD,15-4A-031,136+0.641,137+0.413,N-1,7
C000001,3.71437495,13832,51377.234308399995,15-4A-040,FLATHEAD,15-4A-040,125+0.635,129+0.407,N-1,22
C000001,2.52932689,12829,32448.73467181,15-4A-041,FLATHEAD,15-4A-041,129+0.407,131+0.918,N-1,10
C000001,10.84171184,1839,19937.90807376,15-5-001,FLATHEAD,15-5-001,163+0.186,174+0.021,N-1,14
C000001,5.16601782,1839,9500.306770980002,15-5-001,FLATHEAD,15-5-001,174+0.646,179+0.857,N-1,2
C000001,15.06209537,1628,24521.091262359998,15-5-002,FLATHEAD,15-5-002,179+0.857,195+0.727,N-1,14
C000001,1.78404977,1822,3250.53868094,15-5-003,FLATHEAD,15-5-003,195+0.727,197+0.518,N-1,3
C000001,1.59867873,1429,2284.51190517,15-6-001,LINCOLN,15-6-001,075+0.476,077+0.076,N-1,3
C000001,3.07224541,1429,4390.23869089,15-6-001,LINCOLN,15-6-001,077+0.242,080+0.304,N-1,1
C000001,0.93011224,1429,1329.13039096,15-6-001,FLATHEAD,15-6-001,080+0.304,081+0.331,N-1,1
C000001,19.29455101,2089,40306.317059889996,15-6-002,FLATHEAD,15-6-002,081+0.331,100+0.603,N-1,27
C000001,11.21530549,3090,34655.293964100005,15-6-003,FLATHEAD,15-6-003,100+0.603,111+0.856,N-1,56
C000001,3.50439832,5592,19596.59540544,15-7-001,FLATHEAD,15-7-001,111+0.856,115+0.321,N-1,15
C000001,4.24093702,10618,45030.26927835999,15-7B-001,FLATHEAD,15-7B-001,115+0.321,119+0.529,N-1,36
C000001,0.04825336,10618,512.35417648,15-7B-001,FLATHEAD,15-7B-001,119+0.529,119+0.577,N-1,1
C000001,0.06132517,10618,651.15065506,15-7B-001,FLATHEAD,15-7B-001,119+0.577,119+0.638,N-1,5
C000001,0.37969383,21863,8301.246205290001,15-7B-005,FLATHEAD,15-7B-005,121+0.744,122+0.115,N-1,7
C000001,0.43196812,21229,9170.25121948,15-7B-006,FLATHEAD,15-7B-006,122+0.492,122+0.924,N-1,10
C000001,1.01869745,14477,14747.682983649998,15-7B-036,FLATHEAD,15-7B-036,124+0.603,125+0.635,N-1,14
C000001,0.31394444,17988,5647.23258672,15-7B-053,FLATHEAD,15-7B-053,122+0.924,123+0.117,N-1,8
C000001,0.49884368,21170,10560.5207056,15-7B-054,FLATHEAD,15-7B-054,123+0.117,123+0.616,N-1,12
C000001,0.4356206,18530,8072.049718,15-7B-055,FLATHEAD,15-7B-055,123+0.616,124+0.035,N-1,5
C000001,0.56746996,14280,8103.471028800001,15-7B-056,FLATHEAD,15-7B-056,124+0.035,124+0.603,N-1,8
C000001,0.37725513,22247,8392.79487711,15-7B-088,FLATHEAD,15-7B-088,122+0.115,122+0.492,N-1,3
C000001,0.48793604,13757,6712.53610228,15-7C-001,FLATHEAD,15-7C-001,119+0.638,120+0.112,N-1,7
C000001,0.36921119,15345,5665.54571055,15-7C-002,FLATHEAD,15-7C-002,120+0.112,120+0.482,N-1,4
C000001,0.20505332,14788,3032.32849616,15-7C-003,FLATHEAD,15-7C-003,120+0.482,120+0.687,N-1,1
C000001,0.14868729,15652,2327.25346308,15-7C-004,FLATHEAD,15-7C-004,120+0.687,120+0.835,N-1,9
C000001,0.14004611,20755,2906.65701305,15-7C-005,FLATHEAD,15-7C-005,120+0.904,121+0.134,N-1,5
C000001,0.06774827,20017,1356.11712059,15-7C-006,FLATHEAD,15-7C-006,121+0.134,121+0.202,N-1,2
C000001,0.20874488,20017,4178.44626296,15-7C-006,FLATHEAD,15-7C-006,121+0.202,121+0.411,N-1,6
C000001,0.33392645,18599,6210.69804355,15-7C-070,FLATHEAD,15-7C-070,121+0.411,121+0.744,N-1,7
C000001,10.01748598,1687,16899.49884826,18-4-001,GLACIER,18-4-001,197+0.717,207+0.924,N-1,18
C000001,1.32305166,1637,2165.8355674199997,18-4-002,GLACIER,18-4-002,207+0.924,209+0.270,N-1,2
C000001,1.44933807,1504,2179.80445728,18-4-003,GLACIER,18-4-003,209+0.270,210+0.728,N-1,2
C000001,3.74479511,1504,5632.17184544,18-4-003,GLACIER,18-4-003,210+0.899,214+0.674,N-1,3
C000001,1.1204911,1504,1685.2186144,18-4-003,GLACIER,18-4-003,214+0.967,216+0.083,N-1,1
C000001,0.38803278,1809,701.9512990200001,18-4-004,GLACIER,18-4-004,216+0.083,216+0.471,N-1,1
C000001,0.6174117,1809,1116.8977653,18-4-004,GLACIER,18-4-004,220+0.886,221+0.503,N-1,1
C000001,0.14468178,2004,289.94228712,18-4-006,GLACIER,18-4-006,224+0.071,224+0.216,N-1,1
C000001,11.04113117,2004,22126.42686468,18-4-006,GLACIER,18-4-006,224+0.216,235+0.552,N-1,6
C000001,0.74793653,6031,4510.80521243,18-4-017,GLACIER,18-4-017,221+1.077,221+1.825,N-1,1
C000001,0.42188223,5760,2430.0416448,18-4-019,GLACIER,18-4-019,221+0.503,221+0.925,N-1,1
C000001,7.81020979,2016,15745.38293664,18-5-001,GLACIER,18-5-001,235+0.552,243+0.365,N-1,1
C000001,6.0021526,1994,11968.292284399999,18-5-002,GLACIER,18-5-002,243+0.365,249+0.272,N-1,4
C000001,0.98156326,2091,2052.44877666,18-5-003,GLACIER,18-5-003,252+0.510,253+0.495,N-1,1
C000001,0.68137795,2980,2030.506291,18-5-008,GLACIER,18-5-008,253+0.495,254+0.182,N-1,2
C000001,0.34451907,2932,1010.12991324,18-5-009,GLACIER,18-5-009,254+0.754,255+0.152,N-1,2
C000001,2.43698821,2125,5178.59994625,18-5-012,GLACIER,18-5-012,255+0.856,258+0.269,N-1,2
C000001,3.02757133,1763,5337.60825479,18-5-020,GLACIER,18-5-020,258+0.269,261+0.304,N-1,1
C000001,5.94291803,1156,6870.01324268,21-3-001,HILL,21-3-001,335+0.620,341+0.544,N-1,1
C000001,6.57250044,1103,7249.46798532,21-3-002,HILL,21-3-002,346+0.950,353+0.526,N-1,1
C000001,9.92772511,1153,11446.667051830002,21-3-003,HILL,21-3-003,353+0.526,363+0.496,N-1,3
C000001,6.62381373,1226,8120.79563298,21-4-001,HILL,21-4-001,363+0.496,370+0.155,N-1,2
C000001,6.55718044,1379,9042.35182676,21-4-002,HILL,21-4-002,370+0.155,376+0.731,N-1,2
