CORRIDOR,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000001,4.474,2576.0,11525.024000000001,03-3-001,BLAINE,03-3-001,396+0.289,400+0.757,N-1,5,515.2,2305.0048
C000001,2.864,2650.0,7589.599999999999,03-3-002,BLAINE,03-3-002,400+0.757,403+0.633,N-1,6,441.6666666666667,1264.9333333333332
C000001,1.395,2265.0,3159.675,03-3-003,BLAINE,03-3-003,404+0.405,405+0.835,N-1,2,1132.5,1579.8375
C000001,7.173,2077.0,14898.321,03-3-004,BLAINE,03-3-004,405+0.835,413+0.019,N-1,10,207.7,1489.8321
C000001,0.278,2653.0,737.5340000000001,03-3-013,BLAINE,03-3-013,403+0.633,403+0.910,N-1,1,2653.0,737.5340000000001
C000001,0.531,2832.0,1503.7920000000001,03-3-014,BLAINE,03-3-014,403+0.910,404+0.405,N-1,1,2832.0,1503.7920000000001
C000001,11.041,1884.0,20801.244000000002,03-4-004,BLAINE,03-4-004,413+0.019,423+1.003,N-1,7,269.14285714285717,2971.606285714286
C000001,1.601,3212.0,5142.412,03-4-008,BLAINE,03-4-008,423+1.003,425+0.605,N-1,2,1606.0,2571.206
C000001,2.914,3212.0,9359.768,03-4-008,BLAINE,03-4-008,425+0.605,428+0.540,N-1,2,1606.0,4679.884
C000001,7.142,1273.0,9091.766,03-4-009,BLAINE,03-4-009,428+0.540,436+0.492,N-1,1,1273.0,9091.766
C000001,9.776,1080.0,10558.08,03-4-010,BLAINE,03-4-010,436+0.492,446+0.272,N-1,2,540.0,5279.04
C000001,0.803,4873.0,3913.0190000000002,15-4-001,FLATHEAD,15-4-001,150+0.456,151+0.277,N-1,1,4873.0,3913.0190000000002
C000001,0.406,4873.0,1978.438,15-4-001,FLATHEAD,15-4-001,151+0.277,151+0.683,N-1,1,4873.0,1978.438
C000001,1.554,4873.0,7572.642,15-4-001,FLATHEAD,15-4-001,151+0.683,153+0.255,N-1,5,974.6,1514.5284
C000001,9.91,2290.0,22693.9,15-4-002,FLATHEAD,15-4-002,153+0.255,163+0.186,N-1,8,286.25,2836.7375
C000001,2.204,9398.0,20713.192000000003,15-4A-003,FLATHEAD,15-4A-003,140+0.507,142+0.482,N-1,12,783.1666666666666,1726.0993333333336
C000001,0.896,9398.0,8420.608,15-4A-003,FLATHEAD,15-4A-003,142+0.482,143+0.380,N-1,5,1879.6,1684.1216
C000001,0.951,8607.0,8185.257,15-4A-004,FLATHEAD,15-4A-004,143+0.380,144+0.476,N-1,4,2151.75,2046.31425
C000001,2.364,7760.0,18344.64,15-4A-005,FLATHEAD,15-4A-005,144+0.476,146+0.837,N-1,8,970.0,2293.08
C000001,0.738,7468.0,5511.384,15-4A-006,FLATHEAD,15-4A-006,147+0.033,147+0.771,N-1,1,7468.0,5511.384
C000001,1.369,7468.0,10223.692,15-4A-006,FLATHEAD,15-4A-006,147+0.771,149+0.475,N-1,3,2489.3333333333335,3407.897333333333
C000001,0.435,7468.0,3248.58,15-4A-006,FLATHEAD,15-4A-006,149+0.728,150+0.149,N-1,1,7468.0,3248.58
C000001,0.307,7468.0,2292.676,15-4A-006,FLATHEAD,15-4A-006,150+0.149,150+0.456,N-1,1,7468.0,2292.676
C000001,1.0,20452.0,20452.0,15-4A-012,FLATHEAD,15-4A-012,133+0.919,134+0.887,N-1,10,2045.2,2045.2
C000001,0.388,20452.0,7935.376,15-4A-012,FLATHEAD,15-4A-012,134+0.887,135+0.285,N-1,3,6817.333333333333,2645.1253333333334
C000001,0.847,14488.0,12271.336,15-4A-013,FLATHEAD,15-4A-013,137+0.413,138+0.231,N-1,3,4829.333333333333,4090.445333333333
C000001,1.995,15178.0,30280.11,15-4A-014,FLATHEAD,15-4A-014,131+0.918,133+0.919,N-1,14,1084.142857142857,2162.8650000000002
C000001,0.606,22019.0,13343.514,15-4A-028,FLATHEAD,15-4A-028,135+0.285,135+0.891,N-1,5,4403.8,2668.7028
C000001,0.369,22019.0,8125.0109999999995,15-4A-028,FLATHEAD,15-4A-028,135+0.891,136+0.268,N-1,3,7339.666666666667,2708.337
C000001,0.243,20186.0,4905.198,15-4A-030,FLATHEAD,15-4A-030,136+0.398,136+0.641,N-1,1,20186.0,4905.198
C000001,0.755,17881.0,13500.155,15-4A-031,FLATHEAD,15-4A-031,136+0.641,137+0.413,N-1,4,4470.25,3375.03875
C000001,3.714,16119.0,59865.966,15-4A-040,FLATHEAD,15-4A-040,125+0.635,129+0.407,N-1,25,644.76,2394.63864
C000001,2.529,14022.0,35461.638,15-4A-041,FLATHEAD,15-4A-041,129+0.407,131+0.918,N-1,12,1168.5,2955.1365
C000001,10.842,2052.0,22247.784,15-5-001,FLATHEAD,15-5-001,163+0.186,174+0.021,N-1,12,171.0,1853.982
C000001,5.166,2052.0,10600.632000000001,15-5-001,FLATHEAD,15-5-001,174+0.646,179+0.857,N-1,5,410.4,2120.1264
C000001,15.062,1672.0,25183.664,15-5-002,FLATHEAD,15-5-002,179+0.857,195+0.727,N-1,10,167.2,2518.3664
C000001,1.784,1651.0,2945.384,15-5-003,FLATHEAD,15-5-003,195+0.727,197+0.518,N-1,2,825.5,1472.692
C000001,1.599,1637.0,2617.563,15-6-001,LINCOLN,15-6-001,075+0.476,077+0.076,N-1,1,1637.0,2617.563
C000001,0.166,1637.0,271.742,15-6-001,LINCOLN,15-6-001,077+0.076,077+0.242,N-1,1,1637.0,271.742
