SEGMENT_KEY,CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C000108_000+0.000_000+0.203_N-108,C000108,A,000+0.000,HELENA,LEWIS AND CLARK,MARCH,2023,TUE,408471.77700,263219.64000,46.5912152429387,-112.001127281585,0.0
C000108_000+0.000_000+0.203_N-108,C000108,A,000+0.009,HELENA,LEWIS AND CLARK,OCTOBER,2022,SUN,408459.19046,263229.33142,46.591299999999997,-112.0013,0.009
C000108_000+0.000_000+0.203_N-108,C000108,A,000+0.014,HELENA,LEWIS AND CLARK,JULY,2022,MON,408451.53541,263229.57597,46.5912152429387,-112.001127281585,0.014
C000108_000+0.000_000+0.203_N-108,C000108,A,000+0.046,HELENA,LEWIS AND CLARK,JANUARY,2019,WED,408397.63074,263221.29433,46.5912275246023,-112.003524899669,0.046
C000108_000+0.000_000+0.203_N-108,C000108,A,000+0.046,HELENA,LEWIS AND CLARK,JANUARY,2020,SUN,408397.91461,263230.17767,,,0.046
C000108_000+0.000_000+0.203_N-108,C000108,A,000+0.075,HELENA,LEWIS AND CLARK,AUGUST,2019,THU,408351.84237,263227.20391,,,0.075
C000108_000+0.000_000+0.203_N-108,C000108,A,000+0.114,HELENA,LEWIS AND CLARK,NOVEMBER,2020,SUN,408288.61614,263226.72686,46.5912275246023,-112.003524899669,0.114
C000108_000+0.000_000+0.203_N-108,C000108,A,000+0.121,HELENA,LEWIS AND CLARK,APRIL,2023,THU,408278.09800,263226.46200,463528.59999999998,0,0.121
C000108_000+0.000_000+0.203_N-108,C000108,A,000+0.127,HELENA,LEWIS AND CLARK,APRIL,2023,THU,408267.97200,263227.17300,46.35286,0,0.127
C000108_000+0.000_000+0.203_N-108,C000108,A,000+0.146,HELENA,LEWIS AND CLARK,MARCH,2019,MON,408236.73254,263221.99188,,,0.146
C000108_000+0.000_000+0.203_N-108,C000108,A,000+0.189,HELENA,LEWIS AND CLARK,JUNE,2020,MON,408167.90810,263226.41655,46.5911890875899,-112.005389578243,0.189
C000108_000+0.000_000+0.203_N-108,C000108,A,000+0.190,HELENA,LEWIS AND CLARK,JULY,2019,FRI,408166.40800,263226.85900,46.5911890875899,-112.005389578243,0.19
C000108_000+0.000_000+0.203_N-108,C000108,A,000+0.192,HELENA,LEWIS AND CLARK,MAY,2019,TUE,408163.43200,263226.52800,46.5911890875899,-112.005389578243,0.192
C000108_000+0.000_000+0.203_N-108,C000108,A,000+0.192,HELENA,LEWIS AND CLARK,NOVEMBER,2023,TUE,408162.93500,263226.49900,46.5911890875899,-112.005389578243,0.192
C000108_000+0.000_000+0.203_N-108,C000108,A,000+0.194,HELENA,LEWIS AND CLARK,OCTOBER,2023,FRI,408160.46622,263233.32396,46.591250000000002,-112.0052,0.194
C000108_000+0.000_000+0.203_N-108,C000108,A,000+0.195,HELENA,LEWIS AND CLARK,DECEMBER,2019,SUN,408158.96200,263227.02400,46.5911890875899,-112.005389578243,0.195
C000108_000+0.000_000+0.203_N-108,C000108,A,000+0.195,HELENA,LEWIS AND CLARK,SEPTEMBER,2019,MON,408158.47100,263227.02400,46.5911890875899,-112.005389578243,0.195
C000108_000+0.000_000+0.203_N-108,C000108,A,000+0.199,HELENA,LEWIS AND CLARK,APRIL,2023,THU,408152.70459,263230.23765,46.59122,-112.00530000000001,0.199
C000108_000+0.000_000+0.203_N-108,C000108,A,000+0.202,HELENA,LEWIS AND CLARK,SEPTEMBER,2023,TUE,408146.79600,263227.49200,46.35284,-112.002,0.202
