YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,P-48,A,0.06,C000048,A,C000048A,029+0.706,029+0.767,31.338,31.398,56-3-005,nan,nan,E,331.0,5.0,nan,4.0,159.0,119.0,18.0,nan,14.0,564.0,422.0,RMA_RMC_345,4071.0,10.0,129.0,68.0,68.0,107.0,107.0,nan,2.0,nan,YELLOWSTONE,JCT I-94 ON RAMP MONT 47 INTERCHANGE,JCT I-94 ON RAMP MONT 47 INTERCHANGE,5.882,7.843,C000048_029+0.706_029+0.767_P-48,29.706,29.767,3RD ST E,BR I-90/MT-47,Primary,3,0,YELLOWSTONE,,19.86,0.0,None,None,,BR I-90/MT-47
2023.0,P-48,A,0.842,C000048,A,C000048A,021+0.848,022+0.692,23.481,24.323,56-3-004,nan,nan,A,378.25,5.0,nan,4.0,159.0,119.0,8.0,nan,6.0,253.0,189.0,RMA_RMC_345,4071.0,10.0,129.0,69.0,69.0,107.0,107.0,nan,2.0,nan,BIG HORN,nan,nan,5.882,7.843,C000048_021+0.848_022+0.692_P-48,21.848,22.692,3RD ST E,BR I-90/MT-47,Primary,4,1,BIG HORN,1.0,318.4865,0.2,1891.25,1592.4325,,BR I-90/MT-47
2023.0,P-48,A,8.973,C000048,A,C000048A,012+0.876,021+0.848,14.508,23.481,02-1-001,nan,nan,A,363.2,5.0,nan,4.0,159.0,119.0,12.0,nan,9.0,366.0,274.0,RMA_RMC_345,4071.0,10.0,129.0,69.0,69.0,107.0,107.0,nan,2.0,nan,BIG HORN,nan,nan,5.882,7.843,C000048_012+0.876_021+0.848_P-48,12.876,21.848,3RD ST E,BR I-90/MT-47,Primary,5,8,BIG HORN,8.0,3258.9936000000002,1.6,226.99999999999997,2036.871,,BR I-90/MT-47
2023.0,P-48,A,2.48,C000048,A,C000048A,001+0.113,003+0.588,2.749,5.23,02-1-003,nan,nan,E,1398.0,5.0,nan,4.0,159.0,119.0,4.0,nan,3.0,114.0,85.0,RMA_RMC_345,4071.0,10.0,129.0,70.0,70.0,108.0,108.0,nan,2.0,nan,BIG HORN,nan,nan,5.882,7.843,C000048_001+0.113_003+0.588_P-48,1.113,3.588,3RD ST E,BR I-90/MT-47,Primary,1,7,BIG HORN,7.0,3467.04,1.4,998.5714285714287,2476.457142857143,,BR I-90/MT-47
2023.0,P-48,A,0.131,C000048,A,C000048A,000+2.618,001+0.113,2.618,2.749,02-1-010,nan,nan,E,5396.0,27.0,nan,7.0,118.0,82.0,5.0,nan,1.0,22.0,15.0,UMA_UC,4070.0,10.0,116.0,55.0,55.0,85.0,85.0,nan,2.0,nan,BIG HORN,JCT I-90 ON RAMP W HARDIN INTERCHANGE,JCT I-90 ON RAMP W HARDIN INTERCHANGE,1.553,1.553,C000048_000+2.618_001+0.113_P-48,2.618,1.113,3RD ST E,BR I-90/MT-47,Primary,1,0,BIG HORN,,706.876,0.0,None,None,,BR I-90/MT-47
2023.0,P-48,A,0.316,C000048,A,C000048A,000+2.154,000+2.470,2.154,2.47,02-1-011,nan,nan,E,2569.5,27.0,nan,7.0,118.0,82.0,10.0,nan,3.0,45.0,32.0,UMA_UC,4070.0,10.0,116.0,52.0,52.0,82.0,82.0,nan,2.0,nan,BIG HORN,nan,nan,1.32,0.66,C000048_000+2.154_000+2.470_P-48,2.154,2.47,3RD ST E,BR I-90/MT-47,Primary,4,0,BIG HORN,,811.962,0.0,None,None,,BR I-90/MT-47
2023.0,P-48,A,0.342,C000048,A,C000048A,000+1.399,000+1.742,1.399,1.742,02-1-013,nan,nan,E,3136.5,27.0,nan,7.0,118.0,82.0,8.0,nan,2.0,36.0,25.0,UMA_UC,4070.0,10.0,116.0,53.0,53.0,83.0,83.0,nan,4.0,nan,BIG HORN,JCT S-313,BEGIN 4 LANES/JCT S-313,1.553,1.553,C000048_000+1.399_000+1.742_P-48,1.399,1.742,3RD ST E,BR I-90/MT-47,Primary,4,0,BIG HORN,,1072.683,0.0,None,None,,BR I-90/MT-47
2023.0,P-48,A,0.56,C000048,A,C000048A,000+0.587,000+1.147,0.587,1.147,02-1-015,nan,nan,A,2935.5,27.0,nan,7.0,118.0,82.0,9.0,nan,2.0,39.0,27.0,RMA_RMC_345,4070.0,10.0,116.0,53.0,53.0,83.0,83.0,nan,2.0,nan,BIG HORN,nan,nan,1.553,1.553,C000048_000+0.587_000+1.147_P-48,0.587,1.147,3RD ST E,BR I-90/MT-47,Primary,4,7,BIG HORN,7.0,1643.88,1.4,2096.785714285714,1174.2,,BR I-90/MT-47
2023.0,P-48,A,0.443,C000048,A,C000048A,000+0.144,000+0.587,0.144,0.587,02-1-028,nan,nan,E,2055.0,27.0,nan,7.0,118.0,82.0,14.0,nan,4.0,62.0,43.0,RMA_RMC_345,4070.0,10.0,116.0,51.0,51.0,82.0,82.0,nan,2.0,nan,BIG HORN,JCT S-384,JCT S-384,1.25,5.833,C000048_000+0.144_000+0.587_P-48,0.144,0.587,3RD ST E,BR I-90/MT-47,Primary,4,0,BIG HORN,,910.365,0.0,None,None,,BR I-90/MT-47
2023.0,P-48,A,0.099,C000048,A,C000048A,000+0.045,000+0.144,0.045,0.144,02-1-028,nan,nan,E,2055.0,27.0,nan,7.0,118.0,82.0,14.0,nan,4.0,62.0,43.0,RMA_RMC_345,4070.0,10.0,116.0,51.0,51.0,82.0,82.0,nan,2.0,nan,BIG HORN,JCT I-90 ON RAMP E HARDIN INTERCHANGE,JCT I-90 ON RAMP E HARDIN INTERCHANGE,1.25,5.833,C000048_000+0.045_000+0.144_P-48,0.045,0.144,3RD ST E,BR I-90/MT-47,Primary,4,0,BIG HORN,,203.44500000000002,0.0,None,None,,BR I-90/MT-47
2023.0,P-48,A,0.252,C000048,A,C000048A,000+1.147,000+1.399,1.147,1.399,02-1-014,nan,nan,E,1527.75,27.0,nan,7.0,118.0,82.0,17.0,nan,4.0,76.0,53.0,RMA_RMC_345,4070.0,10.0,116.0,51.0,51.0,82.0,82.0,nan,2.0,nan,BIG HORN,nan,nan,1.553,1.553,C000048_000+1.147_000+1.399_P-48,1.147,1.399,3RD ST E,BR I-90/MT-47,Primary,4,0,BIG HORN,,384.993,0.0,None,None,,BR I-90/MT-47
2023.0,P-48,A,9.278,C000048,A,C000048A,003+0.588,012+0.876,5.23,14.508,02-1-002,nan,nan,A,852.0,5.0,nan,4.0,159.0,119.0,6.0,nan,5.0,187.0,140.0,RMA_RMC_345,4071.0,10.0,129.0,69.0,69.0,108.0,108.0,nan,2.0,nan,BIG HORN,nan,nan,5.882,7.843,C000048_003+0.588_012+0.876_P-48,3.588,12.876,3RD ST E,BR I-90/MT-47,Primary,1,9,BIG HORN,9.0,7904.856000000001,1.8,473.3333333333333,4391.586666666667,,BR I-90/MT-47
2023.0,P-48,A,0.045,C000048,A,C000048A,000+0.000,000+0.045,0.0,0.045,02-1-028,nan,nan,E,2055.0,27.0,nan,7.0,118.0,82.0,14.0,nan,4.0,62.0,43.0,RMA_RMC_345,4070.0,10.0,116.0,51.0,51.0,82.0,82.0,nan,2.0,nan,BIG HORN,nan,ENT P-48A,1.25,5.833,C000048_000+0.000_000+0.045_P-48,0.0,0.045,3RD ST E,BR I-90/MT-47,Primary,4,0,BIG HORN,,92.475,0.0,None,None,,BR I-90/MT-47
2023.0,P-48,A,2.03,C000048,A,C000048A,027+0.675,029+0.706,29.308,31.338,56-3-005,nan,nan,E,318.25,5.0,nan,4.0,159.0,119.0,18.0,nan,14.0,564.0,422.0,RMA_RMC_345,4071.0,10.0,129.0,68.0,68.0,107.0,107.0,nan,2.0,nan,YELLOWSTONE,nan,nan,5.882,7.843,C000048_027+0.675_029+0.706_P-48,27.675,29.706,3RD ST E,BR I-90/MT-47,Primary,4,2,YELLOWSTONE,2.0,646.0474999999999,0.4,795.625,1615.1187499999996,,BR I-90/MT-47
