YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,P-32,A,2.142,C000032,A,C000032A,063+0.681,065+0.841,63.495,65.637,10-2-029,nan,nan,E,31.333333333333332,0.0,nan,0.0,2.0,1.0,0.0,nan,0.0,95.0,48.0,RMA_RMC_345,4051.0,10.0,207.0,0.0,0.0,0.0,0.0,nan,2.0,nan,DANIELS,nan,nan,0.0,0.0,C000032_063+0.681_065+0.841_P-32,63.681,65.841,,MT-13,Primary,3,0,DANIELS,,67.116,0.0,None,None,,MT-13
2023.0,P-32,A,6.129,C000032,A,C000032A,057+0.530,063+0.681,57.366,63.495,10-2-008,nan,nan,E,38.25,0.0,nan,0.0,2.0,1.0,0.0,nan,0.0,48.0,24.0,RMA_RMC_345,4051.0,10.0,207.0,0.0,0.0,0.0,0.0,nan,2.0,nan,DANIELS,nan,nan,0.0,0.0,C000032_057+0.530_063+0.681_P-32,57.53,63.681,,MT-13,Primary,4,0,DANIELS,,234.43425,0.0,None,None,,MT-13
2023.0,P-32,A,6.017,C000032,A,C000032A,051+0.520,057+0.530,51.349,57.366,10-2-007,nan,nan,E,207.0,0.0,nan,0.0,2.0,1.0,0.0,nan,0.0,9.0,4.0,RMA_RMC_345,4051.0,10.0,207.0,0.0,0.0,0.0,0.0,nan,2.0,nan,DANIELS,JCT S-248,JCT S-248,0.0,0.0,C000032_051+0.520_057+0.530_P-32,51.52,57.53,,MT-13,Primary,5,2,DANIELS,2.0,1245.519,0.4,517.5,3113.7974999999997,,MT-13
2023.0,P-32,A,0.079,C000032,A,C000032A,051+0.441,051+0.520,51.27,51.349,10-2-019,nan,nan,E,791.5,4.0,nan,2.0,79.0,52.0,5.0,nan,2.0,96.0,63.0,RMA_RMC_345,4050.0,10.0,105.0,32.0,32.0,46.0,46.0,nan,2.0,nan,DANIELS,nan,nan,7.229,6.024,C000032_051+0.441_051+0.520_P-32,51.441,51.52,,MT-13,Primary,4,0,DANIELS,,62.5285,0.0,None,None,,MT-13
2023.0,P-32,A,0.124,C000032,A,C000032A,051+0.317,051+0.441,51.146,51.27,080316D,nan,nan,E,1006.0,4.0,nan,2.0,79.0,52.0,4.0,nan,2.0,76.0,50.0,UMA_UC,4050.0,10.0,105.0,32.0,32.0,47.0,47.0,nan,2.0,nan,DANIELS,JCT P-22,JCT P-22,7.229,6.024,C000032_051+0.317_051+0.441_P-32,51.317,51.441,,MT-13,Primary,4,0,DANIELS,,124.744,0.0,None,None,,MT-13
2023.0,P-32,A,0.283,C000032,A,C000032A,050+0.876,051+0.178,50.725,51.007,10-2-017,nan,nan,E,1519.0,2.0,nan,0.0,29.0,26.0,1.0,nan,0.0,21.0,19.0,RMA_RMC_345,4117.0,10.0,137.0,16.0,16.0,22.0,22.0,nan,2.0,nan,DANIELS,nan,nan,3.571,10.714,C000032_050+0.876_051+0.178_P-32,50.876,51.178,,MT-13,Primary,4,0,DANIELS,,429.87699999999995,0.0,None,None,,MT-13
2023.0,P-32,A,6.359,C000032,A,C000032A,040+0.392,046+0.728,40.232,46.591,10-2-002,nan,nan,A,303.0,2.0,nan,0.0,29.0,26.0,7.0,nan,0.0,102.0,91.0,RMA_RMC_345,4117.0,10.0,137.0,14.0,14.0,21.0,21.0,nan,2.0,nan,DANIELS,nan,nan,3.571,10.714,C000032_040+0.392_046+0.728_P-32,40.392,46.728,,MT-13,Primary,4,2,DANIELS,2.0,1926.777,0.4,757.5,4816.9425,,MT-13
2023.0,P-32,A,5.159,C000032,A,C000032A,035+0.195,040+0.392,35.073,40.232,10-2-001,nan,nan,E,222.25,2.0,nan,0.0,29.0,26.0,10.0,nan,0.0,147.0,132.0,RMA_RMC_345,4117.0,10.0,137.0,14.0,14.0,21.0,21.0,nan,2.0,nan,DANIELS,nan,nan,3.571,10.714,C000032_035+0.195_040+0.392_P-32,35.195,40.392,,MT-13,Primary,4,1,DANIELS,1.0,1146.58775,0.2,1111.25,5732.938749999999,,MT-13
2023.0,P-32,A,18.471,C000032,A,C000032A,016+0.620,035+0.189,16.595,35.067,43-1-001,nan,nan,A,229.0,2.0,nan,0.0,29.0,26.0,9.0,nan,0.0,127.0,114.0,RMA_RMC_345,4117.0,10.0,137.0,14.0,14.0,21.0,21.0,nan,2.0,nan,ROOSEVELT,JCT S-250,JCT S-250,3.571,10.714,C000032_016+0.620_035+0.189_P-32,16.62,35.189,,MT-13,Primary,4,9,ROOSEVELT,9.0,4229.859,1.8,127.22222222222221,2349.9216666666666,,MT-13
2023.0,P-32,A,3.663,C000032,A,C000032A,000+0.000,003+0.723,0.0,3.663,43-3-009,nan,nan,E,406.5,4.0,nan,9.0,82.0,59.0,10.0,nan,23.0,212.0,153.0,RMA_RMC_345,4049.0,10.0,109.0,36.0,36.0,53.0,53.0,nan,2.0,nan,ROOSEVELT,JCT P-25,ENT P-32A/,0.0,11.628,C000032_000+0.000_003+0.723_P-32,0.0,3.723,,MT-13,Primary,4,2,ROOSEVELT,2.0,1489.0095,0.4,1016.25,3722.5237499999994,,MT-13
