YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,N-63,A,0.852,C000063,A,C000063A,035+0.472,036+0.324,35.076,35.929,14-6-001,nan,nan,A,2114.0,20.0,nan,2.0,525.0,458.0,9.0,nan,1.0,226.0,197.0,RPA_45,3096.0,13.0,111.0,248.0,248.0,375.0,375.0,nan,2.0,nan,JUDITH BASIN,nan,nan,4.091,23.182,C000063_035+0.472_036+0.324_N-63,35.472,36.324,,MT-3/US-191,NI-NHS,4,3,JUDITH BASIN,3.0,1801.128,0.6,3523.3333333333335,3001.88,,MT-3/US-191
2023.0,N-63,A,4.986,C000063,A,C000063A,028+0.443,033+0.446,28.053,33.039,14-8-002,nan,nan,E,1844.75,20.0,nan,2.0,525.0,458.0,10.0,nan,1.0,252.0,220.0,RPA_45,3096.0,13.0,111.0,248.0,248.0,375.0,375.0,nan,2.0,nan,FERGUS,nan,nan,4.091,23.182,C000063_028+0.443_033+0.446_N-63,28.443,33.446,,MT-3/US-191,NI-NHS,4,19,FERGUS,19.0,9197.923499999999,3.8,485.4605263157895,2420.506184210526,,MT-3/US-191
2023.0,N-63,A,5.564,C000063,A,C000063A,022+0.873,028+0.443,22.489,28.053,14-8-001,nan,nan,A,2047.75,20.0,nan,2.0,525.0,458.0,9.0,nan,1.0,233.0,204.0,RPA_45,3096.0,13.0,111.0,248.0,248.0,375.0,375.0,nan,2.0,nan,FERGUS,nan,nan,4.091,23.182,C000063_022+0.873_028+0.443_N-63,22.873,28.443,,MT-3/US-191,NI-NHS,4,25,FERGUS,25.0,11393.681,5.0,409.55,2278.7362000000003,,MT-3/US-191
2023.0,N-63,A,2.943,C000063,A,C000063A,019+0.207,022+0.190,18.864,21.806,14-8-001,nan,nan,A,2047.75,20.0,nan,2.0,525.0,458.0,9.0,nan,1.0,233.0,204.0,RPA_45,3096.0,13.0,111.0,248.0,248.0,375.0,375.0,nan,2.0,nan,FERGUS,nan,nan,4.091,23.182,C000063_019+0.207_022+0.190_N-63,19.207,22.19,,MT-3/US-191,NI-NHS,4,19,FERGUS,19.0,6026.52825,3.8,538.8815789473684,1585.9284868421055,,MT-3/US-191
2023.0,N-63,A,1.063,C000063,A,C000063A,018+0.105,019+0.168,17.761,18.824,54-1-006,nan,nan,A,2186.5,20.0,nan,2.0,525.0,458.0,9.0,nan,1.0,227.0,198.0,RPA_45,3096.0,13.0,111.0,248.0,248.0,375.0,375.0,nan,2.0,nan,WHEATLAND,JCT S-297,JCT S-297,4.091,23.182,C000063_018+0.105_019+0.168_N-63,18.105,19.168,,MT-3/US-191,NI-NHS,4,4,WHEATLAND,4.0,2324.2495,0.8,2733.125,2905.311875,,MT-3/US-191
2023.0,N-63,A,3.248,C000063,A,C000063A,036+0.324,039+0.574,35.929,39.177,14-6-001,nan,nan,A,2120.6666666666665,20.0,nan,2.0,525.0,458.0,9.0,nan,1.0,226.0,197.0,RPA_45,3096.0,13.0,111.0,248.0,248.0,375.0,375.0,nan,2.0,nan,FERGUS,nan,nan,4.091,23.182,C000063_036+0.324_039+0.574_N-63,36.324,39.574,,MT-3/US-191,NI-NHS,3,11,FERGUS,11.0,6887.925333333334,2.2,963.9393939393938,3130.875151515151,,MT-3/US-191
2023.0,N-63,A,4.065,C000063,A,C000063A,013+0.799,017+0.873,13.421,17.486,54-1-002,nan,nan,A,2083.75,41.0,nan,22.0,451.0,393.0,18.0,nan,9.0,195.0,170.0,RPA_45,3080.0,15.0,110.0,243.0,243.0,372.0,372.0,nan,2.0,nan,WHEATLAND,nan,nan,1.951,19.512,C000063_013+0.799_017+0.873_N-63,13.799,17.873,,MT-3/US-191,NI-NHS,4,14,WHEATLAND,14.0,8470.44375,2.8,744.1964285714287,3025.1584821428573,,MT-3/US-191
2023.0,N-63,A,2.037,C000063,A,C000063A,033+0.446,035+0.472,33.039,35.076,14-8-002,nan,nan,E,1844.75,20.0,nan,2.0,525.0,458.0,10.0,nan,1.0,252.0,220.0,RPA_45,3096.0,13.0,111.0,248.0,248.0,375.0,375.0,nan,2.0,nan,JUDITH BASIN,nan,nan,4.091,23.182,C000063_033+0.446_035+0.472_N-63,33.446,35.472,,MT-3/US-191,NI-NHS,4,12,JUDITH BASIN,12.0,3757.75575,2.4,768.6458333333334,1565.7315624999999,,MT-3/US-191
2023.0,N-63,A,3.23,C000063,A,C000063A,001+0.737,004+0.991,1.395,4.625,54-2-008,nan,nan,A,1866.0,41.0,nan,22.0,451.0,393.0,21.0,nan,11.0,231.0,201.0,RPA_45,3080.0,15.0,110.0,242.0,242.0,372.0,372.0,nan,2.0,nan,WHEATLAND,nan,BEGIN 2 LANES,1.951,19.512,C000063_001+0.737_004+0.991_N-63,1.737,4.991,,MT-3/US-191,NI-NHS,3,6,WHEATLAND,6.0,6027.18,1.2,1555.0,5022.650000000001,,MT-3/US-191
2023.0,N-63,A,0.683,C000063,A,C000063A,022+0.190,022+0.873,21.806,22.489,14-8-001,nan,nan,A,2047.75,20.0,nan,2.0,525.0,458.0,9.0,nan,1.0,233.0,204.0,RPA_45,3096.0,13.0,111.0,248.0,248.0,375.0,375.0,nan,2.0,nan,JUDITH BASIN,nan,nan,4.091,23.182,C000063_022+0.190_022+0.873_N-63,22.19,22.873,,MT-3/US-191,NI-NHS,4,1,JUDITH BASIN,1.0,1398.61325,0.2,10238.75,6993.06625,,MT-3/US-191
2023.0,N-63,A,0.014,C000063,A,C000063A,000+0.000,000+0.014,0.0,0.014,54-2-008,nan,nan,A,1866.0,41.0,nan,22.0,451.0,393.0,21.0,nan,11.0,231.0,201.0,RPA_45,3080.0,15.0,110.0,242.0,242.0,372.0,372.0,nan,2.0,nan,WHEATLAND,JCT P-14/N-14 E OF HARLOWTON,ENT N-63A/,1.951,19.512,C000063_000+0.000_000+0.014_N-63,0.0,0.014,,MT-3/US-191,NI-NHS,3,2,WHEATLAND,2.0,26.124,0.4,4665.0,65.30999999999999,,MT-3/US-191
2023.0,N-63,A,8.796,C000063,A,C000063A,004+0.991,013+0.799,4.625,13.421,54-1-001,nan,nan,E,2072.0,41.0,nan,22.0,451.0,393.0,18.0,nan,10.0,196.0,171.0,RPA_45,3080.0,15.0,110.0,243.0,243.0,372.0,372.0,nan,2.0,nan,WHEATLAND,nan,nan,1.951,19.512,C000063_004+0.991_013+0.799_N-63,4.991,13.799,,MT-3/US-191,NI-NHS,5,13,WHEATLAND,13.0,18225.311999999998,2.6,796.9230769230769,7009.735384615384,,MT-3/US-191
2023.0,N-63,A,0.011,C000063,A,C000063A,019+0.168,019+0.179,18.824,18.836,54-1-006,nan,nan,A,2186.5,20.0,nan,2.0,525.0,458.0,9.0,nan,1.0,227.0,198.0,RPA_45,3096.0,13.0,111.0,248.0,248.0,375.0,375.0,nan,2.0,nan,JUDITH BASIN,nan,nan,4.091,23.182,C000063_019+0.168_019+0.179_N-63,19.168,19.179,,MT-3/US-191,NI-NHS,4,0,JUDITH BASIN,,24.051499999999997,0.0,None,None,,MT-3/US-191
2023.0,N-63,A,0.028,C000063,A,C000063A,019+0.179,019+0.207,18.836,18.864,14-8-001,nan,nan,A,2047.75,20.0,nan,2.0,525.0,458.0,9.0,nan,1.0,233.0,204.0,RPA_45,3096.0,13.0,111.0,248.0,248.0,375.0,375.0,nan,2.0,nan,JUDITH BASIN,nan,nan,4.091,23.182,C000063_019+0.179_019+0.207_N-63,19.179,19.207,,MT-3/US-191,NI-NHS,4,0,JUDITH BASIN,,57.337,0.0,None,None,,MT-3/US-191
2023.0,N-63,A,0.275,C000063,A,C000063A,017+0.873,018+0.105,17.486,17.761,54-1-005,nan,nan,A,2216.0,41.0,nan,22.0,451.0,393.0,17.0,nan,9.0,191.0,166.0,RPA_45,3080.0,15.0,110.0,243.0,243.0,372.0,372.0,nan,2.0,nan,WHEATLAND,nan,nan,1.951,19.512,C000063_017+0.873_018+0.105_N-63,17.873,18.105,,MT-3/US-191,NI-NHS,4,0,WHEATLAND,,609.4000000000001,0.0,None,None,,MT-3/US-191
2023.0,N-63,A,0.077,C000063,A,C000063A,000+0.014,000+0.090,0.014,0.09,54-2-008,nan,nan,A,1866.0,41.0,nan,22.0,451.0,393.0,21.0,nan,11.0,231.0,201.0,RPA_45,3080.0,15.0,110.0,242.0,242.0,372.0,372.0,nan,4.0,nan,WHEATLAND,nan,BEGIN 4 LANES,1.951,19.512,C000063_000+0.014_000+0.090_N-63,0.014,0.09,,MT-3/US-191,NI-NHS,3,1,WHEATLAND,1.0,143.682,0.2,9330.0,718.4099999999999,,MT-3/US-191
2023.0,N-63,A,1.305,C000063,A,C000063A,000+0.090,001+0.737,0.09,1.395,54-2-008,nan,nan,A,1866.0,41.0,nan,22.0,451.0,393.0,21.0,nan,11.0,231.0,201.0,RPA_45,3080.0,15.0,110.0,242.0,242.0,372.0,372.0,nan,3.0,nan,WHEATLAND,nan,BEGIN 3 LANES,1.951,19.512,C000063_000+0.090_001+0.737_N-63,0.09,1.737,,MT-3/US-191,NI-NHS,3,4,WHEATLAND,4.0,2435.13,0.8,2332.5,3043.9125,,MT-3/US-191
