SEGMENT_KEY,CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C000083_000+0.000_010+0.119_P-83,C000083,A,000+0.000,NOT IN CITY LIMITS,MISSOULA,APRIL,2021,WED,305858.55309,313124.63174,47.0024864160387,-113.371538722272,0.0
C000083_000+0.000_010+0.119_P-83,C000083,A,000+0.001,NOT IN CITY LIMITS,MISSOULA,JANUARY,2020,SUN,305860.19800,313124.25000,47.0024726888644,-113.371520276783,0.001
C000083_000+0.000_010+0.119_P-83,C000083,A,000+0.004,NOT IN CITY LIMITS,MISSOULA,OCTOBER,2019,FRI,305856.76391,313129.62376,47.0024726888644,-113.371520276783,0.004
C000083_000+0.000_010+0.119_P-83,C000083,A,000+0.006,NOT IN CITY LIMITS,MISSOULA,SEPTEMBER,2020,WED,305860.24400,313131.92200,47.0024726888644,-113.371520276783,0.006
C000083_000+0.000_010+0.119_P-83,C000083,A,000+0.009,NOT IN CITY LIMITS,MISSOULA,NOVEMBER,2023,TUE,305854.76307,313137.19901,47.002597705714201,-113.371596695588,0.009
C000083_000+0.000_010+0.119_P-83,C000083,A,000+0.011,NOT IN CITY LIMITS,MISSOULA,NOVEMBER,2021,TUE,305859.58700,313141.36000,47.0024726888644,-113.371520276783,0.011
C000083_000+0.000_010+0.119_P-83,C000083,A,000+0.013,NOT IN CITY LIMITS,MISSOULA,JULY,2019,WED,305859.63300,313144.45500,47.0024726888644,-113.371520276783,0.013
C000083_000+0.000_010+0.119_P-83,C000083,A,000+0.014,NOT IN CITY LIMITS,MISSOULA,AUGUST,2021,SUN,305850.25540,313146.21041,47.002676710221102,-113.37166178793601,0.014
C000083_000+0.000_010+0.119_P-83,C000083,A,000+0.150,NOT IN CITY LIMITS,MISSOULA,NOVEMBER,2023,TUE,305866.45617,313364.91080,47.0046499510022,-113.37159106725299,0.15
C000083_000+0.000_010+0.119_P-83,C000083,A,000+0.180,NOT IN CITY LIMITS,MISSOULA,MARCH,2020,FRI,305864.97107,313412.66590,,,0.18
C000083_000+0.000_010+0.119_P-83,C000083,A,000+0.484,NOT IN CITY LIMITS,MISSOULA,APRIL,2023,MON,305873.23694,313901.71989,47.009478679558299,-113.371850958086,0.484
C000083_000+0.000_010+0.119_P-83,C000083,A,000+0.579,NOT IN CITY LIMITS,MISSOULA,JUNE,2020,FRI,305885.25826,314053.83534,,,0.579
C000083_000+0.000_010+0.119_P-83,C000083,A,001+0.006,NOT IN CITY LIMITS,MISSOULA,OCTOBER,2022,TUE,305912.28917,314754.11353,47.017158738792702,-113.3718919434,1.006
C000083_000+0.000_010+0.119_P-83,C000083,A,001+0.940,NOT IN CITY LIMITS,MISSOULA,MARCH,2019,TUE,305515.01032,316194.04595,,,1.94
C000083_000+0.000_010+0.119_P-83,C000083,A,002+0.173,NOT IN CITY LIMITS,MISSOULA,NOVEMBER,2020,FRI,305396.71588,316532.51635,,,2.173
C000083_000+0.000_010+0.119_P-83,C000083,A,002+0.239,NOT IN CITY LIMITS,MISSOULA,FEBRUARY,2021,SUN,305412.43986,316688.35965,47.0343242554263,-113.379722468774,2.239
C000083_000+0.000_010+0.119_P-83,C000083,A,002+0.367,NOT IN CITY LIMITS,MISSOULA,JANUARY,2023,TUE,305266.06313,316815.23302,47.035399538730097,-113.381729839248,2.367
C000083_000+0.000_010+0.119_P-83,C000083,A,002+0.426,NOT IN CITY LIMITS,MISSOULA,JULY,2023,THU,305210.40451,316894.22226,47.036084794987403,-113.382513203713,2.426
C000083_000+0.000_010+0.119_P-83,C000083,A,002+0.881,NOT IN CITY LIMITS,MISSOULA,MARCH,2020,MON,304956.99769,317576.46614,,,2.8810000000000002
