YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,U-1002,A,0.55,C001002,A,C001002A,003+0.370,003+0.919,3.37,3.919,56-4A-116,nan,nan,A,10636.0,41.0,nan,84.0,329.0,105.0,4.0,nan,8.0,31.0,10.0,UPA,7052.0,22.0,100.0,69.0,69.0,79.0,79.0,nan,2.0,nan,YELLOWSTONE,nan,nan,12.667,2.003,C001002_003+0.370_003+0.919_U-1002,3.37,3.919,RIMROCK RD,,Urban,4,12,YELLOWSTONE,12.0,5849.8,2.4,4431.666666666667,2437.416666666667,,RIMROCK RD
2023.0,U-1002,A,1.259,C001002,A,C001002A,002+0.110,003+0.370,2.11,3.37,56-4A-117,nan,nan,A,9599.25,41.0,nan,84.0,329.0,105.0,4.0,nan,9.0,36.0,11.0,UPA,7052.0,22.0,100.0,68.0,68.0,78.0,78.0,nan,2.0,nan,YELLOWSTONE,nan,nan,9.698,1.509,C001002_002+0.110_003+0.370_U-1002,2.11,3.37,RIMROCK RD,,Urban,4,19,YELLOWSTONE,19.0,12085.45575,3.8,2526.1184210526317,3180.383092105263,,RIMROCK RD
2023.0,U-1002,A,0.255,C001002,A,C001002A,001+0.856,002+0.110,1.856,2.11,56-4A-118,nan,nan,A,9801.0,41.0,nan,84.0,329.0,105.0,4.0,nan,8.0,30.0,10.0,UPA,7052.0,22.0,100.0,70.0,70.0,80.0,80.0,nan,2.0,nan,YELLOWSTONE,JCT U-1003(17TH ST W),JCT U-1003(17TH ST W),12.667,2.003,C001002_001+0.856_002+0.110_U-1002,1.8559999999999999,2.11,RIMROCK RD,,Urban,4,5,YELLOWSTONE,5.0,2499.255,1.0,9801.0,2499.255,,RIMROCK RD
2023.0,U-1002,A,1.004,C001002,A,C001002A,000+0.345,001+0.349,0.345,1.349,56-4A-120,nan,nan,A,9954.25,41.0,nan,84.0,329.0,105.0,4.0,nan,9.0,35.0,11.0,UPA,7052.0,22.0,100.0,68.0,68.0,79.0,79.0,nan,2.0,nan,YELLOWSTONE,JCT U-1015(VIRGINIA LN),JCT U-1015(VIRGINIA LN),12.667,2.003,C001002_000+0.345_001+0.349_U-1002,0.345,1.349,RIMROCK RD,,Urban,4,23,YELLOWSTONE,23.0,9994.067000000001,4.6,2163.967391304348,2172.6232608695655,,RIMROCK RD
2023.0,U-1002,A,0.461,C001002,A,C001002A,003+0.919,004+0.380,3.919,4.38,56-4A-115,nan,nan,A,13068.0,41.0,nan,84.0,329.0,105.0,3.0,nan,6.0,23.0,7.0,UPA,7052.0,22.0,100.0,72.0,72.0,82.0,82.0,nan,2.0,nan,YELLOWSTONE,JCT U-1001(ZIMMERMAN TRAIL),JCT U-1001(ZIMMERMAN TRAIL),16.765,1.994,C001002_003+0.919_004+0.380_U-1002,3.919,4.38,RIMROCK RD,,Urban,4,33,YELLOWSTONE,33.0,6024.348,6.6,1980.0,912.7800000000001,,RIMROCK RD
2023.0,U-1002,A,0.345,C001002,A,C001002A,000+0.000,000+0.345,0.0,0.345,56-4A-121,nan,nan,A,9346.75,41.0,nan,84.0,329.0,105.0,5.0,nan,10.0,37.0,12.0,UPA,7052.0,22.0,100.0,68.0,68.0,78.0,78.0,nan,2.0,nan,YELLOWSTONE,JCT N-53(N 27TH ST),ENT U-1002A/,9.776,1.178,C001002_000+0.000_000+0.345_U-1002,0.0,0.345,RIMROCK RD,,Urban,4,17,YELLOWSTONE,17.0,3224.62875,3.4,2749.044117647059,948.4202205882352,,RIMROCK RD
2023.0,S-302,A,1.364,C000302,A,C000302A,016+0.067,017+0.428,15.966,17.33,56-4-009,nan,nan,E,293.3333333333333,12.0,nan,3.0,30.0,4.0,55.0,nan,14.0,138.0,18.0,RMA_RMC_345,5153.0,10.0,121.0,6.0,6.0,9.0,9.0,nan,2.0,nan,STILLWATER,nan,nan,0.0,0.0,C000302_016+0.067_017+0.428_S-302,16.067,17.428,RIMROCK RD,,Urban,3,1,STILLWATER,1.0,400.1066666666667,0.2,1466.6666666666665,2000.5333333333333,,RIMROCK RD
2023.0,S-302,A,1.023,C000302,A,C000302A,015+0.035,016+0.067,14.943,15.966,56-4-009,nan,nan,E,274.0,12.0,nan,3.0,30.0,4.0,55.0,nan,14.0,138.0,18.0,RMA_RMC_345,5153.0,10.0,121.0,6.0,6.0,9.0,9.0,nan,2.0,nan,YELLOWSTONE,JCT S-401,JCT S-401,0.0,0.0,C000302_015+0.035_016+0.067_S-302,15.035,16.067,RIMROCK RD,,Urban,4,3,YELLOWSTONE,3.0,280.30199999999996,0.6,456.6666666666667,467.16999999999996,,RIMROCK RD
2023.0,S-302,A,7.925,C000302,A,C000302A,007+0.061,015+0.035,7.018,14.943,56-4-008,nan,nan,E,308.0,12.0,nan,3.0,30.0,4.0,39.0,nan,10.0,97.0,13.0,RMA_RMC_345,5153.0,10.0,121.0,6.0,6.0,9.0,9.0,nan,2.0,nan,YELLOWSTONE,nan,nan,1.124,0.0,C000302_007+0.061_015+0.035_S-302,7.061,15.035,RIMROCK RD,,Urban,1,11,YELLOWSTONE,11.0,2440.9,2.2,140.0,1109.5,,RIMROCK RD
2023.0,S-302,A,2.796,C000302,A,C000302A,004+0.264,007+0.061,4.223,7.018,56-4-007,nan,nan,A,925.0,12.0,nan,3.0,30.0,4.0,13.0,nan,3.0,32.0,4.0,UMA_UC,5153.0,10.0,121.0,7.0,7.0,9.0,9.0,nan,2.0,nan,YELLOWSTONE,nan,ENT S-302A,1.124,0.0,C000302_004+0.264_007+0.061_S-302,4.264,7.061,RIMROCK RD,,Urban,1,12,YELLOWSTONE,12.0,2586.2999999999997,2.4,385.4166666666667,1077.625,,RIMROCK RD
