SEGMENT_KEY,CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C000235_001+0.956_004+0.553_S-235,C000235,D,004+0.452,NOT IN CITY LIMITS,GALLATIN,AUGUST,2023,SUN,476048.31831,165666.36532,45.729330947257701,-111.09306999661899,4.452
C000235_001+0.956_004+0.553_S-235,C000235,D,004+0.524,NOT IN CITY LIMITS,GALLATIN,FEBRUARY,2022,MON,476170.37336,165695.23509,45.7290488848818,-111.091035577899,4.524
C000235_001+0.956_004+0.553_S-235,C000235,D,004+0.536,NOT IN CITY LIMITS,GALLATIN,DECEMBER,2023,SAT,476181.82828,165643.46137,45.729149270297597,-111.09134857277201,4.536
C000235_001+0.956_004+0.553_S-235,C000235,D,004+0.548,NOT IN CITY LIMITS,GALLATIN,MARCH,2019,TUE,476202.81626,165648.99196,45.7290488848818,-111.091035577899,4.548
C000235_001+0.956_004+0.553_S-235,C000235,D,004+0.551,NOT IN CITY LIMITS,GALLATIN,NOVEMBER,2021,WED,476204.57900,165638.23100,45.7290488848818,-111.091035577899,4.551
C000235_000+0.000_001+0.956_S-235,C000235,A,000+0.000,NOT IN CITY LIMITS,GALLATIN,AUGUST,2020,WED,468887.11500,165807.64500,45.7292517578387,-111.185127507272,0.0
C000235_000+0.000_001+0.956_S-235,C000235,A,000+0.000,NOT IN CITY LIMITS,GALLATIN,OCTOBER,2022,MON,468886.95400,165807.45500,45.7292517578387,-111.185127507272,0.0
C000235_000+0.000_001+0.956_S-235,C000235,A,000+0.001,NOT IN CITY LIMITS,GALLATIN,DECEMBER,2021,WED,468887.70100,165808.55000,45.7292517578387,-111.185127507272,0.001
C000235_000+0.000_001+0.956_S-235,C000235,A,000+0.001,NOT IN CITY LIMITS,GALLATIN,DECEMBER,2022,SAT,468887.92200,165808.78800,45.7292517578387,-111.185127507272,0.001
C000235_000+0.000_001+0.956_S-235,C000235,A,000+0.001,NOT IN CITY LIMITS,GALLATIN,NOVEMBER,2021,MON,468887.65100,165808.23500,45.7292517578387,-111.185127507272,0.001
C000235_000+0.000_001+0.956_S-235,C000235,A,000+0.006,NOT IN CITY LIMITS,GALLATIN,JULY,2020,THU,468895.91000,165806.34200,45.7292517578387,-111.185127507272,0.006
C000235_000+0.000_001+0.956_S-235,C000235,A,000+0.012,NOT IN CITY LIMITS,GALLATIN,FEBRUARY,2022,MON,468906.33826,165823.32501,45.7292517578387,-111.185127507272,0.012
C000235_000+0.000_001+0.956_S-235,C000235,A,000+0.019,NOT IN CITY LIMITS,GALLATIN,JUNE,2023,FRI,468917.86910,165813.18508,45.729309350829801,-111.184726089854,0.019
C000235_000+0.000_001+0.956_S-235,C000235,A,000+0.023,NOT IN CITY LIMITS,GALLATIN,FEBRUARY,2023,WED,468923.98698,165796.70310,45.729162224864098,-111.184642928922,0.023
C000235_000+0.000_001+0.956_S-235,C000235,A,000+0.024,NOT IN CITY LIMITS,GALLATIN,APRIL,2022,WED,468925.11500,165785.35200,45.7292517578387,-111.185127507272,0.024
C000235_000+0.000_001+0.956_S-235,C000235,A,000+0.040,NOT IN CITY LIMITS,GALLATIN,DECEMBER,2022,WED,468952.02057,165844.51898,45.729597913527897,-111.184295953776,0.04
C000235_000+0.000_001+0.956_S-235,C000235,A,000+0.059,NOT IN CITY LIMITS,GALLATIN,OCTOBER,2023,MON,468981.76965,165801.50156,45.729216585327499,-111.183901836747,0.059
C000235_000+0.000_001+0.956_S-235,C000235,A,000+0.065,NOT IN CITY LIMITS,GALLATIN,FEBRUARY,2022,TUE,468993.22492,165882.45002,45.729947202403999,-111.183777015961,0.065
C000235_000+0.000_001+0.956_S-235,C000235,A,000+0.069,NOT IN CITY LIMITS,GALLATIN,MARCH,2022,WED,468997.33965,165802.05279,45.7292517578387,-111.185127507272,0.069
C000235_000+0.000_001+0.956_S-235,C000235,A,000+0.080,NOT IN CITY LIMITS,GALLATIN,FEBRUARY,2021,TUE,469011.78761,165838.97190,45.7292517578387,-111.185127507272,0.08
C000235_000+0.000_001+0.956_S-235,C000235,A,000+0.093,NOT IN CITY LIMITS,GALLATIN,DECEMBER,2022,THU,469037.99987,165874.28038,45.729882350325603,-111.183199462746,0.093
C000235_000+0.000_001+0.956_S-235,C000235,A,000+0.343,NOT IN CITY LIMITS,GALLATIN,OCTOBER,2023,SUN,469437.93945,165801.84094,45.729307746089198,-111.178040839511,0.343
C000235_000+0.000_001+0.956_S-235,C000235,A,000+0.490,NOT IN CITY LIMITS,GALLATIN,MARCH,2022,SAT,469675.24353,165793.79140,45.7292810261469,-111.17498962195199,0.49
C000235_000+0.000_001+0.956_S-235,C000235,A,000+0.780,NOT IN CITY LIMITS,GALLATIN,OCTOBER,2019,SAT,470140.88618,165768.91755,,,0.78
C000235_000+0.000_001+0.956_S-235,C000235,A,000+0.964,NOT IN CITY LIMITS,GALLATIN,MAY,2019,TUE,470437.86181,165767.92811,45.729194242351,-111.164443765346,0.964
C000235_000+0.000_001+0.956_S-235,C000235,A,000+0.985,BELGRADE,GALLATIN,SEPTEMBER,2023,TUE,470471.46116,165773.76841,45.729253622098099,-111.16475391403399,0.985
C000235_000+0.000_001+0.956_S-235,C000235,A,000+0.994,NOT IN CITY LIMITS,GALLATIN,NOVEMBER,2020,THU,470485.50400,165767.33600,45.729194242351,-111.164443765346,0.994
C000235_000+0.000_001+0.956_S-235,C000235,A,000+0.997,NOT IN CITY LIMITS,GALLATIN,APRIL,2020,TUE,470490.07000,165767.34300,45.729194242351,-111.164443765346,0.997
C000235_000+0.000_001+0.956_S-235,C000235,A,001+0.000,NOT IN CITY LIMITS,GALLATIN,FEBRUARY,2020,THU,470494.92100,165766.74000,45.729194242351,-111.164443765346,1.0
C000235_000+0.000_001+0.956_S-235,C000235,A,001+0.000,NOT IN CITY LIMITS,GALLATIN,OCTOBER,2022,WED,470494.93200,165766.69300,45.729194242351,-111.164443765346,1.0
C000235_000+0.000_001+0.956_S-235,C000235,A,001+0.001,NOT IN CITY LIMITS,GALLATIN,OCTOBER,2022,SAT,470495.79500,165766.85800,45.729194242351,-111.164443765346,1.001
C000235_000+0.000_001+0.956_S-235,C000235,A,001+0.001,NOT IN CITY LIMITS,GALLATIN,SEPTEMBER,2023,WED,470496.50976,165766.16560,45.729190000000003,-111.16443,1.001
C000235_000+0.000_001+0.956_S-235,C000235,A,001+0.002,NOT IN CITY LIMITS,GALLATIN,AUGUST,2022,FRI,470497.27300,165766.72500,45.729194242351,-111.164443765346,1.002
C000235_000+0.000_001+0.956_S-235,C000235,A,001+0.009,NOT IN CITY LIMITS,GALLATIN,JANUARY,2021,SAT,470508.86119,165777.72571,45.729194242351,-111.164443765346,1.009
C000235_000+0.000_001+0.956_S-235,C000235,A,001+0.017,NOT IN CITY LIMITS,GALLATIN,FEBRUARY,2022,TUE,470521.22722,165774.11892,45.7292662935956,-111.164114588464,1.017
C000235_000+0.000_001+0.956_S-235,C000235,A,001+0.046,NOT IN CITY LIMITS,GALLATIN,FEBRUARY,2021,FRI,470565.96467,165760.54237,45.729194242351,-111.164443765346,1.046
C000235_000+0.000_001+0.956_S-235,C000235,A,001+0.212,NOT IN CITY LIMITS,GALLATIN,OCTOBER,2022,SAT,470835.92172,165766.51176,45.729257940637901,-111.160069145675,1.212
C000235_000+0.000_001+0.956_S-235,C000235,A,001+0.222,NOT IN CITY LIMITS,GALLATIN,SEPTEMBER,2019,FRI,470852.15361,165759.57777,,,1.222
C000235_000+0.000_001+0.956_S-235,C000235,A,001+0.391,NOT IN CITY LIMITS,GALLATIN,DECEMBER,2020,MON,471123.01347,165761.90969,,,1.391
C000235_000+0.000_001+0.956_S-235,C000235,A,001+0.402,NOT IN CITY LIMITS,GALLATIN,SEPTEMBER,2022,THU,471141.59380,165760.26880,45.729259999999996,-111.15613999999999,1.4020000000000001
C000235_000+0.000_001+0.956_S-235,C000235,A,001+0.493,NOT IN CITY LIMITS,GALLATIN,DECEMBER,2022,SUN,471287.97449,165748.41884,45.7291812086508,-111.154256000153,1.4929999999999999
C000235_000+0.000_001+0.956_S-235,C000235,A,001+0.566,NOT IN CITY LIMITS,GALLATIN,NOVEMBER,2022,FRI,471404.91165,165745.53094,45.729177439018699,-111.15275274237,1.5659999999999998
C000235_000+0.000_001+0.956_S-235,C000235,A,001+0.802,NOT IN CITY LIMITS,GALLATIN,SEPTEMBER,2019,FRI,471784.39084,165740.58758,,,1.802
C000235_000+0.000_001+0.956_S-235,C000235,A,001+0.836,NOT IN CITY LIMITS,GALLATIN,JULY,2020,SUN,471839.92816,165737.26750,,,1.8359999999999999
