YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,S-254,A,5.977,C000254,A,C000254A,061+0.707,067+0.694,61.328,67.305,28-4-007,nan,nan,E,54.666666666666664,2.0,nan,0.0,14.0,8.0,41.0,nan,0.0,286.0,163.0,RMA_RMC_345,5097.0,10.0,223.0,6.0,6.0,8.0,8.0,nan,2.0,nan,MCCONE,nan,nan,10.0,50.0,C000254_061+0.707_067+0.694_S-254,61.707,67.694,,S-254,Secondary,3,1,MCCONE,1.0,326.74266666666665,0.2,273.3333333333333,1633.7133333333331,,S-254
2023.0,S-254,A,6.413,C000254,A,C000254A,054+0.239,060+0.717,53.926,60.339,11-1-006,nan,nan,E,73.0,2.0,nan,0.0,14.0,8.0,30.0,nan,0.0,212.0,121.0,RMA_RMC_345,5097.0,10.0,223.0,6.0,6.0,8.0,8.0,nan,2.0,nan,DAWSON,nan,nan,10.0,50.0,C000254_054+0.239_060+0.717_S-254,54.239,60.717,,S-254,Secondary,4,2,DAWSON,2.0,468.149,0.4,182.5,1170.3725,,S-254
2023.0,S-254,A,0.582,C000254,A,C000254A,043+0.944,044+0.528,43.923,44.505,11-1-007,nan,nan,E,100.25,4.0,nan,2.0,13.0,9.0,40.0,nan,20.0,130.0,90.0,RMA_RMC_345,5257.0,10.0,183.0,6.0,6.0,8.0,8.0,nan,2.0,nan,DAWSON,nan,nan,0.0,2.632,C000254_043+0.944_044+0.528_S-254,43.944,44.528,,S-254,Secondary,4,0,DAWSON,,58.345499999999994,0.0,None,None,,S-254
2023.0,S-254,A,0.384,C000254,A,C000254A,043+0.559,043+0.944,43.539,43.923,11-1-008,nan,nan,E,163.0,4.0,nan,2.0,13.0,9.0,27.0,nan,14.0,89.0,62.0,RMA_RMC_345,5257.0,10.0,183.0,6.0,6.0,8.0,8.0,nan,2.0,nan,DAWSON,nan,nan,0.0,2.632,C000254_043+0.559_043+0.944_S-254,43.559,43.944,,S-254,Secondary,4,0,DAWSON,,62.592,0.0,None,None,,S-254
2023.0,S-254,A,3.18,C000254,A,C000254A,040+0.183,043+0.309,40.108,43.288,11-1-003,nan,nan,E,208.25,2.0,nan,2.0,33.0,24.0,10.0,nan,10.0,159.0,116.0,RMA_RMC_345,5096.0,10.0,143.0,15.0,15.0,23.0,23.0,nan,2.0,nan,DAWSON,nan,nan,3.03,18.182,C000254_040+0.183_043+0.309_S-254,40.183,43.309,,S-254,Secondary,4,0,DAWSON,,662.235,0.0,None,None,,S-254
2023.0,S-254,A,9.657,C000254,A,C000254A,030+0.464,040+0.183,30.452,40.108,11-1-004,nan,nan,E,184.0,2.0,nan,2.0,33.0,24.0,11.0,nan,11.0,180.0,131.0,RMA_RMC_345,5096.0,10.0,143.0,15.0,15.0,23.0,23.0,nan,2.0,nan,DAWSON,nan,nan,3.438,12.937,C000254_030+0.464_040+0.183_S-254,30.464,40.183,,S-254,Secondary,4,0,DAWSON,,1776.888,0.0,None,None,,S-254
2023.0,S-254,A,7.031,C000254,A,C000254A,023+0.492,030+0.464,23.421,30.452,11-2-008,nan,nan,E,180.25,2.0,nan,2.0,33.0,24.0,12.0,nan,12.0,192.0,140.0,RMA_RMC_345,5096.0,10.0,143.0,15.0,15.0,23.0,23.0,nan,2.0,nan,DAWSON,JCT S-470 AT BLOOMFIELD,JCT S-470 AT BLOOMFIELD,3.846,7.692,C000254_023+0.492_030+0.464_S-254,23.492,30.464,,S-254,Secondary,4,2,DAWSON,2.0,1267.33775,0.4,450.625,3168.3443749999997,,S-254
2023.0,S-254,A,5.849,C000254,A,C000254A,017+0.625,023+0.492,17.571,23.421,11-2-007,nan,nan,E,192.5,2.0,nan,2.0,33.0,24.0,11.0,nan,11.0,179.0,130.0,RMA_RMC_345,5096.0,10.0,143.0,15.0,15.0,23.0,23.0,nan,2.0,nan,DAWSON,nan,nan,3.438,12.937,C000254_017+0.625_023+0.492_S-254,17.625,23.492,,S-254,Secondary,4,1,DAWSON,1.0,1125.9325000000001,0.2,962.5,5629.6625,,S-254
2023.0,S-254,A,7.219,C000254,A,C000254A,010+0.375,017+0.625,10.353,17.571,11-2-006,nan,nan,E,282.5,2.0,nan,2.0,40.0,30.0,6.0,nan,6.0,125.0,93.0,RMA_RMC_345,5096.0,10.0,143.0,19.0,19.0,28.0,28.0,nan,2.0,nan,DAWSON,nan,nan,3.438,12.937,C000254_010+0.375_017+0.625_S-254,10.375,17.625,,S-254,Secondary,4,2,DAWSON,2.0,2039.3675,0.4,706.25,5098.41875,,S-254
2023.0,S-254,A,10.353,C000254,A,C000254A,000+0.000,010+0.375,0.0,10.353,11-5A-027,nan,nan,E,346.5,1.0,nan,0.0,35.0,28.0,3.0,nan,0.0,107.0,86.0,RMA_RMC_345,5095.0,10.0,130.0,15.0,15.0,23.0,23.0,nan,2.0,nan,DAWSON,JCT N-20 N OF GLENDIVE,ENT S-254A/,0.0,16.667,C000254_000+0.000_010+0.375_S-254,0.0,10.375,,S-254,Secondary,4,6,DAWSON,6.0,3587.3145,1.2,288.75,2989.42875,,S-254
