SEGMENT_KEY,CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C000075_000+0.000_002+0.098_N-75,C000075,D,000+0.010,NOT IN CITY LIMITS,FERGUS,FEBRUARY,2019,SUN,602074.63400,311862.38600,,,0.01
C000075_000+0.000_002+0.098_N-75,C000075,D,000+0.119,NOT IN CITY LIMITS,FERGUS,NOVEMBER,2020,TUE,602222.40647,311954.97030,,,0.119
C000045_000+0.000_001+0.429_P-45,C000045,A,000+0.000,BIG TIMBER,SWEET GRASS,MARCH,2022,TUE,564915.97730,176470.26910,45.8370066060457,-109.951770216482,0.0
C000045_000+0.000_001+0.429_P-45,C000045,A,000+0.610,NOT IN CITY LIMITS,SWEET GRASS,APRIL,2022,MON,565664.61951,177105.33907,45.842760975254997,-109.94217646694899,0.61
C000045_000+0.000_001+0.429_P-45,C000045,A,000+0.776,NOT IN CITY LIMITS,SWEET GRASS,MAY,2021,WED,565862.19059,177285.27734,45.8443905129798,-109.939645175607,0.776
C000045_000+0.000_001+0.429_P-45,C000045,A,000+0.821,NOT IN CITY LIMITS,SWEET GRASS,AUGUST,2020,WED,565898.96869,177346.37118,,,0.821
C000045_000+0.000_001+0.429_P-45,C000045,A,000+0.835,NOT IN CITY LIMITS,SWEET GRASS,MAY,2020,WED,565902.87084,177368.63610,,,0.835
C000045_000+0.000_001+0.429_P-45,C000045,A,000+0.857,NOT IN CITY LIMITS,SWEET GRASS,OCTOBER,2020,THU,565903.26286,177403.11551,,,0.857
C000045_000+0.000_001+0.429_P-45,C000045,A,000+0.887,NOT IN CITY LIMITS,SWEET GRASS,NOVEMBER,2023,TUE,565893.13344,177450.55440,45.845879646049603,-109.93925862199001,0.887
C000045_000+0.000_001+0.429_P-45,C000045,A,000+0.917,NOT IN CITY LIMITS,SWEET GRASS,NOVEMBER,2020,FRI,565881.93043,177496.54722,,,0.917
C000045_000+0.000_001+0.429_P-45,C000045,A,000+0.921,NOT IN CITY LIMITS,SWEET GRASS,JANUARY,2023,FRI,565877.84104,177502.28381,45.846344462841301,-109.939459304899,0.921
C000045_000+0.000_001+0.429_P-45,C000045,A,000+0.962,NOT IN CITY LIMITS,SWEET GRASS,JANUARY,2023,TUE,565844.12964,177557.35503,45.846838426359902,-109.93989744834801,0.962
C000045_000+0.000_001+0.429_P-45,C000045,A,000+1.018,NOT IN CITY LIMITS,SWEET GRASS,JANUARY,2023,FRI,565800.09737,177635.73618,45.8475416662192,-109.94047020993899,1.018
C000045_000+0.000_001+0.429_P-45,C000045,A,000+1.026,NOT IN CITY LIMITS,SWEET GRASS,FEBRUARY,2020,SAT,565790.94178,177648.03985,,,1.026
C000045_001+0.429_016+0.209_P-45,C000045,A,001+0.430,NOT IN CITY LIMITS,SWEET GRASS,JANUARY,2020,TUE,565878.02900,178327.49500,45.8537620597067,-109.939513865354,1.43
C000045_001+0.429_016+0.209_P-45,C000045,A,001+0.590,NOT IN CITY LIMITS,SWEET GRASS,JULY,2020,TUE,565888.02603,178585.96729,,,1.5899999999999999
C000045_001+0.429_016+0.209_P-45,C000045,A,001+0.649,NOT IN CITY LIMITS,SWEET GRASS,APRIL,2021,TUE,565882.53804,178681.85058,45.856961362505,-109.9394840524,1.649
C000045_001+0.429_016+0.209_P-45,C000045,A,001+0.802,NOT IN CITY LIMITS,SWEET GRASS,OCTOBER,2019,FRI,565900.69328,178926.94068,,,1.802
C000045_001+0.429_016+0.209_P-45,C000045,A,002+0.001,NOT IN CITY LIMITS,SWEET GRASS,NOVEMBER,2021,MON,565908.47933,179237.07912,45.861960000000003,-109.93919,2.001
C000045_001+0.429_016+0.209_P-45,C000045,A,002+0.169,NOT IN CITY LIMITS,SWEET GRASS,AUGUST,2021,FRI,565906.50320,179507.85355,45.864397003964797,-109.93923501869,2.169
C000045_001+0.429_016+0.209_P-45,C000045,A,002+0.185,NOT IN CITY LIMITS,SWEET GRASS,JULY,2022,WED,565916.05584,179533.54321,45.864628705670199,-109.939113807662,2.185
C000045_001+0.429_016+0.209_P-45,C000045,A,002+0.771,NOT IN CITY LIMITS,SWEET GRASS,AUGUST,2022,MON,565371.74391,180266.72267,45.871200000000002,-109.94618,2.771
C000045_001+0.429_016+0.209_P-45,C000045,A,002+0.771,NOT IN CITY LIMITS,SWEET GRASS,JANUARY,2023,MON,565371.59399,180267.43632,45.871206415472699,-109.946181983963,2.771
