YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,N-50,A,0.005,C000050,A,C000050A,090+0.448,090+0.454,90.672,90.678,16-3B-099,nan,nan,E,9020.25,61.0,nan,44.0,438.0,177.0,7.0,nan,5.0,49.0,20.0,UPA,7039.0,10.0,99.0,198.0,198.0,283.0,283.0,nan,3.0,nan,GALLATIN,nan,BEGIN 3 LANES,3.543,18.406,C000050_090+0.448_090+0.454_N-50,90.448,90.454,YELLOWSTONE AVE,US-191/US-20/US-287,NI-NHS,4,0,GALLATIN,,45.10125,0.0,None,None,,US-191/US-20/US-287
2023.0,N-50,A,0.155,C000050,A,C000050A,090+0.294,090+0.448,90.518,90.672,16-3B-099,nan,nan,E,9020.25,61.0,nan,44.0,438.0,177.0,7.0,nan,5.0,49.0,20.0,UPA,7039.0,10.0,99.0,198.0,198.0,283.0,283.0,nan,4.0,nan,GALLATIN,nan,nan,3.543,18.406,C000050_090+0.294_090+0.448_N-50,90.294,90.448,YELLOWSTONE AVE,US-191/US-20/US-287,NI-NHS,4,1,GALLATIN,1.0,1398.13875,0.2,45101.25,6990.69375,,US-191/US-20/US-287
2023.0,N-50,A,0.104,C000050,A,C000050A,090+0.189,090+0.294,90.413,90.518,16-3B-012,nan,nan,E,11208.75,61.0,nan,44.0,438.0,177.0,6.0,nan,4.0,41.0,16.0,UPA,7039.0,10.0,99.0,200.0,200.0,284.0,284.0,nan,4.0,nan,GALLATIN,JCT U-1215 (HIGHLAND BLVD),JCT U-1215 (HIGHLAND BLVD),3.543,18.406,C000050_090+0.189_090+0.294_N-50,90.189,90.294,YELLOWSTONE AVE,US-191/US-20/US-287,NI-NHS,4,0,GALLATIN,,1165.71,0.0,None,None,,US-191/US-20/US-287
2023.0,N-50,A,0.209,C000050,A,C000050A,089+0.428,089+0.637,89.827,90.036,16-3B-010,nan,nan,E,12135.5,61.0,nan,44.0,438.0,177.0,5.0,nan,4.0,36.0,14.0,UPA,7039.0,10.0,99.0,201.0,201.0,285.0,285.0,nan,4.0,nan,GALLATIN,JCT U-1213(S CHURCH AVE),JCT U-1213(S CHURCH AVE),3.543,18.406,C000050_089+0.428_089+0.637_N-50,89.428,89.637,YELLOWSTONE AVE,US-191/US-20/US-287,NI-NHS,4,0,GALLATIN,,2536.3195,0.0,None,None,,US-191/US-20/US-287
2023.0,N-50,A,0.085,C000050,A,C000050A,089+0.343,089+0.428,89.742,89.827,16-3B-010,nan,nan,E,12135.5,61.0,nan,44.0,438.0,177.0,5.0,nan,4.0,36.0,14.0,UPA,7039.0,10.0,99.0,201.0,201.0,285.0,285.0,nan,4.0,nan,GALLATIN,JCT P-86/U-1208(ROUSE AVE),JCT P-86/U-1208(ROUSE AVE),3.543,18.406,C000050_089+0.343_089+0.428_N-50,89.343,89.428,YELLOWSTONE AVE,US-191/US-20/US-287,NI-NHS,4,0,GALLATIN,,1031.5175000000002,0.0,None,None,,US-191/US-20/US-287
2023.0,N-50,A,0.325,C000050,A,C000050A,089+0.018,089+0.343,89.417,89.742,16-3B-009,nan,nan,E,11367.6,61.0,nan,44.0,438.0,177.0,5.0,nan,4.0,37.0,15.0,UPA,7039.0,10.0,99.0,200.0,200.0,285.0,285.0,nan,4.0,nan,GALLATIN,JCT U-1209(WILLSON AVE),JCT U-1209(WILLSON AVE),3.543,18.406,C000050_089+0.018_089+0.343_N-50,89.018,89.343,YELLOWSTONE AVE,US-191/US-20/US-287,NI-NHS,5,0,GALLATIN,,3694.4700000000003,0.0,None,None,,US-191/US-20/US-287
2023.0,N-50,A,0.127,C000050,A,C000050A,088+0.891,089+0.018,89.289,89.417,16-3B-008,nan,nan,E,13934.2,61.0,nan,44.0,438.0,177.0,4.0,nan,3.0,29.0,12.0,UPA,7039.0,10.0,99.0,202.0,202.0,287.0,287.0,nan,4.0,nan,GALLATIN,nan,nan,3.543,18.406,C000050_088+0.891_089+0.018_N-50,88.891,89.018,YELLOWSTONE AVE,US-191/US-20/US-287,NI-NHS,5,0,GALLATIN,,1769.6434000000002,0.0,None,None,,US-191/US-20/US-287
2023.0,N-50,A,0.647,C000050,A,C000050A,087+0.211,087+0.858,87.386,88.034,16-3B-002,nan,nan,E,19037.0,78.0,nan,53.0,956.0,348.0,4.0,nan,3.0,49.0,18.0,UPA,7038.0,17.0,95.0,407.0,407.0,585.0,585.0,nan,4.0,nan,GALLATIN,JCT U-1210(COLLEGE ST),JCT U-1210(COLLEGE ST),1.15,0.836,C000050_087+0.211_087+0.858_N-50,87.211,87.858,YELLOWSTONE AVE,US-191/US-20/US-287,NI-NHS,4,0,GALLATIN,,12316.939,0.0,None,None,,US-191/US-20/US-287
2023.0,N-50,A,1.019,C000050,A,C000050A,080+0.078,081+0.082,80.258,81.276,16-3A-008,nan,nan,E,17818.75,4.0,nan,107.0,1562.0,448.0,0.0,nan,6.0,83.0,24.0,UPA,3065.0,35.0,124.0,411.0,411.0,603.0,603.0,nan,2.0,nan,GALLATIN,nan,nan,9.704,3.291,C000050_080+0.078_081+0.082_N-50,80.078,81.082,YELLOWSTONE AVE,US-191/US-20/US-287,NI-NHS,4,17,GALLATIN,17.0,18157.306249999998,3.4,5240.808823529412,5340.38419117647,,US-191/US-20/US-287
2023.0,N-50,A,3.294,C000050,A,C000050A,076+0.766,080+0.078,76.964,80.258,16-3A-007,nan,nan,A,13918.0,4.0,nan,107.0,1562.0,448.0,0.0,nan,8.0,117.0,34.0,UPA,3065.0,35.0,124.0,405.0,405.0,597.0,597.0,nan,2.0,nan,GALLATIN,nan,nan,4.6,4.034,C000050_076+0.766_080+0.078_N-50,76.766,80.078,YELLOWSTONE AVE,US-191/US-20/US-287,NI-NHS,4,76,GALLATIN,76.0,45845.892,15.2,915.6578947368422,3016.177105263158,,US-191/US-20/US-287
