YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,N-4,A,0.045,C000004,A,C000004A,058+0.177,058+0.221,59.106,59.15,56-4B-008,nan,nan,E,5503.333333333333,14.0,nan,40.0,283.0,67.0,2.0,nan,7.0,50.0,12.0,UPA,7105.0,10.0,112.0,64.0,64.0,83.0,83.0,nan,2.0,nan,YELLOWSTONE,JCT I-90 ON RAMP MOSSMAIN INTERCHANGE,JCT I-90 ON RAMP MOSSMAIN INTERCHANGE,0.935,6.231,C000004_058+0.177_058+0.221_N-4,58.177,58.221,,US-310,NI-NHS,3,1,YELLOWSTONE,1.0,247.64999999999998,0.2,27516.666666666664,1238.2499999999998,,US-310
2023.0,N-4,A,0.274,C000004,A,C000004A,057+0.884,058+0.177,58.831,59.106,56-4B-008,nan,nan,E,5500.25,14.0,nan,40.0,283.0,67.0,2.0,nan,7.0,50.0,12.0,UPA,7105.0,10.0,112.0,64.0,64.0,83.0,83.0,nan,2.0,nan,YELLOWSTONE,JCT SHANNON RD/U-6903,JCT SHANNON RD/U-6903,0.935,6.231,C000004_057+0.884_058+0.177_N-4,57.884,58.177,,US-310,NI-NHS,4,6,YELLOWSTONE,6.0,1507.0685,1.2,4583.541666666667,1255.8904166666669,,US-310
2023.0,N-4,A,0.382,C000004,A,C000004A,057+0.502,057+0.884,58.45,58.831,56-4B-008,nan,nan,E,5500.25,14.0,nan,40.0,283.0,67.0,2.0,nan,7.0,50.0,12.0,UPA,7105.0,10.0,112.0,64.0,64.0,83.0,83.0,nan,2.0,nan,YELLOWSTONE,nan,nan,0.935,6.231,C000004_057+0.502_057+0.884_N-4,57.502,57.884,,US-310,NI-NHS,4,12,YELLOWSTONE,12.0,2101.0955,2.4,2291.7708333333335,875.4564583333333,,US-310
2023.0,N-4,A,0.53,C000004,A,C000004A,055+0.311,055+0.841,56.257,56.787,56-4B-007,nan,nan,A,5812.75,14.0,nan,40.0,283.0,67.0,2.0,nan,7.0,47.0,11.0,UPA,7105.0,10.0,112.0,64.0,64.0,83.0,83.0,nan,2.0,nan,YELLOWSTONE,nan,BEGIN 2 LANES,5.036,1.079,C000004_055+0.311_055+0.841_N-4,55.311,55.841,,US-310,NI-NHS,4,25,YELLOWSTONE,25.0,3080.7575,5.0,1162.55,616.1515,,US-310
2023.0,N-4,A,0.521,C000004,A,C000004A,054+0.768,055+0.311,55.736,56.257,56-4B-006,nan,nan,A,5637.75,14.0,nan,40.0,283.0,67.0,2.0,nan,7.0,49.0,12.0,UPA,7105.0,10.0,112.0,64.0,64.0,83.0,83.0,nan,4.0,nan,YELLOWSTONE,JCT U-6901(1ST AVE)/JCT U-6904(MAIN ST),BEGIN 4 LANES/JCT U-6901(1ST AVE)/JCT U-6904(MAIN ST),5.036,1.079,C000004_054+0.768_055+0.311_N-4,54.768,55.311,,US-310,NI-NHS,4,44,YELLOWSTONE,44.0,2937.26775,8.8,640.653409090909,333.7804261363636,,US-310
2023.0,N-4,A,0.094,C000004,A,C000004A,054+0.674,054+0.768,55.642,55.736,56-4B-005,nan,nan,A,12093.0,18.0,nan,24.0,589.0,263.0,2.0,nan,2.0,50.0,22.0,UPA,7013.0,10.0,99.0,174.0,174.0,244.0,244.0,nan,2.0,nan,YELLOWSTONE,JCT U-6902/U-6903 (W/E RAILROAD ST),JCT U-6902/U-6903 (W/E RAILROAD ST),0.964,0.0,C000004_054+0.674_054+0.768_N-4,54.674,54.768,,US-310,NI-NHS,4,22,YELLOWSTONE,22.0,1136.742,4.4,2748.4090909090905,258.3504545454545,,US-310
2023.0,N-4,A,0.349,C000004,A,C000004A,054+0.141,054+0.490,55.109,55.458,56-4B-039,nan,nan,A,12586.0,18.0,nan,24.0,589.0,263.0,1.0,nan,2.0,48.0,21.0,UPA,7013.0,10.0,99.0,174.0,174.0,244.0,244.0,nan,4.0,nan,YELLOWSTONE,JCT I-90 ON RAMP LAUREL INTERCHANGE,JCT I-90 ON RAMP LAUREL INTERCHANGE,2.579,1.581,C000004_054+0.141_054+0.490_N-4,54.141,54.49,,US-310,NI-NHS,4,8,YELLOWSTONE,8.0,4392.514,1.6,7866.25,2745.32125,,US-310
2023.0,N-4,A,0.322,C000004,A,C000004A,053+0.798,054+0.141,54.787,55.109,56-4B-044,nan,nan,E,11328.75,71.0,nan,22.0,667.0,510.0,6.0,nan,2.0,55.0,42.0,UPA,7012.0,17.0,95.0,307.0,307.0,460.0,460.0,nan,4.0,nan,YELLOWSTONE,nan,nan,1.698,5.138,C000004_053+0.798_054+0.141_N-4,53.798,54.141,,US-310,NI-NHS,4,10,YELLOWSTONE,10.0,3647.8575,2.0,5664.375,1823.92875,,US-310
2023.0,N-4,A,0.813,C000004,A,C000004A,051+0.663,052+0.359,52.422,53.235,56-4-021,nan,nan,E,6683.0,71.0,nan,22.0,667.0,510.0,9.0,nan,3.0,88.0,67.0,RPA_45,7012.0,17.0,95.0,302.0,302.0,456.0,456.0,nan,4.0,nan,YELLOWSTONE,nan,nan,1.698,5.138,C000004_051+0.663_052+0.359_N-4,51.663,52.359,,US-310,NI-NHS,4,7,YELLOWSTONE,7.0,5433.2789999999995,1.4,4773.571428571428,3880.9135714285712,,US-310
2023.0,N-4,A,2.147,C000004,A,C000004A,049+0.759,051+0.663,50.275,52.422,56-4-021,nan,nan,E,6683.0,71.0,nan,22.0,667.0,510.0,9.0,nan,3.0,88.0,67.0,RPA_45,7012.0,17.0,95.0,302.0,302.0,456.0,456.0,nan,4.0,nan,CARBON,nan,nan,1.698,5.138,C000004_049+0.759_051+0.663_N-4,49.759,51.663,,US-310,NI-NHS,4,10,CARBON,10.0,14348.400999999998,2.0,3341.5,7174.200499999999,,US-310
2023.0,N-4,A,2.515,C000004,A,C000004A,045+0.842,048+0.063,45.956,48.471,05-1-030,nan,nan,A,5231.75,71.0,nan,22.0,667.0,510.0,10.0,nan,3.0,99.0,75.0,RPA_45,7012.0,17.0,95.0,301.0,301.0,455.0,455.0,nan,2.0,nan,CARBON,nan,BEGIN 2 LANES,1.997,3.533,C000004_045+0.842_048+0.063_N-4,45.842,48.063,,US-310,NI-NHS,4,13,CARBON,13.0,13157.851250000002,2.6,2012.2115384615383,5060.712019230769,,US-310
2023.0,N-4,A,3.195,C000004,A,C000004A,029+0.824,033+0.037,29.736,32.931,05-1-010,nan,nan,A,4129.0,49.0,nan,30.0,409.0,338.0,12.0,nan,7.0,101.0,84.0,RPA_45,3025.0,10.0,95.0,221.0,221.0,335.0,335.0,nan,2.0,nan,CARBON,nan,nan,3.968,4.233,C000004_029+0.824_033+0.037_N-4,29.824,33.037,,US-310,NI-NHS,4,18,CARBON,18.0,13192.154999999999,3.6,1146.9444444444443,3664.4874999999997,,US-310
