YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,S-280,A,3.884,C000280,A,C000280A,004+0.617,008+0.487,5.389,9.273,25-7A-005,nan,nan,A,1591.2,4.0,nan,2.0,95.0,81.0,2.0,nan,1.0,45.0,39.0,RMA_RMC_345,5127.0,19.0,136.0,44.0,44.0,78.0,78.0,nan,2.0,nan,LEWIS AND CLARK,nan,nan,1.042,5.208,C000280_004+0.617_008+0.487_S-280,4.617,8.487,YORK RD,,Urban,5,18,LEWIS AND CLARK,18.0,6180.2208,3.6,442.0,1716.728,,YORK RD
2023.0,S-280,A,0.556,C000280,A,C000280A,014+0.708,015+0.442,15.504,16.06,25-7A-007,nan,nan,A,552.3333333333334,4.0,nan,2.0,95.0,81.0,5.0,nan,2.0,115.0,98.0,RMA_RMC_345,5127.0,19.0,136.0,43.0,43.0,77.0,77.0,nan,2.0,nan,LEWIS AND CLARK,nan,nan,0.0,0.0,C000280_014+0.708_015+0.442_S-280,14.708,15.442,YORK RD,,Urban,3,1,LEWIS AND CLARK,1.0,307.0973333333334,0.2,2761.6666666666665,1535.486666666667,,YORK RD
2023.0,U-5823,A,1.67,C000280,A,C000280A,000+0.000,000+1.670,0.0,1.67,25-7B-003,nan,nan,A,6170.0,15.0,nan,14.0,145.0,21.0,2.0,nan,2.0,24.0,3.0,UMA_UC,5381.0,11.0,111.0,36.0,36.0,50.0,50.0,nan,2.0,nan,LEWIS AND CLARK,JCT U-5818/5823 CANYON FERRY/YORK RD,ENT U-5823A/,0.0,0.0,C000280_000+0.000_000+1.670_U-5823,0.0,1.67,YORK RD,,Urban,1,48,LEWIS AND CLARK,48.0,10303.9,9.6,642.7083333333334,1073.3229166666667,,YORK RD
2023.0,S-280,A,0.285,C000280,A,C000280A,004+0.332,004+0.617,5.104,5.389,25-7A-081,nan,nan,A,2569.6,15.0,nan,14.0,145.0,21.0,5.0,nan,5.0,47.0,7.0,RMA_RMC_345,5381.0,11.0,111.0,35.0,35.0,49.0,49.0,nan,2.0,nan,LEWIS AND CLARK,nan,nan,0.0,0.0,C000280_004+0.332_004+0.617_S-280,4.332,4.617,YORK RD,,Urban,5,3,LEWIS AND CLARK,3.0,732.3359999999999,0.6,4282.666666666667,1220.56,,YORK RD
2023.0,U-5823,A,0.256,C000280,A,C000280A,003+0.347,003+0.603,4.142,4.398,25-7B-059,nan,nan,A,3491.0,15.0,nan,14.0,145.0,21.0,4.0,nan,4.0,42.0,6.0,UMA_UC,5381.0,11.0,111.0,35.0,35.0,49.0,49.0,nan,2.0,nan,LEWIS AND CLARK,nan,nan,0.0,0.0,C000280_003+0.347_003+0.603_U-5823,3.347,3.6029999999999998,YORK RD,,Urban,1,6,LEWIS AND CLARK,6.0,893.696,1.2,2909.166666666667,744.7466666666667,,YORK RD
2023.0,U-5823,A,0.766,C000280,A,C000280A,002+0.592,003+0.347,3.376,4.142,25-7B-058,nan,nan,A,4196.0,15.0,nan,14.0,145.0,21.0,4.0,nan,3.0,35.0,5.0,UMA_UC,5381.0,11.0,111.0,36.0,36.0,49.0,49.0,nan,2.0,nan,LEWIS AND CLARK,nan,nan,0.0,0.0,C000280_002+0.592_003+0.347_U-5823,2.592,3.347,YORK RD,,Urban,1,7,LEWIS AND CLARK,7.0,3214.136,1.4,2997.1428571428573,2295.8114285714287,,YORK RD
2023.0,U-5823,A,0.682,C000280,A,C000280A,001+0.908,002+0.592,2.694,3.376,25-7B-057,nan,nan,A,3773.0,15.0,nan,14.0,145.0,21.0,4.0,nan,4.0,38.0,6.0,UMA_UC,5381.0,11.0,111.0,35.0,35.0,49.0,49.0,nan,2.0,nan,LEWIS AND CLARK,nan,nan,0.0,0.0,C000280_001+0.908_002+0.592_U-5823,1.908,2.592,YORK RD,,Urban,1,9,LEWIS AND CLARK,9.0,2573.186,1.8,2096.111111111111,1429.5477777777778,,YORK RD
2023.0,S-280,A,0.706,C000280,A,C000280A,003+0.603,004+0.332,4.398,5.104,25-7B-060,nan,nan,A,3406.75,15.0,nan,14.0,145.0,21.0,5.0,nan,4.0,44.0,6.0,UMA_UC,5381.0,11.0,111.0,35.0,35.0,49.0,49.0,nan,2.0,nan,LEWIS AND CLARK,nan,ENT S-280A,0.0,0.0,C000280_003+0.603_004+0.332_S-280,3.6029999999999998,4.332,YORK RD,,Urban,4,6,LEWIS AND CLARK,6.0,2405.1655,1.2,2838.9583333333335,2004.3045833333335,,YORK RD
2023.0,S-280,A,6.232,C000280,A,C000280A,008+0.487,014+0.708,9.273,15.504,25-7A-006,nan,nan,A,486.6,4.0,nan,2.0,95.0,81.0,7.0,nan,4.0,172.0,147.0,RMA_RMC_345,5127.0,19.0,136.0,43.0,43.0,77.0,77.0,nan,2.0,nan,LEWIS AND CLARK,nan,nan,0.0,0.0,C000280_008+0.487_014+0.708_S-280,8.487,14.708,YORK RD,,Urban,5,33,LEWIS AND CLARK,33.0,3032.4912000000004,6.6,73.72727272727273,459.46836363636373,,YORK RD
2023.0,U-5823,A,1.024,C000280,A,C000280A,000+1.670,001+0.908,1.67,2.694,25-7B-004,nan,nan,A,5361.0,15.0,nan,14.0,145.0,21.0,3.0,nan,3.0,27.0,4.0,UMA_UC,5381.0,11.0,111.0,36.0,36.0,50.0,50.0,nan,2.0,nan,LEWIS AND CLARK,nan,nan,0.0,0.0,C000280_000+1.670_001+0.908_U-5823,1.67,1.908,YORK RD,,Urban,1,8,LEWIS AND CLARK,8.0,5489.664,1.6,3350.625,3431.0399999999995,,YORK RD
