CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000023A,06-5-002,109+0.488,130+0.025,N-23,37,20.556,2055.0,42242.58,,CARTER,MAIN ST,MT-59,NI-NHS,7.4,277.7027027027027,5708.4567567567565
C000023A,06-6-006,130+0.025,136+0.925,N-23,1,6.896,2448.5,16884.856,,CARTER,MAIN ST,MT-59,NI-NHS,0.2,12242.5,84424.28
C000023A,06-6-006,136+0.925,137+0.288,N-23,3,0.357,2448.5,874.1144999999999,,CARTER,MAIN ST,MT-59,NI-NHS,0.6,4080.8333333333335,1456.8574999999998
C000023A,06-6-007,137+0.288,139+0.862,N-23,3,2.571,1920.3333333333333,4937.177000000001,,CARTER,MAIN ST,MT-59,NI-NHS,0.6,3200.5555555555557,8228.628333333334
C000023A,09-2-006,003+0.100,008+0.953,N-23,11,5.847,1606.0,9390.282,,CUSTER,MAIN ST,MT-59,NI-NHS,2.2,729.9999999999999,4268.31
C000023A,09-2-007,008+0.953,013+0.177,N-23,6,3.949,1023.5,4041.8015,,CUSTER,MAIN ST,MT-59,NI-NHS,1.2,852.9166666666667,3368.1679166666668
C000023A,09-2A-021,000+0.000,000+0.370,N-23,11,0.37,6505.2,2406.924,,CUSTER,MAIN ST,MT-59,NI-NHS,2.2,2956.9090909090905,1094.0563636363636
C000023A,09-2A-022,000+0.370,001+0.195,N-23,10,0.498,6220.0,3097.56,,CUSTER,MAIN ST,MT-59,NI-NHS,2.0,3110.0,1548.78
C000023A,09-2A-023,001+0.582,001+0.707,N-23,3,0.125,10049.75,1256.21875,,CUSTER,MAIN ST,MT-59,NI-NHS,0.6,16749.583333333336,2093.697916666667
C000023A,09-2A-023,001+0.195,001+0.582,N-23,8,0.388,10049.75,3899.303,,CUSTER,MAIN ST,MT-59,NI-NHS,1.6,6281.09375,2437.064375
C000023A,09-2A-024,001+0.955,002+0.066,N-23,5,0.24,8517.0,2044.08,,CUSTER,MAIN ST,MT-59,NI-NHS,1.0,8517.0,2044.08
C000023A,09-2A-024,001+0.707,001+0.955,N-23,5,0.248,8207.0,2035.336,,CUSTER,MAIN ST,MT-59,NI-NHS,1.0,8207.0,2035.336
C000023A,09-2A-025,002+0.066,003+0.100,N-23,12,1.039,3832.0,3981.448,,CUSTER,MAIN ST,MT-59,NI-NHS,2.4,1596.6666666666667,1658.9366666666667
C000023A,38-2-003,076+0.260,078+0.861,N-23,10,2.67,2276.75,6078.9225,,POWDER RIVER,MAIN ST,MT-59,NI-NHS,2.0,1138.375,3039.46125
C000023A,38-2-005,083+0.302,086+0.047,N-23,3,2.768,2584.0,7152.512,,POWDER RIVER,MAIN ST,MT-59,NI-NHS,0.6,4306.666666666667,11920.853333333333
C000023A,38-2-012,078+0.861,079+0.346,N-23,0,0.496,3856.25,1912.7,,POWDER RIVER,MAIN ST,MT-59,NI-NHS,0.0,,
C000023A,38-2-013,079+0.346,079+0.904,N-23,2,0.558,3661.75,2043.2565,,POWDER RIVER,MAIN ST,MT-59,NI-NHS,0.4,9154.375,5108.141250000001
C000023A,38-5-003,086+0.047,101+0.596,N-23,45,15.442,2528.5,39045.097,,POWDER RIVER,MAIN ST,MT-59,NI-NHS,9.0,280.94444444444446,4338.3441111111115
C000023A,38-5-003,101+0.596,102+0.030,N-23,0,0.43,2371.0,1019.53,,CARTER,MAIN ST,MT-59,NI-NHS,0.0,,
C000023A,38-5-003,102+0.030,109+0.488,N-23,18,7.454,2371.0,17673.434,,CARTER,MAIN ST,MT-59,NI-NHS,3.6,658.6111111111111,4909.287222222222
C000023A,W-204,079+0.904,080+0.803,N-23,3,0.841,2442.5,2054.1425,,POWDER RIVER,MAIN ST,MT-59,NI-NHS,0.6,4070.8333333333335,3423.570833333333
C000023A,W-204,080+0.803,083+0.302,N-23,2,2.552,2442.5,6233.26,,POWDER RIVER,MAIN ST,MT-59,NI-NHS,0.4,6106.25,15583.15
