CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000006A,45-1-001,003+0.717,010+0.438,P-6,21,6.7,1275.25,8544.175000000001,,SANDERS,,MT-200,Primary,4.2,303.63095238095235,2034.3273809523812
C000006A,45-1-002,010+0.438,027+0.968,P-6,68,17.531,1480.75,25959.02825,,SANDERS,,MT-200,Primary,13.6,108.87867647058825,1908.7520772058824
C000006A,45-1-005,000+0.000,003+0.717,P-6,12,3.71,1191.75,4421.3925,,SANDERS,,MT-200,Primary,2.4,496.5625,1842.246875
C000006A,45-2-001,027+0.968,037+0.125,P-6,51,9.149,2045.75,18716.56675,,SANDERS,,MT-200,Primary,10.2,200.5637254901961,1834.957524509804
C000006A,45-2-002,037+0.125,047+0.624,P-6,72,10.486,1842.75,19323.076500000003,,SANDERS,,MT-200,Primary,14.4,127.96875,1341.8803125000002
C000006A,45-2-003,047+0.624,049+0.122,P-6,7,1.494,2403.25,3590.4555,,SANDERS,,MT-200,Primary,1.4,1716.607142857143,2564.611071428571
C000006A,45-2-003,049+0.122,049+0.567,P-6,8,0.445,2403.25,1069.44625,,SANDERS,,MT-200,Primary,1.6,1502.03125,668.40390625
C000006A,45-4-001,053+0.175,056+0.018,P-6,16,2.838,2408.75,6836.0325,,SANDERS,,MT-200,Primary,3.2,752.734375,2136.26015625
C000006A,45-4-002,056+0.018,068+0.483,P-6,54,12.486,2209.0,27581.574,,SANDERS,,MT-200,Primary,10.8,204.537037037037,2553.8494444444445
C000006A,45-4-003,068+0.483,073+0.869,P-6,45,5.409,2447.25,13237.17525,,SANDERS,,MT-200,Primary,9.0,271.9166666666667,1470.79725
C000006A,45-4-004,076+0.850,082+0.452,P-6,50,5.733,3407.25,19533.76425,,SANDERS,,MT-200,Primary,10.0,340.725,1953.376425
C000006A,45-4-009,049+0.567,050+0.729,P-6,9,1.118,4605.0,5148.39,,SANDERS,,MT-200,Primary,1.8,2558.3333333333335,2860.2166666666667
C000006A,45-4-010,050+0.729,051+0.225,P-6,5,0.475,5920.5,2812.2374999999997,,SANDERS,,MT-200,Primary,1.0,5920.5,2812.2374999999997
C000006A,45-4-011,051+0.225,053+0.175,P-6,10,2.036,3687.75,7508.259,,SANDERS,,MT-200,Primary,2.0,1843.875,3754.1295
C000006A,45-4-017,073+0.869,075+0.703,P-6,8,1.825,4182.25,7632.60625,,SANDERS,,MT-200,Primary,1.6,2613.90625,4770.37890625
C000006A,45-4-018,075+0.703,076+0.348,P-6,0,0.453,4917.5,2227.6275,,SANDERS,,MT-200,Primary,0.0,,
C000006A,45-4-019,076+0.348,076+0.850,P-6,2,0.503,4337.5,2181.7625,,SANDERS,,MT-200,Primary,0.4,10843.75,5454.406249999999
C000006A,45-6-002,085+0.035,095+0.623,P-6,60,10.581,1991.0,21066.771,,SANDERS,,MT-200,Primary,12.0,165.91666666666666,1755.56425
C000006A,45-6-003,095+0.623,105+0.839,P-6,46,10.187,1949.25,19857.009749999997,,SANDERS,,MT-200,Primary,9.2,211.87500000000003,2158.370625
C000006A,45-6-004,105+0.839,110+0.102,P-6,11,3.932,2251.5,8852.898,,SANDERS,,MT-200,Primary,2.2,1023.4090909090908,4024.0445454545447
C000006A,45-6-005,110+0.102,115+0.229,P-6,30,5.113,2003.0,10241.339000000002,,SANDERS,,MT-200,Primary,6.0,333.8333333333333,1706.8898333333336
C000006A,45-6-005,115+0.229,116+0.151,P-6,2,0.919,2036.6666666666667,1871.6966666666667,,LAKE,,MT-200,Primary,0.4,5091.666666666667,4679.241666666667
C000006A,W-118,082+0.452,085+0.035,P-6,26,2.586,2870.0,7421.82,,SANDERS,,MT-200,Primary,5.2,551.9230769230769,1427.2730769230768
