CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,site_id_sort_key
C000028A,34-5-003,001+0.643,003+0.649,P-28,3,2.017,1014.5,2046.2465,,PARK,,US-212,Primary,0.6,1690.8333333333337,3410.410833333334,"['', 34, '-', 5, '-', 3, '']"
C000028A,05-3-003,061+0.276,068+0.296,P-28,12,7.032,1285.25,9037.878,,CARBON,,US-212,Primary,2.4,535.5208333333334,3765.7825,"['', 5, '-', 3, '-', 3, '']"
C000028A,05-3-019,068+0.296,068+0.624,P-28,0,0.328,3006.25,986.05,,CARBON,,US-212,Primary,0.0,,,"['', 5, '-', 3, '-', 19, '']"
C000028A,05-3-019,068+0.624,068+0.909,P-28,0,0.285,3006.25,856.7812499999999,,CARBON,,US-212,Primary,0.0,,,"['', 5, '-', 3, '-', 19, '']"
C000028A,05-3-018,068+0.909,069+0.466,P-28,0,0.51,3490.5,1780.155,,CARBON,,US-212,Primary,0.0,,,"['', 5, '-', 3, '-', 18, '']"
C000028A,05-3-017,069+0.466,069+0.875,P-28,0,0.409,4720.0,1930.48,,CARBON,,US-212,Primary,0.0,,,"['', 5, '-', 3, '-', 17, '']"
C000028A,05-3-016,069+0.875,070+0.205,P-28,0,0.288,5713.0,1645.3439999999998,,CARBON,,US-212,Primary,0.0,,,"['', 5, '-', 3, '-', 16, '']"
C000028A,A-058,070+0.205,076+0.177,P-28,37,5.981,3673.0,21968.213,,CARBON,,US-212,Primary,7.4,496.35135135135135,2968.6774324324324,"['A-', 58, '']"
C000028A,05-1-005,076+0.177,090+0.771,P-28,160,14.587,2417.2,35259.69639999999,,CARBON,,US-212,Primary,32.0,75.5375,1101.8655124999998,"['', 5, '-', 1, '-', 5, '']"
C000028A,05-1-004,090+0.771,094+0.946,P-28,40,4.123,3196.75,13180.20025,,CARBON,,US-212,Primary,8.0,399.59375,1647.52503125,"['', 5, '-', 1, '-', 4, '']"
C000028A,05-1-014,094+0.946,095+0.437,P-28,0,0.498,3470.75,1728.4335,,CARBON,,US-212,Primary,0.0,,,"['', 5, '-', 1, '-', 14, '']"
C000028A,05-1-013,095+0.437,095+0.848,P-28,0,0.411,3666.5,1506.9315,,CARBON,,US-212,Primary,0.0,,,"['', 5, '-', 1, '-', 13, '']"
C000028A,05-1-012,095+0.848,099+0.582,P-28,30,3.7,3707.25,13716.825,,CARBON,,US-212,Primary,6.0,617.875,2286.1375000000003,"['', 5, '-', 1, '-', 12, '']"
C000028A,05-1-003,099+0.582,101+0.705,P-28,15,2.2,3997.3333333333335,8794.133333333335,,CARBON,,US-212,Primary,3.0,1332.4444444444446,2931.377777777778,"['', 5, '-', 1, '-', 3, '']"
