YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,I-15,A,1.202,C000015,A,C000015A,277+0.545,278+0.765,277.019,278.222,07-2A-002,,,E,14191.0,38.0,,46.0,888.0,764.0,3.0,,3.0,63.0,54.0,UI,1013.0,10.0,93.0,514.0,514.0,772.0,772.0,,2.0,,CASCADE,"JCT OFF RAMP GORE HILL INTERCHANGE, EXIT 277","JCT OFF RAMP GORE HILL INTERCHANGE, EXIT 277",1.986,11.552,C000015_277+0.545_278+0.765_I-15,,I-15,Interstate,1,31,CASCADE,31.0,17057.582,6.2,2288.8709677419356,2751.222903225806,,I-15
2023.0,I-15,A,1.534,C000015,A,C000015A,278+0.765,280+0.247,278.222,279.755,07-2A-003,,,E,10507.0,28.0,,44.0,1105.0,985.0,3.0,,4.0,105.0,94.0,UI,2021.0,10.0,105.0,678.0,678.0,1054.0,1054.0,,2.0,,CASCADE,"JCT OFF RAMP 10TH AVE S INTERCHANGE, EXIT 278","JCT OFF RAMP 10TH AVE S INTERCHANGE, EXIT 278",2.17,8.457,C000015_278+0.765_280+0.247_I-15,,I-15,Interstate,1,27,CASCADE,27.0,16117.738,5.4,1945.7407407407409,2984.7662962962963,,I-15
2023.0,I-15,A,2.522,C000015,A,C000015A,280+0.247,282+0.794,279.755,282.277,07-2A-004,,,A,7121.0,28.0,,44.0,1105.0,985.0,4.0,,6.0,155.0,138.0,UI,2021.0,10.0,105.0,675.0,675.0,1051.0,1051.0,,2.0,,CASCADE,"JCT OFF RAMP CENTRAL AVE INTERCHANGE, EXIT 280","JCT OFF RAMP CENTRAL AVE INTERCHANGE, EXIT 280",2.141,9.48,C000015_280+0.247_282+0.794_I-15,,I-15,Interstate,1,42,CASCADE,42.0,17959.162,8.4,847.7380952380952,2137.995476190476,,I-15
2023.0,I-15,A,3.451,C000015,A,C000015A,282+0.794,286+0.413,282.277,285.729,07-2A-005,,,A,9962.25,28.0,,44.0,1105.0,985.0,3.0,,4.0,106.0,94.0,UI,2021.0,10.0,105.0,678.0,678.0,1054.0,1054.0,,2.0,,CASCADE,JCT ON RAMP EMERSON INTERCHANGE,JCT ON RAMP EMERSON INTERCHANGE,2.17,8.457,C000015_282+0.794_286+0.413_I-15,,I-15,Interstate,4,73,CASCADE,73.0,34379.72475,14.6,682.3458904109589,2354.775667808219,,I-15
2023.0,I-15,A,3.959,C000015,A,C000015A,286+0.413,290+0.374,285.729,289.688,A-009,Yes,,A,9109.0,28.0,,44.0,1105.0,985.0,3.0,,5.0,121.0,108.0,UI,2021.0,10.0,105.0,677.0,677.0,1053.0,1053.0,,2.0,,CASCADE,"JCT OFF RAMP MANCHESTER INTERCHANGE, EXIT 286","JCT OFF RAMP MANCHESTER INTERCHANGE, EXIT 286",2.199,7.435,C000015_286+0.413_290+0.374_I-15,,I-15,Interstate,1,39,CASCADE,39.0,36062.531,7.8,1167.820512820513,4623.401410256411,,I-15
2023.0,I-15,A,7.202,C000015,A,C000015A,290+0.374,297+0.584,289.688,296.889,07-1-006,,,E,4051.0,23.0,,26.0,920.0,841.0,6.0,,6.0,227.0,208.0,RURAL OUTER INTERSTATE,1016.0,10.0,106.0,552.0,552.0,853.0,853.0,,2.0,,CASCADE,"JCT OFF RAMP VAUGHN INTERCHANGE, EXIT 290","JCT OFF RAMP VAUGHN INTERCHANGE, EXIT 290",3.316,20.09,C000015_290+0.374_297+0.584_I-15,,I-15,Interstate,1,44,CASCADE,44.0,29175.302,8.8,460.34090909090907,3315.375227272727,,I-15
2023.0,I-15,A,3.826,C000015,A,C000015A,297+0.584,301+0.417,296.889,300.715,07-1-006,,,E,3827.75,23.0,,26.0,920.0,841.0,6.0,,6.0,227.0,208.0,RURAL OUTER INTERSTATE,1016.0,10.0,106.0,552.0,552.0,853.0,853.0,,2.0,,CASCADE,"JCT OFF RAMP GORDON INTERCHANGE, EXIT 297","JCT OFF RAMP GORDON INTERCHANGE, EXIT 297",3.316,20.09,C000015_297+0.584_301+0.417_I-15,,I-15,Interstate,4,17,CASCADE,17.0,14644.9715,3.4,1125.8088235294117,4307.344558823529,,I-15
2023.0,I-15,A,0.944,C000015,A,C000015A,301+0.417,302+0.356,300.715,301.659,07-1-006,,,E,3827.75,23.0,,26.0,920.0,841.0,6.0,,6.0,227.0,208.0,RURAL OUTER INTERSTATE,1016.0,10.0,106.0,552.0,552.0,853.0,853.0,,2.0,,TETON,,,3.316,20.09,C000015_301+0.417_302+0.356_I-15,,I-15,Interstate,4,3,TETON,3.0,3613.396,0.6,6379.583333333334,6022.326666666667,,I-15
2023.0,I-15,A,10.14,C000015,A,C000015A,302+0.356,313+0.018,301.659,311.799,50-4-001,,,A,3937.0,23.0,,26.0,920.0,841.0,6.0,,7.0,234.0,214.0,RURAL OUTER INTERSTATE,1016.0,10.0,106.0,551.0,551.0,853.0,853.0,,2.0,,TETON,"JCT OFF RAMP POWER INTERCHANGE, EXIT 302","JCT OFF RAMP POWER INTERCHANGE, EXIT 302",3.316,20.09,C000015_302+0.356_313+0.018_I-15,,I-15,Interstate,1,34,TETON,34.0,39921.18,6.8,578.9705882352941,5870.761764705882,,I-15
2023.0,I-15,A,7.8,C000015,A,C000015A,313+0.018,320+0.827,311.799,319.599,50-4-002,,,E,3405.0,23.0,,26.0,920.0,841.0,7.0,,8.0,270.0,247.0,RURAL OUTER INTERSTATE,1016.0,10.0,106.0,551.0,551.0,853.0,853.0,,2.0,,TETON,"JCT OFF RAMP DUTTON INTERCHANGE, EXIT 313","JCT OFF RAMP DUTTON INTERCHANGE, EXIT 313",4.217,20.181,C000015_313+0.018_320+0.827_I-15,,I-15,Interstate,1,54,TETON,54.0,26559.0,10.8,315.27777777777777,2459.1666666666665,,I-15
