YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,I-90,A,0.139,C000090,A,C000090A,000+0.000,000+0.139,0.0,0.139,W-146,Yes,,A,7751.25,53.0,,69.0,2349.0,1960.0,7.0,,9.0,300.0,251.0,RURAL OUTER INTERSTATE,1019.0,10.0,148.0,1276.0,1276.0,1929.0,1929.0,,2.0,,MINERAL,,ENT I-90A,5.028,9.489,C000090_000+0.000_000+0.139_I-90,,I-90,Interstate,4,5,MINERAL,5.0,1077.4237500000002,1.0,7751.25,1077.4237500000002,,I-90
2023.0,I-90,A,5.176,C000090,A,C000090A,000+0.139,005+0.491,0.139,5.315,W-146,Yes,,A,7751.25,53.0,,69.0,2349.0,1960.0,7.0,,9.0,300.0,251.0,RURAL OUTER INTERSTATE,1019.0,10.0,148.0,1276.0,1276.0,1929.0,1929.0,,2.0,,MINERAL,JCT ON RAMP LOOKOUT PASS INTERCHANGE,JCT ON RAMP LOOKOUT PASS INTERCHANGE,5.028,9.489,C000090_000+0.139_005+0.491_I-90,,I-90,Interstate,4,162,MINERAL,162.0,40120.47,32.4,239.23611111111111,1238.2861111111113,,I-90
2023.0,I-90,A,4.876,C000090,A,C000090A,005+0.491,010+0.301,5.315,10.19,W-146,Yes,,A,7751.25,53.0,,69.0,2349.0,1960.0,7.0,,9.0,300.0,251.0,RURAL OUTER INTERSTATE,1019.0,10.0,148.0,1276.0,1276.0,1929.0,1929.0,,2.0,,MINERAL,"JCT OFF RAMP TAFT INTERCHANGE, EXIT 5","JCT OFF RAMP TAFT INTERCHANGE, EXIT 5",5.028,9.489,C000090_005+0.491_010+0.301_I-90,,I-90,Interstate,4,73,MINERAL,73.0,37795.095,14.6,530.9075342465753,2588.7051369863016,,I-90
2023.0,I-90,A,5.656,C000090,A,C000090A,010+0.301,016+0.022,10.19,15.847,31-1-002,,,E,7448.0,53.0,,69.0,2349.0,1960.0,7.0,,9.0,315.0,263.0,RURAL OUTER INTERSTATE,1019.0,10.0,148.0,1297.0,1297.0,1997.0,1997.0,,2.0,,MINERAL,"JCT OFF RAMP SALTESE INTERCHANGE, EXIT 10","JCT OFF RAMP SALTESE INTERCHANGE, EXIT 10",2.849,16.492,C000090_010+0.301_016+0.022_I-90,,I-90,Interstate,1,108,MINERAL,108.0,42125.888,21.6,344.8148148148148,1950.2725925925924,,I-90
2023.0,I-90,A,2.681,C000090,A,C000090A,016+0.022,018+0.688,15.847,18.527,31-1-002,,,E,7867.5,53.0,,69.0,2349.0,1960.0,7.0,,9.0,315.0,263.0,RURAL OUTER INTERSTATE,1019.0,10.0,148.0,1297.0,1297.0,1997.0,1997.0,,2.0,,MINERAL,"JCT OFF RAMP HAUGAN INTERCHANGE, EXIT 16","JCT OFF RAMP HAUGAN INTERCHANGE, EXIT 16",2.849,16.492,C000090_016+0.022_018+0.688_I-90,,I-90,Interstate,4,48,MINERAL,48.0,21092.7675,9.6,819.53125,2197.16328125,,I-90
2023.0,I-90,A,3.062,C000090,A,C000090A,018+0.688,021+0.785,18.527,21.589,31-1-002,,,E,7867.5,53.0,,69.0,2349.0,1960.0,7.0,,9.0,315.0,263.0,RURAL OUTER INTERSTATE,1019.0,10.0,148.0,1297.0,1297.0,1997.0,1997.0,,2.0,,MINERAL,"JCT OFF RAMP DE BORGIA INTERCHANGE, EXIT 18","JCT OFF RAMP DE BORGIA INTERCHANGE, EXIT 18",2.849,16.492,C000090_018+0.688_021+0.785_I-90,,I-90,Interstate,4,54,MINERAL,54.0,24090.285,10.8,728.4722222222222,2230.581944444444,,I-90
2023.0,I-90,A,3.38,C000090,A,C000090A,021+0.785,025+0.133,21.589,24.969,31-1-002,,,E,7867.5,53.0,,69.0,2349.0,1960.0,7.0,,9.0,315.0,263.0,RURAL OUTER INTERSTATE,1019.0,10.0,148.0,1297.0,1297.0,1997.0,1997.0,,2.0,,MINERAL,"JCT OFF RAMP HENDERSON INTERCHANGE, EXIT 22","JCT OFF RAMP HENDERSON INTERCHANGE, EXIT 22",2.849,16.492,C000090_021+0.785_025+0.133_I-90,,I-90,Interstate,4,93,MINERAL,93.0,26592.15,18.6,422.9838709677419,1429.6854838709676,,I-90
2023.0,I-90,A,1.261,C000090,A,C000090A,025+0.133,026+0.394,24.969,26.23,W-137,Yes,,A,8111.0,53.0,,69.0,2349.0,1960.0,7.0,,9.0,290.0,242.0,RURAL OUTER INTERSTATE,1019.0,10.0,148.0,1278.0,1278.0,1987.0,1987.0,,2.0,,MINERAL,"JCT OFF RAMP DREXEL INTERCHANGE, EXIT 25","JCT OFF RAMP DREXEL INTERCHANGE, EXIT 25",6.049,11.366,C000090_025+0.133_026+0.394_I-90,,I-90,Interstate,1,29,MINERAL,29.0,10227.971,5.8,1398.448275862069,1763.443275862069,,I-90
2023.0,I-90,A,3.399,C000090,A,C000090A,026+0.394,029+0.777,26.23,29.63,W-137,Yes,,A,7021.0,53.0,,69.0,2349.0,1960.0,7.0,,9.0,290.0,242.0,RURAL OUTER INTERSTATE,1019.0,10.0,148.0,1278.0,1278.0,1987.0,1987.0,,2.0,,MINERAL,"JCT OFF RAMP WARD CR INTERCHANGE, EXIT 26","JCT OFF RAMP WARD CR INTERCHANGE, EXIT 26",6.049,11.366,C000090_026+0.394_029+0.777_I-90,,I-90,Interstate,4,109,MINERAL,109.0,23864.379,21.8,322.0642201834862,1094.6962844036698,,I-90
2023.0,I-90,A,3.368,C000090,A,C000090A,029+0.777,033+0.158,29.63,32.997,W-137,Yes,,A,7021.0,53.0,,69.0,2349.0,1960.0,7.0,,9.0,290.0,242.0,RURAL OUTER INTERSTATE,1019.0,10.0,148.0,1278.0,1278.0,1987.0,1987.0,,2.0,,MINERAL,"JCT OFF RAMP TWO MILE INTERCHANGE, EXIT 30","JCT OFF RAMP TWO MILE INTERCHANGE, EXIT 30",6.049,11.366,C000090_029+0.777_033+0.158_I-90,,I-90,Interstate,4,104,MINERAL,104.0,23646.728,20.8,337.5480769230769,1136.861923076923,,I-90
2023.0,I-90,A,3.712,C000090,A,C000090A,033+0.158,037+0.029,32.997,36.709,31-1-004,,,E,7117.0,41.0,,10.0,2154.0,1991.0,6.0,,1.0,303.0,280.0,RURAL OUTER INTERSTATE,1020.0,10.0,145.0,1272.0,1272.0,1970.0,1970.0,,2.0,,MINERAL,"JCT OFF RAMP ST REGIS INTERCHANGE, EXIT 33","JCT OFF RAMP ST REGIS INTERCHANGE, EXIT 33",3.22,25.254,C000090_033+0.158_037+0.029_I-90,,I-90,Interstate,1,70,MINERAL,70.0,26418.304,14.0,508.3571428571428,1887.0217142857143,,I-90
2023.0,I-90,A,5.278,C000090,A,C000090A,037+0.029,042+0.792,36.709,41.987,31-1-004,,,E,7097.25,41.0,,10.0,2154.0,1991.0,6.0,,1.0,303.0,280.0,RURAL OUTER INTERSTATE,1020.0,10.0,145.0,1272.0,1272.0,1970.0,1970.0,,2.0,,MINERAL,"JCT OFF RAMP SLOWAY INTERCHANGE, EXIT 37","JCT OFF RAMP SLOWAY INTERCHANGE, EXIT 37",3.22,25.254,C000090_037+0.029_042+0.792_I-90,,I-90,Interstate,4,73,MINERAL,73.0,37459.2855,14.6,486.11301369863014,2565.70448630137,,I-90
2023.0,I-90,A,4.556,C000090,A,C000090A,042+0.792,047+0.321,41.987,46.542,A-030,Yes,,A,7437.0,41.0,,10.0,2154.0,1991.0,6.0,,1.0,290.0,268.0,RURAL OUTER INTERSTATE,1020.0,10.0,145.0,1272.0,1272.0,1970.0,1970.0,,2.0,,MINERAL,"JCT OFF RAMP DRY CREEK INTERCHANGE, EXIT 43","JCT OFF RAMP DRY CREEK INTERCHANGE, EXIT 43",1.39,11.77,C000090_042+0.792_047+0.321_I-90,,I-90,Interstate,1,89,MINERAL,89.0,33882.972,17.8,417.80898876404495,1903.537752808989,,I-90
2023.0,I-90,A,7.89,C000090,A,C000090A,047+0.321,055+0.150,46.542,54.432,31-2-006,,,E,7649.0,38.0,,80.0,2043.0,1859.0,5.0,,10.0,267.0,243.0,RURAL OUTER INTERSTATE,1021.0,10.0,102.0,1176.0,1176.0,1800.0,1800.0,,2.0,,MINERAL,"JCT OFF RAMP SUPERIOR INTERCHANGE, EXIT 47","JCT OFF RAMP SUPERIOR INTERCHANGE, EXIT 47",3.099,17.521,C000090_047+0.321_055+0.150_I-90,,I-90,Interstate,1,135,MINERAL,135.0,60350.61,27.0,283.2962962962963,2235.2077777777777,,I-90
2023.0,I-90,A,6.32,C000090,A,C000090A,055+0.150,061+0.565,54.432,60.752,31-2-006,,,E,7346.0,38.0,,80.0,2043.0,1859.0,5.0,,10.0,267.0,243.0,RURAL OUTER INTERSTATE,1021.0,10.0,102.0,1176.0,1176.0,1800.0,1800.0,,2.0,,MINERAL,"JCT OFF RAMP LOZEAU INTERCHANGE, EXIT 55","JCT OFF RAMP LOZEAU INTERCHANGE, EXIT 55",3.099,17.521,C000090_055+0.150_061+0.565_I-90,,I-90,Interstate,4,107,MINERAL,107.0,46426.72,21.4,343.2710280373832,2169.472897196262,,I-90
2023.0,I-90,A,3.349,C000090,A,C000090A,061+0.565,064+0.910,60.752,64.101,31-2-002,,,E,8176.0,38.0,,80.0,2043.0,1859.0,5.0,,10.0,250.0,227.0,RURAL OUTER INTERSTATE,1021.0,10.0,102.0,1177.0,1177.0,1800.0,1800.0,,2.0,,MINERAL,"JCT OFF RAMP TARKIO INTERCHANGE, EXIT 61","JCT OFF RAMP TARKIO INTERCHANGE, EXIT 61",3.099,17.521,C000090_061+0.565_064+0.910_I-90,,I-90,Interstate,1,56,MINERAL,56.0,27381.424000000003,11.2,730.0,2444.7700000000004,,I-90
2023.0,I-90,A,1.696,C000090,A,C000090A,064+0.910,066+0.549,64.101,65.796,31-2-002,,,E,7740.0,38.0,,80.0,2043.0,1859.0,5.0,,10.0,250.0,227.0,RURAL OUTER INTERSTATE,1021.0,10.0,102.0,1177.0,1177.0,1800.0,1800.0,,2.0,,MINERAL,"JCT OFF RAMP CRYSTAL SPRINGS INTERCHANGE, EXIT 65","JCT OFF RAMP CRYSTAL SPRINGS INTERCHANGE, EXIT 65",3.099,17.521,C000090_064+0.910_066+0.549_I-90,,I-90,Interstate,4,32,MINERAL,32.0,13127.04,6.4,1209.375,2051.1,,I-90
2023.0,I-90,A,3.891,C000090,A,C000090A,066+0.549,070+0.373,65.796,69.688,31-2-013,,,E,9170.0,38.0,,80.0,2043.0,1859.0,4.0,,9.0,223.0,203.0,RURAL OUTER INTERSTATE,1021.0,10.0,102.0,1178.0,1178.0,1801.0,1801.0,,2.0,,MINERAL,"JCT OFF RAMP FISH CREEK INTERCHANGE, EXIT 66","JCT OFF RAMP FISH CREEK INTERCHANGE, EXIT 66",3.099,17.521,C000090_066+0.549_070+0.373_I-90,,I-90,Interstate,1,56,MINERAL,56.0,35680.47,11.2,818.75,3185.7562500000004,,I-90
