YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,I-94,A,2.865,C000094,A,C000094A,138+0.096,140+0.957,137.871,140.737,09-2A-002,,,A,4697.0,41.0,,45.0,1176.0,1062.0,9.0,,10.0,250.0,226.0,UI,2019.0,10.0,97.0,677.0,677.0,1034.0,1034.0,,2.0,,CUSTER,"JCT OFF RAMP BROADUS INTERCHANGE, EXIT 138","JCT OFF RAMP BROADUS INTERCHANGE, EXIT 138",3.146,17.753,C000094_138+0.096_140+0.957_I-94,,I-94,Interstate,1,14,CUSTER,14.0,13456.905,2.8,1677.5,4806.0375,,I-94
2023.0,I-94,A,7.602,C000094,A,C000094A,140+0.957,148+0.540,140.737,148.338,09-2A-003,,,A,4393.0,24.0,,68.0,1410.0,1146.0,5.0,,15.0,321.0,261.0,RURAL OUTER INTERSTATE,1046.0,10.0,103.0,737.0,737.0,1117.0,1117.0,,2.0,,CUSTER,"JCT OFF RAMP BAKER INTERCHANGE, EXIT 141","JCT OFF RAMP BAKER INTERCHANGE, EXIT 141",6.393,23.973,C000094_140+0.957_148+0.540_I-94,,I-94,Interstate,1,51,CUSTER,51.0,33395.586,10.2,430.686274509804,3274.07705882353,,I-94
2023.0,I-94,A,10.46,C000094,A,C000094A,148+0.540,159+0.252,148.338,158.799,09-2-002,,,A,4463.0,22.0,,63.0,1299.0,1057.0,5.0,,14.0,291.0,237.0,RURAL OUTER INTERSTATE,1046.0,10.0,103.0,679.0,679.0,1030.0,1030.0,,2.0,,CUSTER,"JCT OFF RAMP SHIRLEY INTERCHANGE, EXIT 148","JCT OFF RAMP SHIRLEY INTERCHANGE, EXIT 148",6.393,23.973,C000094_148+0.540_159+0.252_I-94,,I-94,Interstate,1,51,CUSTER,51.0,46682.98,10.2,437.5490196078431,4576.76274509804,,I-94
2023.0,I-94,A,4.005,C000094,A,C000094A,159+0.252,163+0.367,158.799,162.804,40-2-001,,,E,4274.0,24.0,,68.0,1410.0,1146.0,6.0,,16.0,330.0,268.0,RURAL OUTER INTERSTATE,1046.0,10.0,103.0,736.0,736.0,1116.0,1116.0,,2.0,,CUSTER,"JCT OFF RAMP DIAMOND RING INTERCHANGE, EXIT 159","JCT OFF RAMP DIAMOND RING INTERCHANGE, EXIT 159",6.393,23.973,C000094_159+0.252_163+0.367_I-94,,I-94,Interstate,1,17,CUSTER,17.0,17117.37,3.4,1257.0588235294117,5034.520588235294,,I-94
2023.0,I-94,A,5.344,C000094,A,C000094A,163+0.367,168+0.691,162.804,168.148,40-2-001,,,E,4234.25,24.0,,68.0,1410.0,1146.0,6.0,,16.0,330.0,268.0,RURAL OUTER INTERSTATE,1046.0,10.0,103.0,736.0,736.0,1116.0,1116.0,,2.0,,PRAIRIE,,,6.393,23.973,C000094_163+0.367_168+0.691_I-94,,I-94,Interstate,4,11,PRAIRIE,11.0,22627.832,2.2,1924.6590909090908,10285.37818181818,,I-94
2023.0,I-94,A,7.518,C000094,A,C000094A,168+0.691,176+0.239,168.148,175.665,40-2-001,,,E,4234.25,24.0,,68.0,1410.0,1146.0,6.0,,16.0,330.0,268.0,RURAL OUTER INTERSTATE,1046.0,10.0,103.0,736.0,736.0,1116.0,1116.0,,2.0,,PRAIRIE,"JCT OFF RAMP POWDER RIVER INTERCHANGE, EXIT 169","JCT OFF RAMP POWDER RIVER INTERCHANGE, EXIT 169",6.393,23.973,C000094_168+0.691_176+0.239_I-94,,I-94,Interstate,4,21,PRAIRIE,21.0,31833.0915,4.2,1008.1547619047618,7579.307499999999,,I-94
2023.0,I-94,A,9.021,C000094,A,C000094A,176+0.239,185+0.253,175.665,184.686,40-2-002,,,E,3878.0,21.0,,39.0,1321.0,1088.0,5.0,,10.0,341.0,281.0,RURAL OUTER INTERSTATE,1047.0,29.0,105.0,730.0,730.0,1120.0,1120.0,,2.0,,PRAIRIE,"JCT OFF RAMP TERRY INTERCHANGE, EXIT 176","JCT OFF RAMP TERRY INTERCHANGE, EXIT 176",6.371,24.931,C000094_176+0.239_185+0.253_I-94,,I-94,Interstate,1,55,PRAIRIE,55.0,34983.438,11.0,352.54545454545456,3180.3125454545457,,I-94
2023.0,I-94,A,5.996,C000094,A,C000094A,185+0.253,191+0.250,184.686,190.683,40-2-003,,,E,4438.0,21.0,,39.0,1321.0,1088.0,5.0,,9.0,298.0,245.0,RURAL OUTER INTERSTATE,1047.0,29.0,105.0,730.0,730.0,1121.0,1121.0,,2.0,,PRAIRIE,"JCT OFF RAMP FALLON INTERCHANGE, EXIT 185","JCT OFF RAMP FALLON INTERCHANGE, EXIT 185",4.867,15.044,C000094_185+0.253_191+0.250_I-94,,I-94,Interstate,1,45,PRAIRIE,45.0,26610.248000000003,9.0,493.1111111111111,2956.6942222222224,,I-94
2023.0,I-94,A,1.123,C000094,A,C000094A,191+0.250,192+0.385,190.683,191.806,40-2-003,,,E,4274.75,21.0,,39.0,1321.0,1088.0,5.0,,9.0,298.0,245.0,RURAL OUTER INTERSTATE,1047.0,29.0,105.0,730.0,730.0,1121.0,1121.0,,2.0,,DAWSON,,,4.867,15.044,C000094_191+0.250_192+0.385_I-94,,I-94,Interstate,4,7,DAWSON,7.0,4800.54425,1.4,3053.3928571428573,3428.9601785714285,,I-94
2023.0,I-94,A,5.981,C000094,A,C000094A,192+0.385,198+0.366,191.806,197.787,W-103,Yes,,A,4317.0,21.0,,39.0,1321.0,1088.0,5.0,,9.0,306.0,252.0,RURAL OUTER INTERSTATE,1047.0,29.0,105.0,717.0,717.0,1076.0,1076.0,,2.0,,DAWSON,"JCT OFF RAMP BAD ROUTE CK INTERCHANGE, EXIT 192","JCT OFF RAMP BAD ROUTE CK INTERCHANGE, EXIT 192",4.867,15.044,C000094_192+0.385_198+0.366_I-94,,I-94,Interstate,1,36,DAWSON,36.0,25819.977,7.2,599.5833333333334,3586.1079166666664,,I-94
