YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,N-5,A,4.552,C000005,A,C000005A,018+0.456,023+0.014,18.161,22.713,A-008,Yes,,A,8252.0,28.0,,74.0,497.0,394.0,3.0,,8.0,57.0,45.0,RPA_1,3026.0,10.0,134.0,273.0,273.0,405.0,405.0,,3.0,,LAKE,N JCT N-185,BEGIN 3 LANES/END ONEWAY ROADWAY/N JCT N-185,1.79,2.217,C000005_018+0.456_023+0.014_N-5,,MT-200/US-93,NI-NHS,4,49,LAKE,49.0,37563.104,9.8,842.0408163265306,3832.969795918367,,MT-200/US-93
2023.0,N-5,A,0.554,C000005,A,C000005A,023+0.014,023+0.568,22.713,23.267,A-008,Yes,,A,8252.0,28.0,,74.0,497.0,394.0,3.0,,8.0,57.0,45.0,RPA_1,3026.0,10.0,134.0,273.0,273.0,405.0,405.0,,2.0,,LAKE,,BEGIN 2 LANES,1.79,2.217,C000005_023+0.014_023+0.568_N-5,,MT-200/US-93,NI-NHS,4,4,LAKE,4.0,4571.608,0.8,10315.0,5714.51,,MT-200/US-93
2023.0,N-5,A,1.014,C000005,A,C000005A,023+0.568,024+0.587,23.267,24.281,A-008,Yes,,A,8252.0,28.0,,74.0,497.0,394.0,3.0,,8.0,57.0,45.0,RPA_1,3026.0,10.0,134.0,273.0,273.0,405.0,405.0,,3.0,,LAKE,,BEGIN 3 LANES,1.79,2.217,C000005_023+0.568_024+0.587_N-5,,MT-200/US-93,NI-NHS,4,7,LAKE,7.0,8367.528,1.4,5894.285714285715,5976.805714285715,,MT-200/US-93
2023.0,N-5,A,2.786,C000005,A,C000005A,024+0.587,027+0.353,24.281,27.068,A-008,Yes,,A,8252.0,28.0,,74.0,497.0,394.0,3.0,,8.0,57.0,45.0,RPA_1,3026.0,10.0,134.0,273.0,273.0,405.0,405.0,,2.0,,LAKE,,BEGIN 2 LANES,1.79,2.217,C000005_024+0.587_027+0.353_N-5,,MT-200/US-93,NI-NHS,4,32,LAKE,32.0,22990.072,6.4,1289.375,3592.19875,,MT-200/US-93
2023.0,N-5,A,0.146,C000005,A,C000005A,027+0.353,027+0.499,27.068,27.214,A-008,Yes,,A,8252.0,28.0,,74.0,497.0,394.0,3.0,,8.0,57.0,45.0,RPA_1,3026.0,10.0,134.0,273.0,273.0,405.0,405.0,,3.0,,LAKE,,BEGIN 3 LANES,1.79,2.217,C000005_027+0.353_027+0.499_N-5,,MT-200/US-93,NI-NHS,4,1,LAKE,1.0,1204.792,0.2,41260.0,6023.959999999999,,MT-200/US-93
2023.0,N-5,A,1.453,C000005,A,C000005A,027+0.499,028+0.988,27.214,28.667,24-3-002,,,A,7006.25,68.0,,58.0,497.0,372.0,9.0,,7.0,64.0,48.0,RPA_1,3027.0,10.0,102.0,240.0,240.0,339.0,339.0,,3.0,,LAKE,JCT P-6,JCT P-6,2.523,3.32,C000005_027+0.499_028+0.988_N-5,,MT-200/US-93,NI-NHS,4,23,LAKE,23.0,10180.08125,4.6,1523.0978260869567,2213.0611413043484,,MT-200/US-93
2023.0,N-5,A,0.449,C000005,A,C000005A,028+0.988,029+0.435,28.667,29.116,24-3-002,,,A,7006.25,68.0,,58.0,497.0,372.0,9.0,,7.0,64.0,48.0,RPA_1,3027.0,10.0,102.0,240.0,240.0,339.0,339.0,,4.0,,LAKE,,BEGIN 4 LANES,2.523,3.32,C000005_028+0.988_029+0.435_N-5,,MT-200/US-93,NI-NHS,4,2,LAKE,2.0,3145.80625,0.4,17515.625,7864.515625,,MT-200/US-93
2023.0,N-5,A,1.86,C000005,A,C000005A,029+0.435,031+0.313,29.116,30.976,24-3-002,,,A,7006.25,68.0,,58.0,497.0,372.0,9.0,,7.0,64.0,48.0,RPA_1,3027.0,10.0,102.0,240.0,240.0,339.0,339.0,,3.0,,LAKE,,BEGIN 3 LANES,2.523,3.32,C000005_029+0.435_031+0.313_N-5,,MT-200/US-93,NI-NHS,4,10,LAKE,10.0,13031.625,2.0,3503.125,6515.8125,,MT-200/US-93
2023.0,N-5,A,1.752,C000005,A,C000005A,031+0.313,033+0.078,30.976,32.727,24-3-002,,,A,7006.25,68.0,,58.0,497.0,372.0,9.0,,7.0,64.0,48.0,RPA_1,3027.0,10.0,102.0,240.0,240.0,339.0,339.0,,2.0,,LAKE,,BEGIN 2 LANES,2.523,3.32,C000005_031+0.313_033+0.078_N-5,,MT-200/US-93,NI-NHS,4,30,LAKE,30.0,12274.95,6.0,1167.7083333333333,2045.825,,MT-200/US-93
2023.0,N-5,A,0.499,C000005,A,C000005A,033+0.078,033+0.578,32.727,33.227,24-3-003,,,A,7799.75,68.0,,58.0,497.0,372.0,8.0,,7.0,57.0,43.0,RPA_1,3027.0,10.0,102.0,241.0,241.0,340.0,340.0,,2.0,,LAKE,,,2.523,3.32,C000005_033+0.078_033+0.578_N-5,,MT-200/US-93,NI-NHS,4,0,LAKE,,3892.07525,0.0,,,,MT-200/US-93
