YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,N-5,A,0.073,C000005,A,C000005A,000+0.000,000+0.073,0.0,0.073,32-3-003,,,A,11866.75,28.0,,74.0,497.0,394.0,3.0,,7.0,48.0,38.0,UPA,3026.0,10.0,134.0,275.0,275.0,407.0,407.0,,2.0,,MISSOULA,,ENT N-5A,3.627,5.492,C000005_000+0.000_000+0.073_N-5,,MT-200/US-93,NI-NHS,4,9,MISSOULA,9.0,866.27275,1.8,6592.638888888889,481.2626388888889,,MT-200/US-93
2023.0,N-5,A,0.039,C000005,A,C000005A,000+0.073,000+0.112,0.073,0.112,32-3-003,,,A,11866.75,28.0,,74.0,497.0,394.0,3.0,,7.0,48.0,38.0,UPA,3026.0,10.0,134.0,275.0,275.0,407.0,407.0,,2.0,,MISSOULA,JCT I-90 ON RAMP DESMET INTERCHANGE,JCT I-90 ON RAMP DESMET INTERCHANGE,3.627,5.492,C000005_000+0.073_000+0.112_N-5,,MT-200/US-93,NI-NHS,4,1,MISSOULA,1.0,462.80325,0.2,59333.75,2314.0162499999997,,MT-200/US-93
2023.0,N-5,A,0.836,C000005,A,C000005A,000+0.112,001+0.240,0.112,0.948,32-3-003,,,A,11866.75,28.0,,74.0,497.0,394.0,3.0,,7.0,48.0,38.0,UPA,3026.0,10.0,134.0,275.0,275.0,407.0,407.0,,4.0,,MISSOULA,,BEGIN 4 LANES,3.627,5.492,C000005_000+0.112_001+0.240_N-5,,MT-200/US-93,NI-NHS,4,58,MISSOULA,58.0,9920.603,11.6,1022.9956896551724,855.2243965517241,,MT-200/US-93
2023.0,N-5,A,1.773,C000005,A,C000005A,001+0.240,003+0.037,0.948,2.721,32-3-003,,,A,11866.75,28.0,,74.0,497.0,394.0,3.0,,7.0,48.0,38.0,UPA,3026.0,10.0,134.0,275.0,275.0,407.0,407.0,,4.0,,MISSOULA,JCT S-574 (FRENCHTOWN FRONTAGE RD),JCT S-574 (FRENCHTOWN FRONTAGE RD),3.627,5.492,C000005_001+0.240_003+0.037_N-5,,MT-200/US-93,NI-NHS,4,26,MISSOULA,26.0,21039.74775,5.2,2282.0673076923076,4046.105336538461,,MT-200/US-93
2023.0,N-5,A,4.453,C000005,A,C000005A,003+0.037,007+0.486,2.721,7.174,32-3-004,,,A,8813.5,28.0,,74.0,497.0,394.0,3.0,,8.0,54.0,43.0,RPA_1,3026.0,10.0,134.0,274.0,274.0,406.0,406.0,,4.0,,MISSOULA,,,1.693,3.725,C000005_003+0.037_007+0.486_N-5,,MT-200/US-93,NI-NHS,4,82,MISSOULA,82.0,39246.5155,16.4,537.4085365853659,2393.0802134146343,,MT-200/US-93
2023.0,N-5,A,1.826,C000005,A,C000005A,007+0.486,009+0.332,7.174,9.0,32-3-004,,,A,8813.5,28.0,,74.0,497.0,394.0,3.0,,8.0,54.0,43.0,RPA_1,3026.0,10.0,134.0,274.0,274.0,406.0,406.0,,3.0,,MISSOULA,,BEGIN 3 LANES,1.693,3.725,C000005_007+0.486_009+0.332_N-5,,MT-200/US-93,NI-NHS,4,41,MISSOULA,41.0,16093.451,8.2,1074.817073170732,1962.6159756097563,,MT-200/US-93
2023.0,N-5,A,1.333,C000005,A,C000005A,009+0.332,010+0.638,9.0,10.334,32-3-004,,,A,8813.5,28.0,,74.0,497.0,394.0,3.0,,8.0,54.0,43.0,RPA_1,3026.0,10.0,134.0,274.0,274.0,406.0,406.0,,2.0,,MISSOULA,,BEGIN 2 LANES,1.693,3.725,C000005_009+0.332_010+0.638_N-5,,MT-200/US-93,NI-NHS,4,34,MISSOULA,34.0,11748.3955,6.8,1296.1029411764707,1727.7052205882353,,MT-200/US-93
2023.0,N-5,A,2.414,C000005,A,C000005A,010+0.638,013+0.047,10.334,12.748,32-3-004,,,A,8813.5,28.0,,74.0,497.0,394.0,3.0,,8.0,54.0,43.0,RPA_1,3026.0,10.0,134.0,274.0,274.0,406.0,406.0,,3.0,,MISSOULA,,BEGIN 3 LANES,1.693,3.725,C000005_010+0.638_013+0.047_N-5,,MT-200/US-93,NI-NHS,4,35,MISSOULA,35.0,21275.789,7.0,1259.071428571429,3039.3984285714287,,MT-200/US-93
2023.0,N-5,A,1.433,C000005,A,C000005A,013+0.047,014+0.480,12.748,14.181,32-1-001,,,A,8852.5,28.0,,74.0,497.0,394.0,3.0,,7.0,50.0,40.0,RPA_1,3026.0,10.0,134.0,275.0,275.0,407.0,407.0,,3.0,,MISSOULA,,,2.37,3.811,C000005_013+0.047_014+0.480_N-5,,MT-200/US-93,NI-NHS,4,26,MISSOULA,26.0,12685.6325,5.2,1702.4038461538462,2439.5447115384613,,MT-200/US-93
2023.0,N-5,A,0.588,C000005,A,C000005A,014+0.480,015+0.068,14.181,14.769,32-1-001,,,A,8852.5,28.0,,74.0,497.0,394.0,3.0,,7.0,50.0,40.0,RPA_1,3026.0,10.0,134.0,275.0,275.0,407.0,407.0,,2.0,,MISSOULA,,BEGIN 2 LANES,2.37,3.811,C000005_014+0.480_015+0.068_N-5,,MT-200/US-93,NI-NHS,4,12,MISSOULA,12.0,5205.2699999999995,2.4,3688.541666666667,2168.8624999999997,,MT-200/US-93
2023.0,N-5,A,0.633,C000005,A,C000005A,015+0.068,015+0.701,14.769,15.402,32-1-001,,,A,8852.5,28.0,,74.0,497.0,394.0,3.0,,7.0,50.0,40.0,RPA_1,3026.0,10.0,134.0,275.0,275.0,407.0,407.0,,2.0,,LAKE,,,2.37,3.811,C000005_015+0.068_015+0.701_N-5,,MT-200/US-93,NI-NHS,4,12,LAKE,12.0,5603.6325,2.4,3688.541666666667,2334.846875,,MT-200/US-93
2023.0,N-5,A,0.929,C000005,A,C000005A,015+0.701,016+0.628,15.402,16.331,32-1-001,,,A,8852.5,28.0,,74.0,497.0,394.0,3.0,,7.0,50.0,40.0,RPA_1,3026.0,10.0,134.0,275.0,275.0,407.0,407.0,,4.0,,LAKE,,BEGIN 4 LANES,2.37,3.811,C000005_015+0.701_016+0.628_N-5,,MT-200/US-93,NI-NHS,4,12,LAKE,12.0,8223.9725,2.4,3688.541666666667,3426.6552083333336,,MT-200/US-93
2023.0,N-5,A,0.71,C000005,A,C000005A,016+0.628,017+0.330,16.331,17.04,32-1-001,,,A,8852.5,28.0,,74.0,497.0,394.0,3.0,,7.0,50.0,40.0,RPA_1,3026.0,10.0,134.0,275.0,275.0,407.0,407.0,,4.0,,LAKE,JCT S-559,JCT S-559,2.37,3.811,C000005_016+0.628_017+0.330_N-5,,MT-200/US-93,NI-NHS,4,4,LAKE,4.0,6285.275,0.8,11065.625,7856.593749999999,,MT-200/US-93
2023.0,N-5,A,1.121,C000005,A,C000005A,017+0.330,018+0.456,17.04,18.161,24-3-028,,,A,5521.25,28.0,,74.0,497.0,394.0,3.0,,9.0,61.0,49.0,RPA_1,3026.0,10.0,134.0,273.0,273.0,405.0,405.0,Yes,2.0,,LAKE,S JCT N-185,BEGIN 2 LANES/BEGIN ONEWAY ROADWAY/S JCT N-185,2.37,3.811,C000005_017+0.330_018+0.456_N-5,,MT-200/US-93,NI-NHS,4,25,LAKE,25.0,6189.32125,5.0,1104.25,1237.86425,,MT-200/US-93
