YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,P-28,A,1.633,C000028,A,C000028A,000+0.000,001+0.643,0.0,1.633,34-5-001,,,A,865.25,56.0,,1.0,9.0,4.0,44.0,,1.0,7.0,3.0,REC_MA,4125.0,10.0,108.0,3.0,3.0,4.0,4.0,,2.0,,PARK,,ENT P-28A,1.075,1.075,C000028_000+0.000_001+0.643_P-28,,US-212,Primary,4,0,PARK,,1412.95325,0.0,,,,US-212
2023.0,P-28,A,2.017,C000028,A,C000028A,001+0.643,003+0.649,1.633,3.65,34-5-003,,,A,1014.5,56.0,,1.0,9.0,4.0,41.0,,1.0,7.0,3.0,REC_MA,4125.0,10.0,108.0,3.0,3.0,4.0,4.0,,2.0,,PARK,,,1.075,1.075,C000028_001+0.643_003+0.649_P-28,,US-212,Primary,4,3,PARK,3.0,2046.2465,0.6,1690.8333333333337,3410.410833333334,,US-212
2023.0,P-28,A,2.626,C000028,A,C000028A,003+0.649,006+0.274,3.65,6.276,34-5-004,,,A,913.0,56.0,,1.0,9.0,4.0,57.0,,1.0,9.0,4.0,REC_MA,4125.0,10.0,108.0,3.0,3.0,4.0,4.0,,2.0,,PARK,,,1.075,1.075,C000028_003+0.649_006+0.274_P-28,,US-212,Primary,4,3,PARK,3.0,2397.538,0.6,1521.6666666666667,3995.896666666667,,US-212
2023.0,P-28,A,2.064,C000028,A,C000028A,006+0.274,008+0.724,6.276,8.34,34-5-002,,,A,806.0,56.0,,1.0,9.0,4.0,57.0,,1.0,9.0,4.0,REC_MA,4125.0,10.0,108.0,3.0,3.0,4.0,4.0,,2.0,,PARK,,,1.075,1.075,C000028_006+0.274_008+0.724_P-28,,US-212,Primary,4,1,PARK,1.0,1663.584,0.2,4030.0,8317.92,,US-212
2023.0,P-28,A,9.017,C000028,A,C000028A,008+0.724,018+0.052,8.34,17.357,34-5-002,,,A,778.5,56.0,,1.0,9.0,4.0,57.0,,1.0,9.0,4.0,REC_MA,4125.0,10.0,108.0,3.0,3.0,4.0,4.0,,2.0,,OUT OF STATE,,,1.075,1.075,C000028_008+0.724_018+0.052_P-28,,US-212,Primary,2,0,OUT OF STATE,,7019.7345,0.0,,,,US-212
2023.0,P-28,A,25.747,C000028,A,C000028A,018+0.052,044+0.977,17.357,43.104,05-2-003,,,A,503.0,56.0,,1.0,9.0,4.0,84.0,,1.0,13.0,6.0,REC_MA,4125.0,10.0,108.0,3.0,3.0,3.0,3.0,,2.0,,OUT OF STATE,,,1.075,1.075,C000028_018+0.052_044+0.977_P-28,,US-212,Primary,2,0,OUT OF STATE,,12950.741,0.0,,,,US-212
2023.0,P-28,A,4.145,C000028,A,C000028A,044+0.977,049+0.132,43.104,47.25,05-2-003,,,A,516.0,56.0,,1.0,9.0,4.0,84.0,,1.0,13.0,6.0,REC_MA,4125.0,10.0,108.0,3.0,3.0,3.0,3.0,,2.0,,CARBON,,,1.075,1.075,C000028_044+0.977_049+0.132_P-28,,US-212,Primary,4,3,CARBON,3.0,2138.8199999999997,0.6,860.0,3564.7,,US-212
2023.0,P-28,A,12.189,C000028,A,C000028A,049+0.132,061+0.276,47.25,59.439,05-2-002,,,A,587.0,56.0,,1.0,9.0,4.0,78.0,,1.0,12.0,6.0,REC_MA,4125.0,10.0,108.0,3.0,3.0,3.0,3.0,,2.0,,CARBON,,,1.075,1.075,C000028_049+0.132_061+0.276_P-28,,US-212,Primary,5,16,CARBON,16.0,7154.943,3.2,183.4375,2235.9196875,,US-212
2023.0,P-28,A,7.032,C000028,A,C000028A,061+0.276,068+0.296,59.439,66.471,05-3-003,,,E,1285.25,56.0,,1.0,9.0,4.0,49.0,,1.0,8.0,4.0,REC_MA,4125.0,10.0,108.0,3.0,3.0,4.0,4.0,,2.0,,CARBON,,,0.602,0.602,C000028_061+0.276_068+0.296_P-28,,US-212,Primary,4,12,CARBON,12.0,9037.878,2.4,535.5208333333334,3765.7825,,US-212
2023.0,P-28,A,0.328,C000028,A,C000028A,068+0.296,068+0.624,66.471,66.799,05-3-019,,,E,3006.25,18.0,,2.0,158.0,70.0,6.0,,1.0,53.0,23.0,REC_MA,4126.0,10.0,141.0,45.0,45.0,64.0,64.0,,2.0,,CARBON,,,3.368,5.699,C000028_068+0.296_068+0.624_P-28,,US-212,Primary,4,0,CARBON,,986.05,0.0,,,,US-212
