YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,N-1,A,1.899,C000001,A,C000001A,138+0.231,140+0.232,138.247,140.146,A-060,Yes,,A,8535.25,99.0,,100.0,587.0,185.0,11.0,,11.0,66.0,21.0,REC_PA,3086.0,16.0,154.0,188.0,188.0,265.0,265.0,,4.0,,FLATHEAD,JCT S-206,JCT S-206,1.491,1.014,C000001_138+0.231_140+0.232_N-1,,US-2,NI-NHS,4,45,FLATHEAD,45.0,16208.43975,9.0,948.3611111111112,1800.93775,,US-2
2023.0,N-1,A,0.275,C000001,A,C000001A,140+0.232,140+0.507,140.146,140.421,A-060,Yes,,A,8535.25,99.0,,100.0,587.0,185.0,11.0,,11.0,66.0,21.0,REC_PA,3086.0,16.0,154.0,188.0,188.0,265.0,265.0,,2.0,,FLATHEAD,,BEGIN 2 LANES,1.491,1.014,C000001_140+0.232_140+0.507_N-1,,US-2,NI-NHS,4,7,FLATHEAD,7.0,2347.1937500000004,1.4,6096.607142857143,1676.566964285715,,US-2
2023.0,N-1,A,2.198,C000001,A,C000001A,140+0.507,142+0.527,140.421,142.619,15-4A-003,,,E,8527.0,99.0,,100.0,587.0,185.0,11.0,,11.0,67.0,21.0,REC_PA,3086.0,16.0,154.0,189.0,189.0,272.0,272.0,,2.0,,FLATHEAD,,,0.971,1.359,C000001_140+0.507_142+0.527_N-1,,US-2,NI-NHS,2,65,FLATHEAD,65.0,18742.346,13.0,655.9230769230769,1441.7189230769231,,US-2
2023.0,N-1,A,0.115,C000001,A,C000001A,142+0.527,142+0.642,142.619,142.734,15-4A-003,,,E,8527.0,99.0,,100.0,587.0,185.0,11.0,,11.0,67.0,21.0,REC_PA,3086.0,16.0,154.0,189.0,189.0,272.0,272.0,,3.0,,FLATHEAD,,BEGIN 3 LANES,0.971,1.359,C000001_142+0.527_142+0.642_N-1,,US-2,NI-NHS,2,5,FLATHEAD,5.0,980.605,1.0,8527.0,980.605,,US-2
2023.0,N-1,A,0.773,C000001,A,C000001A,142+0.642,143+0.380,142.734,143.507,15-4A-003,,,E,8527.0,99.0,,100.0,587.0,185.0,11.0,,11.0,67.0,21.0,REC_PA,3086.0,16.0,154.0,189.0,189.0,272.0,272.0,,4.0,,FLATHEAD,,BEGIN 4 LANES,0.971,1.359,C000001_142+0.642_143+0.380_N-1,,US-2,NI-NHS,2,17,FLATHEAD,17.0,6591.371,3.4,2507.9411764705883,1938.6385294117647,,US-2
2023.0,N-1,A,0.951,C000001,A,C000001A,143+0.380,144+0.476,143.507,144.458,15-4A-004,,,E,8714.25,99.0,,100.0,587.0,185.0,11.0,,12.0,68.0,21.0,REC_PA,3086.0,16.0,154.0,189.0,189.0,271.0,271.0,,4.0,,FLATHEAD,,,1.491,1.014,C000001_143+0.380_144+0.476_N-1,,US-2,NI-NHS,4,19,FLATHEAD,19.0,8287.25175,3.8,2293.2236842105262,2180.8557236842103,,US-2
2023.0,N-1,A,2.364,C000001,A,C000001A,144+0.476,146+0.837,144.458,146.822,15-4A-005,,,E,8472.75,99.0,,100.0,587.0,185.0,10.0,,10.0,61.0,19.0,REC_PA,3086.0,16.0,154.0,190.0,190.0,272.0,272.0,,4.0,,FLATHEAD,,,1.491,1.014,C000001_144+0.476_146+0.837_N-1,,US-2,NI-NHS,4,44,FLATHEAD,44.0,20029.581,8.8,962.8125,2276.088749999999,,US-2
2023.0,N-1,A,0.197,C000001,A,C000001A,146+0.837,147+0.033,146.822,147.018,15-4A-006,,,E,6953.75,99.0,,100.0,587.0,185.0,14.0,,14.0,82.0,26.0,REC_PA,3086.0,16.0,154.0,188.0,188.0,270.0,270.0,,4.0,,FLATHEAD,,,2.282,1.452,C000001_146+0.837_147+0.033_N-1,,US-2,NI-NHS,4,1,FLATHEAD,1.0,1369.88875,0.2,34768.75,6849.44375,,US-2
2023.0,N-1,A,0.738,C000001,A,C000001A,147+0.033,147+0.771,147.018,147.756,15-4A-006,,,E,6953.75,99.0,,100.0,587.0,185.0,14.0,,14.0,82.0,26.0,REC_PA,3086.0,16.0,154.0,188.0,188.0,270.0,270.0,,2.0,,FLATHEAD,,BEGIN 2 LANES,2.282,1.452,C000001_147+0.033_147+0.771_N-1,,US-2,NI-NHS,4,8,FLATHEAD,8.0,5131.8675,1.6,4346.09375,3207.4171875,,US-2
2023.0,N-1,A,1.369,C000001,A,C000001A,147+0.771,149+0.475,147.756,149.125,15-4A-006,,,E,6953.75,99.0,,100.0,587.0,185.0,14.0,,14.0,82.0,26.0,REC_PA,3086.0,16.0,154.0,188.0,188.0,270.0,270.0,,3.0,,FLATHEAD,,BEGIN 3 LANES,2.282,1.452,C000001_147+0.771_149+0.475_N-1,,US-2,NI-NHS,4,8,FLATHEAD,8.0,9519.68375,1.6,4346.09375,5949.80234375,,US-2
