YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,N-1,A,1.604,C000001,A,C000001A,032+0.898,034+0.508,32.972,34.576,27-3A-014,,,A,7730.5,95.0,,7.0,408.0,151.0,13.0,,1.0,56.0,21.0,RPA_1,3029.0,10.0,121.0,169.0,169.0,245.0,245.0,,4.0,,LINCOLN,,,5.778,7.111,C000001_032+0.898_034+0.508_N-1,,US-2,NI-NHS,4,26,LINCOLN,26.0,12399.722000000002,5.2,1486.6346153846152,2384.561923076923,,US-2
2023.0,N-1,A,1.151,C000001,A,C000001A,034+0.508,035+0.734,34.576,35.726,27-3A-002,,,A,5554.5,95.0,,7.0,408.0,151.0,18.0,,1.0,77.0,29.0,RPA_1,3029.0,10.0,121.0,168.0,168.0,244.0,244.0,,4.0,,LINCOLN,,,5.778,7.111,C000001_034+0.508_035+0.734_N-1,,US-2,NI-NHS,4,12,LINCOLN,12.0,6393.2295,2.4,2314.375,2663.8456250000004,,US-2
2023.0,N-1,A,0.877,C000001,A,C000001A,035+0.734,036+0.617,35.726,36.603,27-3A-002,,,A,5554.5,95.0,,7.0,408.0,151.0,18.0,,1.0,77.0,29.0,RPA_1,3029.0,10.0,121.0,168.0,168.0,244.0,244.0,,4.0,,LINCOLN,N JCT S-482,N JCT S-482,5.778,7.111,C000001_035+0.734_036+0.617_N-1,,US-2,NI-NHS,4,11,LINCOLN,11.0,4871.2965,2.2,2524.772727272727,2214.225681818182,,US-2
2023.0,N-1,A,0.574,C000001,A,C000001A,036+0.617,037+0.172,36.603,37.177,27-3A-003,,,A,2549.5,95.0,,7.0,408.0,151.0,39.0,,3.0,166.0,62.0,RPA_1,3029.0,10.0,121.0,167.0,167.0,243.0,243.0,,3.0,,LINCOLN,,BEGIN 3 LANES,5.778,7.111,C000001_036+0.617_037+0.172_N-1,,US-2,NI-NHS,4,1,LINCOLN,1.0,1463.4129999999998,0.2,12747.5,7317.064999999999,,US-2
2023.0,N-1,A,2.113,C000001,A,C000001A,037+0.172,039+0.326,37.177,39.29,27-3A-003,,,A,2549.5,95.0,,7.0,408.0,151.0,39.0,,3.0,166.0,62.0,RPA_1,3029.0,10.0,121.0,167.0,167.0,243.0,243.0,,2.0,,LINCOLN,,BEGIN 2 LANES,5.778,7.111,C000001_037+0.172_039+0.326_N-1,,US-2,NI-NHS,4,13,LINCOLN,13.0,5387.0935,2.6,980.5769230769232,2071.9590384615385,,US-2
2023.0,N-1,A,2.604,C000001,A,C000001A,039+0.326,041+0.948,39.29,41.894,27-5-002,,,A,1935.5,95.0,,7.0,408.0,151.0,49.0,,4.0,208.0,77.0,RPA_1,3029.0,10.0,121.0,167.0,167.0,243.0,243.0,,2.0,,LINCOLN,,,5.778,7.111,C000001_039+0.326_041+0.948_N-1,,US-2,NI-NHS,4,13,LINCOLN,13.0,5040.042,2.6,744.4230769230769,1938.4776923076925,,US-2
2023.0,N-1,A,11.816,C000001,A,C000001A,041+0.948,053+0.729,41.894,53.71,27-6-001,,,E,1752.0,12.0,,18.0,139.0,92.0,7.0,,11.0,85.0,56.0,RPA_1,3002.0,16.0,122.0,68.0,68.0,103.0,103.0,,2.0,,LINCOLN,S JCT S-482,S JCT S-482,3.643,5.351,C000001_041+0.948_053+0.729_N-1,,US-2,NI-NHS,4,38,LINCOLN,38.0,20701.632,7.6,230.5263157894737,2723.8989473684214,,US-2
2023.0,N-1,A,0.849,C000001,A,C000001A,053+0.729,054+0.590,53.71,54.558,27-6-001,,,E,1752.0,12.0,,18.0,139.0,92.0,7.0,,11.0,85.0,56.0,RPA_1,3002.0,16.0,122.0,68.0,68.0,103.0,103.0,,3.0,,LINCOLN,,BEGIN 3 LANES,3.643,5.351,C000001_053+0.729_054+0.590_N-1,,US-2,NI-NHS,4,3,LINCOLN,3.0,1487.448,0.6,2920.0,2479.08,,US-2
2023.0,N-1,A,1.026,C000001,A,C000001A,054+0.590,055+0.622,54.558,55.585,27-6-001,,,E,1752.0,12.0,,18.0,139.0,92.0,7.0,,11.0,85.0,56.0,RPA_1,3002.0,16.0,122.0,68.0,68.0,103.0,103.0,,2.0,,LINCOLN,,BEGIN 2 LANES,3.643,5.351,C000001_054+0.590_055+0.622_N-1,,US-2,NI-NHS,4,6,LINCOLN,6.0,1797.552,1.2,1460.0,1497.9600000000005,,US-2
2023.0,N-1,A,12.059,C000001,A,C000001A,055+0.622,067+0.666,55.585,67.644,27-6-002,,,A,1446.0,12.0,,18.0,139.0,92.0,8.0,,13.0,97.0,64.0,RPA_1,3002.0,16.0,122.0,68.0,68.0,103.0,103.0,,2.0,,LINCOLN,,,3.643,5.351,C000001_055+0.622_067+0.666_N-1,,US-2,NI-NHS,4,66,LINCOLN,66.0,17437.314,13.2,109.54545454545456,1321.0086363636362,,US-2
