YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,N-1,A,1.25,C000001,A,C000001A,591+0.422,592+0.668,589.77,591.021,43-3-016,,,A,4260.75,31.0,,5.0,378.0,179.0,7.0,,1.0,89.0,42.0,RPA_45,3019.0,10.0,120.0,112.0,112.0,166.0,166.0,,2.0,,ROOSEVELT,,BEGIN 2 LANES,3.922,1.471,C000001_591+0.422_592+0.668_N-1,,US-2,NI-NHS,4,4,ROOSEVELT,4.0,5325.9375,0.8,5325.9375,6657.421875,,US-2
2023.0,N-1,A,2.031,C000001,A,C000001A,592+0.668,594+0.691,591.021,593.052,A-010,Yes,,E,2499.0,31.0,,5.0,378.0,179.0,12.0,,2.0,144.0,68.0,RPA_45,3019.0,10.0,120.0,110.0,110.0,164.0,164.0,,2.0,,ROOSEVELT,,,1.003,1.672,C000001_592+0.668_594+0.691_N-1,,US-2,NI-NHS,4,4,ROOSEVELT,4.0,5075.469,0.8,3123.75,6344.336249999999,,US-2
2023.0,N-1,A,2.515,C000001,A,C000001A,594+0.691,597+0.225,593.052,595.567,43-3-005,,,E,2466.0,31.0,,5.0,378.0,179.0,12.0,,2.0,148.0,70.0,RPA_45,3019.0,10.0,120.0,110.0,110.0,164.0,164.0,,2.0,,ROOSEVELT,,,3.922,1.471,C000001_594+0.691_597+0.225_N-1,,US-2,NI-NHS,4,5,ROOSEVELT,5.0,6201.990000000001,1.0,2466.0,6201.990000000001,,US-2
2023.0,N-1,A,7.582,C000001,A,C000001A,597+0.225,604+0.813,595.567,603.149,43-3-006,,,A,2304.25,22.0,,9.0,114.0,74.0,11.0,,4.0,56.0,36.0,RPA_45,3020.0,10.0,123.0,51.0,51.0,77.0,77.0,,2.0,,ROOSEVELT,JCT P-32,JCT P-32,3.676,7.353,C000001_597+0.225_604+0.813_N-1,,US-2,NI-NHS,4,16,ROOSEVELT,16.0,17470.8235,3.2,720.078125,5459.63234375,,US-2
2023.0,N-1,A,5.975,C000001,A,C000001A,604+0.813,610+0.780,603.149,609.124,43-4-001,,,A,2199.25,22.0,,9.0,114.0,74.0,11.0,,5.0,57.0,37.0,RPA_45,3020.0,10.0,123.0,51.0,51.0,77.0,77.0,,2.0,,ROOSEVELT,,,3.676,7.353,C000001_604+0.813_610+0.780_N-1,,US-2,NI-NHS,4,5,ROOSEVELT,5.0,13140.51875,1.0,2199.25,13140.51875,,US-2
2023.0,N-1,A,0.881,C000001,A,C000001A,610+0.780,611+0.683,609.124,610.005,43-4-013,,,A,2606.5,22.0,,9.0,114.0,74.0,10.0,,4.0,50.0,32.0,RPA_45,3020.0,10.0,123.0,51.0,51.0,78.0,78.0,,2.0,,ROOSEVELT,,,3.676,7.353,C000001_610+0.780_611+0.683_N-1,,US-2,NI-NHS,4,5,ROOSEVELT,5.0,2296.3265,1.0,2606.5,2296.3265,,US-2
2023.0,N-1,A,0.401,C000001,A,C000001A,611+0.683,612+0.088,610.005,610.407,43-4-014,,,A,4807.75,22.0,,9.0,114.0,74.0,5.0,,2.0,27.0,18.0,RPA_45,3020.0,10.0,123.0,54.0,54.0,80.0,80.0,,2.0,,ROOSEVELT,,,3.676,7.353,C000001_611+0.683_612+0.088_N-1,,US-2,NI-NHS,4,3,ROOSEVELT,3.0,1927.90775,0.6,8012.916666666667,3213.1795833333335,,US-2
2023.0,N-1,A,0.421,C000001,A,C000001A,612+0.088,612+0.509,610.407,610.828,43-4-015,,,A,4854.0,22.0,,9.0,114.0,74.0,5.0,,2.0,23.0,15.0,RPA_45,3020.0,10.0,123.0,55.0,55.0,81.0,81.0,,2.0,,ROOSEVELT,,,3.676,7.353,C000001_612+0.088_612+0.509_N-1,,US-2,NI-NHS,1,2,ROOSEVELT,2.0,2043.534,0.4,12135.0,5108.834999999999,,US-2
2023.0,N-1,A,1.551,C000001,A,C000001A,612+0.509,614+0.042,610.828,612.379,43-4-002,,,A,5601.0,22.0,,9.0,114.0,74.0,4.0,,2.0,20.0,13.0,RPA_45,3020.0,10.0,123.0,56.0,56.0,81.0,81.0,,2.0,,ROOSEVELT,,,3.676,7.353,C000001_612+0.509_614+0.042_N-1,,US-2,NI-NHS,1,8,ROOSEVELT,8.0,8687.151,1.6,3500.625,5429.469375,,US-2
2023.0,N-1,A,3.106,C000001,A,C000001A,614+0.042,617+0.154,612.379,615.485,43-4-003,,,A,1495.5,22.0,,9.0,114.0,74.0,15.0,,6.0,79.0,51.0,RPA_45,3020.0,10.0,123.0,50.0,50.0,77.0,77.0,,2.0,,ROOSEVELT,,,3.676,7.353,C000001_614+0.042_617+0.154_N-1,,US-2,NI-NHS,4,1,ROOSEVELT,1.0,4645.023,0.2,7477.5,23225.115,,US-2
2023.0,N-1,A,1.989,C000001,A,C000001A,617+0.154,619+0.140,615.485,617.474,43-4-003,,,A,1495.5,22.0,,9.0,114.0,74.0,15.0,,6.0,79.0,51.0,RPA_45,3020.0,10.0,123.0,50.0,50.0,77.0,77.0,,2.0,,ROOSEVELT,JCT S-251,JCT S-251,3.676,7.353,C000001_617+0.154_619+0.140_N-1,,US-2,NI-NHS,4,1,ROOSEVELT,1.0,2974.5495,0.2,7477.5,14872.7475,,US-2
2023.0,N-1,A,6.455,C000001,A,C000001A,619+0.140,625+0.595,617.474,623.929,43-4-004,,,A,1375.0,22.0,,9.0,114.0,74.0,16.0,,6.0,81.0,53.0,RPA_45,3020.0,10.0,123.0,50.0,50.0,76.0,76.0,,2.0,,ROOSEVELT,JCT S-480,JCT S-480,3.676,7.353,C000001_619+0.140_625+0.595_N-1,,US-2,NI-NHS,4,3,ROOSEVELT,3.0,8875.625,0.6,2291.666666666667,14792.708333333334,,US-2
