YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,PER_100M_VMT,LOCATION,ROUTE_FILE_NAME
2023.0,U-5234,A,0.08,C005234,A,C005234A,001+0.063,001+0.143,1.063,1.143,07-2A-260,nan,nan,A,1247.5,0.0,nan,20.0,115.0,36.0,0.0,nan,21.0,122.0,38.0,UMA_UC,8063.0,10.0,114.0,44.0,44.0,63.0,63.0,Yes,2.0,nan,CASCADE,JCT N-110(14TH ST),JCT N-110(14TH ST),0.0,0.0,C005234_001+0.063_001+0.143_U-5234,1.063,1.143,1ST AVE S,,Urban,4,4,CASCADE,4.0,99.8,0.8,1559.375,124.74999999999999,2194.6699696449714,,1ST AVE S
2023.0,U-5234,A,0.085,C005234,A,C005234A,000+0.325,000+0.411,0.325,0.411,07-2A-256,nan,nan,A,2697.0,0.0,nan,17.0,101.0,32.0,0.0,nan,7.0,40.0,13.0,UMA_UC,8063.0,10.0,114.0,39.0,39.0,55.0,55.0,Yes,2.0,nan,CASCADE,JCT U-5224(5TH ST S),JCT U-5224(5TH ST S),0.0,0.0,C005234_000+0.325_000+0.411_U-5234,0.325,0.411,1ST AVE S,,Urban,4,23,CASCADE,23.0,229.245,4.6,586.304347826087,49.83586956521739,5493.735357721069,,1ST AVE S
2023.0,U-5234,A,0.242,C005234,A,C005234A,000+0.084,000+0.325,0.084,0.325,07-2A-256,nan,nan,A,2697.0,0.0,nan,17.0,101.0,32.0,0.0,nan,7.0,40.0,13.0,UMA_UC,8063.0,10.0,114.0,39.0,39.0,55.0,55.0,Yes,2.0,nan,CASCADE,JCT U-5236 (2ND ST S),JCT U-5236 (2ND ST S),0.0,0.0,C005234_000+0.084_000+0.325_U-5234,0.084,0.325,1ST AVE S,,Urban,4,9,CASCADE,9.0,652.674,1.8,1498.3333333333333,362.59666666666664,755.0678312354687,,1ST AVE S
2023.0,U-5234,A,0.242,C005234,A,C005234A,000+0.411,000+0.653,0.411,0.653,07-2A-258,nan,nan,E,2172.0,0.0,nan,16.0,93.0,30.0,0.0,nan,8.0,47.0,15.0,UMA_UC,8063.0,10.0,114.0,36.0,36.0,51.0,51.0,Yes,2.0,nan,CASCADE,JCT U-5209(6TH ST S),JCT U-5209(6TH ST S),0.0,0.0,C005234_000+0.411_000+0.653_U-5234,0.411,0.653,1ST AVE S,,Urban,4,30,CASCADE,30.0,525.624,6.0,362.0,87.604,3125.2577360989235,,1ST AVE S
2023.0,U-5234,A,0.084,C005234,A,C005234A,000+0.000,000+0.084,0.0,0.084,07-2A-256,nan,nan,A,2697.0,0.0,nan,17.0,101.0,32.0,0.0,nan,7.0,40.0,13.0,UMA_UC,8063.0,10.0,114.0,39.0,39.0,55.0,55.0,Yes,2.0,nan,CASCADE,JCT U-5208 (PARK DR),ENT U-5234A/BEGIN ONEWAY ROADWAY/,0.0,0.0,C005234_000+0.000_000+0.084_U-5234,0.0,0.084,1ST AVE S,,Urban,4,1,CASCADE,1.0,226.548,0.2,13485.0,1132.74,241.70160735315264,,1ST AVE S
2023.0,S-238,A,0.191,C000238,A,C000238A,068+0.515,068+0.706,68.517,68.708,19-2-011,nan,nan,E,289.3333333333333,1.0,nan,0.0,7.0,3.0,3.0,nan,0.0,24.0,10.0,RMA_RMC_345,5068.0,10.0,166.0,2.0,2.0,3.0,3.0,nan,2.0,nan,GOLDEN VALLEY,nan,nan,4.0,4.0,C000238_068+0.515_068+0.706_S-238,68.515,68.706,1ST AVE S,,Urban,3,1,GOLDEN VALLEY,1.0,55.26266666666666,0.2,1446.6666666666665,276.3133333333333,990.850044803762,,1ST AVE S
2023.0,S-238,A,7.975,C000238,A,C000238A,043+0.529,051+0.520,42.624,50.599,19-1-002,nan,nan,E,26.5,1.0,nan,0.0,2.0,1.0,34.0,nan,0.0,69.0,34.0,RMA_RMC_345,5067.0,10.0,155.0,0.0,0.0,1.0,1.0,nan,2.0,nan,GOLDEN VALLEY,nan,nan,0.0,12.5,C000238_043+0.529_051+0.520_S-238,43.529,51.52,1ST AVE S,,Urban,4,0,GOLDEN VALLEY,,211.33749999999998,0.0,None,None,0.0,,1ST AVE S
2023.0,S-238,A,11.94,C000238,A,C000238A,031+0.274,043+0.529,30.684,42.624,19-1-001,nan,nan,E,17.25,1.0,nan,0.0,2.0,1.0,63.0,nan,0.0,125.0,63.0,RMA_RMC_345,5067.0,10.0,155.0,0.0,0.0,1.0,1.0,nan,2.0,nan,GOLDEN VALLEY,nan,nan,0.0,12.5,C000238_031+0.274_043+0.529_S-238,31.274,43.529,1ST AVE S,,Urban,4,1,GOLDEN VALLEY,1.0,205.965,0.2,86.25,1029.825,265.8559257283618,,1ST AVE S
2023.0,S-238,A,8.565,C000238,A,C000238A,018+0.045,027+0.351,18.161,26.726,14-8-003,nan,nan,E,36.5,1.0,nan,0.0,2.0,1.0,30.0,nan,0.0,61.0,30.0,RMA_RMC_345,5067.0,10.0,155.0,0.0,0.0,1.0,1.0,nan,2.0,nan,FERGUS,nan,nan,0.0,12.5,C000238_018+0.045_027+0.351_S-238,18.045,27.351,1ST AVE S,,Urban,4,4,FERGUS,4.0,312.6225,0.8,45.625,390.778125,700.6151603629557,,1ST AVE S
2023.0,S-238,A,9.159,C000238,A,C000238A,008+0.984,018+0.045,9.002,18.161,14-6-011,nan,nan,E,206.0,1.0,nan,0.0,2.0,1.0,5.0,nan,0.0,9.0,5.0,RMA_RMC_345,5067.0,10.0,155.0,1.0,1.0,1.0,1.0,nan,2.0,nan,FERGUS,nan,nan,0.0,12.5,C000238_008+0.984_018+0.045_S-238,8.984,18.045,1ST AVE S,,Urban,4,7,FERGUS,7.0,1886.7540000000001,1.4,147.14285714285714,1347.6814285714288,203.15266865658913,,1ST AVE S
