YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,PER_100M_VMT,LOCATION,ROUTE_FILE_NAME
2023.0,U-6715,A,0.273,C006715,A,C006715A,001+0.274,001+0.548,1.274,1.548,15-7C-028,nan,nan,E,7178.2,18.0,nan,6.0,56.0,5.0,2.0,nan,1.0,7.0,1.0,UMA_UC,9055.0,10.0,116.0,18.0,18.0,20.0,20.0,nan,2.0,nan,FLATHEAD,JCT U-6726(WOODLAND AVE),JCT U-6726(WOODLAND AVE),1.781,0.509,C006715_001+0.274_001+0.548_U-6715,1.274,1.548,2ND ST,,Urban,5,20,FLATHEAD,20.0,1959.6486,4.0,1794.55,489.91215,558.8452515684907,,2ND ST
2023.0,U-6715,A,0.374,C006715,A,C006715A,000+0.900,001+0.274,0.9,1.274,15-7C-027,nan,nan,E,2790.5,18.0,nan,2.0,21.0,3.0,6.0,nan,1.0,7.0,1.0,UMA_UC,9054.0,10.0,109.0,10.0,10.0,13.0,13.0,nan,2.0,nan,FLATHEAD,JCT U-6723(1ST AVE E),JCT U-6723(1ST AVE E),2.963,0.741,C006715_000+0.900_001+0.274_U-6715,0.9,1.274,2ND ST,,Urban,4,12,FLATHEAD,12.0,1043.647,2.4,1162.7083333333335,434.85291666666666,629.6038688480917,,2ND ST
2023.0,U-6715,A,0.277,C006715,A,C006715A,000+0.476,000+0.753,0.476,0.753,15-7C-025,nan,nan,E,1721.75,18.0,nan,2.0,21.0,3.0,9.0,nan,1.0,11.0,2.0,UMA_UC,9054.0,10.0,109.0,9.0,9.0,13.0,13.0,nan,2.0,nan,FLATHEAD,JCT U-6721(5TH AVE W),JCT U-6721(5TH AVE W),2.963,0.741,C006715_000+0.476_000+0.753_U-6715,0.476,0.753,2ND ST,,Urban,4,9,FLATHEAD,9.0,476.92475,1.8,956.5277777777777,264.9581944444445,1033.3142527909868,,2ND ST
2023.0,U-6715,A,0.139,C006715,A,C006715A,000+0.337,000+0.476,0.337,0.476,15-7C-024,nan,nan,A,1057.0,18.0,nan,2.0,21.0,3.0,13.0,nan,1.0,15.0,2.0,UMA_UC,9054.0,10.0,109.0,8.0,8.0,12.0,12.0,nan,2.0,nan,FLATHEAD,JCT U-6720(7TH AVE W),JCT U-6720(7TH AVE W),2.963,0.741,C006715_000+0.337_000+0.476_U-6715,0.337,0.476,2ND ST,,Urban,4,3,FLATHEAD,3.0,146.923,0.6,1761.6666666666667,244.87166666666667,1118.0757759365524,,2ND ST
2023.0,U-6715,A,0.337,C006715,A,C006715A,000+0.000,000+0.337,0.0,0.337,15-7C-024,nan,nan,A,1057.0,18.0,nan,2.0,21.0,3.0,13.0,nan,1.0,15.0,2.0,UMA_UC,9054.0,10.0,109.0,8.0,8.0,12.0,12.0,nan,2.0,nan,FLATHEAD,JCT U-6713(MERIDIAN RD),ENT U-6715A/,2.963,0.741,C006715_000+0.000_000+0.337_U-6715,0.0,0.337,2ND ST,,Urban,4,2,FLATHEAD,2.0,356.209,0.4,2642.5,890.5224999999999,307.4431906136118,,2ND ST
2023.0,U-6715,A,0.073,C006715,A,C006715A,000+0.753,000+0.826,0.753,0.826,15-7C-025,nan,nan,E,1721.75,18.0,nan,2.0,21.0,3.0,9.0,nan,1.0,11.0,2.0,UMA_UC,9054.0,10.0,109.0,9.0,9.0,13.0,13.0,nan,2.0,nan,FLATHEAD,JCT U-6722(1ST AVE W),JCT U-6722(1ST AVE W),2.963,0.741,C006715_000+0.753_000+0.826_U-6715,0.753,0.826,2ND ST,,Urban,4,6,FLATHEAD,6.0,125.68775,1.2,1434.7916666666667,104.73979166666666,2613.9547764666972,,2ND ST
2023.0,U-5701,A,0.139,C005701,A,C005701A,000+0.414,000+0.553,0.414,0.553,21-4A-024,nan,nan,A,2508.75,9.0,nan,2.0,68.0,7.0,5.0,nan,1.0,35.0,4.0,UMA_UC,8066.0,10.0,107.0,27.0,27.0,39.0,39.0,nan,2.0,nan,HILL,JCT U-5704(1ST AVE),JCT U-5704(1ST AVE),8.5,13.5,C005701_000+0.414_000+0.553_U-5701,0.414,0.553,2ND ST,,Urban,4,5,HILL,5.0,348.71625000000006,1.0,2508.75,348.71625000000006,785.122800308876,,2ND ST
2023.0,U-5701,A,0.165,C005701,A,C005701A,000+0.249,000+0.414,0.249,0.414,21-4A-023,nan,nan,E,3243.2,9.0,nan,2.0,68.0,7.0,3.0,nan,1.0,21.0,2.0,UMA_UC,8066.0,10.0,107.0,27.0,27.0,39.0,39.0,nan,2.0,nan,HILL,nan,nan,1.796,0.0,C005701_000+0.249_000+0.414_U-5701,0.249,0.414,2ND ST,,Urban,5,5,HILL,5.0,535.128,1.0,3243.2,535.128,511.6254031058179,,2ND ST
2023.0,U-5701,A,0.148,C005701,A,C005701A,000+0.553,000+0.701,0.553,0.701,21-4A-024,nan,nan,A,2508.75,9.0,nan,2.0,68.0,7.0,5.0,nan,1.0,35.0,4.0,UMA_UC,8066.0,10.0,107.0,27.0,27.0,39.0,39.0,nan,2.0,nan,HILL,JCT U-5706(3RD AVE),JCT U-5706(3RD AVE),8.5,13.5,C005701_000+0.553_000+0.701_U-5701,0.553,0.701,2ND ST,,Urban,4,10,HILL,10.0,371.29499999999996,2.0,1254.375,185.64749999999998,1474.7576924720781,,2ND ST
2023.0,U-6715,A,0.6,C006715,A,C006715A,001+0.548,002+0.148,1.548,2.148,15-7B-060,nan,nan,A,3410.4,18.0,nan,6.0,56.0,5.0,5.0,nan,2.0,16.0,1.0,UMA_UC,9055.0,10.0,116.0,14.0,14.0,17.0,17.0,nan,2.0,nan,FLATHEAD,JCT U-6729(FLATHEAD DR),JCT U-6729(FLATHEAD DR),1.781,0.509,C006715_001+0.548_002+0.148_U-6715,1.548,2.148,2ND ST,,Urban,5,22,FLATHEAD,22.0,2046.24,4.4,775.090909090909,465.0545454545454,588.716057910179,,2ND ST
