YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,PER_100M_VMT,LOCATION,ROUTE_FILE_NAME
2023.0,U-5224,A,0.302,C005224,A,C005224A,000+0.687,000+0.989,0.687,0.989,07-2A-079,nan,nan,E,2557.75,0.0,nan,7.0,80.0,16.0,0.0,nan,3.0,33.0,7.0,UMA_UC,8061.0,10.0,115.0,27.0,27.0,38.0,38.0,Yes,3.0,nan,CASCADE,JCT U-5236(2ND AVE S),JCT U-5236(2ND AVE S),0.0,0.0,C005224_000+0.687_000+0.989_U-5224,0.687,0.989,5TH ST,,Urban,4,8,CASCADE,8.0,772.4404999999999,1.6,1598.59375,482.7753124999999,567.1066262594157,,5TH ST
2023.0,U-5224,A,0.076,C005224,A,C005224A,000+0.382,000+0.458,0.382,0.458,07-2A-236,nan,nan,E,2379.2,0.0,nan,8.0,92.0,19.0,0.0,nan,4.0,41.0,9.0,UMA_UC,8061.0,10.0,115.0,31.0,31.0,44.0,44.0,Yes,3.0,nan,CASCADE,JCT N-126(2ND AVE N),BEGIN 3 LANES/JCT N-126(2ND AVE N),0.0,0.0,C005224_000+0.382_000+0.458_U-5224,0.382,0.458,5TH ST,,Urban,5,13,CASCADE,13.0,180.8192,2.6,915.076923076923,69.54584615384616,3936.756741841278,,5TH ST
2023.0,U-5224,A,0.154,C005224,A,C005224A,000+0.458,000+0.612,0.458,0.612,07-2A-079,nan,nan,E,2557.75,0.0,nan,7.0,80.0,16.0,0.0,nan,3.0,33.0,7.0,UMA_UC,8061.0,10.0,115.0,27.0,27.0,38.0,38.0,Yes,3.0,nan,CASCADE,JCT N-103(1ST AVE N),JCT N-103(1ST AVE N),0.0,0.0,C005224_000+0.458_000+0.612_U-5224,0.458,0.612,5TH ST,,Urban,4,10,CASCADE,10.0,393.8935,2.0,1278.875,196.94675,1390.1477364475936,,5TH ST
2023.0,U-5224,A,0.076,C005224,A,C005224A,000+0.612,000+0.687,0.612,0.687,07-2A-079,nan,nan,E,2557.75,0.0,nan,7.0,80.0,16.0,0.0,nan,3.0,33.0,7.0,UMA_UC,8061.0,10.0,115.0,27.0,27.0,38.0,38.0,Yes,3.0,nan,CASCADE,JCT U-5234(1ST AVE S),JCT U-5234(1ST AVE S),0.0,0.0,C005224_000+0.612_000+0.687_U-5224,0.612,0.687,5TH ST,,Urban,4,2,CASCADE,2.0,194.38899999999998,0.4,6394.375,485.9724999999999,563.3756616129723,,5TH ST
2023.0,U-5224,A,0.116,C005224,A,C005224A,000+0.000,000+0.116,0.0,0.116,07-2A-253,nan,nan,E,891.0,0.0,nan,16.0,43.0,6.0,0.0,nan,18.0,50.0,7.0,UMA_UC,8145.0,10.0,111.0,17.0,17.0,24.0,24.0,Yes,2.0,nan,CASCADE,JCT U-5208(PARK DR),ENT U-5224A/BEGIN ONEWAY ROADWAY/,0.0,0.0,C005224_000+0.000_000+0.116_U-5224,0.0,0.116,5TH ST,,Urban,5,1,CASCADE,1.0,103.35600000000001,0.2,4455.0,516.78,529.7903918750922,,5TH ST
2023.0,U-5224,A,0.152,C005224,A,C005224A,000+0.989,001+0.141,0.989,1.141,07-2A-079,nan,nan,E,2557.75,0.0,nan,7.0,80.0,16.0,0.0,nan,3.0,33.0,7.0,UMA_UC,8061.0,10.0,115.0,27.0,27.0,38.0,38.0,Yes,2.0,nan,CASCADE,nan,BEGIN 2 LANES,0.0,0.0,C005224_000+0.989_001+0.141_U-5224,0.989,1.141,5TH ST,,Urban,4,4,CASCADE,4.0,388.77799999999996,0.8,3197.1875,485.9724999999999,563.3756616129723,,5TH ST
2023.0,U-5224,A,0.071,C005224,A,C005224A,001+0.219,001+0.290,1.219,1.29,07-2A-077,nan,nan,E,2483.0,0.0,nan,8.0,93.0,19.0,0.0,nan,3.0,37.0,8.0,UMA_UC,8061.0,10.0,115.0,31.0,31.0,44.0,44.0,Yes,3.0,nan,CASCADE,nan,BEGIN 3 LANES,0.0,0.0,C005224_001+0.219_001+0.290_U-5224,1.219,1.29,5TH ST,,Urban,4,4,CASCADE,4.0,176.29299999999998,0.8,3103.75,220.36624999999995,1242.4093013935217,,5TH ST
2023.0,U-5224,A,0.266,C005224,A,C005224A,000+0.116,000+0.382,0.116,0.382,07-2A-081,nan,nan,A,1877.4,0.0,nan,14.0,38.0,5.0,0.0,nan,7.0,18.0,2.0,UMA_UC,8145.0,10.0,111.0,15.0,15.0,21.0,21.0,Yes,2.0,nan,CASCADE,nan,nan,0.0,0.0,C005224_000+0.116_000+0.382_U-5224,0.116,0.382,5TH ST,,Urban,5,5,CASCADE,5.0,499.38840000000005,1.0,1877.4,499.38840000000005,548.2407655308175,,5TH ST
2023.0,U-5224,A,0.077,C005224,A,C005224A,001+0.141,001+0.219,1.141,1.219,07-2A-077,nan,nan,E,2483.0,0.0,nan,8.0,93.0,19.0,0.0,nan,3.0,37.0,8.0,UMA_UC,8061.0,10.0,115.0,31.0,31.0,44.0,44.0,Yes,2.0,nan,CASCADE,nan,nan,0.0,0.0,C005224_001+0.141_001+0.219_U-5224,1.141,1.219,5TH ST,,Urban,4,2,CASCADE,2.0,191.191,0.4,6207.5,477.97749999999996,572.7990934996106,,5TH ST
2023.0,U-8002,A,0.228,C008002,A,C008002A,000+0.137,000+0.365,0.137,0.365,09-2A-035,nan,nan,E,430.6,16.0,nan,1.0,8.0,0.0,40.0,nan,3.0,20.0,0.0,UMA_UC,9095.0,10.0,110.0,1.0,1.0,1.0,1.0,nan,2.0,nan,CUSTER,JCT U-8003(PLEASANT ST),JCT U-8003(PLEASANT ST),2.326,0.0,C008002_000+0.137_000+0.365_U-8002,0.137,0.365,5TH ST,,Urban,5,1,CUSTER,1.0,98.17680000000001,0.2,2153.0,490.88400000000007,557.7388521793542,,5TH ST
