YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,PER_100M_VMT,LOCATION,ROUTE_FILE_NAME
2023.0,U-5710,A,0.149,C005710,A,C005710A,000+0.000,000+0.149,0.0,0.149,21-4A-051,nan,nan,E,1910.6,12.0,nan,5.0,15.0,4.0,6.0,nan,3.0,8.0,2.0,UMA_UC,9039.0,10.0,108.0,8.0,8.0,11.0,11.0,nan,2.0,nan,HILL,JCT N-1(1ST ST),ENT U-5710A/,0.0,0.0,C005710_000+0.000_000+0.149_U-5710,0.0,0.149,7TH AVE,,Urban,5,3,HILL,3.0,284.6794,0.6,3184.3333333333335,474.46566666666666,577.0387573808505,,7TH AVE
2023.0,S-232,A,4.93,C000232,A,C000232A,038+0.576,043+0.485,38.464,43.394,W-134,Yes,nan,A,75.33333333333333,3.0,nan,1.0,23.0,6.0,30.0,nan,10.0,232.0,61.0,RMA_RMC_345,5053.0,10.0,242.0,16.0,16.0,27.0,27.0,nan,2.0,nan,HILL,nan,nan,16.667,0.0,C000232_038+0.576_043+0.485_S-232,38.576,43.485,7TH AVE,,Urban,3,0,HILL,,371.3933333333333,0.0,None,None,0.0,,7TH AVE
2023.0,S-232,A,6.084,C000232,A,C000232A,032+0.464,038+0.576,32.381,38.464,21-2-003,nan,nan,E,124.75,3.0,nan,1.0,23.0,6.0,31.0,nan,10.0,237.0,62.0,RMA_RMC_345,5053.0,10.0,242.0,5.0,5.0,7.0,7.0,nan,2.0,nan,HILL,nan,nan,9.242,7.273,C000232_032+0.464_038+0.576_S-232,32.464,38.576,7TH AVE,,Urban,4,1,HILL,1.0,758.9789999999999,0.2,623.75,3794.8949999999995,72.14562687853292,,7TH AVE
2023.0,S-232,A,5.076,C000232,A,C000232A,003+0.267,008+0.466,3.274,8.35,21-4A-020,nan,nan,E,303.0,3.0,nan,1.0,23.0,6.0,11.0,nan,4.0,86.0,22.0,RMA_RMC_345,5053.0,10.0,242.0,5.0,5.0,7.0,7.0,nan,2.0,nan,HILL,JCT S-233,JCT S-233,9.242,7.273,C000232_003+0.267_008+0.466_S-232,3.267,8.466,7TH AVE,,Urban,4,9,HILL,9.0,1538.0279999999998,1.8,168.33333333333334,854.4599999999998,320.41883612247517,,7TH AVE
2023.0,S-232,A,0.877,C000232,A,C000232A,002+0.391,003+0.267,2.397,3.274,21-4A-019,nan,nan,E,544.0,8.0,nan,0.0,127.0,115.0,16.0,nan,0.0,249.0,225.0,RMA_RMC_345,5051.0,10.0,113.0,65.0,65.0,99.0,99.0,nan,2.0,nan,HILL,nan,nan,2.632,18.421,C000232_002+0.391_003+0.267_S-232,2.391,3.267,7TH AVE,,Urban,4,2,HILL,2.0,477.088,0.4,1360.0,1192.72,229.5468162797724,,7TH AVE
2023.0,U-5711,A,0.193,C000232,A,C000232A,000+0.000,000+0.193,0.0,0.193,21-4A-052,nan,nan,E,3294.6,29.0,nan,10.0,204.0,136.0,9.0,nan,3.0,60.0,40.0,UMA_UC,8071.0,10.0,102.0,92.0,92.0,134.0,134.0,nan,2.0,nan,HILL,JCT N-1(1ST ST),ENT U-5711A/,0.606,2.121,C000232_000+0.000_000+0.193_U-5711,0.0,0.193,7TH AVE,,Urban,5,1,HILL,1.0,635.8578,0.2,16473.0,3179.2889999999998,86.11519075906912,,7TH AVE
2023.0,S-232,A,15.57,C000232,A,C000232A,008+0.466,024+0.015,8.35,23.92,21-2-001,nan,nan,A,216.75,3.0,nan,1.0,23.0,6.0,10.0,nan,3.0,77.0,20.0,RMA_RMC_345,5053.0,10.0,242.0,5.0,5.0,7.0,7.0,nan,2.0,nan,HILL,nan,nan,1.818,14.545,C000232_008+0.466_024+0.015_S-232,8.466,24.015,7TH AVE,,Urban,4,6,HILL,6.0,3374.7975,1.2,180.625,2812.33125,97.35164686350875,,7TH AVE
2023.0,U-5711,A,0.174,C000232,A,C000232A,000+0.193,000+0.366,0.193,0.366,21-4A-053,nan,nan,E,2896.25,29.0,nan,10.0,204.0,136.0,10.0,nan,3.0,69.0,46.0,UMA_UC,8071.0,10.0,102.0,92.0,92.0,134.0,134.0,nan,2.0,nan,HILL,nan,nan,0.606,2.121,C000232_000+0.193_000+0.366_U-5711,0.193,0.366,7TH AVE,,Urban,4,4,HILL,4.0,503.9475,0.8,3620.3125,629.9343749999999,434.62476343382616,,7TH AVE
2023.0,S-232,A,1.76,C000232,A,C000232A,000+0.637,002+0.391,0.637,2.397,21-4A-066,nan,nan,A,686.0,8.0,nan,0.0,127.0,115.0,12.0,nan,0.0,185.0,168.0,RMA_RMC_345,5051.0,10.0,113.0,65.0,65.0,100.0,100.0,nan,2.0,nan,HILL,nan,ENT S-232A,2.632,18.421,C000232_000+0.637_002+0.391_S-232,0.637,2.391,7TH AVE,,Urban,1,3,HILL,3.0,1207.36,0.6,1143.3333333333335,2012.2666666666667,136.0580499833737,,7TH AVE
2023.0,U-5711,A,0.271,C000232,A,C000232A,000+0.366,000+0.637,0.366,0.637,21-4A-054,nan,nan,E,1991.0,29.0,nan,10.0,204.0,136.0,15.0,nan,5.0,102.0,68.0,UMA_UC,8071.0,10.0,102.0,92.0,92.0,134.0,134.0,nan,2.0,nan,HILL,nan,nan,0.606,2.121,C000232_000+0.366_000+0.637_U-5711,0.366,0.637,7TH AVE,,Urban,1,2,HILL,2.0,539.561,0.4,4977.5,1348.9025,202.9687681008895,,7TH AVE
