SEGMENT_KEY,CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C000275_000+0.029_000+0.477_S-275,C000275,A,000+0.068,DEER LODGE,POWELL,MARCH,2020,MON,352257.73259,245339.88041,,,0.068
C000275_000+0.029_000+0.477_S-275,C000275,A,000+0.222,DEER LODGE,POWELL,JUNE,2019,WED,352013.66500,245313.33600,0,0,0.222
C000275_000+0.029_000+0.477_S-275,C000275,A,000+0.274,DEER LODGE,POWELL,SEPTEMBER,2020,MON,351930.44810,245316.01150,46.4115583513712,-112.729117778021,0.274
C000275_000+0.477_001+0.055_S-275,C000275,A,000+0.483,NOT IN CITY LIMITS,POWELL,OCTOBER,2021,SAT,351628.50000,245193.35800,46.411467270215297,-112.734339237005,0.483
C000275_000+0.477_001+0.055_S-275,C000275,A,000+0.767,NOT IN CITY LIMITS,POWELL,JUNE,2020,MON,351486.20501,244778.71514,,,0.767
C000275_000+0.477_001+0.055_S-275,C000275,A,000+0.977,NOT IN CITY LIMITS,POWELL,NOVEMBER,2021,SUN,351461.79179,244440.98425,46.403514862060497,-112.734741210938,0.977
C000275_001+0.122_001+0.364_S-275,C000275,A,001+0.312,DEER LODGE,POWELL,DECEMBER,2020,TUE,351400.82951,243906.28965,,,1.312
C000275_001+0.122_001+0.364_S-275,C000275,A,001+0.364,DEER LODGE,POWELL,JUNE,2020,MON,351393.59745,243821.48402,46.3979181084926,-112.735294904717,1.3639999999999999
C000275_001+0.871_002+0.302_S-275,C000275,A,001+0.953,DEER LODGE,POWELL,SEPTEMBER,2023,SAT,351312.65044,242877.67750,46.389400000000002,-112.73584,1.9529999999999998
C000275_002+0.302_002+0.904_S-275,C000275,A,002+0.673,NOT IN CITY LIMITS,POWELL,MARCH,2022,FRI,351056.49081,241751.13180,46.379173278808601,-112.738563537598,2.673
C000275_002+0.302_002+0.904_S-275,C000275,A,002+0.723,NOT IN CITY LIMITS,POWELL,NOVEMBER,2020,FRI,351030.70064,241674.76936,,,2.723
C000275_002+0.302_002+0.904_S-275,C000275,A,002+0.745,DEER LODGE,POWELL,DECEMBER,2020,FRI,351010.76102,241643.69012,,,2.745
C000275_002+0.302_002+0.904_S-275,C000275,A,002+0.758,NOT IN CITY LIMITS,POWELL,MARCH,2022,TUE,351018.79600,241618.72500,46.3779648310977,-112.738990243496,2.758
C000275_002+0.302_002+0.904_S-275,C000275,A,002+0.805,NOT IN CITY LIMITS,POWELL,FEBRUARY,2019,SAT,350998.93898,241546.31700,,,2.805
