SEGMENT_KEY,CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C000002_000+0.000_000+0.155_N-2,C000002,A,000+0.019,NOT IN CITY LIMITS,CUSTER,OCTOBER,2023,SAT,878882.97513,242446.19158,46.373614914293803,-105.87205546920499,0.019
C000002_000+0.000_000+0.155_N-2,C000002,A,000+0.087,NOT IN CITY LIMITS,CUSTER,FEBRUARY,2020,SAT,878883.59062,242555.18916,,,0.087
C000002_000+0.155_001+0.766_N-2,C000002,A,000+0.158,NOT IN CITY LIMITS,CUSTER,JUNE,2023,WED,878896.93223,242668.59368,46.375608805778498,-105.87174023868999,0.158
C000002_002+0.510_002+0.650_N-2,C000002,A,002+0.571,MILES CITY,CUSTER,MARCH,2023,TUE,880171.21300,246027.71300,46.4052837921963,-105.853132393444,2.5709999999999997
C000002_002+0.650_002+0.775_N-2,C000002,A,002+0.718,MILES CITY,CUSTER,JULY,2021,SUN,880393.12272,246147.44495,46.4062629236077,-105.850196522529,2.718
C000002_002+0.650_002+0.775_N-2,C000002,A,002+0.720,MILES CITY,CUSTER,AUGUST,2021,WED,880381.88119,246140.83054,46.406208164701297,-105.85034664766501,2.7199999999999998
C000002_002+0.650_002+0.775_N-2,C000002,A,002+0.740,MILES CITY,CUSTER,DECEMBER,2021,SUN,880409.82446,246158.79365,46.406357960328997,-105.849972555995,2.74
C000002_002+0.650_002+0.775_N-2,C000002,A,002+0.767,MILES CITY,CUSTER,JUNE,2021,SAT,880463.43304,246175.69990,46.4064874890094,-105.849265506299,2.767
C000002_002+0.650_002+0.775_N-2,C000002,A,002+0.767,MILES CITY,CUSTER,JUNE,2021,TUE,880462.27469,246182.77109,46.4065515539742,-105.849276275548,2.767
C000002_002+0.650_002+0.775_N-2,C000002,A,002+0.767,MILES CITY,CUSTER,MAY,2021,WED,880461.45996,246177.17175,46.4065015502754,-105.849290260031,2.767
C000002_002+0.650_002+0.775_N-2,C000002,A,002+0.772,MILES CITY,CUSTER,MAY,2023,MON,880458.55049,246175.79734,46.406490412788898,-105.849328910419,2.7720000000000002
C000002_002+0.775_002+0.839_N-2,C000002,A,002+0.775,MILES CITY,CUSTER,NOVEMBER,2022,THU,880462.80400,246177.77100,46.4065140639517,-105.849265678023,2.775
C000002_002+0.775_002+0.839_N-2,C000002,A,002+0.780,MILES CITY,CUSTER,OCTOBER,2020,TUE,880468.67190,246183.59302,,,2.7800000000000002
C000002_002+0.775_002+0.839_N-2,C000002,A,002+0.787,MILES CITY,CUSTER,JULY,2022,FRI,880479.49700,246187.31300,46.4065140639517,-105.849265678023,2.787
C000002_002+0.775_002+0.839_N-2,C000002,A,002+0.791,MILES CITY,CUSTER,APRIL,2023,SAT,880482.87067,246196.90521,46.406669999999998,-105.849,2.791
C000002_002+0.775_002+0.839_N-2,C000002,A,002+0.835,MILES CITY,CUSTER,JUNE,2020,THU,880547.60600,246224.33900,46.4068991117549,-105.848062771385,2.835
