YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,N-98,A,0.396,C000098,A,C000098A,000+0.331,000+0.728,0.331,0.728,11-5A-012,nan,nan,E,1112.75,12.0,nan,9.0,124.0,83.0,11.0,nan,8.0,109.0,73.0,UPA,4106.0,10.0,102.0,62.0,62.0,97.0,97.0,nan,4.0,nan,DAWSON,nan,BEGIN 4 LANES,1.46,1.825,C000098_000+0.331_000+0.728_N-98,0.331,0.728,W TOWNE ST,BR I-94,NI-NHS,4,1,DAWSON,1.0,440.649,0.2,5563.75,2203.245,,BR I-94
2023.0,N-98,A,0.331,C000098,A,C000098A,000+0.000,000+0.331,0.0,0.331,11-5A-012,nan,nan,E,1112.75,12.0,nan,9.0,124.0,83.0,11.0,nan,8.0,109.0,73.0,UPA,4106.0,10.0,102.0,62.0,62.0,97.0,97.0,nan,2.0,nan,DAWSON,JCT GLENDIVE CIRCLE,ENT N-98A/,1.46,1.825,C000098_000+0.000_000+0.331_N-98,0.0,0.331,W TOWNE ST,BR I-94,NI-NHS,4,0,DAWSON,,368.32025000000004,0.0,None,None,,BR I-94
2023.0,P-97,A,0.122,C000097,A,C000097A,000+0.219,000+0.341,0.219,0.341,55-1-013,nan,nan,E,1132.3333333333333,12.0,nan,1.0,139.0,106.0,8.0,nan,1.0,95.0,73.0,RMA_RMC_345,4105.0,10.0,113.0,62.0,62.0,96.0,96.0,nan,2.0,nan,WIBAUX,JCT I-94 OFF RAMP W WIBAUX INTERCHANGE,JCT I-94 OFF RAMP W WIBAUX INTERCHANGE,3.049,12.805,C000097_000+0.219_000+0.341_P-97,0.219,0.341,W 2ND AVE N,BR I-94,Primary,3,0,WIBAUX,,138.14466666666667,0.0,None,None,,BR I-94
2023.0,P-97,A,0.219,C000097,A,C000097A,000+0.000,000+0.219,0.0,0.219,55-1-013,nan,nan,E,1211.5,12.0,nan,1.0,139.0,106.0,8.0,nan,1.0,95.0,73.0,RMA_RMC_345,4105.0,10.0,113.0,62.0,62.0,96.0,96.0,nan,2.0,nan,WIBAUX,JCT P-27 IN WIBAUX,ENT P-97A/,3.049,12.805,C000097_000+0.000_000+0.219_P-97,0.0,0.219,W 2ND AVE N,BR I-94,Primary,4,1,WIBAUX,1.0,265.31850000000003,0.2,6057.5,1326.5925,,BR I-94
2023.0,P-95,A,0.409,C000095,A,C000095A,001+0.216,001+0.625,1.216,1.625,44-5-014,nan,nan,E,1392.0,16.0,nan,1.0,59.0,22.0,12.0,nan,1.0,45.0,17.0,RMA_RMC_345,4103.0,10.0,117.0,24.0,24.0,35.0,35.0,nan,2.0,nan,ROSEBUD,nan,nan,2.151,1.613,C000095_001+0.216_001+0.625_P-95,1.216,1.625,FRONT ST,BR I-94,Primary,4,0,ROSEBUD,,569.328,0.0,None,None,,BR I-94
2023.0,P-95,A,0.552,C000095,A,C000095A,000+0.664,001+0.216,0.664,1.216,44-5-015,nan,nan,E,1767.8,16.0,nan,1.0,59.0,22.0,9.0,nan,1.0,33.0,12.0,RMA_RMC_345,4103.0,10.0,117.0,24.0,24.0,35.0,35.0,nan,2.0,nan,ROSEBUD,nan,nan,2.151,1.613,C000095_000+0.664_001+0.216_P-95,0.664,1.216,FRONT ST,BR I-94,Primary,5,1,ROSEBUD,1.0,975.8256,0.2,8839.0,4879.128,,BR I-94
2023.0,P-95,A,0.598,C000095,A,C000095A,000+0.066,000+0.664,0.066,0.664,44-5-016,nan,nan,E,1569.5,16.0,nan,1.0,59.0,22.0,11.0,nan,1.0,39.0,15.0,RMA_RMC_345,4103.0,10.0,117.0,24.0,24.0,35.0,35.0,nan,2.0,nan,ROSEBUD,JCT I-94 ON RAMP E FORSYTH INTERCHANGE,JCT I-94 ON RAMP E FORSYTH INTERCHANGE,2.151,1.613,C000095_000+0.066_000+0.664_P-95,0.066,0.664,FRONT ST,BR I-94,Primary,4,0,ROSEBUD,,938.5609999999999,0.0,None,None,,BR I-94
2023.0,P-95,A,0.066,C000095,A,C000095A,000+0.000,000+0.066,0.0,0.066,44-5-016,nan,nan,E,1569.5,16.0,nan,1.0,59.0,22.0,11.0,nan,1.0,39.0,15.0,RMA_RMC_345,4103.0,10.0,117.0,24.0,24.0,35.0,35.0,nan,2.0,nan,ROSEBUD,nan,ENT P-95A,2.151,1.613,C000095_000+0.000_000+0.066_P-95,0.0,0.066,FRONT ST,BR I-94,Primary,4,1,ROSEBUD,1.0,103.587,0.2,7847.5,517.935,,BR I-94
2023.0,N-98,A,0.376,C000098,A,C000098A,000+0.728,001+0.117,0.728,1.104,11-5A-011,nan,nan,E,2417.0,12.0,nan,9.0,124.0,83.0,5.0,nan,4.0,50.0,33.0,UPA,4106.0,10.0,102.0,64.0,64.0,98.0,98.0,nan,4.0,nan,DAWSON,nan,nan,1.46,1.825,C000098_000+0.728_001+0.117_N-98,0.728,1.117,W TOWNE ST,BR I-94,NI-NHS,4,3,DAWSON,3.0,908.792,0.6,4028.3333333333335,1514.6533333333334,,BR I-94
2023.0,N-98,A,0.671,C000098,A,C000098A,001+0.117,001+0.789,1.104,1.775,11-5A-010,nan,nan,E,3136.3333333333335,12.0,nan,9.0,124.0,83.0,4.0,nan,3.0,37.0,25.0,UPA,4106.0,10.0,102.0,65.0,65.0,99.0,99.0,nan,4.0,nan,DAWSON,nan,nan,6.431,3.859,C000098_001+0.117_001+0.789_N-98,1.117,1.7890000000000001,W TOWNE ST,BR I-94,NI-NHS,3,3,DAWSON,3.0,2104.479666666667,0.6,5227.222222222223,3507.466111111112,,BR I-94
2023.0,P-2,A,1.193,C000002,A,C000002A,083+0.463,084+0.699,83.038,84.23,13-1-018,nan,nan,E,1690.5,22.0,nan,12.0,107.0,71.0,13.0,nan,7.0,63.0,42.0,RMA_RMC_345,4002.0,10.0,128.0,52.0,52.0,78.0,78.0,nan,2.0,nan,FALLON,nan,nan,8.989,6.742,C000002_083+0.463_084+0.699_P-2,83.463,84.699,BUSINESS RTE 94,BR I-94,NI-NHS,4,0,FALLON,,2016.7665000000002,0.0,None,None,,BR I-94
2023.0,P-2,A,0.421,C000002,A,C000002A,083+0.042,083+0.463,82.616,83.038,13-1-017,nan,nan,E,2289.5,22.0,nan,12.0,107.0,71.0,10.0,nan,5.0,46.0,31.0,RMA_RMC_345,4002.0,10.0,128.0,53.0,53.0,79.0,79.0,nan,2.0,nan,FALLON,JCT P-27,JCT P-27,1.293,0.862,C000002_083+0.042_083+0.463_P-2,83.042,83.463,BUSINESS RTE 94,BR I-94,NI-NHS,4,0,FALLON,,963.8795,0.0,None,None,,BR I-94
2023.0,P-2,A,3.393,C000002,A,C000002A,079+0.230,082+0.629,78.791,82.184,13-1-015,nan,nan,E,1535.5,2.0,nan,4.0,101.0,62.0,1.0,nan,3.0,63.0,39.0,RMA_RMC_345,4001.0,10.0,120.0,39.0,39.0,59.0,59.0,nan,2.0,nan,FALLON,nan,nan,11.429,15.714,C000002_079+0.230_082+0.629_P-2,79.23,82.629,BUSINESS RTE 94,BR I-94,NI-NHS,4,2,FALLON,2.0,5209.9515,0.4,3838.75,13024.87875,,BR I-94
2023.0,P-2,A,6.601,C000002,A,C000002A,063+0.892,070+0.504,63.46,70.061,13-1-003,nan,nan,E,505.5,2.0,nan,4.0,101.0,62.0,4.0,nan,8.0,203.0,124.0,RMA_RMC_345,4001.0,10.0,120.0,38.0,38.0,58.0,58.0,nan,2.0,nan,FALLON,nan,nan,7.018,19.298,C000002_063+0.892_070+0.504_P-2,63.892,70.504,BUSINESS RTE 94,BR I-94,NI-NHS,4,4,FALLON,4.0,3336.8055,0.8,631.875,4171.006875,,BR I-94
2023.0,P-2,A,6.049,C000002,A,C000002A,051+0.754,057+0.767,51.305,57.354,13-1-001,nan,nan,E,470.75,2.0,nan,4.0,101.0,62.0,4.0,nan,8.0,205.0,126.0,RMA_RMC_345,4001.0,10.0,120.0,38.0,38.0,58.0,58.0,nan,2.0,nan,FALLON,nan,nan,11.429,15.714,C000002_051+0.754_057+0.767_P-2,51.754,57.767,BUSINESS RTE 94,BR I-94,NI-NHS,4,0,FALLON,,2847.56675,0.0,None,None,,BR I-94
