SEGMENT_KEY,CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C008107_000+0.000_000+0.276_N-130,C008107,D,000+0.188,MISSOULA,MISSOULA,AUGUST,2023,WED,257896.14035,302069.17996,46.88008,-113.9932,0.188
C008107_000+0.276_000+0.812_N-130,C008107,D,000+0.319,MISSOULA,MISSOULA,JANUARY,2019,FRI,256261.85600,299551.83700,,,0.319
C008107_000+0.276_000+0.812_N-130,C008107,D,000+0.328,MISSOULA,MISSOULA,APRIL,2019,WED,256272.50500,299560.46200,46.8560410376661,-114.013022358042,0.328
C008107_000+0.276_000+0.812_N-130,C008107,D,000+0.333,MISSOULA,MISSOULA,OCTOBER,2022,SUN,256279.05050,299565.96885,46.856749999999998,-114.0125,0.333
C008107_000+0.276_000+0.812_N-130,C008107,D,000+0.336,MISSOULA,MISSOULA,MARCH,2023,THU,256272.14555,299578.60851,46.856859999999998,-114.01260000000001,0.336
C008107_000+0.276_000+0.812_N-130,C008107,D,000+0.347,MISSOULA,MISSOULA,DECEMBER,2020,MON,256287.17500,299589.37800,,,0.347
C008107_000+0.276_000+0.812_N-130,C008107,D,000+0.359,MISSOULA,MISSOULA,NOVEMBER,2019,THU,256308.98700,299594.48500,,,0.359
C008107_000+0.276_000+0.812_N-130,C008107,D,000+0.383,MISSOULA,MISSOULA,JUNE,2019,MON,256336.66300,299620.81600,46.8572224487627,-114.01191249886,0.383
C008107_000+0.276_000+0.812_N-130,C008107,D,000+0.391,MISSOULA,MISSOULA,JUNE,2019,WED,256346.61100,299629.77900,,,0.391
C008107_000+0.276_000+0.812_N-130,C008107,D,000+0.426,MISSOULA,MISSOULA,OCTOBER,2021,THU,256377.13362,299678.27526,46.857810000000001,-114.01130000000001,0.426
C008107_000+0.276_000+0.812_N-130,C008107,D,000+0.459,MISSOULA,MISSOULA,JUNE,2021,WED,256423.34100,299707.19500,46.8581423955831,-114.010651549472,0.459
C008107_000+0.276_000+0.812_N-130,C008107,D,000+0.480,MISSOULA,MISSOULA,SEPTEMBER,2021,MON,256448.21700,299731.67400,0,0,0.48
C008107_000+0.276_000+0.812_N-130,C008107,D,000+0.551,MISSOULA,MISSOULA,FEBRUARY,2021,FRI,256531.32720,299810.02320,46.8590737494474,-114.00937959016,0.551
C008107_000+0.276_000+0.812_N-130,C008107,D,000+0.551,MISSOULA,MISSOULA,MARCH,2020,FRI,256533.52090,299807.60720,46.8590737494474,-114.00937959016,0.551
C008107_000+0.276_000+0.812_N-130,C008107,D,000+0.572,MISSOULA,MISSOULA,APRIL,2019,SAT,256557.42000,299831.10200,,,0.572
