YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,PER_100M_VMT,LOCATION,ROUTE_FILE_NAME
2023.0,N-130,A,0.356,C008107,A,C008107A,001+0.980,002+0.336,1.98,2.336,32-3A-230,nan,nan,A,17481.0,52.0,nan,82.0,214.0,23.0,3.0,nan,5.0,12.0,1.0,UPA,7086.0,10.0,109.0,105.0,105.0,139.0,139.0,nan,2.0,nan,MISSOULA,nan,BEGIN 2 LANES,1.168,0.058,C008107_001+0.980_002+0.336_N-130,1.98,2.336,STEPHENS AVE,BR US-93,NI-NHS,1,35,MISSOULA,35.0,6223.236,7.0,2497.285714285714,889.0337142857143,307.9580383891067,,BR US-93
2023.0,N-130,A,0.074,C008107,A,C008107A,001+0.906,001+0.980,1.906,1.98,32-3A-225,nan,nan,E,16837.5,52.0,nan,82.0,214.0,23.0,3.0,nan,5.0,12.0,1.0,UPA,7086.0,10.0,109.0,105.0,105.0,140.0,140.0,nan,4.0,nan,MISSOULA,JCT U-8106(SPRUCE ST),JCT U-8106(SPRUCE ST),1.168,0.058,C008107_001+0.906_001+0.980_N-130,1.9060000000000001,1.98,STEPHENS AVE,BR US-93,NI-NHS,4,11,MISSOULA,11.0,1245.975,2.2,7653.40909090909,566.3522727272726,483.418345608108,,BR US-93
2023.0,N-130,A,0.145,C008107,A,C008107A,001+0.761,001+0.906,1.761,1.906,32-3A-225,nan,nan,E,16837.5,52.0,nan,82.0,214.0,23.0,3.0,nan,5.0,12.0,1.0,UPA,7086.0,10.0,109.0,105.0,105.0,140.0,140.0,nan,4.0,nan,MISSOULA,JCT N-131 (W BROADWAY ST),JCT N-131 (W BROADWAY ST),1.168,0.058,C008107_001+0.761_001+0.906_N-130,1.7610000000000001,1.9060000000000001,STEPHENS AVE,BR US-93,NI-NHS,4,27,MISSOULA,27.0,2441.4375,5.4,3118.055555555555,452.11805555555554,605.5610373197491,,BR US-93
2023.0,N-130,A,0.069,C008107,A,C008107A,001+0.692,001+0.761,1.692,1.761,A-037,Yes,nan,A,21715.5,52.0,nan,82.0,214.0,23.0,2.0,nan,4.0,9.0,1.0,UPA,7086.0,10.0,109.0,107.0,107.0,142.0,142.0,nan,4.0,nan,MISSOULA,JCT U-8108(MAIN ST),JCT U-8108(MAIN ST),1.168,0.058,C008107_001+0.692_001+0.761_N-130,1.692,1.7610000000000001,STEPHENS AVE,BR US-93,NI-NHS,4,14,MISSOULA,14.0,1498.3695,2.8,7755.535714285715,535.1319642857143,511.62161295794414,,BR US-93
2023.0,N-130,A,0.478,C008107,A,C008107A,001+0.214,001+0.692,1.214,1.692,A-037,Yes,nan,A,21715.5,52.0,nan,82.0,214.0,23.0,2.0,nan,4.0,9.0,1.0,UPA,7086.0,10.0,109.0,107.0,107.0,142.0,142.0,nan,4.0,nan,MISSOULA,JCT U-8102(S 3RD ST),JCT U-8102(S 3RD ST),1.168,0.058,C008107_001+0.214_001+0.692_N-130,1.214,1.692,STEPHENS AVE,BR US-93,NI-NHS,4,57,MISSOULA,57.0,10380.009,11.4,1904.8684210526314,910.5271052631579,300.68855405911455,,BR US-93
2023.0,N-130,A,0.137,C008107,A,C008107A,001+0.077,001+0.214,1.077,1.214,32-3A-208,nan,nan,E,18105.75,55.0,nan,145.0,182.0,51.0,3.0,nan,8.0,10.0,3.0,UPA,7093.0,10.0,107.0,120.0,120.0,157.0,157.0,nan,4.0,nan,MISSOULA,JCT U-8114(S 5TH ST),JCT U-8114(S 5TH ST),0.525,0.095,C008107_001+0.077_001+0.214_N-130,1.077,1.214,STEPHENS AVE,BR US-93,NI-NHS,4,44,MISSOULA,44.0,2480.4877500000002,8.8,2057.4715909090905,281.87360795454543,971.3044108668744,,BR US-93
2023.0,N-130,A,0.036,C008107,A,C008107A,001+0.041,001+0.077,1.041,1.077,32-3A-208,nan,nan,E,18105.75,55.0,nan,145.0,182.0,51.0,3.0,nan,8.0,10.0,3.0,UPA,7093.0,10.0,107.0,120.0,120.0,157.0,157.0,nan,4.0,nan,MISSOULA,nan,nan,0.525,0.095,C008107_001+0.041_001+0.077_N-130,1.041,1.077,STEPHENS AVE,BR US-93,NI-NHS,4,3,MISSOULA,3.0,651.8069999999999,0.6,30176.25,1086.3449999999998,252.02406115295798,,BR US-93
2023.0,N-130,A,0.033,C008107,A,C008107A,001+0.009,001+0.041,1.009,1.041,32-3A-203,nan,nan,E,17556.25,55.0,nan,145.0,182.0,51.0,3.0,nan,8.0,10.0,3.0,UPA,7093.0,10.0,107.0,120.0,120.0,157.0,157.0,nan,4.0,nan,MISSOULA,JCT U-8118(S 6TH ST),JCT U-8118(S 6TH ST),0.617,0.103,C008107_001+0.009_001+0.041_N-130,1.009,1.041,STEPHENS AVE,BR US-93,NI-NHS,4,11,MISSOULA,11.0,579.35625,2.2,7980.113636363636,263.34375,1039.6490469707753,,BR US-93
2023.0,N-130,A,0.197,C008107,A,C008107A,000+0.812,001+0.009,0.812,1.009,32-3A-203,nan,nan,E,17556.25,55.0,nan,145.0,182.0,51.0,3.0,nan,8.0,10.0,3.0,UPA,7093.0,10.0,107.0,120.0,120.0,157.0,157.0,nan,4.0,nan,MISSOULA,JCT U-8126(BECKWITH ST),JCT U-8126(BECKWITH ST),0.617,0.103,C008107_000+0.812_001+0.009_N-130,0.812,1.009,STEPHENS AVE,BR US-93,NI-NHS,4,15,MISSOULA,15.0,3458.58125,3.0,5852.083333333333,1152.8604166666667,237.48328484104007,,BR US-93
2023.0,N-130,A,0.536,C008107,A,C008107A,000+0.276,000+0.812,0.276,0.812,32-3A-260,nan,nan,E,14475.75,55.0,nan,145.0,182.0,51.0,4.0,nan,10.0,13.0,4.0,UPA,7093.0,10.0,107.0,119.0,119.0,156.0,156.0,nan,4.0,nan,MISSOULA,JCT U-8116(MOUNT AVE),JCT U-8116(MOUNT AVE),1.065,0.133,C008107_000+0.276_000+0.812_N-130,0.276,0.812,STEPHENS AVE,BR US-93,NI-NHS,4,47,MISSOULA,47.0,7759.002,9.4,1539.973404255319,825.425744680851,331.6895317083531,,BR US-93
2023.0,N-130,A,0.276,C008107,A,C008107A,000+0.000,000+0.276,0.0,0.276,32-3A-168,nan,nan,E,13508.0,55.0,nan,145.0,182.0,51.0,4.0,nan,10.0,13.0,4.0,UPA,7093.0,10.0,107.0,119.0,119.0,156.0,156.0,nan,4.0,nan,MISSOULA,JCT N-7(BROOKS ST),ENT N-130A/,1.065,0.133,C008107_000+0.000_000+0.276_N-130,0.0,0.276,STEPHENS AVE,BR US-93,NI-NHS,4,61,MISSOULA,61.0,3728.2080000000005,12.2,1107.2131147540983,305.5908196721312,895.9204959329422,,BR US-93
