YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,PER_100M_VMT,LOCATION,ROUTE_FILE_NAME
2023.0,U-1035,A,0.091,C001035,A,C001035A,000+0.000,000+0.091,0.0,0.091,56-4A-068,nan,nan,E,5043.2,11.0,nan,20.0,84.0,8.0,2.0,nan,4.0,16.0,2.0,UPA,7125.0,10.0,98.0,39.0,39.0,51.0,51.0,Yes,4.0,nan,YELLOWSTONE,JCT N-113(MONTANA AVE),ENT U-1035A/BEGIN ONEWAY ROADWAY/,0.0,0.396,C001035_000+0.000_000+0.091_U-1035,0.0,0.091,CENTRAL AVE,,Urban,5,17,YELLOWSTONE,17.0,458.9312,3.4,1483.2941176470588,134.97976470588236,2028.3416503931624,,CENTRAL AVE
2023.0,U-1008,A,0.133,C001008,A,C001008A,003+0.970,004+0.104,3.97,4.104,56-4A-209,nan,nan,E,2881.0,51.0,nan,93.0,170.0,32.0,18.0,nan,32.0,59.0,11.0,UPA,7126.0,10.0,114.0,80.0,80.0,106.0,106.0,nan,4.0,nan,YELLOWSTONE,nan,nan,0.0,0.0,C001008_003+0.970_004+0.104_U-1008,3.9699999999999998,4.104,CENTRAL AVE,,Urban,1,5,YELLOWSTONE,5.0,383.173,1.0,2881.0,383.173,714.5208005606087,,CENTRAL AVE
2023.0,U-1008,A,0.536,C001008,A,C001008A,002+0.572,003+0.108,2.572,3.108,56-4A-064,nan,nan,A,13666.0,41.0,nan,41.0,87.0,10.0,3.0,nan,3.0,6.0,1.0,UPA,7057.0,16.0,103.0,48.0,48.0,62.0,62.0,nan,4.0,nan,YELLOWSTONE,nan,nan,13.665,5.28,C001008_002+0.572_003+0.108_U-1008,2.572,3.108,CENTRAL AVE,,Urban,1,57,YELLOWSTONE,57.0,7324.976000000001,11.4,1198.7719298245613,642.541754385965,426.09694520918504,,CENTRAL AVE
2023.0,U-1008,A,0.589,C001008,A,C001008A,001+0.429,002+0.017,1.429,2.017,56-4A-062,nan,nan,A,17985.0,41.0,nan,41.0,87.0,10.0,2.0,nan,2.0,5.0,1.0,UPA,7057.0,16.0,103.0,49.0,49.0,63.0,63.0,nan,4.0,nan,YELLOWSTONE,nan,nan,13.665,5.28,C001008_001+0.429_002+0.017_U-1008,1.429,2.017,CENTRAL AVE,,Urban,1,104,YELLOWSTONE,104.0,10593.164999999999,20.8,864.6634615384615,509.28677884615377,537.585286100497,,CENTRAL AVE
2023.0,U-1008,A,0.408,C001008,A,C001008A,001+0.021,001+0.429,1.021,1.429,56-4A-061,nan,nan,A,14847.0,41.0,nan,41.0,87.0,10.0,3.0,nan,3.0,6.0,1.0,UPA,7057.0,16.0,103.0,48.0,48.0,62.0,62.0,nan,4.0,nan,YELLOWSTONE,nan,nan,13.665,5.28,C001008_001+0.021_001+0.429_U-1008,1.021,1.429,CENTRAL AVE,,Urban,1,9,YELLOWSTONE,9.0,6057.576,1.8,8248.333333333334,3365.3199999999997,81.35484254490217,,CENTRAL AVE
2023.0,U-1008,A,0.505,C001008,A,C001008A,000+0.000,000+0.505,0.0,0.505,56-4A-059,nan,nan,E,11970.0,41.0,nan,41.0,87.0,10.0,3.0,nan,3.0,7.0,1.0,UPA,7057.0,16.0,103.0,47.0,47.0,61.0,61.0,nan,4.0,nan,YELLOWSTONE,JCT SHILOH RD,ENT U-1008A/,1.28,0.384,C001008_000+0.000_000+0.505_U-1008,0.0,0.505,CENTRAL AVE,,Urban,1,20,YELLOWSTONE,20.0,6044.85,4.0,2992.5,1511.2125,181.16914643917394,,CENTRAL AVE
2023.0,U-1008,A,0.499,C001008,A,C001008A,003+0.471,003+0.970,3.471,3.97,56-4A-066,nan,nan,A,13686.0,41.0,nan,41.0,87.0,10.0,3.0,nan,3.0,6.0,1.0,UPA,7057.0,16.0,103.0,48.0,48.0,62.0,62.0,nan,4.0,nan,YELLOWSTONE,nan,nan,13.665,5.28,C001008_003+0.471_003+0.970_U-1008,3.471,3.9699999999999998,CENTRAL AVE,,Urban,1,69,YELLOWSTONE,69.0,6829.314,13.8,991.7391304347825,494.87782608695653,553.2377170301878,,CENTRAL AVE
2023.0,U-1008,A,0.497,C001008,A,C001008A,004+0.104,004+0.601,4.104,4.601,56-4A-209,nan,nan,E,2881.0,51.0,nan,93.0,170.0,32.0,18.0,nan,32.0,59.0,11.0,UPA,7126.0,10.0,114.0,80.0,80.0,106.0,106.0,Yes,1.0,nan,YELLOWSTONE,JCT U-1035 AND N 7TH ST W,BEGIN 1 LANE/BEGIN ONEWAY ROADWAY/JCT U-1035 AND N 7TH ST W,0.0,0.0,C001008_004+0.104_004+0.601_U-1008,4.104,4.601,CENTRAL AVE,,Urban,1,1,YELLOWSTONE,1.0,1431.857,0.2,14405.0,7159.285,38.241958339863565,,CENTRAL AVE
2023.0,U-1008,A,0.516,C001008,A,C001008A,000+0.505,001+0.021,0.505,1.021,56-4A-060,nan,nan,E,11295.0,41.0,nan,41.0,87.0,10.0,4.0,nan,4.0,8.0,1.0,UPA,7057.0,16.0,103.0,47.0,47.0,61.0,61.0,nan,4.0,nan,YELLOWSTONE,nan,nan,13.665,5.28,C001008_000+0.505_001+0.021_U-1008,0.505,1.021,CENTRAL AVE,,Urban,1,23,YELLOWSTONE,23.0,5828.22,4.6,2455.434782608696,1267.004347826087,216.08850765426948,,CENTRAL AVE
2023.0,U-1008,A,0.363,C001008,A,C001008A,003+0.108,003+0.471,3.108,3.471,56-4A-065,nan,nan,E,12050.0,41.0,nan,41.0,87.0,10.0,3.0,nan,3.0,7.0,1.0,UPA,7057.0,16.0,103.0,47.0,47.0,61.0,61.0,nan,4.0,nan,YELLOWSTONE,JCT U-1009(REGAL ST),JCT U-1009(REGAL ST),19.337,4.144,C001008_003+0.108_003+0.471_U-1008,3.108,3.471,CENTRAL AVE,,Urban,1,63,YELLOWSTONE,63.0,4374.15,12.6,956.3492063492064,347.15476190476187,788.6542509485153,,CENTRAL AVE
