YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,PER_100M_VMT,LOCATION,ROUTE_FILE_NAME
2023.0,U-1801,A,0.453,C001801,A,C001801A,002+0.547,002+0.999,2.547,2.999,47-1C-034,nan,nan,E,1543.75,7.0,nan,5.0,6.0,0.0,4.0,nan,3.0,4.0,0.0,UMA_UC,8037.0,10.0,96.0,4.0,4.0,5.0,5.0,nan,2.0,nan,SILVER BOW,nan,nan,5.797,0.0,C001801_002+0.547_002+0.999_U-1801,2.547,2.999,EXCELSIOR,,Urban,4,1,SILVER BOW,1.0,699.31875,0.2,7718.75,3496.59375,78.3005113800281,,EXCELSIOR
2023.0,U-1801,A,0.26,C001801,A,C001801A,000+0.863,001+0.124,0.863,1.124,47-1C-030,nan,nan,E,4501.0,14.0,nan,23.0,106.0,39.0,3.0,nan,5.0,22.0,8.0,UMA_UC,8147.0,10.0,96.0,50.0,50.0,72.0,72.0,nan,2.0,nan,SILVER BOW,JCT U-1804(PARK ST),JCT U-1804(PARK ST),0.877,0.658,C001801_000+0.863_001+0.124_U-1801,0.863,1.124,EXCELSIOR,,Urban,4,11,SILVER BOW,11.0,1170.26,2.2,2045.9090909090908,531.9363636363636,514.6951730120335,,EXCELSIOR
2023.0,U-1801,A,0.373,C001801,A,C001801A,000+0.490,000+0.863,0.49,0.863,47-1C-029,nan,nan,E,3791.6,9.0,nan,16.0,72.0,27.0,3.0,nan,5.0,21.0,8.0,UMA_UC,8147.0,10.0,96.0,34.0,34.0,49.0,49.0,nan,2.0,nan,SILVER BOW,nan,nan,0.402,0.0,C001801_000+0.490_000+0.863_U-1801,0.49,0.863,EXCELSIOR,,Urban,5,11,SILVER BOW,11.0,1414.2667999999999,2.2,1723.4545454545453,642.8485454545454,425.89359600965133,,EXCELSIOR
2023.0,U-1801,A,0.404,C001801,A,C001801A,001+0.438,001+0.841,1.438,1.841,47-1C-031,nan,nan,E,1814.4,7.0,nan,5.0,6.0,0.0,4.0,nan,3.0,3.0,0.0,UMA_UC,8037.0,10.0,96.0,4.0,4.0,5.0,5.0,nan,2.0,nan,SILVER BOW,nan,nan,5.797,0.0,C001801_001+0.438_001+0.841_U-1801,1.438,1.841,EXCELSIOR,,Urban,5,2,SILVER BOW,2.0,733.0176000000001,0.4,4536.0,1832.5440000000003,149.40163985869378,,EXCELSIOR
2023.0,U-1801,A,0.49,C001801,A,C001801A,000+0.000,000+0.490,0.0,0.49,47-1C-028,nan,nan,E,3414.8,7.0,nan,12.0,54.0,20.0,3.0,nan,4.0,20.0,7.0,UMA_UC,8147.0,10.0,96.0,26.0,26.0,37.0,37.0,nan,2.0,nan,SILVER BOW,nan,ENT U-1801A,0.639,0.329,C001801_000+0.000_000+0.490_U-1801,0.0,0.49,EXCELSIOR,,Urban,5,3,SILVER BOW,3.0,1673.252,0.6,5691.333333333334,2788.7533333333336,98.17472038158394,,EXCELSIOR
2023.0,U-1801,A,0.311,C001801,A,C001801A,001+0.841,002+0.152,1.841,2.152,47-1C-032,nan,nan,E,690.0,7.0,nan,5.0,6.0,0.0,10.0,nan,7.0,8.0,0.0,UMA_UC,8037.0,10.0,96.0,3.0,3.0,4.0,4.0,nan,2.0,nan,SILVER BOW,nan,nan,5.797,0.0,C001801_001+0.841_002+0.152_U-1801,1.841,2.152,EXCELSIOR,,Urban,5,0,SILVER BOW,,214.59,0.0,None,None,0.0,,EXCELSIOR
2023.0,U-1801,A,0.54,C001801,A,C001801A,002+0.999,003+0.539,2.999,3.539,47-1C-035,nan,nan,E,2115.0,7.0,nan,5.0,6.0,0.0,3.0,nan,2.0,3.0,0.0,UMA_UC,8037.0,10.0,96.0,4.0,4.0,5.0,5.0,nan,2.0,nan,SILVER BOW,nan,nan,5.797,0.0,C001801_002+0.999_003+0.539_U-1801,2.999,3.539,EXCELSIOR,,Urban,4,4,SILVER BOW,4.0,1142.1000000000001,0.8,2643.75,1427.625,191.77660710145182,,EXCELSIOR
2023.0,U-1801,A,0.229,C001801,A,C001801A,003+0.539,003+0.768,3.539,3.768,47-1C-036,nan,nan,E,3177.5,7.0,nan,5.0,6.0,0.0,2.0,nan,2.0,2.0,0.0,UMA_UC,8037.0,10.0,96.0,5.0,5.0,6.0,6.0,nan,2.0,nan,SILVER BOW,nan,nan,5.797,0.0,C001801_003+0.539_003+0.768_U-1801,3.539,3.768,EXCELSIOR,,Urban,4,17,SILVER BOW,17.0,727.6475,3.4,934.5588235294118,214.0139705882353,1279.2860109117594,,EXCELSIOR
2023.0,U-1801,A,0.394,C001801,A,C001801A,002+0.152,002+0.547,2.152,2.547,47-1C-033,nan,nan,E,712.5,7.0,nan,5.0,6.0,0.0,10.0,nan,7.0,8.0,0.0,UMA_UC,8037.0,10.0,96.0,3.0,3.0,4.0,4.0,nan,2.0,nan,SILVER BOW,nan,nan,5.797,0.0,C001801_002+0.152_002+0.547_U-1801,2.152,2.547,EXCELSIOR,,Urban,4,0,SILVER BOW,,280.725,0.0,None,None,0.0,,EXCELSIOR
2023.0,U-1801,A,0.314,C001801,A,C001801A,001+0.124,001+0.438,1.124,1.438,47-1C-111,nan,nan,E,3838.75,7.0,nan,5.0,6.0,0.0,2.0,nan,1.0,2.0,0.0,UMA_UC,8037.0,10.0,96.0,6.0,6.0,6.0,6.0,nan,2.0,nan,SILVER BOW,nan,nan,5.797,0.0,C001801_001+0.124_001+0.438_U-1801,1.124,1.438,EXCELSIOR,,Urban,4,2,SILVER BOW,2.0,1205.3675,0.4,9596.875,3013.41875,90.85530469776566,,EXCELSIOR
