YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,I-15,A,4.524,C000015,A,C000015A,385+0.015,389+0.535,383.276,387.8,51-1-001,nan,nan,E,1990.75,3.0,nan,10.0,859.0,762.0,2.0,nan,5.0,442.0,392.0,RURAL OUTER INTERSTATE,1018.0,10.0,109.0,509.0,509.0,794.0,794.0,nan,2.0,nan,TOOLE,"JCT OFF RAMP SWAYZE INTERCHANGE, EXIT 385","JCT OFF RAMP SWAYZE INTERCHANGE, EXIT 385",7.389,28.079,C000015_385+0.015_389+0.535_I-15,385.015,389.535,,I-15,Interstate,4,15,TOOLE,15.0,9006.153,3.0,663.5833333333334,3002.051,,I-15
2023.0,I-15,A,6.042,C000015,A,C000015A,378+0.968,385+0.015,377.235,383.276,51-1-001,nan,nan,E,1943.0,3.0,nan,10.0,859.0,762.0,2.0,nan,5.0,442.0,392.0,RURAL OUTER INTERSTATE,1018.0,10.0,109.0,509.0,509.0,794.0,794.0,nan,2.0,nan,TOOLE,"JCT OFF RAMP KEVIN INTERCHANGE, EXIT 379","JCT OFF RAMP KEVIN INTERCHANGE, EXIT 379",7.389,28.079,C000015_378+0.968_385+0.015_I-15,378.968,385.015,,I-15,Interstate,1,9,TOOLE,9.0,11739.606,1.8,1079.4444444444443,6522.003333333333,,I-15
2023.0,I-15,A,4.015,C000015,A,C000015A,368+0.978,373+0.008,367.263,371.277,51-1-019,nan,nan,E,2046.0,3.0,nan,10.0,859.0,762.0,1.0,nan,5.0,420.0,372.0,RURAL OUTER INTERSTATE,1018.0,10.0,109.0,509.0,509.0,794.0,794.0,nan,2.0,nan,TOOLE,"JCT OFF RAMP BRONKEN INTERCHANGE, EXIT 369","JCT OFF RAMP BRONKEN INTERCHANGE, EXIT 369",7.389,28.079,C000015_368+0.978_373+0.008_I-15,368.978,373.008,,I-15,Interstate,1,12,TOOLE,12.0,8214.689999999999,2.4,852.5,3422.7874999999995,,I-15
2023.0,I-15,A,4.6,C000015,A,C000015A,364+0.397,368+0.978,362.662,367.263,51-3-003,nan,nan,E,2054.0,3.0,nan,10.0,859.0,762.0,1.0,nan,5.0,418.0,371.0,RURAL OUTER INTERSTATE,1018.0,10.0,109.0,509.0,509.0,794.0,794.0,nan,2.0,nan,TOOLE,"JCT OFF RAMP NORTH SHELBY INTERCHANGE, EXIT 364","JCT OFF RAMP NORTH SHELBY INTERCHANGE, EXIT 364",7.389,28.079,C000015_364+0.397_368+0.978_I-15,364.397,368.978,,I-15,Interstate,1,8,TOOLE,8.0,9448.4,1.6,1283.75,5905.249999999999,,I-15
2023.0,I-15,A,1.185,C000015,A,C000015A,363+0.210,364+0.397,361.477,362.662,51-3-002,nan,nan,E,2041.0,3.0,nan,10.0,859.0,762.0,1.0,nan,5.0,421.0,373.0,RURAL OUTER INTERSTATE,1018.0,10.0,109.0,509.0,509.0,794.0,794.0,nan,2.0,nan,TOOLE,"JCT OFF RAMP WEST SHELBY INTERCHANGE, EXIT 363","JCT OFF RAMP WEST SHELBY INTERCHANGE, EXIT 363",7.389,28.079,C000015_363+0.210_364+0.397_I-15,363.21,364.397,,I-15,Interstate,1,4,TOOLE,4.0,2418.585,0.8,2551.25,3023.23125,,I-15
2023.0,I-15,A,3.022,C000015,A,C000015A,344+0.994,348+0.018,343.357,346.379,37-1-009,nan,nan,E,3019.0,23.0,nan,26.0,920.0,841.0,8.0,nan,9.0,305.0,279.0,RURAL OUTER INTERSTATE,1016.0,10.0,106.0,550.0,550.0,853.0,853.0,nan,2.0,nan,PONDERA,"JCT OFF RAMP LEDGER RD INTERCHANGE, EXIT 345","JCT OFF RAMP LEDGER RD INTERCHANGE, EXIT 345",3.316,20.09,C000015_344+0.994_348+0.018_I-15,344.994,348.018,,I-15,Interstate,1,25,PONDERA,25.0,9123.418,5.0,603.8,1824.6835999999998,,I-15
2023.0,I-15,A,5.965,C000015,A,C000015A,339+0.028,344+0.994,337.392,343.357,37-3-002,nan,nan,E,3454.0,23.0,nan,26.0,920.0,841.0,7.0,nan,8.0,266.0,243.0,RURAL OUTER INTERSTATE,1016.0,10.0,106.0,551.0,551.0,853.0,853.0,nan,2.0,nan,PONDERA,"JCT OFF RAMP CONRAD INTERCHANGE, EXIT 339","JCT OFF RAMP CONRAD INTERCHANGE, EXIT 339",3.316,20.09,C000015_339+0.028_344+0.994_I-15,339.028,344.994,,I-15,Interstate,1,46,PONDERA,46.0,20603.11,9.2,375.4347826086957,2239.4684782608697,,I-15
2023.0,I-15,A,3.74,C000015,A,C000015A,335+0.280,339+0.028,333.653,337.392,37-3-001,nan,nan,E,2960.0,23.0,nan,26.0,920.0,841.0,8.0,nan,9.0,311.0,284.0,RURAL OUTER INTERSTATE,1016.0,10.0,106.0,550.0,550.0,852.0,852.0,nan,2.0,nan,PONDERA,"JCT OFF RAMP MIDWAY ROAD INTERCHANGE, EXIT 335","JCT OFF RAMP MIDWAY ROAD INTERCHANGE, EXIT 335",2.414,20.0,C000015_335+0.280_339+0.028_I-15,335.28,339.028,,I-15,Interstate,1,27,PONDERA,27.0,11070.400000000001,5.4,548.1481481481482,2050.0740740740744,,I-15
2023.0,I-15,A,7.8,C000015,A,C000015A,313+0.018,320+0.827,311.799,319.599,50-4-002,nan,nan,E,3405.0,23.0,nan,26.0,920.0,841.0,7.0,nan,8.0,270.0,247.0,RURAL OUTER INTERSTATE,1016.0,10.0,106.0,551.0,551.0,853.0,853.0,nan,2.0,nan,TETON,"JCT OFF RAMP DUTTON INTERCHANGE, EXIT 313","JCT OFF RAMP DUTTON INTERCHANGE, EXIT 313",4.217,20.181,C000015_313+0.018_320+0.827_I-15,313.018,320.827,,I-15,Interstate,1,54,TETON,54.0,26559.0,10.8,315.27777777777777,2459.1666666666665,,I-15
2023.0,I-15,A,3.959,C000015,A,C000015A,286+0.413,290+0.374,285.729,289.688,A-009,Yes,nan,A,9109.0,28.0,nan,44.0,1105.0,985.0,3.0,nan,5.0,121.0,108.0,UI,2021.0,10.0,105.0,677.0,677.0,1053.0,1053.0,nan,2.0,nan,CASCADE,"JCT OFF RAMP MANCHESTER INTERCHANGE, EXIT 286","JCT OFF RAMP MANCHESTER INTERCHANGE, EXIT 286",2.199,7.435,C000015_286+0.413_290+0.374_I-15,286.413,290.374,,I-15,Interstate,1,39,CASCADE,39.0,36062.531,7.8,1167.820512820513,4623.401410256411,,I-15
