YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,PER_100M_VMT,LOCATION,ROUTE_FILE_NAME
2023.0,U-8116,A,0.386,C008116,A,C008116A,002+0.046,002+0.431,2.046,2.431,A-068,Yes,nan,A,3782.0,26.0,nan,31.0,486.0,32.0,7.0,nan,8.0,129.0,8.0,UMA_UC,9052.0,21.0,128.0,46.0,46.0,49.0,49.0,nan,2.0,nan,MISSOULA,nan,nan,11.111,0.988,C008116_002+0.046_002+0.431_U-8116,2.046,2.431,MOUNT AVE,,Urban,1,14,MISSOULA,14.0,1459.852,2.8,1350.7142857142858,521.3757142857144,525.1205056382347,,MOUNT AVE
2023.0,U-8116,A,0.013,C008116,A,C008116A,002+0.033,002+0.046,2.033,2.046,32-3A-195,nan,nan,E,4493.0,23.0,nan,28.0,441.0,29.0,5.0,nan,6.0,98.0,6.0,UMA_UC,9052.0,21.0,128.0,43.0,43.0,46.0,46.0,nan,2.0,nan,MISSOULA,JCT HIGGINS AVE,JCT HIGGINS AVE,11.111,0.988,C008116_002+0.033_002+0.046_U-8116,2.033,2.046,MOUNT AVE,,Urban,1,2,MISSOULA,2.0,58.409,0.4,11232.5,146.02249999999998,1874.9513171820108,,MOUNT AVE
2023.0,U-8116,A,0.017,C008116,A,C008116A,002+0.015,002+0.033,2.015,2.033,32-3A-195,nan,nan,E,4493.0,23.0,nan,28.0,441.0,29.0,5.0,nan,6.0,98.0,6.0,UMA_UC,9052.0,21.0,128.0,43.0,43.0,46.0,46.0,nan,2.0,nan,MISSOULA,JCT BECKWITH ST,JCT BECKWITH ST,11.111,0.988,C008116_002+0.015_002+0.033_U-8116,2.015,2.033,MOUNT AVE,,Urban,1,2,MISSOULA,2.0,76.381,0.4,11232.5,190.9525,1433.7863013744786,,MOUNT AVE
2023.0,U-8116,A,0.461,C008116,A,C008116A,001+0.554,002+0.015,1.554,2.015,32-3A-195,nan,nan,E,4720.75,23.0,nan,28.0,441.0,29.0,5.0,nan,6.0,98.0,6.0,UMA_UC,9052.0,21.0,128.0,43.0,43.0,46.0,46.0,nan,2.0,nan,MISSOULA,JCT N-7(BROOKS ST),JCT N-7(BROOKS ST),11.111,0.988,C008116_001+0.554_002+0.015_U-8116,1.554,2.015,MOUNT AVE,,Urban,4,12,MISSOULA,12.0,2176.26575,2.4,1966.9791666666667,906.7773958333333,301.9319625425821,,MOUNT AVE
2023.0,U-8116,A,0.282,C008116,A,C008116A,001+0.272,001+0.554,1.272,1.554,32-3A-167,nan,nan,E,9696.25,10.0,nan,63.0,659.0,92.0,1.0,nan,6.0,66.0,9.0,UMA_UC,9111.0,10.0,94.0,82.0,82.0,91.0,91.0,nan,2.0,nan,MISSOULA,JCT N-130(STEPHENS AVE),JCT N-130(STEPHENS AVE),7.705,0.171,C008116_001+0.272_001+0.554_U-8116,1.272,1.554,MOUNT AVE,,Urban,4,20,MISSOULA,20.0,2734.3424999999997,4.0,2424.0625,683.5856249999999,400.513218389006,,MOUNT AVE
2023.0,U-8116,A,0.254,C008116,A,C008116A,001+0.018,001+0.272,1.018,1.272,32-3A-166,nan,nan,E,10555.0,10.0,nan,63.0,659.0,92.0,1.0,nan,7.0,72.0,10.0,UMA_UC,9111.0,10.0,94.0,81.0,81.0,90.0,90.0,nan,2.0,nan,MISSOULA,JCT N-129(RUSSELL AVE),JCT N-129(RUSSELL AVE),11.899,1.082,C008116_001+0.018_001+0.272_U-8116,1.018,1.272,MOUNT AVE,,Urban,4,17,MISSOULA,17.0,2680.9700000000003,3.4,3104.4117647058824,788.5205882352942,347.21360836746186,,MOUNT AVE
2023.0,U-8116,A,0.471,C008116,A,C008116A,000+0.546,001+0.018,0.546,1.018,32-3A-165,nan,nan,E,11309.0,10.0,nan,63.0,659.0,92.0,1.0,nan,5.0,57.0,8.0,UMA_UC,9111.0,10.0,94.0,83.0,83.0,92.0,92.0,nan,2.0,nan,MISSOULA,nan,nan,9.636,1.343,C008116_000+0.546_001+0.018_U-8116,0.546,1.018,MOUNT AVE,,Urban,4,32,MISSOULA,32.0,5326.539,6.4,1767.03125,832.2717187499999,328.9611704269029,,MOUNT AVE
2023.0,U-8116,A,0.182,C008116,A,C008116A,000+0.365,000+0.546,0.365,0.546,32-3A-099,nan,nan,E,7607.0,10.0,nan,63.0,659.0,92.0,1.0,nan,9.0,91.0,13.0,UMA_UC,9111.0,10.0,94.0,80.0,80.0,89.0,89.0,nan,2.0,nan,MISSOULA,nan,nan,7.372,1.603,C008116_000+0.365_000+0.546_U-8116,0.365,0.546,MOUNT AVE,,Urban,4,13,MISSOULA,13.0,1384.474,2.6,2925.7692307692305,532.49,514.16003814759,,MOUNT AVE
2023.0,U-8116,A,0.195,C008116,A,C008116A,000+0.169,000+0.365,0.169,0.365,32-3A-104,nan,nan,E,12169.25,10.0,nan,63.0,659.0,92.0,1.0,nan,5.0,53.0,7.0,UMA_UC,9111.0,10.0,94.0,84.0,84.0,92.0,92.0,nan,2.0,nan,MISSOULA,nan,nan,9.636,1.343,C008116_000+0.169_000+0.365_U-8116,0.169,0.365,MOUNT AVE,,Urban,4,2,MISSOULA,2.0,2373.00375,0.4,30423.125,5932.509375,46.149961408735265,,MOUNT AVE
2023.0,U-8116,A,0.169,C008116,A,C008116A,000+0.000,000+0.169,0.0,0.169,32-3A-107,nan,nan,E,8296.5,10.0,nan,63.0,659.0,92.0,1.0,nan,7.0,77.0,11.0,UMA_UC,9111.0,10.0,94.0,81.0,81.0,90.0,90.0,nan,2.0,nan,MISSOULA,JCT N-92(RESERVE ST),ENT U-8116A/,9.636,1.343,C008116_000+0.000_000+0.169_U-8116,0.0,0.169,MOUNT AVE,,Urban,4,11,MISSOULA,11.0,1402.1085,2.2,3771.1363636363635,637.3220454545454,429.5867068554697,,MOUNT AVE
