SEGMENT_KEY,CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C000020_000+0.000_000+0.559_N-20,C000020,A,000+0.003,NOT IN CITY LIMITS,DAWSON,DECEMBER,2021,SUN,961238.85100,328381.90300,47.106693267822301,-104.73511505127,0.003
C000020_000+0.000_000+0.559_N-20,C000020,A,000+0.147,NOT IN CITY LIMITS,DAWSON,JANUARY,2022,FRI,961172.75696,328605.92049,47.108374098770099,-104.73577324805299,0.147
C000020_000+0.000_000+0.559_N-20,C000020,A,000+0.168,NOT IN CITY LIMITS,DAWSON,DECEMBER,2022,THU,961168.90254,328639.23010,47.108675454511797,-104.735797273386,0.168
C000020_000+0.000_000+0.559_N-20,C000020,A,000+0.292,NOT IN CITY LIMITS,DAWSON,AUGUST,2020,SAT,961169.03598,328841.99215,,,0.292
C000020_000+0.000_000+0.559_N-20,C000020,A,000+0.345,NOT IN CITY LIMITS,DAWSON,DECEMBER,2022,THU,961155.38029,328926.33835,47.111262175893799,-104.735745126532,0.345
C000020_000+0.000_000+0.559_N-20,C000020,A,000+0.494,NOT IN CITY LIMITS,DAWSON,NOVEMBER,2019,SUN,961122.79935,329162.26360,,,0.494
C000020_000+0.000_000+0.559_N-20,C000020,A,000+0.523,NOT IN CITY LIMITS,DAWSON,MARCH,2020,FRI,961064.21085,329201.92079,,,0.523
C000020_000+0.000_000+0.559_N-20,C000020,A,000+0.556,NOT IN CITY LIMITS,DAWSON,OCTOBER,2019,MON,961101.70600,329260.90700,47.1143411621701,-104.736170549943,0.556
C000020_000+0.559_000+0.679_N-20,C000020,A,000+0.562,NOT IN CITY LIMITS,DAWSON,DECEMBER,2019,FRI,961102.35500,329269.32600,47.1143411621701,-104.736170549943,0.562
C000020_000+0.559_000+0.679_N-20,C000020,A,000+0.583,NOT IN CITY LIMITS,DAWSON,JULY,2019,SAT,961103.73807,329303.61203,47.1143411621701,-104.736170549943,0.583
