YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,N-62,A,0.311,C000062,A,C000062A,037+0.790,038+0.105,36.944,37.255,42-4A-025,nan,nan,E,6280.666666666667,23.0,nan,23.0,378.0,228.0,3.0,nan,3.0,52.0,31.0,UPA,7047.0,26.0,93.0,181.0,181.0,264.0,264.0,nan,2.0,nan,RICHLAND,JCT U-10409(2ND ST NW),JCT U-10409(2ND ST NW),1.652,4.204,C000062_037+0.790_038+0.105_N-62,37.79,38.105,BROADWAY AVE,MT-16,NI-NHS,3,12,RICHLAND,12.0,1953.2873333333334,2.4,2616.944444444445,813.8697222222223,,MT-16
2023.0,N-62,A,0.211,C000062,A,C000062A,037+0.521,037+0.732,36.675,36.886,42-4A-023,nan,nan,E,8191.0,23.0,nan,23.0,378.0,228.0,3.0,nan,3.0,45.0,27.0,UPA,7047.0,26.0,93.0,181.0,181.0,264.0,264.0,nan,2.0,nan,RICHLAND,nan,nan,0.661,1.982,C000062_037+0.521_037+0.732_N-62,37.521,37.732,BROADWAY AVE,MT-16,NI-NHS,4,9,RICHLAND,9.0,1728.301,1.8,4550.555555555556,960.1672222222221,,MT-16
2023.0,N-62,A,0.611,C000062,A,C000062A,036+0.695,037+0.335,35.877,36.489,42-4A-022,nan,nan,E,6021.75,41.0,nan,26.0,336.0,179.0,7.0,nan,4.0,57.0,30.0,UPA,7046.0,10.0,101.0,157.0,157.0,228.0,228.0,nan,2.0,nan,RICHLAND,JCT U-10401/10410(AIRPRT RD/22ND AV NW),JCT U-10401/10410(AIRPRT RD/22ND AV NW),3.293,3.64,C000062_036+0.695_037+0.335_N-62,36.695,37.335,BROADWAY AVE,MT-16,NI-NHS,4,9,RICHLAND,9.0,3679.28925,1.8,3345.4166666666665,2044.0495833333332,,MT-16
2023.0,N-62,A,0.729,C000062,A,C000062A,035+0.899,036+0.695,35.148,35.877,42-4A-021,nan,nan,E,4563.25,41.0,nan,26.0,336.0,179.0,9.0,nan,6.0,72.0,38.0,UPA,7046.0,10.0,101.0,157.0,157.0,228.0,228.0,nan,2.0,nan,RICHLAND,nan,nan,1.739,4.565,C000062_035+0.899_036+0.695_N-62,35.899,36.695,BROADWAY AVE,MT-16,NI-NHS,4,10,RICHLAND,10.0,3326.60925,2.0,2281.625,1663.304625,,MT-16
2023.0,N-62,A,0.21,C000062,A,C000062A,035+0.689,035+0.899,34.938,35.148,42-4A-053,nan,nan,A,2277.25,41.0,nan,26.0,336.0,179.0,18.0,nan,12.0,151.0,81.0,UPA,7046.0,10.0,101.0,156.0,156.0,227.0,227.0,nan,2.0,nan,RICHLAND,nan,BEGIN 2 LANES,3.293,3.64,C000062_035+0.689_035+0.899_N-62,35.689,35.899,BROADWAY AVE,MT-16,NI-NHS,4,1,RICHLAND,1.0,478.22249999999997,0.2,11386.25,2391.1124999999997,,MT-16
2023.0,N-62,A,0.25,C000062,A,C000062A,034+0.904,035+0.060,34.059,34.309,42-4-008,nan,nan,E,1865.5,41.0,nan,26.0,336.0,179.0,20.0,nan,13.0,167.0,89.0,RPA_45,7046.0,10.0,101.0,156.0,156.0,227.0,227.0,nan,3.0,nan,RICHLAND,nan,BEGIN 3 LANES,3.293,3.64,C000062_034+0.904_035+0.060_N-62,34.904,35.06,BROADWAY AVE,MT-16,NI-NHS,4,0,RICHLAND,,466.375,0.0,None,None,,MT-16
2023.0,N-62,A,1.386,C000062,A,C000062A,002+0.557,003+0.989,1.856,3.242,42-2-003,nan,nan,E,967.0,13.0,nan,2.0,385.0,344.0,13.0,nan,2.0,380.0,339.0,RPA_45,3079.0,31.0,112.0,200.0,200.0,343.0,343.0,nan,2.0,nan,ROOSEVELT,nan,nan,5.983,38.462,C000062_002+0.557_003+0.989_N-62,2.557,3.989,BROADWAY AVE,MT-16,NI-NHS,4,5,ROOSEVELT,5.0,1340.262,1.0,967.0,1340.262,,MT-16
2023.0,N-62,A,1.531,C000062,A,C000062A,000+0.325,002+0.557,0.325,1.856,43-5-028,nan,nan,E,1089.5,13.0,nan,2.0,385.0,344.0,11.0,nan,2.0,339.0,303.0,RPA_45,3079.0,31.0,112.0,201.0,201.0,343.0,343.0,nan,2.0,nan,ROOSEVELT,nan,nan,5.983,38.462,C000062_000+0.325_002+0.557_N-62,0.325,2.557,BROADWAY AVE,MT-16,NI-NHS,4,3,ROOSEVELT,3.0,1668.0245,0.6,1815.8333333333335,2780.0408333333335,,MT-16
2023.0,N-62,A,0.629,C000062,A,C000062A,035+0.060,035+0.689,34.309,34.938,42-4A-053,nan,nan,A,2277.25,41.0,nan,26.0,336.0,179.0,18.0,nan,12.0,151.0,81.0,UPA,7046.0,10.0,101.0,156.0,156.0,227.0,227.0,nan,3.0,nan,RICHLAND,nan,nan,3.293,3.64,C000062_035+0.060_035+0.689_N-62,35.06,35.689,BROADWAY AVE,MT-16,NI-NHS,4,1,RICHLAND,1.0,1432.39025,0.2,11386.25,7161.951249999999,,MT-16
2023.0,N-34,A,4.028,C000034,A,C000034A,003+0.197,007+0.220,3.206,7.234,918902U,nan,nan,E,412.3333333333333,3.0,nan,1.0,96.0,81.0,7.0,nan,2.0,228.0,192.0,RPA_45,3059.0,10.0,139.0,53.0,53.0,85.0,85.0,nan,2.0,nan,SHERIDAN,nan,nan,5.882,26.471,C000034_003+0.197_007+0.220_N-34,3.197,7.22,HWY 16 N,MT-16,NI-NHS,3,2,SHERIDAN,2.0,1660.8786666666665,0.4,1030.8333333333333,4152.196666666666,,MT-16
