YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,N-57,A,0.482,C000057,A,C000057A,328+0.959,329+0.358,327.066,327.548,11-5A-021,nan,nan,E,5440.0,32.0,nan,50.0,112.0,30.0,6.0,nan,9.0,20.0,5.0,UPA,7011.0,10.0,101.0,60.0,60.0,81.0,81.0,nan,2.0,nan,DAWSON,JCT U-5002 (GRISWOLD ST),JCT U-5002 (GRISWOLD ST),0.783,0.978,C000057_328+0.959_329+0.358_N-57,328.959,329.358,,MT-200/MT-3/US-87,NI-NHS,4,6,DAWSON,6.0,2622.08,1.2,4533.333333333334,2185.0666666666666,,MT-200/MT-3/US-87
2023.0,N-57,A,0.127,C000057,A,C000057A,328+0.832,328+0.959,326.939,327.066,11-5A-019,nan,nan,E,6313.5,31.0,nan,48.0,107.0,29.0,5.0,nan,8.0,17.0,5.0,UPA,7011.0,10.0,101.0,57.0,57.0,78.0,78.0,nan,2.0,nan,DAWSON,JCT U-5007 (ALLEN ST),JCT U-5007 (ALLEN ST),0.96,0.386,C000057_328+0.832_328+0.959_N-57,328.832,328.959,,MT-200/MT-3/US-87,NI-NHS,4,3,DAWSON,3.0,801.8145000000001,0.6,10522.5,1336.3575,,MT-200/MT-3/US-87
2023.0,N-57,A,0.356,C000057,A,C000057A,328+0.476,328+0.832,326.583,326.939,11-5A-019,nan,nan,E,6313.5,31.0,nan,48.0,107.0,29.0,5.0,nan,8.0,17.0,5.0,UPA,7011.0,10.0,101.0,57.0,57.0,78.0,78.0,nan,2.0,nan,DAWSON,nan,nan,0.96,0.386,C000057_328+0.476_328+0.832_N-57,328.476,328.832,,MT-200/MT-3/US-87,NI-NHS,4,7,DAWSON,7.0,2247.6059999999998,1.4,4509.642857142858,1605.432857142857,,MT-200/MT-3/US-87
2023.0,N-57,A,0.342,C000057,A,C000057A,327+0.373,327+0.715,325.584,325.926,11-5A-015,nan,nan,E,8742.0,31.0,nan,48.0,108.0,29.0,4.0,nan,5.0,12.0,3.0,UPA,7011.0,10.0,101.0,59.0,59.0,79.0,79.0,nan,2.0,nan,DAWSON,nan,BEGIN 2 LANES,0.96,0.386,C000057_327+0.373_327+0.715_N-57,327.373,327.715,,MT-200/MT-3/US-87,NI-NHS,4,6,DAWSON,6.0,2989.764,1.2,7285.0,2491.4700000000003,,MT-200/MT-3/US-87
2023.0,N-57,A,0.22,C000057,A,C000057A,326+0.496,326+0.716,324.748,324.969,11-5A-052,nan,nan,E,6600.75,32.0,nan,42.0,317.0,204.0,5.0,nan,6.0,47.0,30.0,UPA,7043.0,10.0,98.0,162.0,162.0,234.0,234.0,nan,4.0,nan,DAWSON,nan,nan,2.358,2.201,C000057_326+0.496_326+0.716_N-57,326.496,326.716,,MT-200/MT-3/US-87,NI-NHS,4,4,DAWSON,4.0,1452.165,0.8,8250.9375,1815.20625,,MT-200/MT-3/US-87
2023.0,N-57,A,0.269,C000057,A,C000057A,326+0.227,326+0.496,324.479,324.748,11-5A-013,nan,nan,E,6296.8,32.0,nan,42.0,317.0,204.0,5.0,nan,7.0,49.0,32.0,UPA,7043.0,10.0,98.0,162.0,162.0,234.0,234.0,nan,4.0,nan,DAWSON,JCT U-5001 (CRISAFULLI DR),JCT U-5001 (CRISAFULLI DR),2.844,2.37,C000057_326+0.227_326+0.496_N-57,326.227,326.496,,MT-200/MT-3/US-87,NI-NHS,5,2,DAWSON,2.0,1693.8392000000001,0.4,15742.0,4234.598,,MT-200/MT-3/US-87
2023.0,N-57,A,0.264,C000057,A,C000057A,325+0.928,326+0.227,324.215,324.479,11-5A-056,nan,nan,E,5221.5,32.0,nan,42.0,317.0,204.0,6.0,nan,8.0,60.0,38.0,UPA,7043.0,10.0,98.0,161.0,161.0,234.0,234.0,nan,4.0,nan,DAWSON,JCT N-98,BEGIN 4 LANES/JCT N-98,2.778,1.984,C000057_325+0.928_326+0.227_N-57,325.928,326.227,,MT-200/MT-3/US-87,NI-NHS,4,10,DAWSON,10.0,1378.476,2.0,2610.75,689.238,,MT-200/MT-3/US-87
2023.0,N-57,A,0.596,C000057,A,C000057A,325+0.052,325+0.648,323.339,323.935,11-5A-007,nan,nan,E,2024.0,6.0,nan,5.0,68.0,36.0,4.0,nan,3.0,46.0,24.0,UPA,7123.0,10.0,115.0,32.0,32.0,49.0,49.0,nan,2.0,nan,DAWSON,JCT I-94 ON RAMP E CIRCLE INTERCHANGE,JCT I-94 ON RAMP E CIRCLE INTERCHANGE,1.685,2.247,C000057_325+0.052_325+0.648_N-57,325.052,325.648,,MT-200/MT-3/US-87,NI-NHS,4,4,DAWSON,4.0,1206.3039999999999,0.8,2530.0,1507.8799999999997,,MT-200/MT-3/US-87
2023.0,N-57,A,10.248,C000057,A,C000057A,312+0.519,322+0.694,310.755,321.003,11-4-002,nan,nan,A,837.0,12.0,nan,7.0,195.0,173.0,13.0,nan,8.0,211.0,187.0,RPA_45,3074.0,12.0,104.0,92.0,92.0,144.0,144.0,nan,2.0,nan,DAWSON,nan,nan,4.082,25.51,C000057_312+0.519_322+0.694_N-57,312.519,322.694,,MT-200/MT-3/US-87,NI-NHS,4,20,DAWSON,20.0,8577.576,4.0,209.25,2144.394,,MT-200/MT-3/US-87
2023.0,N-57,A,0.787,C000057,A,C000057A,303+0.907,304+0.695,302.128,302.915,11-2-002,nan,nan,E,783.25,12.0,nan,7.0,195.0,173.0,14.0,nan,8.0,229.0,203.0,RPA_45,3074.0,12.0,104.0,92.0,92.0,144.0,144.0,nan,2.0,nan,DAWSON,JCT S-467,JCT S-467,4.082,25.51,C000057_303+0.907_304+0.695_N-57,303.907,304.695,,MT-200/MT-3/US-87,NI-NHS,4,1,DAWSON,1.0,616.4177500000001,0.2,3916.25,3082.0887500000003,,MT-200/MT-3/US-87
2023.0,N-57,A,9.065,C000057,A,C000057A,280+0.790,289+0.830,278.97,288.035,28-4-002,nan,nan,E,878.75,12.0,nan,7.0,195.0,173.0,12.0,nan,7.0,201.0,178.0,RPA_45,3074.0,12.0,104.0,92.0,92.0,144.0,144.0,nan,2.0,nan,MCCONE,JCT P-51,JCT P-51,4.082,25.51,C000057_280+0.790_289+0.830_N-57,280.79,289.83,,MT-200/MT-3/US-87,NI-NHS,4,14,MCCONE,14.0,7965.86875,2.8,313.8392857142857,2844.953125,,MT-200/MT-3/US-87
2023.0,N-57,A,0.264,C000057,A,C000057A,279+0.570,279+0.834,277.663,277.928,28-4-014,nan,nan,A,1535.4,8.0,nan,4.0,111.0,79.0,5.0,nan,3.0,73.0,52.0,RPA_45,3073.0,15.0,144.0,50.0,50.0,83.0,83.0,nan,2.0,nan,MCCONE,nan,nan,2.703,4.73,C000057_279+0.570_279+0.834_N-57,279.57,279.834,,MT-200/MT-3/US-87,NI-NHS,5,2,MCCONE,2.0,405.34560000000005,0.4,3838.5,1013.364,,MT-200/MT-3/US-87
2023.0,N-57,A,0.505,C000057,A,C000057A,279+0.065,279+0.570,277.159,277.663,28-4-013,nan,nan,E,1881.0,8.0,nan,4.0,111.0,79.0,4.0,nan,2.0,56.0,40.0,RPA_45,3073.0,15.0,144.0,51.0,51.0,83.0,83.0,nan,2.0,nan,MCCONE,JCT S-252,JCT S-252,4.902,3.922,C000057_279+0.065_279+0.570_N-57,279.065,279.57,,MT-200/MT-3/US-87,NI-NHS,5,0,MCCONE,,949.905,0.0,None,None,,MT-200/MT-3/US-87
2023.0,N-57,A,2.731,C000057,A,C000057A,275+0.171,277+0.912,273.356,276.087,28-4-001,nan,nan,E,880.75,8.0,nan,4.0,111.0,79.0,9.0,nan,4.0,122.0,87.0,RPA_45,3073.0,15.0,144.0,50.0,50.0,82.0,82.0,nan,2.0,nan,MCCONE,nan,nan,4.902,3.922,C000057_275+0.171_277+0.912_N-57,275.171,277.912,,MT-200/MT-3/US-87,NI-NHS,4,1,MCCONE,1.0,2405.32825,0.2,4403.75,12026.641249999999,,MT-200/MT-3/US-87
2023.0,N-57,A,0.01,C000057,A,C000057A,248+0.593,248+0.603,246.606,246.617,28-5-001,nan,nan,A,824.25,8.0,nan,4.0,111.0,79.0,12.0,nan,6.0,163.0,116.0,RPA_45,3073.0,15.0,144.0,49.0,49.0,82.0,82.0,nan,2.0,nan,GARFIELD,JCT P-42,JCT P-42,4.902,3.922,C000057_248+0.593_248+0.603_N-57,248.593,248.603,,MT-200/MT-3/US-87,NI-NHS,4,0,GARFIELD,,8.2425,0.0,None,None,,MT-200/MT-3/US-87
2023.0,N-57,A,20.882,C000057,A,C000057A,218+0.054,238+0.930,216.071,236.953,17-4-004,nan,nan,A,477.25,3.0,nan,3.0,63.0,47.0,6.0,nan,6.0,136.0,102.0,RPA_45,3072.0,10.0,140.0,29.0,29.0,45.0,45.0,nan,2.0,nan,GARFIELD,JCT S-341,JCT S-341,1.471,2.941,C000057_218+0.054_238+0.930_N-57,218.054,238.93,,MT-200/MT-3/US-87,NI-NHS,4,5,GARFIELD,5.0,9965.934500000001,1.0,477.25,9965.934500000001,,MT-200/MT-3/US-87
2023.0,N-57,A,0.308,C000057,A,C000057A,212+0.449,212+0.757,210.551,210.859,17-4-012,nan,nan,A,1285.8,3.0,nan,3.0,63.0,47.0,3.0,nan,3.0,53.0,40.0,RPA_45,3072.0,10.0,140.0,30.0,30.0,46.0,46.0,nan,2.0,nan,GARFIELD,nan,nan,1.471,2.941,C000057_212+0.449_212+0.757_N-57,212.449,212.757,,MT-200/MT-3/US-87,NI-NHS,5,0,GARFIELD,,396.02639999999997,0.0,None,None,,MT-200/MT-3/US-87
2023.0,N-57,A,12.327,C000057,A,C000057A,199+0.753,212+0.074,197.85,210.177,A-038,Yes,nan,A,445.0,4.0,nan,0.0,84.0,71.0,8.0,nan,0.0,165.0,139.0,RPA_45,3071.0,10.0,161.0,41.0,41.0,65.0,65.0,nan,2.0,nan,GARFIELD,nan,nan,1.22,4.878,C000057_199+0.753_212+0.074_N-57,199.753,212.074,,MT-200/MT-3/US-87,NI-NHS,5,5,GARFIELD,5.0,5485.515,1.0,445.0,5485.515,,MT-200/MT-3/US-87
2023.0,N-57,A,21.169,C000057,A,C000057A,158+0.402,180+0.075,157.559,178.728,17-6-001,nan,nan,A,526.0,4.0,nan,0.0,84.0,71.0,8.0,nan,0.0,174.0,147.0,RPA_45,3071.0,10.0,161.0,41.0,41.0,65.0,65.0,nan,2.0,nan,GARFIELD,nan,nan,1.22,4.878,C000057_158+0.402_180+0.075_N-57,158.402,180.075,,MT-200/MT-3/US-87,NI-NHS,4,6,GARFIELD,6.0,11134.894,1.2,438.33333333333337,9279.078333333335,,MT-200/MT-3/US-87
2023.0,N-57,A,5.337,C000057,A,C000057A,152+0.372,157+0.740,151.57,156.908,35-3-002,nan,nan,E,510.5,4.0,nan,0.0,84.0,71.0,8.0,nan,0.0,167.0,141.0,RPA_45,3071.0,10.0,161.0,41.0,41.0,65.0,65.0,nan,2.0,nan,PETROLEUM,nan,nan,2.857,18.571,C000057_152+0.372_157+0.740_N-57,152.372,157.74,,MT-200/MT-3/US-87,NI-NHS,4,7,PETROLEUM,7.0,2724.5384999999997,1.4,364.64285714285717,1946.0989285714284,,MT-200/MT-3/US-87
