YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,PER_100M_VMT,LOCATION,ROUTE_FILE_NAME
2023.0,P-3,A,7.856,C000003,A,C000003A,102+0.699,110+0.501,100.494,108.35,18-4-007,nan,nan,E,1274.0,29.0,nan,6.0,81.0,55.0,20.0,nan,4.0,55.0,37.0,REC_MA,4004.0,10.0,147.0,34.0,34.0,50.0,50.0,nan,2.0,nan,GLACIER,nan,nan,3.289,7.895,C000003_102+0.699_110+0.501_P-3,102.699,110.501,,MT-200/US-89,NI-NHS,3,23,GLACIER,23.0,10008.544,4.6,276.95652173913044,2175.770434782609,125.83362395976543,,MT-200/US-89
2023.0,P-3,A,6.287,C000003,A,C000003A,096+0.136,102+0.699,94.207,100.494,18-5-007,nan,nan,E,1213.75,29.0,nan,6.0,81.0,55.0,23.0,nan,5.0,64.0,43.0,REC_MA,4004.0,10.0,147.0,34.0,34.0,50.0,50.0,nan,2.0,nan,GLACIER,nan,nan,3.289,7.895,C000003_096+0.136_102+0.699_P-3,96.136,102.699,,MT-200/US-89,NI-NHS,4,16,GLACIER,16.0,7630.84625,3.2,379.296875,2384.639453125,114.81193869975723,,MT-200/US-89
2023.0,P-3,A,7.338,C000003,A,C000003A,076+0.924,084+0.270,75.107,82.445,A-039,Yes,nan,A,398.0,12.0,nan,2.0,44.0,30.0,26.0,nan,4.0,94.0,64.0,REC_MA,4120.0,10.0,221.0,18.0,18.0,27.0,27.0,nan,2.0,nan,PONDERA,nan,nan,2.655,1.77,C000003_076+0.924_084+0.270_P-3,76.924,84.27,,MT-200/US-89,NI-NHS,4,4,PONDERA,4.0,2920.524,0.8,497.5,3650.6549999999997,74.99615239271039,,MT-200/US-89
2023.0,P-3,A,6.965,C000003,A,C000003A,068+0.241,075+0.288,66.532,73.496,37-3-003,nan,nan,E,518.0,12.0,nan,2.0,44.0,30.0,23.0,nan,4.0,85.0,58.0,REC_MA,4120.0,10.0,221.0,18.0,18.0,27.0,27.0,nan,2.0,nan,PONDERA,nan,nan,2.655,1.77,C000003_068+0.241_075+0.288_P-3,68.241,75.288,,MT-200/US-89,NI-NHS,1,5,PONDERA,5.0,3607.87,1.0,518.0,3607.87,75.88551658269564,,MT-200/US-89
2023.0,P-3,A,3.747,C000003,A,C000003A,062+0.388,066+0.409,61.236,64.983,50-1-003,nan,nan,E,523.0,12.0,nan,2.0,44.0,30.0,23.0,nan,4.0,84.0,57.0,REC_MA,4120.0,10.0,221.0,18.0,18.0,27.0,27.0,nan,2.0,nan,TETON,JCT ROUTE 219,JCT ROUTE 219,2.655,1.77,C000003_062+0.388_066+0.409_P-3,62.388,66.409,,MT-200/US-89,NI-NHS,1,3,TETON,3.0,1959.681,0.6,871.6666666666667,3266.135,83.82540180158203,,MT-200/US-89
2023.0,P-3,A,7.147,C000003,A,C000003A,055+0.168,062+0.388,54.089,61.236,50-1-002,nan,nan,E,609.0,12.0,nan,2.0,44.0,30.0,20.0,nan,3.0,72.0,49.0,REC_MA,4120.0,10.0,221.0,18.0,18.0,27.0,27.0,nan,2.0,nan,TETON,nan,nan,2.655,1.77,C000003_055+0.168_062+0.388_P-3,55.168,62.388,,MT-200/US-89,NI-NHS,1,8,TETON,8.0,4352.523,1.6,380.625,2720.3268749999997,100.64418406086222,,MT-200/US-89
2023.0,P-3,A,0.547,C000003,A,C000003A,040+0.556,041+0.125,39.573,40.12,50-3-012,nan,nan,E,1990.3333333333333,12.0,nan,8.0,86.0,59.0,6.0,nan,4.0,42.0,29.0,REC_MA,4003.0,10.0,117.0,38.0,38.0,55.0,55.0,nan,2.0,nan,TETON,nan,nan,5.556,1.263,C000003_040+0.556_041+0.125_P-3,40.556,41.125,,MT-200/US-89,NI-NHS,3,3,TETON,3.0,1088.7123333333334,0.6,3317.222222222222,1814.5205555555558,150.8856308488524,,MT-200/US-89
2023.0,P-3,A,4.926,C000003,A,C000003A,034+0.193,039+0.120,33.192,38.119,50-3-001,nan,nan,E,1054.8,12.0,nan,8.0,86.0,59.0,12.0,nan,8.0,86.0,59.0,RMA_RMC_345,4003.0,10.0,117.0,37.0,37.0,55.0,55.0,nan,2.0,nan,TETON,nan,nan,0.957,2.392,C000003_034+0.193_039+0.120_P-3,34.193,39.12,,MT-200/US-89,NI-NHS,5,17,TETON,17.0,5195.9448,3.4,310.2352941176471,1528.2190588235296,179.15303250044425,,MT-200/US-89
2023.0,P-3,A,7.471,C000003,A,C000003A,026+0.752,034+0.193,25.721,33.192,086336K,nan,nan,E,1101.0,12.0,nan,8.0,86.0,59.0,11.0,nan,7.0,79.0,54.0,RMA_RMC_345,4003.0,10.0,117.0,37.0,37.0,55.0,55.0,nan,2.0,nan,TETON,nan,nan,0.957,2.392,C000003_026+0.752_034+0.193_P-3,26.752,34.193,,MT-200/US-89,NI-NHS,3,7,TETON,7.0,8225.571,1.4,786.4285714285714,5875.407857142857,46.59848054299138,,MT-200/US-89
2023.0,P-3,A,0.329,C000003,A,C000003A,023+0.646,023+0.975,22.85,23.179,50-4-017,nan,nan,E,1402.0,12.0,nan,8.0,86.0,59.0,8.0,nan,6.0,59.0,41.0,RMA_RMC_345,4003.0,10.0,117.0,37.0,37.0,55.0,55.0,nan,2.0,nan,TETON,nan,nan,0.957,2.392,C000003_023+0.646_023+0.975_P-3,23.646,23.975,,MT-200/US-89,NI-NHS,5,0,TETON,,461.25800000000004,0.0,None,None,0.0,,MT-200/US-89
