YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,PER_100M_VMT,LOCATION,ROUTE_FILE_NAME
2023.0,P-33,A,0.991,C000033,A,C000033A,065+0.850,066+0.853,66.251,67.242,27-2-008,nan,nan,E,3369.0,24.0,nan,11.0,52.0,28.0,6.0,nan,3.0,14.0,8.0,RMA_RMC_12,4097.0,29.0,115.0,26.0,26.0,35.0,35.0,nan,2.0,nan,LINCOLN,nan,nan,3.015,1.508,C000033_065+0.850_066+0.853_P-33,65.85,66.853,CALIFORNIA AVE,MT-37,Primary,3,3,LINCOLN,3.0,3338.679,0.6,5615.0,5564.465,49.20240826624125,,MT-37
2023.0,P-33,A,7.628,C000033,A,C000033A,053+0.850,061+0.465,54.172,61.8,27-2-006,nan,nan,E,601.0,11.0,nan,4.0,33.0,20.0,18.0,nan,7.0,54.0,33.0,RMA_RMC_12,4054.0,10.0,132.0,14.0,14.0,21.0,21.0,nan,2.0,nan,LINCOLN,nan,nan,1.961,1.961,C000033_053+0.850_061+0.465_P-33,53.85,61.465,CALIFORNIA AVE,MT-37,Primary,4,18,LINCOLN,18.0,4584.428,3.6,166.94444444444443,1273.4522222222222,214.99438607554887,,MT-37
2023.0,P-33,A,24.658,C000033,A,C000033A,029+0.490,053+0.850,29.513,54.172,27-2-005,nan,nan,A,338.0,11.0,nan,4.0,33.0,20.0,32.0,nan,12.0,95.0,58.0,RMA_RMC_12,4054.0,10.0,132.0,14.0,14.0,20.0,20.0,nan,2.0,nan,LINCOLN,nan,nan,1.961,1.961,C000033_029+0.490_053+0.850_P-33,29.49,53.85,CALIFORNIA AVE,MT-37,Primary,4,13,LINCOLN,13.0,8334.404,2.6,130.0,3205.54,85.4099710854365,,MT-37
2023.0,P-33,A,13.088,C000033,A,C000033A,016+0.478,029+0.490,16.426,29.513,27-4-002,nan,nan,E,445.5,11.0,nan,4.0,33.0,20.0,24.0,nan,9.0,72.0,44.0,RMA_RMC_12,4054.0,10.0,132.0,14.0,14.0,21.0,21.0,nan,2.0,nan,LINCOLN,nan,nan,1.961,1.961,C000033_016+0.478_029+0.490_P-33,16.478,29.49,CALIFORNIA AVE,MT-37,Primary,4,7,LINCOLN,7.0,5830.704,1.4,318.2142857142857,4164.788571428571,65.73804984758173,,MT-37
2023.0,P-33,A,2.483,C000033,A,C000033A,014+0.022,016+0.478,13.942,16.426,27-4-005,nan,nan,E,515.75,17.0,nan,12.0,60.0,27.0,31.0,nan,22.0,111.0,50.0,RMA_RMC_12,4053.0,13.0,115.0,22.0,22.0,32.0,32.0,nan,2.0,nan,LINCOLN,nan,nan,4.487,1.923,C000033_014+0.022_016+0.478_P-33,14.022,16.478,CALIFORNIA AVE,MT-37,Primary,4,2,LINCOLN,2.0,1280.60725,0.4,1289.375,3201.518125,85.51726650406208,,MT-37
2023.0,P-33,A,0.39,C000033,A,C000033A,013+0.637,014+0.022,13.553,13.942,27-4-006,nan,nan,E,715.25,17.0,nan,12.0,60.0,27.0,26.0,nan,18.0,91.0,41.0,RMA_RMC_12,4053.0,13.0,115.0,22.0,22.0,32.0,32.0,nan,2.0,nan,LINCOLN,nan,nan,4.487,1.923,C000033_013+0.637_014+0.022_P-33,13.637,14.022,CALIFORNIA AVE,MT-37,Primary,4,0,LINCOLN,,278.9475,0.0,None,None,0.0,,MT-37
2023.0,P-33,A,4.9,C000033,A,C000033A,008+0.718,013+0.637,8.653,13.553,27-4-001,nan,nan,A,942.0,17.0,nan,12.0,60.0,27.0,16.0,nan,11.0,55.0,25.0,RMA_RMC_12,4053.0,13.0,115.0,23.0,23.0,32.0,32.0,nan,2.0,nan,LINCOLN,nan,nan,4.487,1.923,C000033_008+0.718_013+0.637_P-33,8.718,13.637,CALIFORNIA AVE,MT-37,Primary,4,9,LINCOLN,9.0,4615.8,1.8,523.3333333333334,2564.3333333333335,106.76657170669836,,MT-37
2023.0,P-33,A,6.178,C000033,A,C000033A,002+0.475,008+0.718,2.475,8.653,27-3A-004,nan,nan,E,1408.25,17.0,nan,12.0,60.0,27.0,12.0,nan,9.0,44.0,20.0,RMA_RMC_12,4053.0,13.0,115.0,23.0,23.0,33.0,33.0,nan,2.0,nan,LINCOLN,nan,nan,4.487,1.923,C000033_002+0.475_008+0.718_P-33,2.475,8.718,CALIFORNIA AVE,MT-37,Primary,4,23,LINCOLN,23.0,8700.1685,4.6,306.1413043478261,1891.3409782608696,144.757123046613,,MT-37
2023.0,P-33,A,1.328,C000033,A,C000033A,001+0.141,002+0.475,1.147,2.475,27-3A-017,nan,nan,E,5851.5,37.0,nan,13.0,172.0,55.0,7.0,nan,2.0,30.0,10.0,RMA_RMC_12,4052.0,10.0,112.0,67.0,67.0,93.0,93.0,nan,2.0,nan,LINCOLN,JCT S-567,JCT S-567,1.715,0.515,C000033_001+0.141_002+0.475_P-33,1.141,2.475,CALIFORNIA AVE,MT-37,Primary,4,6,LINCOLN,6.0,7770.792,1.2,4876.25,6475.660000000001,42.279100309962246,,MT-37
2023.0,P-33,A,0.195,C000033,A,C000033A,000+0.000,000+0.195,0.0,0.195,27-3A-015,nan,nan,E,4958.2,37.0,nan,13.0,172.0,55.0,8.0,nan,3.0,37.0,12.0,RMA_RMC_12,4052.0,10.0,112.0,66.0,66.0,92.0,92.0,nan,2.0,nan,LINCOLN,JCT N-1 IN LIBBY,ENT P-33A/,4.234,0.806,C000033_000+0.000_000+0.195_P-33,0.0,0.195,CALIFORNIA AVE,MT-37,Primary,5,2,LINCOLN,2.0,966.849,0.4,12395.499999999998,2417.1225,113.26901251931176,,MT-37
