YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,PER_100M_VMT,LOCATION,ROUTE_FILE_NAME
2023.0,L-7-501,A,1.996,C005225,A,C005225A,002+0.172,004+0.168,2.172,4.168,07-2A-141,nan,nan,E,648.0,0.0,nan,14.0,40.0,4.0,0.0,nan,22.0,62.0,6.0,UMA_UC,9023.0,10.0,110.0,14.0,14.0,19.0,19.0,nan,2.0,nan,CASCADE,nan,ENT L-7-501A,0.0,0.0,C005225_002+0.172_004+0.168_L-7-501,2.172,4.168,PARK GARDEN RD,,Urban,1,11,CASCADE,11.0,1293.408,2.2,294.5454545454545,587.9127272727271,465.6900012749747,,PARK GARDEN RD
2023.0,U-5225,A,0.346,C005225,A,C005225A,001+0.308,001+0.654,1.308,1.654,07-2A-142,nan,nan,A,1290.6,0.0,nan,14.0,40.0,4.0,0.0,nan,10.0,29.0,3.0,UMA_UC,9023.0,10.0,110.0,14.0,14.0,19.0,19.0,nan,2.0,nan,CASCADE,nan,nan,0.0,0.0,C005225_001+0.308_001+0.654_U-5225,1.308,1.654,PARK GARDEN RD,,Urban,5,0,CASCADE,,446.54759999999993,0.0,None,None,0.0,,PARK GARDEN RD
2023.0,U-5225,A,0.221,C005225,A,C005225A,001+0.087,001+0.308,1.087,1.308,07-2A-134,nan,nan,E,3415.0,0.0,nan,14.0,40.0,4.0,0.0,nan,4.0,12.0,1.0,UMA_UC,9023.0,10.0,110.0,15.0,15.0,20.0,20.0,nan,2.0,nan,CASCADE,nan,nan,0.0,0.0,C005225_001+0.087_001+0.308_U-5225,1.087,1.308,PARK GARDEN RD,,Urban,1,4,CASCADE,4.0,754.715,0.8,4268.75,943.39375,290.21294524498404,,PARK GARDEN RD
2023.0,U-5225,A,0.178,C005225,A,C005225A,000+0.909,001+0.087,0.909,1.087,07-2A-135,nan,nan,A,10659.0,0.0,nan,14.0,40.0,4.0,0.0,nan,1.0,4.0,0.0,UMA_UC,9023.0,10.0,110.0,17.0,17.0,22.0,22.0,nan,2.0,nan,CASCADE,JCT I-315 ON RAMP 14TH ST SW INTERCHANGE,JCT I-315 ON RAMP 14TH ST SW INTERCHANGE,0.0,0.0,C005225_000+0.909_001+0.087_U-5225,0.909,1.087,PARK GARDEN RD,,Urban,1,4,CASCADE,4.0,1897.302,0.8,13323.75,2371.6274999999996,115.44185531379196,,PARK GARDEN RD
2023.0,U-5225,A,0.178,C005225,A,C005225A,000+0.731,000+0.909,0.731,0.909,07-2A-135,nan,nan,A,9527.5,0.0,nan,14.0,40.0,4.0,0.0,nan,1.0,4.0,0.0,UMA_UC,9023.0,10.0,110.0,17.0,17.0,22.0,22.0,nan,2.0,nan,CASCADE,nan,nan,0.0,0.0,C005225_000+0.731_000+0.909_U-5225,0.731,0.909,PARK GARDEN RD,,Urban,4,6,CASCADE,6.0,1695.895,1.2,7939.583333333334,1413.2458333333334,193.72785134448307,,PARK GARDEN RD
2023.0,U-5225,A,0.3,C005225,A,C005225A,000+0.000,000+0.300,0.0,0.3,07-2A-244,nan,nan,E,2529.4,0.0,nan,14.0,40.0,4.0,0.0,nan,6.0,19.0,2.0,UMA_UC,9023.0,10.0,110.0,15.0,15.0,19.0,19.0,nan,2.0,nan,CASCADE,JCT U-5220(FOX FARM RD),ENT U-5225A/,0.0,0.0,C005225_000+0.000_000+0.300_U-5225,0.0,0.3,PARK GARDEN RD,,Urban,5,4,CASCADE,4.0,758.82,0.8,3161.75,948.525,288.6429758975358,,PARK GARDEN RD
2023.0,U-5225,A,0.184,C005225,A,C005225A,000+0.300,000+0.484,0.3,0.484,07-2A-197,nan,nan,A,2212.25,0.0,nan,14.0,40.0,4.0,0.0,nan,6.0,18.0,2.0,UMA_UC,9023.0,10.0,110.0,15.0,15.0,19.0,19.0,nan,2.0,nan,CASCADE,nan,nan,0.0,0.0,C005225_000+0.300_000+0.484_U-5225,0.3,0.484,PARK GARDEN RD,,Urban,4,2,CASCADE,2.0,407.054,0.4,5530.625,1017.6349999999999,269.0405486379794,,PARK GARDEN RD
2023.0,U-5225,A,0.518,C005225,A,C005225A,001+0.654,002+0.172,1.654,2.172,07-2A-141,nan,nan,E,648.0,0.0,nan,14.0,40.0,4.0,0.0,nan,22.0,62.0,6.0,UMA_UC,9023.0,10.0,110.0,14.0,14.0,19.0,19.0,nan,2.0,nan,CASCADE,nan,nan,0.0,0.0,C005225_001+0.654_002+0.172_U-5225,1.654,2.172,PARK GARDEN RD,,Urban,1,3,CASCADE,3.0,335.664,0.6,1080.0,559.44,489.3913175911807,,PARK GARDEN RD
2023.0,L-7-501,A,7.206,C005225,A,C005225A,004+0.168,011+0.374,4.168,11.374,07-1-035,nan,nan,E,356.3333333333333,0.0,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,RMA_RMC_345,4160.0,10.0,155.0,0.0,0.0,0.0,0.0,nan,2.0,nan,CASCADE,JCT MCIVER RD,JCT MCIVER RD,0.0,0.0,C005225_004+0.168_011+0.374_L-7-501,4.168,11.374,PARK GARDEN RD,,Urban,3,17,CASCADE,17.0,2567.738,3.4,104.80392156862744,755.2170588235293,362.5250191510639,,PARK GARDEN RD
2023.0,U-5225,A,0.247,C005225,A,C005225A,000+0.484,000+0.731,0.484,0.731,101363X,nan,nan,E,3743.0,0.0,nan,14.0,40.0,4.0,0.0,nan,4.0,10.0,1.0,UMA_UC,9023.0,10.0,110.0,15.0,15.0,20.0,20.0,nan,2.0,nan,CASCADE,nan,nan,0.0,0.0,C005225_000+0.484_000+0.731_U-5225,0.484,0.731,PARK GARDEN RD,,Urban,4,5,CASCADE,5.0,924.521,1.0,3743.0,924.521,296.1372199368215,,PARK GARDEN RD
