SEGMENT_KEY,CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C000294_000+0.000_015+0.673_S-294,C000294,A,000+0.008,NOT IN CITY LIMITS,MEAGHER,OCTOBER,2023,SAT,499654.06810,232892.57623,46.338248538846301,-110.804127208568,0.008
C000294_000+0.000_015+0.673_S-294,C000294,A,000+0.198,NOT IN CITY LIMITS,MEAGHER,NOVEMBER,2022,FRI,499959.80989,232885.86764,46.338233911581703,-110.80015297621399,0.198
C000294_000+0.000_015+0.673_S-294,C000294,A,000+0.309,NOT IN CITY LIMITS,MEAGHER,AUGUST,2022,WED,500137.65948,232885.71465,46.338259082533,-110.797841978981,0.309
C000294_000+0.000_015+0.673_S-294,C000294,A,000+0.458,NOT IN CITY LIMITS,MEAGHER,NOVEMBER,2023,TUE,500376.80920,232882.63264,46.338266968757601,-110.79473381974201,0.458
C000294_000+0.000_015+0.673_S-294,C000294,A,002+0.433,NOT IN CITY LIMITS,MEAGHER,OCTOBER,2020,SUN,503304.60979,231786.49961,,,2.433
C000294_000+0.000_015+0.673_S-294,C000294,A,002+0.512,NOT IN CITY LIMITS,MEAGHER,DECEMBER,2021,SAT,503432.18087,231792.57190,46.328904142675498,-110.75480523000201,2.512
C000294_000+0.000_015+0.673_S-294,C000294,A,005+0.270,NOT IN CITY LIMITS,MEAGHER,FEBRUARY,2021,SAT,506135.13498,234747.14973,46.3558795409118,-110.720286804108,5.27
C000294_000+0.000_015+0.673_S-294,C000294,A,008+0.008,NOT IN CITY LIMITS,MEAGHER,FEBRUARY,2021,WED,509581.05377,236435.88064,46.3715525466402,-110.675824668828,8.008
C000294_000+0.000_015+0.673_S-294,C000294,A,008+0.749,NOT IN CITY LIMITS,MEAGHER,JANUARY,2023,FRI,510731.64492,236183.17870,46.369432687049802,-110.660815675443,8.749
C000294_000+0.000_015+0.673_S-294,C000294,A,012+0.201,,MEAGHER,MAY,2019,SAT,515082.33625,238645.47600,,,12.201
C000294_000+0.000_015+0.673_S-294,C000294,A,012+0.441,NOT IN CITY LIMITS,MEAGHER,MARCH,2019,WED,515396.77272,238869.96078,,,12.441
C000294_000+0.000_015+0.673_S-294,C000294,A,015+0.324,NOT IN CITY LIMITS,MEAGHER,JANUARY,2021,SAT,519252.77087,240840.99330,46.412436644684,-110.550836357063,15.324
C000294_015+0.673_021+0.822_S-294,C000294,A,016+0.721,NOT IN CITY LIMITS,MEAGHER,OCTOBER,2023,SAT,521470.93995,240589.79903,46.410440000000001,-110.52193,16.721
C000294_015+0.673_021+0.822_S-294,C000294,A,016+0.934,NOT IN CITY LIMITS,MEAGHER,AUGUST,2020,TUE,521810.86915,240579.92317,,,16.934
C000294_015+0.673_021+0.822_S-294,C000294,A,017+0.754,NOT IN CITY LIMITS,MEAGHER,JULY,2022,SUN,523124.13148,240893.40095,46.413364618094803,-110.500469186399,17.754
C000294_015+0.673_021+0.822_S-294,C000294,A,018+0.474,NOT IN CITY LIMITS,MEAGHER,MARCH,2023,THU,524221.24937,241151.77766,46.415815334814397,-110.486235056262,18.474
C000294_015+0.673_021+0.822_S-294,C000294,A,020+0.188,NOT IN CITY LIMITS,MEAGHER,AUGUST,2019,THU,526904.09689,241803.55173,,,20.188
C000294_015+0.673_021+0.822_S-294,C000294,A,020+1.002,NOT IN CITY LIMITS,MEAGHER,MAY,2023,WED,528177.51764,242113.73090,46.424909999999997,-110.4349,21.002
C000294_015+0.673_021+0.822_S-294,C000294,A,021+0.528,NOT IN CITY LIMITS,MEAGHER,NOVEMBER,2020,THU,529004.30087,242311.66318,,,21.528
C000294_021+0.822_027+0.008_S-294,C000294,A,022+0.358,,MEAGHER,AUGUST,2020,SAT,530154.11028,242951.52864,,,22.358
C000294_021+0.822_027+0.008_S-294,C000294,A,022+0.469,NOT IN CITY LIMITS,MEAGHER,JUNE,2021,SAT,530306.28950,243041.06429,46.4334817467795,-110.40733250981,22.469
C000294_021+0.822_027+0.008_S-294,C000294,A,023+0.479,NOT IN CITY LIMITS,MEAGHER,NOVEMBER,2020,FRI,531797.89210,243716.85284,,,23.479
C000294_021+0.822_027+0.008_S-294,C000294,A,026+0.000,NOT IN CITY LIMITS,MEAGHER,NOVEMBER,2020,SAT,535552.15799,245234.45130,,,26.0
C000294_021+0.822_027+0.008_S-294,C000294,A,027+0.007,NOT IN CITY LIMITS,MEAGHER,DECEMBER,2022,MON,537102.29432,245702.65701,46.458111669079898,-110.319225493804,27.007
C000294_027+0.008_029+0.155_S-294,C000294,A,027+0.014,NOT IN CITY LIMITS,MEAGHER,JUNE,2019,FRI,537101.37377,245716.82050,46.4581575820741,-110.319219056404,27.014
C000294_027+0.008_029+0.155_S-294,C000294,A,027+0.036,NOT IN CITY LIMITS,MEAGHER,JUNE,2019,SUN,537121.63190,245756.40138,46.4581575820741,-110.319219056404,27.036
C000294_027+0.008_029+0.155_S-294,C000294,A,027+0.048,NOT IN CITY LIMITS,MEAGHER,JUNE,2021,THU,537070.52717,245762.72327,46.4586493085743,-110.319647408802,27.048
C000294_027+0.008_029+0.155_S-294,C000294,A,029+0.140,NOT IN CITY LIMITS,MEAGHER,SEPTEMBER,2023,THU,538148.77766,248882.53283,46.486830128886503,-110.306022494622,29.14
