YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,PER_100M_VMT,LOCATION,ROUTE_FILE_NAME
2023.0,S-311,A,4.109,C000311,A,C000311A,021+0.793,025+0.898,21.817,25.925,56-3-008,nan,nan,E,77.0,3.0,nan,0.0,24.0,13.0,39.0,nan,0.0,312.0,169.0,RMA_RMC_345,5162.0,10.0,145.0,8.0,8.0,12.0,12.0,nan,2.0,nan,YELLOWSTONE,nan,nan,6.667,33.333,C000311_021+0.793_025+0.898_S-311,21.793,25.898,,S-311,Secondary,3,2,YELLOWSTONE,2.0,316.393,0.4,192.5,790.9824999999998,346.1329153466861,,S-311
2023.0,S-311,A,0.686,C000311,A,C000311A,021+0.107,021+0.793,21.131,21.817,52-1-002,nan,nan,E,87.0,3.0,nan,0.0,24.0,13.0,31.0,nan,0.0,250.0,135.0,RMA_RMC_345,5162.0,10.0,145.0,8.0,8.0,12.0,12.0,nan,2.0,nan,YELLOWSTONE,nan,nan,4.968,4.968,C000311_021+0.107_021+0.793_S-311,21.107,21.793,,S-311,Secondary,4,0,YELLOWSTONE,,59.682,0.0,None,None,0.0,,S-311
2023.0,S-311,A,0.902,C000311,A,C000311A,008+0.283,009+0.188,8.375,9.277,087441P,nan,nan,A,104.0,3.0,nan,0.0,24.0,13.0,29.0,nan,0.0,231.0,125.0,RMA_RMC_345,5162.0,10.0,145.0,8.0,8.0,12.0,12.0,nan,2.0,nan,TREASURE,nan,nan,4.968,4.968,C000311_008+0.283_009+0.188_S-311,8.283,9.188,,S-311,Secondary,1,1,TREASURE,1.0,93.808,0.2,520.0,469.04,583.7137103726977,,S-311
2023.0,S-311,A,2.801,C000311,A,C000311A,005+0.494,008+0.283,5.574,8.375,52-1-003,nan,nan,E,171.66666666666666,3.0,nan,0.0,24.0,13.0,20.0,nan,0.0,158.0,86.0,RMA_RMC_345,5162.0,10.0,145.0,8.0,8.0,12.0,12.0,nan,2.0,nan,TREASURE,nan,nan,4.167,4.167,C000311_005+0.494_008+0.283_S-311,5.494,8.283,,S-311,Secondary,3,1,TREASURE,1.0,480.8383333333333,0.2,858.3333333333333,2404.1916666666666,113.87822464787271,,S-311
2023.0,S-311,A,0.251,C000311,A,C000311A,002+0.427,002+0.679,2.524,2.775,52-1-009,nan,nan,E,343.25,3.0,nan,0.0,24.0,13.0,10.0,nan,0.0,83.0,45.0,RMA_RMC_345,5162.0,10.0,145.0,8.0,8.0,12.0,12.0,nan,2.0,nan,TREASURE,nan,nan,4.968,4.968,C000311_002+0.427_002+0.679_S-311,2.427,2.6790000000000003,,S-311,Secondary,4,0,TREASURE,,86.15575,0.0,None,None,0.0,,S-311
2023.0,S-311,A,0.312,C000311,A,C000311A,002+0.115,002+0.427,2.211,2.524,52-1-007,nan,nan,E,526.0,3.0,nan,0.0,24.0,13.0,7.0,nan,0.0,58.0,31.0,RMA_RMC_345,5162.0,10.0,145.0,8.0,8.0,12.0,12.0,nan,2.0,nan,TREASURE,nan,nan,4.968,4.968,C000311_002+0.115_002+0.427_S-311,2.115,2.427,,S-311,Secondary,5,0,TREASURE,,164.112,0.0,None,None,0.0,,S-311
2023.0,S-311,A,2.161,C000311,A,C000311A,000+0.050,002+0.115,0.05,2.211,52-1-006,nan,nan,E,440.5,3.0,nan,0.0,24.0,13.0,7.0,nan,0.0,55.0,30.0,RMA_RMC_345,5162.0,10.0,145.0,8.0,8.0,12.0,12.0,nan,2.0,nan,TREASURE,JCT I-94 ON RAMP HYSHAM INTERCHANGE,JCT I-94 ON RAMP HYSHAM INTERCHANGE,5.769,5.769,C000311_000+0.050_002+0.115_S-311,0.05,2.115,,S-311,Secondary,4,1,TREASURE,1.0,951.9205000000001,0.2,2202.5,4759.6025,57.52267730618473,,S-311
2023.0,S-311,A,0.05,C000311,A,C000311A,000+0.000,000+0.050,0.0,0.05,52-1-006,nan,nan,E,440.5,3.0,nan,0.0,24.0,13.0,7.0,nan,0.0,55.0,30.0,RMA_RMC_345,5162.0,10.0,145.0,8.0,8.0,12.0,12.0,nan,2.0,nan,TREASURE,nan,ENT S-311A,5.769,5.769,C000311_000+0.000_000+0.050_S-311,0.0,0.05,,S-311,Secondary,4,0,TREASURE,,22.025000000000002,0.0,None,None,0.0,,S-311
2023.0,S-311,A,2.8,C000311,A,C000311A,002+0.679,005+0.494,2.775,5.574,52-1-008,nan,nan,E,261.25,3.0,nan,0.0,24.0,13.0,15.0,nan,0.0,118.0,64.0,RMA_RMC_345,5162.0,10.0,145.0,8.0,8.0,12.0,12.0,nan,2.0,nan,TREASURE,nan,nan,4.968,4.968,C000311_002+0.679_005+0.494_S-311,2.6790000000000003,5.494,,S-311,Secondary,4,0,TREASURE,,731.5,0.0,None,None,0.0,,S-311
2023.0,S-311,A,11.854,C000311,A,C000311A,009+0.188,021+0.107,9.277,21.131,52-1-002,nan,nan,E,96.0,3.0,nan,0.0,24.0,13.0,31.0,nan,0.0,250.0,135.0,RMA_RMC_345,5162.0,10.0,145.0,8.0,8.0,12.0,12.0,nan,2.0,nan,TREASURE,nan,nan,4.968,4.968,C000311_009+0.188_021+0.107_S-311,9.188,21.107,,S-311,Secondary,1,2,TREASURE,2.0,1137.984,0.4,240.0,2844.9599999999996,96.23512411886641,,S-311
