YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,U-8120,A,0.032,C008120,A,C008120A,002+0.966,002+0.998,2.966,2.998,32-3A-173,nan,nan,E,5901.0,14.0,nan,175.0,44.0,9.0,2.0,nan,30.0,7.0,2.0,UMA_UC,8132.0,10.0,103.0,72.0,72.0,93.0,93.0,Yes,2.0,nan,MISSOULA,nan,BEGIN ONEWAY ROADWAY,4.773,0.068,C008120_002+0.966_002+0.998_U-8120,2.966,2.998,SOUTH AVE W,,Urban,1,1,MISSOULA,1.0,188.832,0.2,29505.0,944.16,,SOUTH AVE W
2023.0,U-8120,A,0.23,C008120,A,C008120A,002+0.736,002+0.966,2.736,2.966,32-3A-173,nan,nan,E,5901.0,14.0,nan,175.0,44.0,9.0,2.0,nan,30.0,7.0,2.0,UMA_UC,8132.0,10.0,103.0,72.0,72.0,93.0,93.0,nan,2.0,nan,MISSOULA,JCT U-8136 (GARFIELD ST),JCT U-8136 (GARFIELD ST),4.773,0.068,C008120_002+0.736_002+0.966_U-8120,2.7359999999999998,2.966,SOUTH AVE W,,Urban,1,5,MISSOULA,5.0,1357.23,1.0,5901.0,1357.23,,SOUTH AVE W
2023.0,U-8120,A,0.196,C008120,A,C008120A,002+0.541,002+0.736,2.541,2.736,32-3A-173,nan,nan,E,5901.0,14.0,nan,175.0,44.0,9.0,2.0,nan,30.0,7.0,2.0,UMA_UC,8132.0,10.0,103.0,72.0,72.0,93.0,93.0,nan,2.0,nan,MISSOULA,nan,nan,4.773,0.068,C008120_002+0.541_002+0.736_U-8120,2.541,2.7359999999999998,SOUTH AVE W,,Urban,1,28,MISSOULA,28.0,1156.596,5.6,1053.75,206.53500000000003,,SOUTH AVE W
2023.0,U-8120,A,0.552,C008120,A,C008120A,001+0.989,002+0.541,1.989,2.541,32-3A-088,nan,nan,E,12635.0,14.0,nan,175.0,44.0,9.0,1.0,nan,14.0,3.0,1.0,UMA_UC,8132.0,10.0,103.0,75.0,75.0,95.0,95.0,nan,2.0,nan,MISSOULA,JCT N-92(RESERVE ST),JCT N-92(RESERVE ST),4.773,0.068,C008120_001+0.989_002+0.541_U-8120,1.9889999999999999,2.541,SOUTH AVE W,,Urban,1,53,MISSOULA,53.0,6974.52,10.6,1191.9811320754718,657.9735849056605,,SOUTH AVE W
2023.0,U-8120,A,0.246,C008120,A,C008120A,001+0.742,001+0.989,1.742,1.989,32-3A-090,nan,nan,E,11066.0,14.0,nan,175.0,44.0,9.0,1.0,nan,16.0,4.0,1.0,UMA_UC,8132.0,10.0,103.0,74.0,74.0,94.0,94.0,nan,2.0,nan,MISSOULA,nan,nan,4.773,0.068,C008120_001+0.742_001+0.989_U-8120,1.742,1.9889999999999999,SOUTH AVE W,,Urban,1,59,MISSOULA,59.0,2722.236,11.8,937.7966101694915,230.6979661016949,,SOUTH AVE W
2023.0,U-8120,A,0.749,C008120,A,C008120A,000+0.993,001+0.742,0.993,1.742,32-3A-051,nan,nan,E,6362.0,14.0,nan,175.0,44.0,9.0,2.0,nan,28.0,7.0,1.0,UMA_UC,8132.0,10.0,103.0,72.0,72.0,93.0,93.0,nan,2.0,nan,MISSOULA,nan,nan,6.859,0.137,C008120_000+0.993_001+0.742_U-8120,0.993,1.742,SOUTH AVE W,,Urban,1,30,MISSOULA,30.0,4765.138,6.0,1060.3333333333333,794.1896666666667,,SOUTH AVE W
2023.0,U-8120,A,0.993,C008120,A,C008120A,000+0.000,000+0.993,0.0,0.993,32-3A-050,nan,nan,E,4526.0,14.0,nan,175.0,44.0,9.0,3.0,nan,39.0,10.0,2.0,UMA_UC,8132.0,10.0,103.0,72.0,72.0,92.0,92.0,nan,2.0,nan,MISSOULA,JCT U-8101(CLEMENTS RD),ENT U-8120A/,4.773,0.068,C008120_000+0.000_000+0.993_U-8120,0.0,0.993,SOUTH AVE W,,Urban,1,20,MISSOULA,20.0,4494.318,4.0,1131.5,1123.5795,,SOUTH AVE W
2023.0,U-8139,A,0.389,C473077,A,C473077A,000+0.970,001+0.358,0.97,1.358,32-3A-189,nan,nan,E,8394.25,14.0,nan,175.0,44.0,9.0,2.0,nan,21.0,5.0,1.0,UMA_UC,8132.0,10.0,103.0,73.0,73.0,93.0,93.0,nan,2.0,nan,MISSOULA,nan,nan,4.773,0.068,C473077_000+0.970_001+0.358_U-8139,0.97,1.358,SOUTH AVE W,,Urban,4,15,MISSOULA,15.0,3265.36325,3.0,2798.0833333333335,1088.4544166666667,,SOUTH AVE W
2023.0,U-8139,A,0.498,C473077,A,C473077A,000+0.472,000+0.970,0.472,0.97,32-3A-192,nan,nan,E,4846.25,14.0,nan,175.0,44.0,9.0,3.0,nan,35.0,9.0,2.0,UMA_UC,8132.0,10.0,103.0,72.0,72.0,92.0,92.0,nan,2.0,nan,MISSOULA,nan,nan,2.686,0.0,C473077_000+0.472_000+0.970_U-8139,0.472,0.97,SOUTH AVE W,,Urban,4,19,MISSOULA,19.0,2413.4325,3.8,1275.328947368421,635.1138157894737,,SOUTH AVE W
2023.0,U-8139,A,0.472,C473077,A,C473077A,000+0.000,000+0.472,0.0,0.472,32-3A-174,nan,nan,A,4219.75,14.0,nan,175.0,44.0,9.0,5.0,nan,66.0,16.0,3.0,UMA_UC,8132.0,10.0,103.0,73.0,73.0,93.0,93.0,nan,2.0,nan,MISSOULA,JCT BROOKS ST,ENT U-8139A/,4.773,0.068,C473077_000+0.000_000+0.472_U-8139,0.0,0.472,SOUTH AVE W,,Urban,4,10,MISSOULA,10.0,1991.722,2.0,2109.875,995.861,,SOUTH AVE W
