YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,U-1024,A,0.502,C001024,A,C001024A,000+0.902,001+0.403,0.902,1.403,56-4A-214,nan,nan,E,6281.2,62.0,nan,234.0,271.0,176.0,11.0,nan,42.0,48.0,31.0,UMA_UC,8155.0,10.0,102.0,173.0,173.0,236.0,236.0,nan,2.0,nan,YELLOWSTONE,nan,nan,19.586,4.777,C001024_000+0.902_001+0.403_U-1024,0.902,1.403,STATE AVE,,Urban,5,4,YELLOWSTONE,4.0,3153.1623999999997,0.8,7851.499999999999,3941.4529999999995,,STATE AVE
2023.0,U-1024,A,0.501,C001024,A,C001024A,000+0.401,000+0.902,0.401,0.902,56-4A-213,nan,nan,E,8036.8,5.0,nan,20.0,216.0,116.0,1.0,nan,3.0,29.0,15.0,UMA_UC,8019.0,10.0,99.0,89.0,89.0,127.0,127.0,nan,2.0,nan,YELLOWSTONE,JCT U-1019(JACKSON ST),JCT U-1019(JACKSON ST),11.025,1.167,C001024_000+0.401_000+0.902_U-1024,0.401,0.902,STATE AVE,,Urban,5,11,YELLOWSTONE,11.0,4026.4368,2.2,3653.090909090909,1830.1985454545452,,STATE AVE
2023.0,U-1024,A,0.401,C001024,A,C001024A,000+0.000,000+0.401,0.0,0.401,56-4A-212,nan,nan,E,9517.2,5.0,nan,20.0,216.0,116.0,1.0,nan,2.0,27.0,14.0,UMA_UC,8019.0,10.0,99.0,89.0,89.0,127.0,127.0,nan,2.0,nan,YELLOWSTONE,JCT N-114(1ST AVE S),ENT U-1024A/,11.025,1.167,C001024_000+0.000_000+0.401_U-1024,0.0,0.401,STATE AVE,,Urban,5,22,YELLOWSTONE,22.0,3816.3972000000003,4.4,2163.0,867.363,,STATE AVE
2023.0,U-1022,A,0.216,C001022,A,C001022A,003+0.170,003+0.387,3.17,3.387,56-4A-226,nan,nan,E,3684.0,53.0,nan,126.0,352.0,105.0,14.0,nan,33.0,93.0,28.0,UMA_UC,8017.0,10.0,101.0,176.0,176.0,251.0,251.0,nan,4.0,nan,YELLOWSTONE,JCT N-115(1ST AVE N),BEGIN 4 LANES/JCT N-115(1ST AVE N),1.985,0.529,C001022_003+0.170_003+0.387_U-1022,3.17,3.387,STATE AVE,,NI-NHS,4,14,YELLOWSTONE,14.0,795.744,2.8,1315.7142857142858,284.19428571428574,,STATE AVE
2023.0,U-1022,A,0.21,C001022,A,C001022A,002+0.960,003+0.170,2.96,3.17,56-4A-225,nan,nan,E,10614.0,53.0,nan,126.0,352.0,105.0,5.0,nan,11.0,31.0,9.0,UMA_UC,8017.0,10.0,101.0,179.0,179.0,254.0,254.0,nan,2.0,nan,YELLOWSTONE,nan,nan,1.985,0.529,C001022_002+0.960_003+0.170_U-1022,2.96,3.17,STATE AVE,,NI-NHS,4,15,YELLOWSTONE,15.0,2228.94,3.0,3538.0,742.98,,STATE AVE
2023.0,U-1022,A,0.077,C001022,A,C001022A,002+0.373,002+0.450,2.373,2.45,56-4A-223,nan,nan,E,9727.666666666666,53.0,nan,126.0,352.0,105.0,5.0,nan,13.0,36.0,11.0,UMA_UC,8017.0,10.0,101.0,178.0,178.0,253.0,253.0,nan,2.0,nan,YELLOWSTONE,nan,BEGIN 2 LANES,1.985,0.529,C001022_002+0.373_002+0.450_U-1022,2.373,2.45,STATE AVE,,NI-NHS,3,9,YELLOWSTONE,9.0,749.0303333333333,1.8,5404.259259259259,416.1279629629629,,STATE AVE
2023.0,U-1022,A,0.286,C001022,A,C001022A,002+0.014,002+0.300,2.014,2.3,56-4A-223,nan,nan,E,9576.75,53.0,nan,126.0,352.0,105.0,5.0,nan,13.0,36.0,11.0,UMA_UC,8017.0,10.0,101.0,178.0,178.0,253.0,253.0,nan,4.0,nan,YELLOWSTONE,JCT N-53(27TH ST),ENT U-1022A/JCT N-53(27TH ST),1.985,0.529,C001022_002+0.014_002+0.300_U-1022,2.014,2.3,STATE AVE,,NI-NHS,4,28,YELLOWSTONE,28.0,2738.9505,5.6,1710.1339285714287,489.0983035714286,,STATE AVE
2023.0,N-114,A,0.359,C001022,A,C001022A,001+0.437,001+0.796,1.437,1.796,56-4A-221,nan,nan,A,7881.5,53.0,nan,126.0,352.0,105.0,6.0,nan,14.0,38.0,11.0,UPA,8017.0,10.0,101.0,178.0,178.0,253.0,253.0,nan,4.0,nan,YELLOWSTONE,nan,nan,1.985,0.529,C001022_001+0.437_001+0.796_N-114,1.437,1.796,STATE AVE,,NI-NHS,4,9,YELLOWSTONE,9.0,2829.4584999999997,1.8,4378.611111111111,1571.9213888888887,,STATE AVE
2023.0,N-114,A,0.675,C001022,A,C001022A,000+0.762,001+0.437,0.762,1.437,56-4A-220,nan,nan,E,7980.0,53.0,nan,126.0,352.0,105.0,6.0,nan,15.0,42.0,13.0,UPA,8017.0,10.0,101.0,178.0,178.0,253.0,253.0,nan,4.0,nan,YELLOWSTONE,JCT U-1024(STATE AVE),BEGIN 4 LANES/JCT U-1024(STATE AVE),1.985,0.529,C001022_000+0.762_001+0.437_N-114,0.762,1.437,STATE AVE,,NI-NHS,4,30,YELLOWSTONE,30.0,5386.5,6.0,1330.0,897.75,,STATE AVE
2023.0,N-114,A,0.236,C001022,A,C001022A,000+0.154,000+0.390,0.154,0.39,56-4A-218,nan,nan,E,6055.0,53.0,nan,126.0,352.0,105.0,9.0,nan,21.0,57.0,17.0,UPA,8017.0,10.0,101.0,177.0,177.0,252.0,252.0,nan,4.0,nan,YELLOWSTONE,nan,BEGIN 4 LANES,1.081,0.721,C001022_000+0.154_000+0.390_N-114,0.154,0.39,STATE AVE,,NI-NHS,3,2,YELLOWSTONE,2.0,1428.98,0.4,15137.5,3572.45,,STATE AVE
