SEGMENT_KEY,CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C000011_052+0.269_052+0.746_N-11,C000011,D,052+0.278,NOT IN CITY LIMITS,PARK,JANUARY,2020,MON,516161.26509,154539.47503,,,52.278
C000011_052+0.269_052+0.746_N-11,C000011,D,052+0.376,NOT IN CITY LIMITS,PARK,MAY,2023,WED,516190.37915,154694.43721,45.636747780419697,-110.575294997928,52.376
C000011_052+0.746_052+0.982_N-11,C000011,D,052+0.757,LIVINGSTON,PARK,OCTOBER,2019,SAT,516249.57117,155306.53811,,,52.757
C000011_053+0.221_053+0.385_N-11,C000011,D,053+0.237,LIVINGSTON,PARK,AUGUST,2023,TUE,516419.18013,156061.63961,45.649079999999998,-110.57259999999999,53.237
C000011_053+0.221_053+0.385_N-11,C000011,D,053+0.355,LIVINGSTON,PARK,MAY,2023,WED,516452.90273,156247.85686,45.650759999999998,-110.5722,53.355
C000011_053+0.495_053+0.631_N-11,C000011,D,053+0.560,LIVINGSTON,PARK,DECEMBER,2023,WED,516519.65831,156570.29781,45.653669999999998,-110.5714,53.56
C000011_053+0.631_053+0.709_N-11,C000011,D,053+0.661,LIVINGSTON,PARK,AUGUST,2023,TUE,516584.05342,156720.53814,45.655029999999996,-110.5706,53.661
C000060_086+0.905_087+0.347_N-60,C000060,D,087+0.237,NOT IN CITY LIMITS,CASCADE,NOVEMBER,2021,THU,475892.72306,359627.25417,47.474709641168303,-111.14749596520601,87.237
C000060_087+0.347_088+0.823_N-60,C000060,D,088+0.184,NOT IN CITY LIMITS,CASCADE,JUNE,2020,FRI,474661.04338,360508.75892,,,88.184
C000060_087+0.347_088+0.823_N-60,C000060,D,088+0.356,NOT IN CITY LIMITS,CASCADE,NOVEMBER,2019,WED,474417.41248,360638.36226,,,88.356
C000060_087+0.347_088+0.823_N-60,C000060,D,088+0.390,NOT IN CITY LIMITS,CASCADE,JULY,2022,MON,474373.66648,360670.83400,47.483809999999998,-111.16795,88.39
C000060_088+0.823_090+0.371_N-60,C000060,D,089+0.277,NOT IN CITY LIMITS,CASCADE,DECEMBER,2020,FRI,473052.01680,361153.81176,,,89.277
C000060_088+0.823_090+0.371_N-60,C000060,D,089+0.475,NOT IN CITY LIMITS,CASCADE,JANUARY,2022,TUE,472735.85087,361183.50912,47.4881068743341,-111.18983552470699,89.475
C000060_088+0.823_090+0.371_N-60,C000060,D,090+0.147,NOT IN CITY LIMITS,CASCADE,SEPTEMBER,2020,SAT,471663.94155,361304.46139,,,90.147
C000060_088+0.823_090+0.371_N-60,C000060,D,090+0.327,NOT IN CITY LIMITS,CASCADE,SEPTEMBER,2023,WED,471400.78825,361425.76503,47.490025995642299,-111.207627249536,90.327
C000060_090+0.371_090+1.189_N-60,C000060,D,090+0.773,GREAT FALLS,CASCADE,JANUARY,2022,FRI,470790.89350,361803.46570,47.4933043748577,-111.215833110342,90.773
C000060_090+0.371_090+1.189_N-60,C000060,D,090+0.773,GREAT FALLS,CASCADE,JANUARY,2022,THU,470790.89350,361803.46570,47.4933043748577,-111.215833110342,90.773
C000060_090+0.371_090+1.189_N-60,C000060,D,090+0.773,GREAT FALLS,CASCADE,JUNE,2021,WED,470790.89350,361803.46570,47.4933043748577,-111.215833110342,90.773
C000060_090+0.371_090+1.189_N-60,C000060,D,090+0.773,GREAT FALLS,CASCADE,MARCH,2022,FRI,470790.89350,361803.46570,47.4933043748577,-111.215833110342,90.773
C000060_090+0.371_090+1.189_N-60,C000060,D,090+0.773,GREAT FALLS,CASCADE,MAY,2022,TUE,470790.89350,361803.46570,47.4933043748577,-111.215833110342,90.773
C000060_090+0.371_090+1.189_N-60,C000060,D,090+0.907,GREAT FALLS,CASCADE,APRIL,2022,MON,470584.51810,361861.67410,47.4937873818796,-111.218589752511,90.907
C000060_090+0.371_090+1.189_N-60,C000060,D,090+0.907,GREAT FALLS,CASCADE,FEBRUARY,2022,WED,470584.51810,361861.67410,47.4937873818796,-111.218589752511,90.907
C000060_090+0.371_090+1.189_N-60,C000060,D,090+0.907,GREAT FALLS,CASCADE,JULY,2021,FRI,470584.51810,361861.67410,47.4937873818796,-111.218589752511,90.907
C000060_090+0.371_090+1.189_N-60,C000060,D,090+0.907,GREAT FALLS,CASCADE,MAY,2022,FRI,470584.51810,361861.67410,47.4937873818796,-111.218589752511,90.907
C000060_090+0.371_090+1.189_N-60,C000060,D,090+0.907,GREAT FALLS,CASCADE,NOVEMBER,2021,SAT,470584.51810,361861.67410,47.4937873818796,-111.218589752511,90.907
C000060_090+0.371_090+1.189_N-60,C000060,D,090+0.987,GREAT FALLS,CASCADE,JUNE,2023,FRI,470455.66700,361867.10400,0,0,90.987
C000060_090+0.371_090+1.189_N-60,C000060,D,090+0.990,GREAT FALLS,CASCADE,MARCH,2021,SUN,470450.75500,361866.76900,0,0,90.99
C000060_090+0.371_090+1.189_N-60,C000060,D,091+0.040,GREAT FALLS,CASCADE,DECEMBER,2023,FRI,470370.54600,361868.66900,0,0,91.04
C000060_090+0.371_090+1.189_N-60,C000060,D,091+0.113,GREAT FALLS,CASCADE,JULY,2021,THU,470252.95900,361871.82300,0,0,91.113
C000060_090+0.371_090+1.189_N-60,C000060,D,091+0.130,GREAT FALLS,CASCADE,APRIL,2022,MON,470225.97100,361872.80500,47.4938166383075,-111.223352842782,91.13
C000060_090+1.189_091+0.222_N-60,C000060,D,091+0.217,GREAT FALLS,CASCADE,JULY,2021,SAT,470086.61500,361876.90400,0,0,91.217
C000060_091+0.222_091+0.708_N-60,C000060,D,091+0.265,GREAT FALLS,CASCADE,NOVEMBER,2021,MON,470008.73470,361879.23690,47.4938314607535,-111.226238612258,91.265
C000060_091+0.222_091+0.708_N-60,C000060,D,091+0.267,GREAT FALLS,CASCADE,SEPTEMBER,2022,TUE,470004.92500,361879.34000,47.4938314607535,-111.226238612258,91.267
C000060_091+0.222_091+0.708_N-60,C000060,D,091+0.393,GREAT FALLS,CASCADE,JANUARY,2022,WED,469802.50940,361885.51620,47.4938470254729,-111.228978163798,91.393
C000060_091+0.222_091+0.708_N-60,C000060,D,091+0.444,GREAT FALLS,CASCADE,DECEMBER,2020,WED,469721.40800,361888.27700,,,91.444
C000060_091+0.222_091+0.708_N-60,C000060,D,091+0.586,GREAT FALLS,CASCADE,APRIL,2022,MON,469491.90100,361895.40400,47.4938742162212,-111.233104497504,91.586
C000060_091+0.222_091+0.708_N-60,C000060,D,091+0.586,GREAT FALLS,CASCADE,DECEMBER,2021,WED,469491.90100,361895.40400,47.4938742162212,-111.233104497504,91.586
C000060_091+0.222_091+0.708_N-60,C000060,D,091+0.586,GREAT FALLS,CASCADE,JANUARY,2022,TUE,469491.90100,361895.40400,47.4938742162212,-111.233104497504,91.586
C000060_091+0.222_091+0.708_N-60,C000060,D,091+0.586,GREAT FALLS,CASCADE,MARCH,2022,SAT,469491.90100,361895.40400,47.4938742162212,-111.233104497504,91.586
C000060_091+0.222_091+0.708_N-60,C000060,D,091+0.586,GREAT FALLS,CASCADE,OCTOBER,2021,THU,469491.90100,361895.40400,47.4938742162212,-111.233104497504,91.586
C000060_091+0.222_091+0.708_N-60,C000060,D,091+0.695,GREAT FALLS,CASCADE,OCTOBER,2022,WED,469317.70800,361900.52200,0,0,91.695
C000060_091+0.708_092+0.198_N-60,C000060,D,091+0.787,GREAT FALLS,CASCADE,MARCH,2023,MON,469169.49200,361904.27100,0,0,91.787
C000060_091+0.708_092+0.198_N-60,C000060,D,091+0.826,GREAT FALLS,CASCADE,FEBRUARY,2022,SUN,469106.81720,361905.99190,47.4938926899775,-111.238219726749,91.826
C000060_091+0.708_092+0.198_N-60,C000060,D,091+0.853,GREAT FALLS,CASCADE,JUNE,2021,SAT,469063.15300,361907.44700,0,0,91.853
C000060_091+0.708_092+0.198_N-60,C000060,D,091+0.920,GREAT FALLS,CASCADE,SEPTEMBER,2022,WED,468955.72000,361911.12000,47.4939091807402,-111.23993917574,91.92
C000060_091+0.708_092+0.198_N-60,C000060,D,091+0.922,GREAT FALLS,CASCADE,FEBRUARY,2020,THU,468951.78661,361911.41333,,,91.922
C000060_091+0.708_092+0.198_N-60,C000060,D,091+0.989,GREAT FALLS,CASCADE,DECEMBER,2021,FRI,468844.21770,361913.92940,47.4939116117948,-111.241708159603,91.989
C000060_091+0.708_092+0.198_N-60,C000060,D,091+0.989,GREAT FALLS,CASCADE,DECEMBER,2021,TUE,468844.21770,361913.92940,47.4939116117948,-111.241708159603,91.989
C000060_091+0.708_092+0.198_N-60,C000060,D,091+0.989,GREAT FALLS,CASCADE,JANUARY,2019,FRI,468844.26000,361913.75400,47.4939116117948,-111.241708159603,91.989
C000060_091+0.708_092+0.198_N-60,C000060,D,091+0.989,GREAT FALLS,CASCADE,JANUARY,2022,MON,468844.21770,361913.92940,47.4939116117948,-111.241708159603,91.989
C000060_091+0.708_092+0.198_N-60,C000060,D,091+0.989,GREAT FALLS,CASCADE,JULY,2021,TUE,468844.21770,361913.92940,47.4939116117948,-111.241708159603,91.989
C000060_091+0.708_092+0.198_N-60,C000060,D,091+0.989,GREAT FALLS,CASCADE,OCTOBER,2021,MON,468844.21770,361913.92940,47.4939116117948,-111.241708159603,91.989
C000060_091+0.708_092+0.198_N-60,C000060,D,091+0.989,GREAT FALLS,CASCADE,SEPTEMBER,2021,SUN,468844.21770,361913.92940,47.4939116117948,-111.241708159603,91.989
C000060_091+0.708_092+0.198_N-60,C000060,D,092+0.095,GREAT FALLS,CASCADE,MARCH,2023,FRI,468673.96600,361918.28400,0,0,92.095
C000060_091+0.708_092+0.198_N-60,C000060,D,092+0.151,GREAT FALLS,CASCADE,DECEMBER,2021,SUN,468582.94120,361921.20550,47.4939247427641,-111.245178836044,92.151
C000060_091+0.708_092+0.198_N-60,C000060,D,092+0.175,GREAT FALLS,CASCADE,MARCH,2021,SUN,468544.73800,361922.36800,0,0,92.175
C000060_092+0.198_092+0.281_N-60,C000060,D,092+0.209,GREAT FALLS,CASCADE,SEPTEMBER,2022,SUN,468490.12300,361924.06100,47.4939306766005,-111.246383562641,92.209
C000060_092+0.281_092+0.690_N-60,C000060,D,092+0.327,GREAT FALLS,CASCADE,OCTOBER,2020,MON,468301.23000,361931.20600,,,92.327
C000060_092+0.281_092+0.690_N-60,C000060,D,092+0.345,GREAT FALLS,CASCADE,SEPTEMBER,2022,SAT,468270.90600,361931.90000,0,0,92.345
C000060_092+0.281_092+0.690_N-60,C000060,D,092+0.445,GREAT FALLS,CASCADE,JUNE,2023,SAT,468111.41500,361935.57900,0,0,92.445
C000060_092+0.281_092+0.690_N-60,C000060,D,092+0.451,GREAT FALLS,CASCADE,DECEMBER,2022,SUN,468101.02900,361935.56100,0,0,92.451
C000060_092+0.281_092+0.690_N-60,C000060,D,092+0.462,GREAT FALLS,CASCADE,SEPTEMBER,2022,THU,468084.02100,361936.07700,47.4940369687559,-111.252077627183,92.462
C000060_092+0.281_092+0.690_N-60,C000060,D,092+0.464,GREAT FALLS,CASCADE,FEBRUARY,2021,WED,468080.88000,361936.51300,47.4940369687559,-111.252077627183,92.464
C000060_092+0.281_092+0.690_N-60,C000060,D,092+0.468,GREAT FALLS,CASCADE,OCTOBER,2020,TUE,468073.56782,361936.22755,,,92.468
C000060_092+0.281_092+0.690_N-60,C000060,D,092+0.490,GREAT FALLS,CASCADE,MARCH,2021,FRI,468037.64300,361937.97300,47.4940369687559,-111.252077627183,92.49
C000060_092+0.281_092+0.690_N-60,C000060,D,092+0.494,GREAT FALLS,CASCADE,SEPTEMBER,2022,THU,468032.33100,361937.91400,0,0,92.494
C000060_092+0.281_092+0.690_N-60,C000060,D,092+0.502,GREAT FALLS,CASCADE,JULY,2021,WED,468019.77800,361938.48900,0,0,92.502
C000060_092+0.281_092+0.690_N-60,C000060,D,092+0.505,GREAT FALLS,CASCADE,AUGUST,2023,TUE,468013.88300,361937.72400,0,0,92.505
C000060_092+0.281_092+0.690_N-60,C000060,D,092+0.512,GREAT FALLS,CASCADE,OCTOBER,2020,SAT,468003.72178,361939.20903,,,92.512
C000060_092+0.281_092+0.690_N-60,C000060,D,092+0.530,GREAT FALLS,CASCADE,DECEMBER,2023,MON,467974.14800,361940.01300,0,0,92.53
C000060_092+0.281_092+0.690_N-60,C000060,D,092+0.531,GREAT FALLS,CASCADE,DECEMBER,2020,FRI,467971.94590,361939.31185,,,92.531
C000060_092+0.281_092+0.690_N-60,C000060,D,092+0.547,GREAT FALLS,CASCADE,AUGUST,2020,TUE,467945.97339,361940.99287,,,92.547
C000060_092+0.281_092+0.690_N-60,C000060,D,092+0.553,GREAT FALLS,CASCADE,MARCH,2021,SAT,467937.01300,361941.37500,0,0,92.553
C000060_092+0.281_092+0.690_N-60,C000060,D,092+0.639,GREAT FALLS,CASCADE,DECEMBER,2021,MON,467798.45000,361945.67950,47.4939871809172,-111.255600447185,92.639
C000060_092+0.690_093+0.088_N-60,C000060,D,092+0.721,GREAT FALLS,CASCADE,JANUARY,2022,TUE,467666.73780,361950.97050,47.4940082060336,-111.257350538745,92.721
C000060_092+0.690_093+0.088_N-60,C000060,D,092+0.721,GREAT FALLS,CASCADE,JANUARY,2022,SAT,467666.73780,361950.97050,47.4940082060336,-111.257350538745,92.721
