CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000090A,02-1-004,473+0.231,478+0.455,I-90,28,5.221,7841.75,40941.77675,,BIG HORN,,I-90,Interstate,5.6,1400.3125,7311.0315625
C000090A,02-1-004,469+0.540,473+0.231,I-90,50,3.711,7841.75,29100.73425,,YELLOWSTONE,,I-90,Interstate,10.0,784.175,2910.0734249999996
C000090A,02-1-004,462+0.045,469+0.540,I-90,99,7.483,7892.0,59055.836,,YELLOWSTONE,,I-90,Interstate,19.8,398.58585858585855,2982.6179797979794
C000090A,02-1-005,484+0.229,495+0.717,I-90,51,11.47,7349.5,84298.765,,BIG HORN,,I-90,Interstate,10.2,720.5392156862746,8264.584803921569
C000090A,02-1-005,478+0.455,484+0.229,I-90,40,5.772,7472.0,43128.384,,BIG HORN,,I-90,Interstate,8.0,934.0,5391.048
C000090A,02-1-006,495+0.717,497+0.350,I-90,6,1.648,7706.0,12699.488,,BIG HORN,,I-90,Interstate,1.2,6421.666666666667,10582.906666666666
C000090A,02-1-007,497+0.350,503+0.089,I-90,19,5.67,8516.0,48285.72,,BIG HORN,,I-90,Interstate,3.8,2241.0526315789475,12706.768421052631
C000090A,02-4-001,508+0.963,510+0.514,I-90,15,1.582,7777.0,12303.214,,BIG HORN,,I-90,Interstate,3.0,2592.3333333333335,4101.071333333333
C000090A,02-4-007,503+0.089,508+0.963,I-90,13,5.904,8946.0,52817.184,,BIG HORN,,I-90,Interstate,2.6,3440.7692307692305,20314.30153846154
C000090A,02-5-004,510+0.514,514+0.459,I-90,10,3.951,5386.0,21280.086,,BIG HORN,,I-90,Interstate,2.0,2693.0,10640.043
C000090A,02-5-005,514+0.459,530+0.302,I-90,40,15.874,4163.0,66083.462,,BIG HORN,,I-90,Interstate,8.0,520.375,8260.43275
C000090A,02-7-020,549+0.507,554+0.437,I-90,23,4.949,3590.0,17766.91,,BIG HORN,,I-90,Interstate,4.6,780.4347826086957,3862.371739130435
C000090A,02-7-020,543+0.732,549+0.507,I-90,25,5.798,4385.0,25424.23,,BIG HORN,,I-90,Interstate,5.0,877.0,5084.846
C000090A,04-2-007,267+0.446,271+0.745,I-90,38,4.294,12033.0,51669.702,,JEFFERSON,,I-90,Interstate,7.6,1583.2894736842106,6798.645
C000090A,04-2-007,271+0.745,274+0.569,I-90,36,2.821,11039.25,31141.724250000003,,BROADWATER,,I-90,Interstate,7.2,1533.2291666666667,4325.239479166667
C000090A,04-2-008,277+0.433,278+0.056,I-90,28,0.647,15761.25,10197.52875,,GALLATIN,,I-90,Interstate,5.6,2814.508928571429,1820.9872767857144
C000090A,04-2-008,274+0.569,277+0.433,I-90,49,2.868,17149.0,49183.331999999995,,BROADWATER,,I-90,Interstate,9.8,1749.8979591836733,5018.707346938774
C000090A,12-1-001,197+0.302,201+0.234,I-90,43,3.929,11628.0,45686.412,,DEER LODGE,,I-90,Interstate,8.6,1352.093023255814,5312.373488372093
C000090A,12-1-002,201+0.234,208+0.189,I-90,91,6.174,10417.0,64314.558000000005,,DEER LODGE,,I-90,Interstate,18.2,572.3626373626374,3533.7669230769234
C000090A,12-1-003,208+0.189,210+0.511,I-90,39,2.325,15011.0,34900.575000000004,,DEER LODGE,,I-90,Interstate,7.8,1924.4871794871792,4474.432692307693
C000090A,12-1-003,210+0.511,211+0.645,I-90,33,1.132,14373.0,16270.236,,SILVER BOW,,I-90,Interstate,6.6,2177.727272727273,2465.187272727273
