SEGMENT_KEY,CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000005_139+0.208_145+0.619_N-5,C000005A,15-3-001,139+0.208,145+0.619,N-5,40,6.415,2794.5,17926.7175,,FLATHEAD,,MT-200/US-93,NI-NHS,8.0,349.3125,2240.8396875
C000005_129+0.987_132+0.375_N-5,C000005A,15-4-004,129+0.987,132+0.375,N-5,24,2.397,5051.666666666667,12108.845,,FLATHEAD,,MT-200/US-93,NI-NHS,4.8,1052.4305555555557,2522.6760416666666
C000005_132+0.375_139+0.208_N-5,C000005A,15-4-004,132+0.375,139+0.208,N-5,80,6.821,4732.0,32276.972,,FLATHEAD,,MT-200/US-93,NI-NHS,16.0,295.75,2017.31075
C000005_122+0.875_125+0.445_N-5,C000005A,15-4A-007,122+0.875,125+0.445,N-5,158,2.579,22101.25,56999.123750000006,,FLATHEAD,,MT-200/US-93,NI-NHS,31.6,699.4066455696202,1803.769738924051
C000005_125+0.445_125+0.933_N-5,C000005A,15-4A-008,125+0.445,125+0.933,N-5,36,0.488,23924.0,11674.912,,FLATHEAD,,MT-200/US-93,NI-NHS,7.2,3322.777777777778,1621.5155555555557
C000005_126+0.935_127+0.545_N-5,C000005A,15-4A-021,126+0.935,127+0.545,N-5,38,0.606,15080.0,9138.48,,FLATHEAD,,MT-200/US-93,NI-NHS,7.6,1984.2105263157896,1202.4315789473685
C000005_127+0.545_127+0.683_N-5,C000005A,15-4A-022,127+0.545,127+0.683,N-5,8,0.138,14282.5,1970.985,,FLATHEAD,,MT-200/US-93,NI-NHS,1.6,8926.5625,1231.865625
C000005_127+0.683_127+0.817_N-5,C000005A,15-4A-023,127+0.683,127+0.817,N-5,7,0.134,10121.0,1356.2140000000002,,FLATHEAD,,MT-200/US-93,NI-NHS,1.4,7229.285714285715,968.724285714286
C000005_127+0.817_128+0.188_N-5,C000005A,15-4A-024,127+0.817,128+0.188,N-5,14,0.31,10636.5,3297.315,,FLATHEAD,,MT-200/US-93,NI-NHS,2.8,3798.750000000001,1177.6125000000002
C000005_128+0.188_128+0.517_N-5,C000005A,15-4A-025,128+0.188,128+0.517,N-5,1,0.329,9515.75,3130.68175,,FLATHEAD,,MT-200/US-93,NI-NHS,0.2,47578.75,15653.40875
C000005_120+0.737_122+0.875_N-5,C000005A,15-4A-042,120+0.737,122+0.875,N-5,83,2.195,19624.0,43074.68,,FLATHEAD,,MT-200/US-93,NI-NHS,16.6,1182.168674698795,2594.860240963855
C000005_128+0.517_129+0.138_N-5,C000005A,15-4A-043,128+0.517,129+0.138,N-5,7,0.674,9176.0,6184.624000000001,,FLATHEAD,,MT-200/US-93,NI-NHS,1.4,6554.285714285715,4417.588571428572
C000005_129+0.138_129+0.987_N-5,C000005A,15-4A-044,129+0.138,129+0.987,N-5,4,0.849,6605.666666666667,5608.211,,FLATHEAD,,MT-200/US-93,NI-NHS,0.8,8257.083333333334,7010.26375
C000005_125+0.933_126+0.553_N-5,C000005A,15-4A-045,125+0.933,126+0.553,N-5,24,0.621,27821.25,17276.99625,,FLATHEAD,,MT-200/US-93,NI-NHS,4.8,5796.09375,3599.37421875
C000005_126+0.553_126+0.935_N-5,C000005A,15-4A-046,126+0.553,126+0.935,N-5,25,0.383,22255.0,8523.665,,FLATHEAD,,MT-200/US-93,NI-NHS,5.0,4451.0,1704.7330000000002
C000005_093+0.347_093+0.528_N-5,C000005A,15-7-002,093+0.347,093+0.528,N-5,6,0.181,6284.25,1137.44925,,LAKE,,MT-200/US-93,NI-NHS,1.2,5236.875,947.874375
C000005_093+0.528_097+0.787_N-5,C000005A,15-7-002,093+0.528,097+0.787,N-5,85,4.28,6284.25,26896.59,,FLATHEAD,,MT-200/US-93,NI-NHS,17.0,369.6617647058824,1582.1523529411766
C000005_102+0.688_103+0.552_N-5,C000005A,15-7-003,102+0.688,103+0.552,N-5,33,0.867,12491.75,10830.34725,,FLATHEAD,,MT-200/US-93,NI-NHS,6.6,1892.689393939394,1640.9617045454547
C000005_104+0.088_104+0.217_N-5,C000005A,15-7-003,104+0.088,104+0.217,N-5,20,0.129,12491.75,1611.43575,,FLATHEAD,,MT-200/US-93,NI-NHS,4.0,3122.9375,402.8589375
C000005_103+0.552_104+0.088_N-5,C000005A,15-7-003,103+0.552,104+0.088,N-5,23,0.563,12491.75,7032.85525,,FLATHEAD,,MT-200/US-93,NI-NHS,4.6,2715.597826086957,1528.8815760869566
C000005_104+0.217_109+0.084_N-5,C000005A,15-7-004,104+0.217,109+0.084,N-5,211,4.84,17186.5,83182.66,,FLATHEAD,,MT-200/US-93,NI-NHS,42.2,407.2630331753554,1971.1530805687205
C000005_097+0.787_102+0.688_N-5,C000005A,15-7-014,097+0.787,102+0.688,N-5,182,4.885,9602.0,46905.77,,FLATHEAD,,MT-200/US-93,NI-NHS,36.4,263.7912087912088,1288.620054945055
C000005_109+0.084_109+0.730_N-5,C000005A,15-7B-010,109+0.084,109+0.730,N-5,28,0.646,14966.0,9668.036,,FLATHEAD,,MT-200/US-93,NI-NHS,5.6,2672.5,1726.4350000000002
C000005_109+0.730_110+0.796_N-5,C000005A,15-7B-011,109+0.730,110+0.796,N-5,40,1.027,12845.75,13192.585249999998,,FLATHEAD,,MT-200/US-93,NI-NHS,8.0,1605.71875,1649.0731562499998
C000005_110+0.796_110+0.976_N-5,C000005A,15-7B-012,110+0.796,110+0.976,N-5,12,0.18,16002.5,2880.45,,FLATHEAD,,MT-200/US-93,NI-NHS,2.4,6667.708333333334,1200.1875
C000005_111+0.229_111+0.427_N-5,C000005A,15-7B-013,111+0.229,111+0.427,N-5,15,0.198,14910.25,2952.2295,,FLATHEAD,,MT-200/US-93,NI-NHS,3.0,4970.083333333333,984.0765
C000005_110+0.976_111+0.229_N-5,C000005A,15-7B-013,110+0.976,111+0.229,N-5,22,0.253,14910.25,3772.29325,,FLATHEAD,,MT-200/US-93,NI-NHS,4.4,3388.6931818181815,857.339375
C000005_113+0.067_114+0.100_N-5,C000005A,15-7B-014,113+0.067,114+0.100,N-5,51,0.777,22183.5,17236.5795,,FLATHEAD,,MT-200/US-93,NI-NHS,10.2,2174.8529411764707,1689.8607352941178
C000005_114+0.100_114+0.252_N-5,C000005A,15-7B-014,114+0.100,114+0.252,N-5,27,0.152,22183.5,3371.892,,FLATHEAD,,MT-200/US-93,NI-NHS,5.4,4108.055555555556,624.4244444444444
C000005_114+0.252_114+0.417_N-5,C000005A,15-7B-016,114+0.252,114+0.417,N-5,35,0.165,26312.5,4341.5625,,FLATHEAD,,MT-200/US-93,NI-NHS,7.0,3758.928571428571,620.2232142857143
C000005_114+0.417_114+0.853_N-5,C000005A,15-7B-016,114+0.417,114+0.853,N-5,47,0.436,26312.5,11472.25,,FLATHEAD,,MT-200/US-93,NI-NHS,9.4,2799.202127659574,1220.4521276595744
C000005_115+0.870_120+0.737_N-5,C000005A,15-7B-018,115+0.870,120+0.737,N-5,171,4.797,23614.5,113278.7565,,FLATHEAD,,MT-200/US-93,NI-NHS,34.2,690.4824561403508,3312.2443421052626
C000005_114+0.853_115+0.370_N-5,C000005A,15-7B-080,114+0.853,115+0.370,N-5,53,0.504,27952.2,14087.9088,,FLATHEAD,,MT-200/US-93,NI-NHS,10.6,2637.0,1329.0480000000002
C000005_115+0.370_115+0.870_N-5,C000005A,15-7B-085,115+0.370,115+0.870,N-5,124,0.5,20974.5,10487.25,,FLATHEAD,,MT-200/US-93,NI-NHS,24.8,845.7459677419355,422.87298387096774
C000005_111+0.427_111+0.531_N-5,C000005A,15-7C-007,111+0.427,111+0.531,N-5,2,0.104,16458.0,1711.6319999999998,,FLATHEAD,,MT-200/US-93,NI-NHS,0.4,41145.0,4279.079999999999
C000005_111+0.531_111+0.604_N-5,C000005A,15-7C-007,111+0.531,111+0.604,N-5,5,0.072,16458.0,1184.976,,FLATHEAD,,MT-200/US-93,NI-NHS,1.0,16458.0,1184.976
C000005_111+0.604_111+0.673_N-5,C000005A,15-7C-007,111+0.604,111+0.673,N-5,4,0.07,16458.0,1152.0600000000002,,FLATHEAD,,MT-200/US-93,NI-NHS,0.8,20572.5,1440.075
C000005_111+0.788_112+0.179_N-5,C000005A,15-7C-008,111+0.788,112+0.179,N-5,37,0.388,17389.0,6746.932,,FLATHEAD,,MT-200/US-93,NI-NHS,7.4,2349.864864864865,911.7475675675674
C000005_111+0.673_111+0.788_N-5,C000005A,15-7C-008,111+0.673,111+0.788,N-5,4,0.115,17389.0,1999.735,,FLATHEAD,,MT-200/US-93,NI-NHS,0.8,21736.25,2499.66875
C000005_112+0.179_112+0.318_N-5,C000005A,15-7C-009,112+0.179,112+0.318,N-5,18,0.139,17115.75,2379.08925,,FLATHEAD,,MT-200/US-93,NI-NHS,3.6,4754.375,660.858125
C000005_112+0.455_112+0.700_N-5,C000005A,15-7C-010,112+0.455,112+0.700,N-5,48,0.245,19745.0,4837.525,,FLATHEAD,,MT-200/US-93,NI-NHS,9.6,2056.7708333333335,503.90885416666663
C000005_112+0.700_112+0.836_N-5,C000005A,15-7C-011,112+0.700,112+0.836,N-5,5,0.135,18912.5,2553.1875,,FLATHEAD,,MT-200/US-93,NI-NHS,1.0,18912.5,2553.1875
C000005_112+0.836_113+0.067_N-5,C000005A,15-7C-012,112+0.836,113+0.067,N-5,6,0.247,22241.75,5493.71225,,FLATHEAD,,MT-200/US-93,NI-NHS,1.2,18534.791666666668,4578.093541666666
C000005_112+0.318_112+0.455_N-5,C000005A,15-7C-080,112+0.318,112+0.455,N-5,24,0.137,15356.0,2103.7720000000004,,FLATHEAD,,MT-200/US-93,NI-NHS,4.8,3199.166666666667,438.2858333333334
C000005_055+0.499_059+0.026_N-5,C000005A,24-2-001,055+0.499,059+0.026,N-5,94,3.478,15193.25,52842.1235,,LAKE,,MT-200/US-93,NI-NHS,18.8,808.1515957446808,2810.75125
C000005_069+0.440_073+0.829_N-5,C000005A,24-2-002,069+0.440,073+0.829,N-5,67,4.346,5420.0,23555.32,,LAKE,,MT-200/US-93,NI-NHS,13.4,404.4776119402985,1757.8597014925372
C000005_064+0.714_065+0.580_N-5,C000005A,24-2-002,064+0.714,065+0.580,N-5,11,0.862,5420.0,4672.04,,LAKE,,MT-200/US-93,NI-NHS,2.2,2463.6363636363635,2123.6545454545453
C000005_065+0.580_067+0.292_N-5,C000005A,24-2-002,065+0.580,067+0.292,N-5,40,1.737,5420.0,9414.54,,LAKE,,MT-200/US-93,NI-NHS,8.0,677.5,1176.8175
C000005_067+0.292_069+0.440_N-5,C000005A,24-2-002,067+0.292,069+0.440,N-5,25,2.096,5420.0,11360.32,,LAKE,,MT-200/US-93,NI-NHS,5.0,1084.0,2272.064
C000005_083+0.885_084+0.551_N-5,C000005A,24-2-005,083+0.885,084+0.551,N-5,9,0.625,5795.5,3622.1875,,LAKE,,MT-200/US-93,NI-NHS,1.8,3219.722222222222,2012.326388888889
C000005_084+0.551_086+0.880_N-5,C000005A,24-2-005,084+0.551,086+0.880,N-5,46,2.426,5795.5,14059.883000000002,,LAKE,,MT-200/US-93,NI-NHS,9.2,629.9456521739131,1528.2481521739132
C000005_086+0.880_087+0.407_N-5,C000005A,24-2-005,086+0.880,087+0.407,N-5,7,0.528,5795.5,3060.0240000000003,,LAKE,,MT-200/US-93,NI-NHS,1.4,4139.642857142858,2185.7314285714288
C000005_082+0.826_083+0.885_N-5,C000005A,24-2-005,082+0.826,083+0.885,N-5,15,1.082,5795.5,6270.731000000001,,LAKE,,MT-200/US-93,NI-NHS,3.0,1931.8333333333333,2090.2436666666667
C000005_087+0.407_087+0.640_N-5,C000005A,24-2-005,087+0.407,087+0.640,N-5,2,0.234,5795.5,1356.1470000000002,,LAKE,,MT-200/US-93,NI-NHS,0.4,14488.75,3390.3675000000003
C000005_087+0.640_089+0.578_N-5,C000005A,24-2-006,087+0.640,089+0.578,N-5,23,1.896,6212.25,11778.426,,LAKE,,MT-200/US-93,NI-NHS,4.6,1350.4891304347827,2560.527391304348
C000005_089+0.578_090+0.970_N-5,C000005A,24-2-006,089+0.578,090+0.970,N-5,14,1.39,6212.25,8635.0275,,LAKE,,MT-200/US-93,NI-NHS,2.8,2218.660714285714,3083.9383928571433
C000005_090+0.970_093+0.347_N-5,C000005A,24-2-006,090+0.970,093+0.347,N-5,47,2.353,6212.25,14617.424250000002,,LAKE,,MT-200/US-93,NI-NHS,9.4,660.8776595744681,1555.0451329787236
C000005_059+0.189_060+0.095_N-5,C000005A,24-2-018,059+0.189,060+0.095,N-5,35,0.935,14287.0,13358.345,,LAKE,,MT-200/US-93,NI-NHS,7.0,2041.0,1908.3350000000005
C000005_059+0.026_059+0.189_N-5,C000005A,24-2-018,059+0.026,059+0.189,N-5,13,0.163,14287.0,2328.781,,LAKE,,MT-200/US-93,NI-NHS,2.6,5495.0,895.685
C000005_060+0.095_060+0.460_N-5,C000005A,24-2-019,060+0.095,060+0.460,N-5,20,0.364,13302.25,4842.019,,LAKE,,MT-200/US-93,NI-NHS,4.0,3325.5625,1210.50475
C000005_060+0.793_060+0.936_N-5,C000005A,24-2-020,060+0.793,060+0.936,N-5,5,0.143,12033.25,1720.7547499999998,,LAKE,,MT-200/US-93,NI-NHS,1.0,12033.25,1720.7547499999998
C000005_060+0.936_064+0.287_N-5,C000005A,24-2-021,060+0.936,064+0.287,N-5,102,3.332,7058.5,23518.922,,LAKE,,MT-200/US-93,NI-NHS,20.4,346.00490196078437,1152.888333333333
C000005_064+0.287_064+0.714_N-5,C000005A,24-2-021,064+0.287,064+0.714,N-5,11,0.427,7058.5,3013.9795,,LAKE,,MT-200/US-93,NI-NHS,2.2,3208.4090909090905,1369.9906818181817
C000005_060+0.460_060+0.793_N-5,C000005A,24-2-032,060+0.460,060+0.793,N-5,6,0.333,13354.5,4447.0485,,LAKE,,MT-200/US-93,NI-NHS,1.2,11128.75,3705.87375
C000005_031+0.313_033+0.078_N-5,C000005A,24-3-002,031+0.313,033+0.078,N-5,30,1.752,7006.25,12274.95,,LAKE,,MT-200/US-93,NI-NHS,6.0,1167.7083333333333,2045.825
C000005_027+0.499_028+0.988_N-5,C000005A,24-3-002,027+0.499,028+0.988,N-5,23,1.453,7006.25,10180.08125,,LAKE,,MT-200/US-93,NI-NHS,4.6,1523.0978260869567,2213.0611413043484
C000005_028+0.988_029+0.435_N-5,C000005A,24-3-002,028+0.988,029+0.435,N-5,2,0.449,7006.25,3145.80625,,LAKE,,MT-200/US-93,NI-NHS,0.4,17515.625,7864.515625
C000005_029+0.435_031+0.313_N-5,C000005A,24-3-002,029+0.435,031+0.313,N-5,10,1.86,7006.25,13031.625,,LAKE,,MT-200/US-93,NI-NHS,2.0,3503.125,6515.8125
C000005_033+0.078_033+0.578_N-5,C000005A,24-3-003,033+0.078,033+0.578,N-5,0,0.499,7799.75,3892.07525,,LAKE,,MT-200/US-93,NI-NHS,0.0,,
C000005_033+0.578_034+0.581_N-5,C000005A,24-3-003,033+0.578,034+0.581,N-5,33,1.007,7799.75,7854.348249999999,,LAKE,,MT-200/US-93,NI-NHS,6.6,1181.780303030303,1190.0527651515151
C000005_034+0.581_035+0.570_N-5,C000005A,24-3-003,034+0.581,035+0.570,N-5,27,0.996,7799.75,7768.551,,LAKE,,MT-200/US-93,NI-NHS,5.4,1444.398148148148,1438.6205555555557
C000005_036+0.731_037+0.091_N-5,C000005A,24-3-003,036+0.731,037+0.091,N-5,6,0.296,7799.75,2308.726,,LAKE,,MT-200/US-93,NI-NHS,1.2,6499.791666666667,1923.9383333333335
C000005_035+0.570_036+0.731_N-5,C000005A,24-3-003,035+0.570,036+0.731,N-5,12,1.208,7799.75,9422.098,,LAKE,,MT-200/US-93,NI-NHS,2.4,3249.8958333333335,3925.874166666667
C000005_037+0.091_042+0.060_N-5,C000005A,24-3-004,037+0.091,042+0.060,N-5,119,5.0,7411.25,37056.25,,LAKE,,MT-200/US-93,NI-NHS,23.8,311.3970588235294,1556.985294117647
C000005_050+0.122_055+0.499_N-5,C000005A,24-3-005,050+0.122,055+0.499,N-5,136,5.25,11607.0,60936.75,,LAKE,,MT-200/US-93,NI-NHS,27.2,426.7279411764706,2240.3216911764707
C000005_046+0.071_046+0.684_N-5,C000005A,24-3-014,046+0.071,046+0.684,N-5,17,0.613,13004.25,7971.60525,,LAKE,,MT-200/US-93,NI-NHS,3.4,3824.779411764706,2344.5897794117645
