CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000057A,07-2-024,005+0.865,007+0.070,N-57,15,1.198,2724.0,3263.352,,CASCADE,,MT-200/MT-3/US-87,NI-NHS,3.0,908.0,1087.784
C000057A,07-2-024,007+0.070,010+0.428,N-57,32,3.348,2724.0,9119.952,,JUDITH BASIN,,MT-200/MT-3/US-87,NI-NHS,6.4,425.625,1424.9924999999998
C000057A,11-5A-006,322+0.694,324+0.919,N-57,11,2.242,2008.0,4501.936,,DAWSON,,MT-200/MT-3/US-87,NI-NHS,2.2,912.7272727272726,2046.3345454545452
C000057A,11-5A-007,324+0.919,325+0.052,N-57,5,0.094,1476.0,138.744,,DAWSON,,MT-200/MT-3/US-87,NI-NHS,1.0,1476.0,138.744
C000057A,11-5A-007,325+0.052,325+0.648,N-57,4,0.596,2024.0,1206.304,,DAWSON,,MT-200/MT-3/US-87,NI-NHS,0.8,2530.0,1507.8799999999997
C000057A,11-5A-008,325+0.648,325+0.810,N-57,1,0.162,2861.5,463.563,,DAWSON,,MT-200/MT-3/US-87,NI-NHS,0.2,14307.5,2317.8149999999996
C000057A,11-5A-008,325+0.810,325+0.928,N-57,4,0.118,2861.5,337.657,,DAWSON,,MT-200/MT-3/US-87,NI-NHS,0.8,3576.875,422.07125
C000057A,11-5A-013,326+0.227,326+0.496,N-57,2,0.269,6296.8,1693.8392,,DAWSON,,MT-200/MT-3/US-87,NI-NHS,0.4,15742.0,4234.598
C000057A,11-5A-014,326+0.716,327+0.115,N-57,3,0.357,8002.0,2856.714,,DAWSON,,MT-200/MT-3/US-87,NI-NHS,0.6,13336.666666666668,4761.1900000000005
C000057A,11-5A-015,327+0.373,327+0.715,N-57,6,0.342,8742.0,2989.764,,DAWSON,,MT-200/MT-3/US-87,NI-NHS,1.2,7285.0,2491.4700000000003
C000057A,11-5A-015,327+0.115,327+0.373,N-57,3,0.258,8742.0,2255.436,,DAWSON,,MT-200/MT-3/US-87,NI-NHS,0.6,14570.0,3759.06
C000057A,11-5A-016,327+0.715,327+0.868,N-57,12,0.152,4781.75,726.826,,DAWSON,,MT-200/MT-3/US-87,NI-NHS,2.4,1992.3958333333337,302.8441666666667
C000057A,11-5A-017,327+0.868,328+0.476,N-57,11,0.505,6401.8,3232.909,,DAWSON,,MT-200/MT-3/US-87,NI-NHS,2.2,2909.9090909090905,1469.5040909090908
C000057A,11-5A-019,328+0.832,328+0.959,N-57,3,0.127,6313.5,801.8145000000001,,DAWSON,,MT-200/MT-3/US-87,NI-NHS,0.6,10522.5,1336.3575
C000057A,11-5A-019,328+0.476,328+0.832,N-57,7,0.356,6313.5,2247.606,,DAWSON,,MT-200/MT-3/US-87,NI-NHS,1.4,4509.642857142858,1605.432857142857
C000057A,11-5A-021,328+0.959,329+0.358,N-57,6,0.482,5440.0,2622.08,,DAWSON,,MT-200/MT-3/US-87,NI-NHS,1.2,4533.333333333334,2185.0666666666666
C000057A,11-5A-021,329+0.358,329+0.416,N-57,2,0.058,5416.333333333333,314.14733333333334,,DAWSON,,MT-200/MT-3/US-87,NI-NHS,0.4,13540.833333333332,785.3683333333333
C000057A,11-5A-052,326+0.496,326+0.716,N-57,4,0.22,6600.75,1452.165,,DAWSON,,MT-200/MT-3/US-87,NI-NHS,0.8,8250.9375,1815.20625
C000057A,11-5A-056,325+0.928,326+0.227,N-57,10,0.264,5221.5,1378.476,,DAWSON,,MT-200/MT-3/US-87,NI-NHS,2.0,2610.75,689.238
C000057A,14-6-002,060+0.728,061+0.444,N-57,3,0.699,3058.75,2138.06625,,JUDITH BASIN,,MT-200/MT-3/US-87,NI-NHS,0.6,5097.916666666667,3563.44375
C000057A,14-6-002,061+0.444,062+0.313,N-57,7,0.866,3058.75,2648.8775,,JUDITH BASIN,,MT-200/MT-3/US-87,NI-NHS,1.4,2184.821428571429,1892.0553571428572
C000057A,14-6-002,062+0.313,064+0.442,N-57,11,2.122,3058.75,6490.6675,,JUDITH BASIN,,MT-200/MT-3/US-87,NI-NHS,2.2,1390.340909090909,2950.3034090909086
C000057A,14-6-002,064+0.442,064+0.960,N-57,2,0.517,3058.75,1581.37375,,FERGUS,,MT-200/MT-3/US-87,NI-NHS,0.4,7646.875,3953.434375
C000057A,14-6-003,064+0.960,073+0.377,N-57,56,8.383,2282.75,19136.29325,,FERGUS,,MT-200/MT-3/US-87,NI-NHS,11.2,203.8169642857143,1708.5976116071429
C000057A,14-6-005,086+0.079,094+0.079,N-57,40,7.94,1464.0,11624.16,,FERGUS,,MT-200/MT-3/US-87,NI-NHS,8.0,183.0,1453.02
C000057A,14-6-006,094+0.079,104+0.655,N-57,37,10.504,1155.5,12137.372,,FERGUS,,MT-200/MT-3/US-87,NI-NHS,7.4,156.14864864864865,1640.1854054054052
C000057A,14-6A-001,078+0.242,079+0.658,N-57,9,1.415,3080.0,4358.2,,FERGUS,,MT-200/MT-3/US-87,NI-NHS,1.8,1711.111111111111,2421.222222222222
C000057A,14-6A-002,079+0.658,080+0.850,N-57,3,1.093,2420.75,2645.87975,,FERGUS,,MT-200/MT-3/US-87,NI-NHS,0.6,4034.5833333333335,4409.799583333333
C000057A,14-6A-004,081+0.707,081+0.916,N-57,6,0.209,6150.75,1285.50675,,FERGUS,,MT-200/MT-3/US-87,NI-NHS,1.2,5125.625,1071.255625
C000057A,14-6A-004,081+0.916,082+0.046,N-57,8,0.143,6150.75,879.55725,,FERGUS,,MT-200/MT-3/US-87,NI-NHS,1.6,3844.21875,549.7232812499999
C000057A,14-6A-006,082+0.046,082+0.115,N-57,4,0.069,5036.0,347.48400000000004,,FERGUS,,MT-200/MT-3/US-87,NI-NHS,0.8,6295.0,434.355
C000057A,14-6A-006,082+0.115,082+0.320,N-57,8,0.205,5036.0,1032.38,,FERGUS,,MT-200/MT-3/US-87,NI-NHS,1.6,3147.5,645.2374999999998
