SEGMENT_KEY,CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000083_088+0.366_091+0.107_P-83,C000083A,15-7-010,088+0.366,091+0.107,P-83,63,2.77,6006.666666666667,16638.466666666667,,FLATHEAD,,MT-83,Primary,12.6,476.7195767195768,1320.5132275132275
C000083_082+0.648_088+0.366_P-83,C000083A,15-7-011,082+0.648,088+0.366,P-83,51,5.688,2642.25,15029.118,,FLATHEAD,,MT-83,Primary,10.2,259.04411764705884,1473.4429411764706
C000083_048+0.276_054+0.870_P-83,C000083A,24-2-010,048+0.276,054+0.870,P-83,46,6.589,1129.0,7438.981000000001,,LAKE,,MT-83,Primary,9.2,122.71739130434784,808.5848913043479
C000083_054+0.870_068+0.213_P-83,C000083A,24-2-011,054+0.870,068+0.213,P-83,51,13.257,1077.5,14284.4175,,LAKE,,MT-83,Primary,10.2,105.6372549019608,1400.4330882352942
C000083_068+0.213_078+0.913_P-83,C000083A,24-2-012,068+0.213,078+0.913,P-83,59,10.974,1236.0,13563.864,,LAKE,,MT-83,Primary,11.8,104.7457627118644,1149.4799999999998
C000083_078+0.913_082+0.644_P-83,C000083A,24-2-013,078+0.913,082+0.644,P-83,40,3.56,2657.5,9460.7,,LAKE,,MT-83,Primary,8.0,332.1875,1182.5875
C000083_082+0.644_082+0.648_P-83,C000083A,24-2-013,082+0.644,082+0.648,P-83,0,0.004,2657.5,10.63,,FLATHEAD,,MT-83,Primary,0.0,,
C000083_014+0.960_027+0.748_P-83,C000083A,32-2-001,014+0.960,027+0.748,P-83,64,12.695,1735.5,22032.1725,,MISSOULA,,MT-83,Primary,12.8,135.5859375,1721.2634765625
C000083_027+0.748_042+0.164_P-83,C000083A,32-2-002,027+0.748,042+0.164,P-83,63,14.421,1216.75,17546.75175,,MISSOULA,,MT-83,Primary,12.6,96.56746031746032,1392.599345238095
C000083_042+0.164_047+0.759_P-83,C000083A,32-2-003,042+0.164,047+0.759,P-83,17,5.584,1241.0,6929.744,,MISSOULA,,MT-83,Primary,3.4,365.0,2038.16
C000083_047+0.759_048+0.276_P-83,C000083A,32-2-003,047+0.759,048+0.276,P-83,0,0.514,1241.0,637.874,,LAKE,,MT-83,Primary,0.0,,
C000083_012+0.076_013+0.733_P-83,C000083A,32-2-005,012+0.076,013+0.733,P-83,22,1.64,3140.5,5150.42,,MISSOULA,,MT-83,Primary,4.4,713.7499999999999,1170.55
C000083_013+0.733_014+0.960_P-83,C000083A,32-2-006,013+0.733,014+0.960,P-83,16,1.277,3128.5,3995.0945,,MISSOULA,,MT-83,Primary,3.2,977.65625,1248.4670312499998
C000083_010+0.119_012+0.076_P-83,C000083A,32-4-006,010+0.119,012+0.076,P-83,10,1.964,2393.0,4699.852,,MISSOULA,,MT-83,Primary,2.0,1196.5,2349.926
C000083_000+0.000_010+0.119_P-83,C000083A,A-066,000+0.000,010+0.119,P-83,79,10.113,2740.5,27714.6765,,MISSOULA,,MT-83,Primary,15.8,173.44936708860757,1754.0934493670884
