CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,site_id_sort_key
C000060A,W-127,071+0.037,073+0.866,N-60,45,3.004,3046.25,9150.935,,CASCADE,,US-89,Primary,9.0,338.47222222222223,1016.7705555555556,"['W-', 127, '']"
C000060A,W-127,073+0.866,074+0.435,N-60,9,0.598,3046.25,1821.6575,,CASCADE,,US-89,Primary,1.8,1692.361111111111,1012.0319444444444,"['W-', 127, '']"
C000060A,07-2-015,074+0.435,074+0.462,N-60,2,0.027,4074.0,109.998,,CASCADE,,US-89,Primary,0.4,10185.0,274.995,"['', 7, '-', 2, '-', 15, '']"
C000060A,07-2-015,074+0.462,074+0.510,N-60,0,0.048,4074.0,195.552,,CASCADE,,US-89,Primary,0.0,,,"['', 7, '-', 2, '-', 15, '']"
C000060A,07-2-015,074+0.510,075+0.148,N-60,6,0.558,4074.0,2273.2920000000004,,CASCADE,,US-89,Primary,1.2,3395.0,1894.4100000000003,"['', 7, '-', 2, '-', 15, '']"
C000060A,07-2-015,075+0.148,080+0.982,N-60,56,5.708,4074.0,23254.392,,CASCADE,,US-89,Primary,11.2,363.75,2076.2850000000003,"['', 7, '-', 2, '-', 15, '']"
C000060A,07-2-006,080+0.982,081+0.801,N-60,5,0.821,4356.5,3576.6865,,CASCADE,,US-89,Primary,1.0,4356.5,3576.6865,"['', 7, '-', 2, '-', 6, '']"
C000060A,07-2-006,081+0.801,082+0.312,N-60,7,0.624,4356.5,2718.456,,CASCADE,,US-89,Primary,1.4,3111.7857142857147,1941.754285714286,"['', 7, '-', 2, '-', 6, '']"
C000060A,07-2-006,082+0.312,085+0.223,N-60,27,2.921,4356.5,12725.3365,,CASCADE,,US-89,Primary,5.4,806.7592592592592,2356.543796296296,"['', 7, '-', 2, '-', 6, '']"
C000060A,07-2-006,085+0.223,085+0.551,N-60,3,0.327,4356.5,1424.5755,,CASCADE,,US-89,Primary,0.6,7260.833333333334,2374.2925000000005,"['', 7, '-', 2, '-', 6, '']"
C000060A,07-2-006,085+0.551,086+0.905,N-60,5,1.335,4356.5,5815.9275,,CASCADE,,US-89,Primary,1.0,4356.5,5815.9275,"['', 7, '-', 2, '-', 6, '']"
C000060A,07-2-006,086+0.905,087+0.347,N-60,2,0.444,4356.5,1934.286,,CASCADE,,US-89,Primary,0.4,10891.25,4835.715,"['', 7, '-', 2, '-', 6, '']"
C000060A,07-2-005,087+0.347,088+0.823,N-60,4,1.461,6367.5,9302.9175,,CASCADE,,US-89,Primary,0.8,7959.375,11628.646875,"['', 7, '-', 2, '-', 5, '']"
C000060A,07-2A-019,088+0.823,090+0.371,N-60,12,1.56,8582.25,13388.31,,CASCADE,,US-89,Primary,2.4,3575.9375,5578.462500000001,"['', 7, '-', 2, 'A-', 19, '']"
C000060A,07-2A-018,090+0.371,090+1.189,N-60,39,0.817,15283.75,12486.82375,,CASCADE,,US-89,Primary,7.8,1959.455128205128,1600.8748397435895,"['', 7, '-', 2, 'A-', 18, '']"
C000060A,07-2A-017,090+1.189,091+0.222,N-60,35,0.403,21954.25,8847.562750000001,,CASCADE,,US-89,Primary,7.0,3136.3214285714284,1263.9375357142858,"['', 7, '-', 2, 'A-', 17, '']"
C000060A,07-2A-016,091+0.222,091+0.708,N-60,70,0.485,23174.0,11239.39,,CASCADE,,US-89,Primary,14.0,1655.2857142857142,802.8135714285714,"['', 7, '-', 2, 'A-', 16, '']"
C000060A,07-2A-015,091+0.708,092+0.198,N-60,49,0.49,29709.5,14557.655,,CASCADE,,US-89,Primary,9.8,3031.581632653061,1485.4749999999997,"['', 7, '-', 2, 'A-', 15, '']"
C000060A,07-2A-015,092+0.198,092+0.281,N-60,28,0.083,29709.5,2465.8885,,CASCADE,,US-89,Primary,5.6,5305.267857142858,440.33723214285715,"['', 7, '-', 2, 'A-', 15, '']"
C000060A,07-2A-014,092+0.281,092+0.690,N-60,81,0.408,31355.5,12793.044,,CASCADE,,US-89,Primary,16.2,1935.5246913580247,789.6940740740741,"['', 7, '-', 2, 'A-', 14, '']"
C000060A,07-2A-013,092+0.690,093+0.088,N-60,138,0.406,36324.5,14747.747,,CASCADE,,US-89,Primary,27.6,1316.105072463768,534.3386594202899,"['', 7, '-', 2, 'A-', 13, '']"
C000060A,07-2A-013,093+0.088,093+0.168,N-60,39,0.08,36324.5,2905.96,,CASCADE,,US-89,Primary,7.8,4656.98717948718,372.5589743589743,"['', 7, '-', 2, 'A-', 13, '']"
C000060A,07-2A-012,093+0.168,093+0.252,N-60,30,0.084,31673.0,2660.532,,CASCADE,,US-89,Primary,6.0,5278.833333333333,443.422,"['', 7, '-', 2, 'A-', 12, '']"
C000060A,A-033,093+0.252,093+0.577,N-60,118,0.325,34576.75,11237.44375,,CASCADE,,US-89,Primary,23.6,1465.1165254237287,476.16287076271186,"['A-', 33, '']"
C000060A,07-2A-010,093+0.577,094+0.200,N-60,153,0.244,31504.75,7687.159,,CASCADE,,US-89,Primary,30.6,1029.5669934640523,251.21434640522872,"['', 7, '-', 2, 'A-', 10, '']"
C000060A,07-2A-010,094+0.200,094+0.284,N-60,11,0.085,31504.75,2677.9037500000004,,CASCADE,,US-89,Primary,2.2,14320.340909090908,1217.2289772727274,"['', 7, '-', 2, 'A-', 10, '']"
C000060A,07-2A-009,094+0.284,094+0.462,N-60,67,0.178,30705.25,5465.5345,,CASCADE,,US-89,Primary,13.4,2291.436567164179,407.87570895522384,"['', 7, '-', 2, 'A-', 9, '']"
C000060A,07-2A-008,094+0.462,095+0.719,N-60,112,1.254,27023.5,33887.469,,CASCADE,,US-89,Primary,22.4,1206.40625,1512.8334375,"['', 7, '-', 2, 'A-', 8, '']"
