SEGMENT_KEY,CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,site_id_sort_key
C000013_000+0.000_007+0.205_P-13,C000013A,29-6-009,000+0.000,007+0.205,P-13,15,7.161,1590.5,11389.5705,,MADISON,,MT-87,Primary,3.0,530.1666666666666,3796.5235,"['', 29, '-', 6, '-', 9, '']"
C000013_007+0.205_008+0.617_P-13,C000013A,29-6-001,007+0.205,008+0.617,P-13,7,1.406,1376.5,1935.359,,MADISON,,MT-87,Primary,1.4,983.2142857142858,1382.3992857142855,"['', 29, '-', 6, '-', 1, '']"
C000013_008+0.617_026+0.639_P-13,C000013A,29-6-002,008+0.617,026+0.639,P-13,58,17.91,1839.25,32940.9675,,MADISON,,MT-87,Primary,11.6,158.55603448275863,2839.7385775862067,"['', 29, '-', 6, '-', 2, '']"
C000013_026+0.639_030+0.763_P-13,C000013A,29-6-003,026+0.639,030+0.763,P-13,16,4.122,2332.25,9613.5345,,MADISON,,MT-87,Primary,3.2,728.828125,3004.2295312499996,"['', 29, '-', 6, '-', 3, '']"
C000013_030+0.763_039+0.988_P-13,C000013A,W-143,030+0.763,039+0.988,P-13,11,9.288,1798.6,16705.3968,,MADISON,,MT-87,Primary,2.2,817.5454545454544,7593.362181818181,"['W-', 143, '']"
C000013_039+0.988_047+0.988_P-13,C000013A,29-4-002,039+0.988,047+0.988,P-13,21,8.017,2464.6,19758.6982,,MADISON,,MT-87,Primary,4.2,586.8095238095237,4704.451952380952,"['', 29, '-', 4, '-', 2, '']"
C000013_047+0.988_048+0.801_P-13,C000013A,29-4-010,047+0.988,048+0.801,P-13,10,0.818,4026.6666666666665,3293.813333333333,,MADISON,,MT-87,Primary,2.0,2013.3333333333333,1646.9066666666663,"['', 29, '-', 4, '-', 10, '']"
C000013_048+0.801_048+0.889_P-13,C000013A,29-4-011,048+0.801,048+0.889,P-13,2,0.088,5682.333333333333,500.0453333333333,,MADISON,,MT-87,Primary,0.4,14205.833333333332,1250.1133333333332,"['', 29, '-', 4, '-', 11, '']"
C000013_048+0.889_049+0.041_P-13,C000013A,29-4-012,048+0.889,049+0.041,P-13,13,0.165,6103.5,1007.0775,,MADISON,,MT-87,Primary,2.6,2347.5,387.3375,"['', 29, '-', 4, '-', 12, '']"
C000013_049+0.041_055+0.680_P-13,C000013A,29-4-013,049+0.041,055+0.680,P-13,45,6.582,4456.4,29332.024799999996,,MADISON,,MT-87,Primary,9.0,495.1555555555555,3259.113866666666,"['', 29, '-', 4, '-', 13, '']"
C000013_055+0.680_056+0.835_P-13,C000013A,29-4-003,055+0.680,056+0.835,P-13,5,1.068,3533.25,3773.511,,MADISON,,MT-87,Primary,1.0,3533.25,3773.511,"['', 29, '-', 4, '-', 3, '']"
C000013_056+0.835_059+0.976_P-13,C000013A,29-4-003,056+0.835,059+0.976,P-13,17,3.196,3533.25,11292.267,,MADISON,,MT-87,Primary,3.4,1039.1911764705883,3321.255,"['', 29, '-', 4, '-', 3, '']"
C000013_059+0.976_060+0.248_P-13,C000013A,29-4-003,059+0.976,060+0.248,P-13,5,0.284,3533.25,1003.443,,MADISON,,MT-87,Primary,1.0,3533.25,1003.443,"['', 29, '-', 4, '-', 3, '']"
C000013_060+0.248_061+0.826_P-13,C000013A,29-4-003,060+0.248,061+0.826,P-13,4,1.567,3533.25,5536.60275,,MADISON,,MT-87,Primary,0.8,4416.5625,6920.7534375,"['', 29, '-', 4, '-', 3, '']"
C000013_061+0.826_065+0.455_P-13,C000013A,29-4-003,061+0.826,065+0.455,P-13,12,3.598,3533.25,12712.6335,,MADISON,,MT-87,Primary,2.4,1472.1875,5296.930625,"['', 29, '-', 4, '-', 3, '']"
C000013_065+0.455_072+0.228_P-13,C000013A,29-2-001,065+0.455,072+0.228,P-13,10,6.764,1341.3333333333333,9072.778666666669,,MADISON,,MT-87,Primary,2.0,670.6666666666666,4536.3893333333335,"['', 29, '-', 2, '-', 1, '']"
C000013_072+0.228_075+0.649_P-13,C000013A,090932S,072+0.228,075+0.649,P-13,7,3.422,4095.6666666666665,14015.371333333333,,MADISON,,MT-87,Primary,1.4,2925.4761904761904,10010.979523809525,"['', 90932, 'S']"
C000013_075+0.649_077+0.080_P-13,C000013A,29-2-002,075+0.649,077+0.080,P-13,7,1.573,2011.75,3164.48275,,MADISON,,MT-87,Primary,1.4,1436.9642857142858,2260.344821428572,"['', 29, '-', 2, '-', 2, '']"
C000013_077+0.080_080+0.760_P-13,C000013A,22-4-002,077+0.080,080+0.760,P-13,2,3.688,1285.25,4740.002,,MADISON,,MT-87,Primary,0.4,3213.125,11850.005,"['', 22, '-', 4, '-', 2, '']"
