CORRIDOR,SITE_ID,CORR_MP,CORR_ENDMP,DEPT_ID,TOTAL_CRASHES,SEC_LNT_MI,TYC_AADT,MILES_DRIVEN,LOCATION,COUNTY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC
C000571A,34-3-012,000+0.000,001+0.169,S-571,21,1.168,1383.0,1615.3439999999998,,PARK,MURPHY LN,S-571,Secondary,4.2,329.2857142857143,384.6057142857142
C000093A,32-3B-004,030+0.925,032+0.631,N-93,44,1.689,2482.0,4192.098,,MISSOULA,,US-12,NI-NHS,8.8,282.0454545454545,476.3747727272726
C000518A,22-2-003,000+0.456,002+0.632,S-518,44,2.169,2231.75,4840.66575,,JEFFERSON,,S-518,Secondary,8.8,253.60795454545453,550.0756534090909
C000003A,50-3-011,039+0.120,040+0.556,P-3,15,1.454,1294.75,1882.5665,,TETON,,MT-200/US-89,NI-NHS,3.0,431.5833333333333,627.5221666666666
C000007A,41-5-003,012+0.914,026+0.475,N-7,119,13.481,1136.25,15317.78625,,RAVALLI,,US-93,NI-NHS,23.8,47.74159663865546,643.6044642857142
C000036A,45-5-002,016+0.329,018+0.982,P-36,43,2.629,2140.25,5626.71725,,SANDERS,,MT-28,Primary,8.6,248.86627906976744,654.2694476744186
C000016A,56-4A-009,000+0.061,001+0.247,N-16,194,1.206,22845.0,27551.07,,YELLOWSTONE,1ST AVE N,BR I-90/US-87,NI-NHS,38.8,588.7886597938145,710.0791237113402
C000471A,45-4-006,000+0.000,001+0.496,S-471,12,1.498,1272.0,1905.456,,SANDERS,PROSPECT CREEK RD,S-471,Secondary,2.4,530.0,793.9399999999999
C000057A,W-126,000+0.000,005+0.865,N-57,51,5.977,1357.8,8115.5706,,CASCADE,,MT-200/MT-3/US-87,NI-NHS,10.2,133.11764705882354,795.6441764705883
C000090A,16-3-006,319+0.450,321+0.717,I-90,155,2.269,11016.5,24996.4385,,GALLATIN,,I-90,Interstate,31.0,355.3709677419355,806.3367258064516
C000083A,24-2-010,048+0.276,054+0.870,P-83,46,6.589,1129.0,7438.981000000001,,LAKE,,MT-83,Primary,9.2,122.71739130434784,808.5848913043479
C000210A,A-035,003+0.190,010+0.095,S-210,46,6.866,1118.0,7676.187999999999,,MISSOULA,HWY 210,S-210,Urban,9.2,121.5217391304348,834.3682608695652
C000001A,15-6-003,100+0.603,111+0.856,N-1,233,11.215,3534.75,39642.22125,,FLATHEAD,,US-2,NI-NHS,46.6,75.8530042918455,850.6914431330472
C000024A,07-1-003,133+0.579,139+0.437,N-24,78,5.861,2284.6666666666665,13390.431333333332,,CASCADE,,MT-200,NI-NHS,15.6,146.45299145299143,858.3609829059828
C000093A,32-3-009,022+0.524,030+0.925,N-93,61,8.326,1258.0,10474.108,,MISSOULA,,US-12,NI-NHS,12.2,103.11475409836066,858.5334426229509
C000269A,41-1-007,013+0.232,015+0.141,S-269,29,1.902,2635.75,5013.1965,,RAVALLI,MARCUS ST,S-269,Urban,5.8,454.4396551724138,864.3442241379311
C000345A,16-3A-022,005+0.545,008+0.535,S-345,24,2.982,1419.75,4233.6945000000005,,GALLATIN,COTTONWOOD RD,S-345,Urban,4.8,295.78125,882.0196875000001
C000354A,24-2-016,003+0.210,005+0.495,S-354,22,2.298,1754.75,4032.4155,,LAKE,MAIN ST,S-354,Urban,4.4,398.8068181818182,916.458068181818
C000474A,32-3-012,000+0.000,003+0.124,S-474,20,2.903,1265.4,3673.4562,,MISSOULA,,S-474,Secondary,4.0,316.35,918.36405
C000574A,32-3-026,006+0.260,007+0.344,S-574,16,1.084,2780.6,3014.1704,,MISSOULA,WALDO RD,S-574,Secondary,3.2,868.9374999999999,941.92825
C000269A,41-2A-008,004+0.654,005+0.672,S-269,21,1.013,3906.0,3956.778,,RAVALLI,MARCUS ST,S-269,Urban,4.2,930.0,942.09
C000024A,25-4-001,068+0.469,071+0.482,N-24,33,2.993,2097.5,6277.8175,,LEWIS AND CLARK,,MT-200,NI-NHS,6.6,317.8030303030303,951.1844696969698
C000205A,16-1-003,000+0.075,001+0.873,S-205,13,1.797,1385.5,2489.7435,,GALLATIN,FRONTAGE RD,S-205,Secondary,2.6,532.8846153846154,957.593653846154
C000279A,25-7A-004,002+0.135,003+0.418,S-279,12,1.274,1804.0,2298.296,,LEWIS AND CLARK,LINCOLN RD W,S-279,Urban,2.4,751.6666666666667,957.6233333333332
C000421A,48-2-024,000+0.000,002+0.612,S-421,16,2.611,1175.5,3069.2305,,STILLWATER,,S-421,Secondary,3.2,367.34375,959.13453125
C000038A,15-4A-010,000+0.000,001+0.067,N-38,73,1.055,13300.0,14031.5,,FLATHEAD,,MT-40,NI-NHS,14.6,910.9589041095892,961.0616438356165
