YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,I-15,A,0.306,C000015,A,C000015A,128+0.991,129+0.292,129.099,129.405,47-1C-006,,,E,10903.5,20.0,,30.0,558.0,508.0,5.0,,7.0,128.0,117.0,UI,1008.0,16.0,91.0,343.0,343.0,519.0,519.0,,1.0,,SILVER BOW,JCT I-90 EAST BUTTE INTERCHANGE,END COINCIDENT RTE/BEGIN 1 LANE/JCT I-90 EAST BUTTE INTERCHANGE,7.395,14.791,C000015_128+0.991_129+0.292_I-15,,I-15,Interstate,4,9,SILVER BOW,9.0,3336.471,1.8,6057.5,1853.595,,I-15
2023.0,I-15,A,4.362,C000015,A,C000015A,129+0.292,133+0.636,129.405,133.767,47-1C-006,,,E,4352.0,20.0,,30.0,558.0,508.0,5.0,,7.0,128.0,117.0,UI,1008.0,16.0,91.0,343.0,343.0,519.0,519.0,,2.0,,SILVER BOW,,BEGIN 2 LANES,7.395,14.791,C000015_129+0.292_133+0.636_I-15,,I-15,Interstate,1,56,SILVER BOW,56.0,18983.424,11.2,388.5714285714286,1694.9485714285715,,I-15
2023.0,I-15,A,0.147,C000015,A,C000015A,133+0.636,133+0.783,133.767,133.914,47-1C-006,,,E,4040.5,20.0,,30.0,558.0,508.0,5.0,,7.0,128.0,117.0,UI,1008.0,16.0,91.0,343.0,343.0,519.0,519.0,,2.0,,JEFFERSON,,,7.395,14.791,C000015_133+0.636_133+0.783_I-15,,I-15,Interstate,4,3,JEFFERSON,3.0,593.9535,0.6,6734.166666666667,989.9225,,I-15
2023.0,I-15,A,4.602,C000015,A,C000015A,133+0.783,138+0.380,133.914,138.516,22-1-001,,,E,3151.0,20.0,,30.0,558.0,508.0,6.0,,10.0,177.0,161.0,RURAL INNER INTERSTATE,1008.0,16.0,91.0,342.0,342.0,518.0,518.0,,2.0,,JEFFERSON,"JCT OFF RAMP WOODVILLE INTERCHANGE, EXIT 134","JCT OFF RAMP WOODVILLE INTERCHANGE, EXIT 134",7.395,14.791,C000015_133+0.783_138+0.380_I-15,,I-15,Interstate,1,20,JEFFERSON,20.0,14500.902000000002,4.0,787.75,3625.225500000001,,I-15
2023.0,I-15,A,12.583,C000015,A,C000015A,138+0.380,151+0.487,138.516,151.099,22-1-001,,,E,2979.25,20.0,,30.0,558.0,508.0,6.0,,10.0,177.0,161.0,RURAL INNER INTERSTATE,1008.0,16.0,91.0,342.0,342.0,518.0,518.0,,2.0,,JEFFERSON,"JCT OFF RAMP TRASK INTERCHANGE, EXIT 138","JCT OFF RAMP TRASK INTERCHANGE, EXIT 138",7.395,14.791,C000015_138+0.380_151+0.487_I-15,,I-15,Interstate,4,85,JEFFERSON,85.0,37487.90275,17.0,175.25,2205.17075,,I-15
2023.0,I-15,A,5.147,C000015,A,C000015A,151+0.487,156+0.645,151.099,156.246,22-1-002,,,E,3182.0,20.0,,30.0,558.0,508.0,6.0,,9.0,175.0,160.0,RURAL INNER INTERSTATE,1008.0,16.0,91.0,342.0,342.0,518.0,518.0,,2.0,,JEFFERSON,"JCT OFF RAMP BERNICE INTERCHANGE, EXIT 151","JCT OFF RAMP BERNICE INTERCHANGE, EXIT 151",7.395,14.791,C000015_151+0.487_156+0.645_I-15,,I-15,Interstate,1,56,JEFFERSON,56.0,16377.754,11.2,284.1071428571429,1462.2994642857143,,I-15
2023.0,I-15,A,3.5,C000015,A,C000015A,156+0.645,160+0.124,156.246,159.746,22-2-006,,,E,3856.0,20.0,,30.0,558.0,508.0,5.0,,8.0,145.0,132.0,RURAL INNER INTERSTATE,1008.0,16.0,91.0,342.0,342.0,519.0,519.0,,2.0,,JEFFERSON,"JCT OFF RAMP BASIN INTERCHANGE, EXIT 156","JCT OFF RAMP BASIN INTERCHANGE, EXIT 156",7.395,14.791,C000015_156+0.645_160+0.124_I-15,,I-15,Interstate,1,37,JEFFERSON,37.0,13496.0,7.4,521.081081081081,1823.7837837837835,,I-15
2023.0,I-15,A,4.533,C000015,A,C000015A,160+0.124,164+0.659,159.746,164.279,22-2-006,,,E,3639.75,20.0,,30.0,558.0,508.0,5.0,,8.0,145.0,132.0,RURAL INNER INTERSTATE,1008.0,16.0,91.0,342.0,342.0,519.0,519.0,,2.0,,JEFFERSON,"JCT OFF RAMP HIGH ORE INTERCHANGE, EXIT 160","JCT OFF RAMP HIGH ORE INTERCHANGE, EXIT 160",7.395,14.791,C000015_160+0.124_164+0.659_I-15,,I-15,Interstate,4,57,JEFFERSON,57.0,16498.98675,11.4,319.2763157894737,1447.2795394736845,,I-15
2023.0,I-15,A,11.2,C000015,A,C000015A,164+0.659,175+0.868,164.279,175.478,22-2-007,,,E,5067.0,47.0,,20.0,946.0,729.0,9.0,,4.0,187.0,144.0,RURAL INNER INTERSTATE,1009.0,10.0,102.0,448.0,448.0,667.0,667.0,,2.0,,JEFFERSON,"JCT OFF RAMP BOULDER INTERCHANGE, EXIT 164","JCT OFF RAMP BOULDER INTERCHANGE, EXIT 164",6.262,10.816,C000015_164+0.659_175+0.868_I-15,,I-15,Interstate,1,156,JEFFERSON,156.0,56750.399999999994,31.2,162.40384615384616,1818.923076923077,,I-15
2023.0,I-15,A,6.029,C000015,A,C000015A,175+0.868,181+0.904,175.478,181.508,22-2-014,,,E,5987.0,47.0,,20.0,946.0,729.0,8.0,,3.0,158.0,122.0,RURAL INNER INTERSTATE,1009.0,10.0,102.0,448.0,448.0,667.0,667.0,,2.0,,JEFFERSON,"JCT OFF RAMP JEFFERSON CITY INTERCHANGE, EXIT 176","JCT OFF RAMP JEFFERSON CITY INTERCHANGE, EXIT 176",3.648,12.106,C000015_175+0.868_181+0.904_I-15,,I-15,Interstate,1,116,JEFFERSON,116.0,36095.623,23.2,258.0603448275862,1555.8458189655173,,I-15
