YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,I-15,A,11.174,C000015,A,C000015A,063+0.596,074+0.685,63.582,74.756,W-122,Yes,,A,3915.0,32.0,,33.0,1117.0,907.0,8.0,,8.0,285.0,232.0,RURAL OUTER INTERSTATE,1005.0,16.0,128.0,505.0,505.0,758.0,758.0,,2.0,,BEAVERHEAD,"JCT OFF RAMP N DILLON INTERCHANGE, EXIT 63","JCT OFF RAMP N DILLON INTERCHANGE, EXIT 63",4.665,7.911,C000015_063+0.596_074+0.685_I-15,,I-15,Interstate,1,32,BEAVERHEAD,32.0,43746.21,6.4,611.71875,6835.3453125,,I-15
2023.0,I-15,A,10.313,C000015,A,C000015A,074+0.685,084+0.942,74.756,85.068,29-1-001,,,E,3852.0,32.0,,33.0,1117.0,907.0,8.0,,9.0,290.0,235.0,RURAL OUTER INTERSTATE,1005.0,16.0,128.0,610.0,610.0,931.0,931.0,,2.0,,BEAVERHEAD,"JCT OFF RAMP APEX INTERCHANGE, EXIT 74","JCT OFF RAMP APEX INTERCHANGE, EXIT 74",2.817,17.606,C000015_074+0.685_084+0.942_I-15,,I-15,Interstate,1,54,BEAVERHEAD,54.0,39725.676,10.8,356.66666666666663,3678.303333333333,,I-15
2023.0,I-15,A,0.682,C000015,A,C000015A,084+0.942,085+0.661,85.068,85.75,29-1-001,,,E,3773.5,32.0,,33.0,1117.0,907.0,8.0,,9.0,290.0,235.0,RURAL OUTER INTERSTATE,1005.0,16.0,128.0,610.0,610.0,931.0,931.0,,2.0,,BEAVERHEAD,"JCT OFF RAMP ROCK CREEK INTERCHANGE, EXIT 85","JCT OFF RAMP ROCK CREEK INTERCHANGE, EXIT 85",2.817,17.606,C000015_084+0.942_085+0.661_I-15,,I-15,Interstate,4,4,BEAVERHEAD,4.0,2573.527,0.8,4716.875,3216.90875,,I-15
2023.0,I-15,A,7.251,C000015,A,C000015A,085+0.661,092+0.873,85.75,93.001,29-1-001,,,E,3773.5,32.0,,33.0,1117.0,907.0,8.0,,9.0,290.0,235.0,RURAL OUTER INTERSTATE,1005.0,16.0,128.0,610.0,610.0,931.0,931.0,,2.0,,MADISON,,,2.817,17.606,C000015_085+0.661_092+0.873_I-15,,I-15,Interstate,4,38,BEAVERHEAD,38.0,27361.648500000003,7.6,496.5131578947369,3600.2169078947372,,I-15
2023.0,I-15,A,0.353,C000015,A,C000015A,092+0.873,093+0.225,93.001,93.354,47-2-001,,,A,4708.0,32.0,,33.0,1117.0,907.0,7.0,,7.0,237.0,193.0,RURAL INNER INTERSTATE,1005.0,16.0,128.0,610.0,610.0,932.0,932.0,,2.0,,MADISON,"JCT OFF RAMP MELROSE INTERCHANGE, EXIT 93","JCT OFF RAMP MELROSE INTERCHANGE, EXIT 93",4.665,7.911,C000015_092+0.873_093+0.225_I-15,,I-15,Interstate,1,1,MADISON,1.0,1661.924,0.2,23540.0,8309.619999999999,,I-15
2023.0,I-15,A,5.738,C000015,A,C000015A,093+0.225,098+0.998,93.354,99.092,47-2-001,,,A,4345.75,32.0,,33.0,1117.0,907.0,7.0,,7.0,237.0,193.0,RURAL INNER INTERSTATE,1005.0,16.0,128.0,610.0,610.0,932.0,932.0,,2.0,,SILVER BOW,,,4.665,7.911,C000015_093+0.225_098+0.998_I-15,,I-15,Interstate,4,33,SILVER BOW,33.0,24935.9135,6.6,658.4469696969697,3778.1687121212126,,I-15
2023.0,I-15,A,3.251,C000015,A,C000015A,098+0.998,102+0.260,99.092,102.343,47-2-001,,,A,4345.75,32.0,,33.0,1117.0,907.0,7.0,,7.0,237.0,193.0,RURAL INNER INTERSTATE,1005.0,16.0,128.0,610.0,610.0,932.0,932.0,,2.0,,SILVER BOW,"JCT OFF RAMP MOOSE CREEK INTERCHANGE, EXIT 99","JCT OFF RAMP MOOSE CREEK INTERCHANGE, EXIT 99",4.665,7.911,C000015_098+0.998_102+0.260_I-15,,I-15,Interstate,4,24,SILVER BOW,24.0,14128.03325,4.8,905.3645833333334,2943.3402604166668,,I-15
2023.0,I-15,A,8.753,C000015,A,C000015A,102+0.260,110+0.978,102.343,111.096,47-2-004,,,A,4566.0,32.0,,33.0,1117.0,907.0,7.0,,7.0,245.0,199.0,RURAL INNER INTERSTATE,1005.0,16.0,128.0,610.0,610.0,932.0,932.0,,2.0,,SILVER BOW,"JCT OFF RAMP DIVIDE INTERCHANGE, EXIT 102","JCT OFF RAMP DIVIDE INTERCHANGE, EXIT 102",4.665,7.911,C000015_102+0.260_110+0.978_I-15,,I-15,Interstate,1,34,SILVER BOW,34.0,39966.198,6.8,671.4705882352941,5877.38205882353,,I-15
2023.0,I-15,A,5.122,C000015,A,C000015A,110+0.978,116+0.090,111.096,116.218,47-2-004,,,A,4634.25,32.0,,33.0,1117.0,907.0,7.0,,7.0,245.0,199.0,RURAL INNER INTERSTATE,1005.0,16.0,128.0,610.0,610.0,932.0,932.0,,2.0,,SILVER BOW,"JCT OFF RAMP FEELY INTERCHANGE, EXIT 111","JCT OFF RAMP FEELY INTERCHANGE, EXIT 111",4.665,7.911,C000015_110+0.978_116+0.090_I-15,,I-15,Interstate,4,33,SILVER BOW,33.0,23736.6285,6.6,702.159090909091,3596.4588636363637,,I-15
2023.0,I-15,A,3.602,C000015,A,C000015A,116+0.090,119+0.690,116.218,119.82,47-1B-001,,,E,5139.0,32.0,,33.0,1117.0,907.0,6.0,,6.0,217.0,176.0,RURAL INNER INTERSTATE,1005.0,16.0,128.0,611.0,611.0,932.0,932.0,,2.0,,SILVER BOW,"JCT OFF RAMP BUXTON INTERCHANGE, EXIT 116","JCT OFF RAMP BUXTON INTERCHANGE, EXIT 116",4.665,7.911,C000015_116+0.090_119+0.690_I-15,,I-15,Interstate,1,17,SILVER BOW,17.0,18510.678,3.4,1511.470588235294,5444.31705882353,,I-15
