YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,I-15,A,0.314,C000015,A,C000015A,000+0.000,000+0.314,0.0,0.314,01-8-002,,,A,3271.25,14.0,,29.0,1306.0,1076.0,4.0,,8.0,369.0,304.0,RURAL OUTER INTERSTATE,1002.0,14.0,142.0,723.0,723.0,1111.0,1111.0,,2.0,,BEAVERHEAD,,ENT I-15A,2.871,18.421,C000015_000+0.000_000+0.314_I-15,,I-15,Interstate,4,5,BEAVERHEAD,5.0,1027.1725,1.0,3271.25,1027.1725,,I-15
2023.0,I-15,A,8.983,C000015,A,C000015A,000+0.314,009+0.280,0.314,9.298,01-8-002,,,A,3271.25,14.0,,29.0,1306.0,1076.0,4.0,,8.0,369.0,304.0,RURAL OUTER INTERSTATE,1002.0,14.0,142.0,723.0,723.0,1111.0,1111.0,,2.0,,BEAVERHEAD,"JCT OFF RAMP MONIDA INTERCHANGE, EXIT 0","JCT OFF RAMP MONIDA INTERCHANGE, EXIT 0",2.871,18.421,C000015_000+0.314_009+0.280_I-15,,I-15,Interstate,4,46,BEAVERHEAD,46.0,29385.63875,9.2,355.57065217391306,3194.091168478262,,I-15
2023.0,I-15,A,5.631,C000015,A,C000015A,009+0.280,014+0.910,9.298,14.929,01-8-002,,,A,3271.25,14.0,,29.0,1306.0,1076.0,4.0,,8.0,369.0,304.0,RURAL OUTER INTERSTATE,1002.0,14.0,142.0,723.0,723.0,1111.0,1111.0,,2.0,,BEAVERHEAD,"JCT OFF RAMP SNOWLINE INTERCHANGE, EXIT 9","JCT OFF RAMP SNOWLINE INTERCHANGE, EXIT 9",2.871,18.421,C000015_009+0.280_014+0.910_I-15,,I-15,Interstate,4,29,BEAVERHEAD,29.0,18420.40875,5.8,564.0086206896552,3175.932543103449,,I-15
2023.0,I-15,A,8.589,C000015,A,C000015A,014+0.910,023+0.533,14.929,23.518,W-142,Yes,,A,3726.0,14.0,,29.0,1306.0,1076.0,4.0,,8.0,351.0,289.0,RURAL OUTER INTERSTATE,1002.0,14.0,142.0,723.0,723.0,1140.0,1140.0,,2.0,,BEAVERHEAD,"JCT OFF RAMP LIMA INTERCHANGE, EXIT 15","JCT OFF RAMP LIMA INTERCHANGE, EXIT 15",10.618,11.583,C000015_014+0.910_023+0.533_I-15,,I-15,Interstate,1,25,BEAVERHEAD,25.0,32002.614,5.0,745.2,6400.522800000001,,I-15
2023.0,I-15,A,5.862,C000015,A,C000015A,023+0.533,029+0.384,23.518,29.38,W-142,Yes,,A,3465.75,14.0,,29.0,1306.0,1076.0,4.0,,8.0,351.0,289.0,RURAL OUTER INTERSTATE,1002.0,14.0,142.0,723.0,723.0,1140.0,1140.0,,2.0,,BEAVERHEAD,"JCT OFF RAMP DELL INTERCHANGE, EXIT 23","JCT OFF RAMP DELL INTERCHANGE, EXIT 23",10.618,11.583,C000015_023+0.533_029+0.384_I-15,,I-15,Interstate,4,16,BEAVERHEAD,16.0,20316.2265,3.2,1083.046875,6348.8207812499995,,I-15
2023.0,I-15,A,7.676,C000015,A,C000015A,029+0.384,037+0.056,29.38,37.056,01-6-002,,,E,4232.0,14.0,,29.0,1306.0,1076.0,3.0,,7.0,309.0,254.0,RURAL OUTER INTERSTATE,1002.0,14.0,142.0,724.0,724.0,1112.0,1112.0,,2.0,,BEAVERHEAD,"JCT OFF RAMP KIDD INTERCHANGE, EXIT 29","JCT OFF RAMP KIDD INTERCHANGE, EXIT 29",6.745,15.002,C000015_029+0.384_037+0.056_I-15,,I-15,Interstate,1,24,BEAVERHEAD,24.0,32484.832,4.8,881.6666666666667,6767.673333333334,,I-15
2023.0,I-15,A,7.179,C000015,A,C000015A,037+0.056,044+0.239,37.056,44.235,01-6-002,,,E,3980.25,14.0,,29.0,1306.0,1076.0,3.0,,7.0,309.0,254.0,RURAL OUTER INTERSTATE,1002.0,14.0,142.0,724.0,724.0,1112.0,1112.0,,2.0,,BEAVERHEAD,"JCT OFF RAMP RED ROCK INTERCHANGE, EXIT 37","JCT OFF RAMP RED ROCK INTERCHANGE, EXIT 37",6.745,15.002,C000015_037+0.056_044+0.239_I-15,,I-15,Interstate,4,25,BEAVERHEAD,25.0,28574.214750000003,5.0,796.05,5714.84295,,I-15
2023.0,I-15,A,7.313,C000015,A,C000015A,044+0.239,051+0.574,44.235,51.548,01-6-001,,,A,4370.0,14.0,,29.0,1306.0,1076.0,3.0,,7.0,299.0,246.0,RURAL OUTER INTERSTATE,1002.0,14.0,142.0,724.0,724.0,1112.0,1112.0,,2.0,,BEAVERHEAD,"JCT OFF RAMP HORSE PRAIRIE INTERCHANGE, EXIT 44","JCT OFF RAMP HORSE PRAIRIE INTERCHANGE, EXIT 44",6.745,15.002,C000015_044+0.239_051+0.574_I-15,,I-15,Interstate,1,35,BEAVERHEAD,35.0,31957.81,7.0,624.2857142857143,4565.401428571428,,I-15
2023.0,I-15,A,0.834,C000015,A,C000015A,051+0.574,052+0.411,51.548,52.382,01-6-001,,,A,4847.5,14.0,,29.0,1306.0,1076.0,3.0,,7.0,299.0,246.0,RURAL OUTER INTERSTATE,1002.0,14.0,142.0,724.0,724.0,1112.0,1112.0,,2.0,,BEAVERHEAD,JCT ON RAMP DALYS INTERCHANGE,JCT ON RAMP DALYS INTERCHANGE,6.745,15.002,C000015_051+0.574_052+0.411_I-15,,I-15,Interstate,4,7,BEAVERHEAD,7.0,4042.815,1.4,3462.5,2887.725,,I-15
2023.0,I-15,A,3.401,C000015,A,C000015A,052+0.411,055+0.794,52.382,55.783,01-4-006,,,E,4477.0,14.0,,29.0,1306.0,1076.0,3.0,,6.0,292.0,240.0,RURAL OUTER INTERSTATE,1002.0,14.0,142.0,724.0,724.0,1112.0,1112.0,,2.0,,BEAVERHEAD,"JCT OFF RAMP GRASSHOPPER CK INTERCHANGE, EXIT 52","JCT OFF RAMP GRASSHOPPER CK INTERCHANGE, EXIT 52",6.745,15.002,C000015_052+0.411_055+0.794_I-15,,I-15,Interstate,1,12,BEAVERHEAD,12.0,15226.276999999998,2.4,1865.4166666666667,6344.282083333333,,I-15
