YEAR,DEPT_ID,DEPT_RBD,SEC_LNT_MI,CORR_ID,CORR_RBD,CORRIDOR,CORR_MP,CORR_ENDMP,CORR_MIOFF,CORR_ENDMI,SITE_ID,TYC_CCS,TYC_REMARK,TYC_ACTEST,TYC_AADT,TYC_MC_NUM,TYC_RV_NUM,BUS_NUM,COMM_NUM,LG_TRK_NUM,TYC_MC,TYC_RV,TYC_BUS,TYC_COMM,TYC_LG_TRK,FACTOR_GRP,TYC_VC_GRP,FUT_FACT,TYC_DHV,FLEXESAL_P,FLEXESAL_N,RESAL_P,RESAL_N,ONE_WAY,NUM_LANES,COIN_RT,CNTY_NM,JCT_DESC,LINK_DESC,PCT_DH_SU,PCT_DH_CU,SEGMENT_KEY,ROUTE_NAME,SIGNED_ROUTE,SYSTEM,YEARS_WITH_DATA,TOTAL_CRASHES,COUNTY,CRASHES,MILES_DRIVEN,AVG_CRASHES,CARS_PER_ACC,MILES_PER_ACC,LOCATION,ROUTE_FILE_NAME
2023.0,N-57,A,6.641,C000057,A,C000057A,112+0.985,119+0.646,112.479,119.119,14-7-006,,,A,649.25,4.0,,0.0,84.0,71.0,7.0,,0.0,152.0,128.0,RPA_45,3071.0,10.0,161.0,41.0,41.0,65.0,65.0,,2.0,,FERGUS,JCT N-61,JCT N-61,1.22,4.878,C000057_112+0.985_119+0.646_N-57,,MT-200/MT-3/US-87,NI-NHS,4,19,FERGUS,19.0,4311.66925,3.8,170.85526315789474,1134.649802631579,,MT-200/MT-3/US-87
2023.0,N-57,A,3.512,C000057,A,C000057A,119+0.646,123+0.306,119.119,122.631,14-7-007,,,A,571.25,4.0,,0.0,84.0,71.0,8.0,,0.0,163.0,138.0,RPA_45,3071.0,10.0,161.0,41.0,41.0,65.0,65.0,,2.0,,FERGUS,,,1.22,4.878,C000057_119+0.646_123+0.306_N-57,,MT-200/MT-3/US-87,NI-NHS,4,8,FERGUS,8.0,2006.23,1.6,357.03125,1253.89375,,MT-200/MT-3/US-87
2023.0,N-57,A,0.663,C000057,A,C000057A,123+0.306,123+0.969,122.631,123.294,14-7-007,,,A,571.25,4.0,,0.0,84.0,71.0,8.0,,0.0,163.0,138.0,RPA_45,3071.0,10.0,161.0,41.0,41.0,65.0,65.0,,2.0,,PETROLEUM,,,1.22,4.878,C000057_123+0.306_123+0.969_N-57,,MT-200/MT-3/US-87,NI-NHS,4,1,PETROLEUM,1.0,378.73875,0.2,2856.25,1893.69375,,MT-200/MT-3/US-87
2023.0,N-57,A,11.785,C000057,A,C000057A,123+0.969,135+0.783,123.294,135.078,35-2-001,,,A,574.25,4.0,,0.0,84.0,71.0,8.0,,0.0,163.0,138.0,RPA_45,3071.0,10.0,161.0,41.0,41.0,65.0,65.0,,2.0,,PETROLEUM,,,1.22,4.878,C000057_123+0.969_135+0.783_N-57,,MT-200/MT-3/US-87,NI-NHS,4,14,PETROLEUM,14.0,6767.53625,2.8,205.08928571428572,2416.9772321428572,,MT-200/MT-3/US-87
2023.0,N-57,A,9.361,C000057,A,C000057A,135+0.783,145+0.198,135.078,144.44,35-2-003,,,A,721.75,4.0,,0.0,84.0,71.0,6.0,,0.0,124.0,104.0,RPA_45,3071.0,10.0,161.0,41.0,41.0,65.0,65.0,,2.0,,PETROLEUM,JCT S-244,JCT S-244,1.22,4.878,C000057_135+0.783_145+0.198_N-57,,MT-200/MT-3/US-87,NI-NHS,4,14,PETROLEUM,14.0,6756.3017500000005,2.8,257.76785714285717,2412.964910714286,,MT-200/MT-3/US-87
2023.0,N-57,A,7.131,C000057,A,C000057A,145+0.198,152+0.372,144.44,151.57,35-3-001,,,A,606.5,4.0,,0.0,84.0,71.0,7.0,,0.0,156.0,132.0,RPA_45,3071.0,10.0,161.0,41.0,41.0,65.0,65.0,,2.0,,PETROLEUM,,,1.22,4.878,C000057_145+0.198_152+0.372_N-57,,MT-200/MT-3/US-87,NI-NHS,4,13,PETROLEUM,13.0,4324.9515,2.6,233.26923076923077,1663.4428846153846,,MT-200/MT-3/US-87
2023.0,N-57,A,5.337,C000057,A,C000057A,152+0.372,157+0.740,151.57,156.908,35-3-002,,,E,510.5,4.0,,0.0,84.0,71.0,8.0,,0.0,167.0,141.0,RPA_45,3071.0,10.0,161.0,41.0,41.0,65.0,65.0,,2.0,,PETROLEUM,,,2.857,18.571,C000057_152+0.372_157+0.740_N-57,,MT-200/MT-3/US-87,NI-NHS,4,7,PETROLEUM,7.0,2724.5384999999997,1.4,364.6428571428572,1946.0989285714284,,MT-200/MT-3/US-87
2023.0,N-57,A,0.651,C000057,A,C000057A,157+0.740,158+0.402,156.908,157.559,17-6-001,,,A,526.0,4.0,,0.0,84.0,71.0,8.0,,0.0,174.0,147.0,RPA_45,3071.0,10.0,161.0,41.0,41.0,65.0,65.0,,2.0,,PETROLEUM,JCT S-500,JCT S-500,1.22,4.878,C000057_157+0.740_158+0.402_N-57,,MT-200/MT-3/US-87,NI-NHS,4,0,PETROLEUM,,342.426,0.0,,,,MT-200/MT-3/US-87
2023.0,N-57,A,21.169,C000057,A,C000057A,158+0.402,180+0.075,157.559,178.728,17-6-001,,,A,526.0,4.0,,0.0,84.0,71.0,8.0,,0.0,174.0,147.0,RPA_45,3071.0,10.0,161.0,41.0,41.0,65.0,65.0,,2.0,,GARFIELD,,,1.22,4.878,C000057_158+0.402_180+0.075_N-57,,MT-200/MT-3/US-87,NI-NHS,4,6,GARFIELD,6.0,11134.894,1.2,438.33333333333337,9279.078333333337,,MT-200/MT-3/US-87
2023.0,N-57,A,19.121,C000057,A,C000057A,180+0.075,199+0.753,178.728,197.85,17-7-001,,,A,541.6,4.0,,0.0,84.0,71.0,7.0,,0.0,152.0,129.0,RPA_45,3071.0,10.0,161.0,41.0,41.0,65.0,65.0,,2.0,,GARFIELD,,,1.22,4.878,C000057_180+0.075_199+0.753_N-57,,MT-200/MT-3/US-87,NI-NHS,5,2,GARFIELD,2.0,10355.9336,0.4,1354.0,25889.834,,MT-200/MT-3/US-87
